,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,111760000,230961000,106331000,121135000,130110000,423511000,126218000,210174000,175218000,247329000,240539000,90614000,159926000,222205000,118245000,122909000,216340000,162532000,125614000,93106000,71522000,88390000,46522000,108916000,55960000,144161000,85866000,95458000,77085000,69124000,65324000,51617000,38277000,57616000,42980000,84536000,44759000,29901000,54723000,200311000,182092000,53625000,74003000,61307000,92409000,176432000,50525000,39225000
IncomeCostOfSales,83318000,141809000,79538000,86106000,90183000,276665000,97100000,159571000,129310000,179833000,178063000,63860000,118418000,167637000,83626000,89216000,148295000,121266000,87249000,66181000,52363000,71476000,33532000,78261000,48280000,115113000,67846000,74811000,58474000,57391000,49841000,38804000,31967000,50661000,36218000,62026000,34074000,28619000,46282000,140615000,117439000,45525000,55811000,49310000,66358000,128937000,38499000,46845000
IncomeDistributionExpenses,5089000,6806000,4432000,6936000,6503000,10684000,5432000,8689000,7413000,3274000,4617000,3797000,4323000,8016000,4751000,6669000,7720000,9395000,5517000,7132000,6734000,7545000,4098000,6159000,3799000,6775000,4538000,4390000,4953000,6291000,4055000,4229000,4573000,6134000,4084000,4137000,4503000,5412000,5981000,7379000,5193000,6383000,4898000,6257000,5147000,7868000,4869000,5459000
IncomeAdministrativExpenses,5730000,5670000,5213000,6298000,5777000,7589000,5843000,9053000,6890000,7713000,6220000,6018000,5693000,7753000,5889000,7022000,6863000,9110000,8161000,9147000,7880000,9643000,6794000,8088000,7201000,9461000,5260000,5336000,4961000,5110000,4302000,4214000,4159000,2053000,4444000,4507000,4620000,1100000,5027000,4411000,3518000,6604000,4668000,5907000,5761000,7888000,5841000,5890000
IncomeGrossProfit,17623000,76676000,17148000,21795000,27647000,128573000,17843000,32861000,31605000,56509000,51639000,16939000,31492000,38799000,23979000,20002000,53462000,22761000,24687000,10646000,4545000,-274000,2098000,16408000,-3320000,12813000,8222000,10920000,8698000,332000,7126000,4370000,-2423000,-1231000,-1766000,13867000,1562000,-5230000,-2567000,47906000,55943000,-4888000,8627000,-167000,15143000,31739000,1316000,-18969000
IncomeOtherOperatingIncome,513000,11390000,1542000,2435000,1334000,7723000,1186000,3434000,1496000,2392000,2578000,1486000,1020000,5752000,6363000,2772000,2910000,19006000,8565000,7964000,12869000,4447000,11805000,16507000,7102000,6831000,7799000,1545000,2759000,20485000,7457000,6135000,12833000,7940000,9585000,-2661000,3838000,23778000,-193000,-764000,-398000,-2383000,223000,-1067000,-180000,804000,-3385000,251000
IncomeOtherOperatingCosts,1735000,7105000,809000,1430000,2866000,4480000,944000,4225000,1466000,17568000,3764000,-186000,822000,2573000,1537000,2902000,1775000,2619000,1684000,2970000,7181000,-2252000,2946000,3713000,2415000,1598000,1285000,2893000,-162000,8276000,1443000,404000,2286000,2827000,742000,3982000,6720000,6922000,4527000,2383000,29694000,12922000,2322000,4485000,1434000,-1263000,1536000,2344000
IncomeEBIT,16401000,80961000,17881000,22800000,26115000,131816000,18085000,32070000,31635000,41333000,50453000,18611000,31690000,41978000,28805000,19872000,54597000,39148000,31568000,15640000,10233000,6425000,10957000,29202000,1367000,18046000,14736000,9572000,11619000,12541000,13140000,10100000,8124000,3882000,7077000,7224000,-1321000,11626000,-7288000,44759000,25850000,-20193000,6527000,-5720000,13529000,33807000,-3605000,-21062000
IncomeFinanceIncome,1694000,908000,913000,1547000,4060000,2543000,2962000,2268000,4703000,5429000,1104000,3683000,-1050000,4732000,1264000,2633000,2081000,520000,1530000,2113000,4186000,2341000,3043000,1548000,605000,667000,2244000,1579000,-199000,-896000,842000,927000,293000,2455000,421000,781000,634000,-30000,998000,1368000,-324000,1424000,596000,554000,904000,1359000,8635000,2452000
IncomeFinanceCosts,4621000,5164000,4552000,6482000,6687000,5883000,6691000,7720000,8009000,7275000,6982000,9056000,4519000,11429000,8355000,4871000,11982000,10311000,9527000,10543000,8173000,6318000,10876000,23225000,9306000,9712000,11578000,10299000,8094000,8389000,7730000,8174000,7621000,4445000,5518000,4032000,4018000,5585000,4404000,4802000,11931000,4824000,5324000,3554000,3482000,6519000,4995000,8995000
