,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,9963000,2704000,28102000,88819000,12688000,10240000,40846000,13573000,15156000,26914000,35881000,38358000,23895000,25650000,123402000,68318000,34129000,5805000,21328000,35412000,7266000,34603000,31570000,125320000,54147000,56534000,57284000,39060000,65915000,47079000,29500000,10661000,40396000,53818000,68383000,118775000,41862000,69366000,91337000,282197000,110124000,36063000,36045000,49512000,80214000,90000000
IncomeCostOfSales,6415000,2402000,14939000,46095000,6539000,5556000,22219000,9053000,9407000,17302000,23636000,25770000,15680000,19624000,91965000,51275000,28212000,4274000,17701000,23799000,5400000,27485000,28613000,86854000,39137000,45380000,46938000,33005000,52514000,39345000,27634000,21732000,35802000,41551000,61211000,91560000,37867000,53492000,70162000,204551000,91536000,29962000,31393000,40775000,69633000,72969000
IncomeDistributionExpenses,,284000,105000,24000,185000,291000,215000,835000,274000,993000,950000,1114000,947000,1375000,2894000,2181000,699000,1833000,1118000,1408000,1063000,1599000,1780000,1758000,1497000,1619000,2019000,1686000,1908000,1756000,1653000,1564000,1695000,1846000,1483000,1435000,1734000,2354000,1743000,2252000,1169000,1206000,1277000,2032000,1124000,1292000
IncomeAdministrativExpenses,1968000,2169000,2542000,2677000,3982000,3307000,3807000,2963000,2757000,4013000,3194000,4208000,3207000,3275000,5094000,4553000,3414000,3453000,3694000,4600000,3783000,3402000,3482000,5305000,4098000,3963000,3891000,3953000,5148000,3990000,4443000,4639000,4492000,4440000,4375000,5527000,5221000,4294000,4744000,7938000,4820000,5183000,4377000,4955000,4565000,5039000
IncomeGrossProfit,1580000,-2151000,10516000,40023000,1982000,1086000,14605000,722000,2718000,4606000,8101000,7266000,4061000,1376000,23449000,10309000,1804000,-3755000,-1185000,5605000,-2980000,2117000,-2305000,31403000,9415000,5572000,4436000,416000,6345000,1988000,-4230000,-17274000,-1593000,5981000,1314000,20253000,-2960000,9226000,14688000,67456000,12599000,-288000,-1002000,1750000,4892000,10700000
IncomeOtherOperatingIncome,,130000,27000,203000,61000,486000,357000,-207000,668000,354000,424000,6273000,295000,142000,140000,33000,396000,126000,430000,266000,496000,196000,238000,37000,91000,262000,127000,251000,65000,102000,195000,364000,194000,1994000,196000,945000,121000,252000,284000,219000,201000,179000,211000,221000,359000,576000
IncomeOtherOperatingCosts,,,,,,364000,113000,292000,69000,138000,535000,1821000,2920000,329000,716000,2718000,555000,240000,572000,1496000,435000,228000,269000,1991000,627000,845000,467000,-105000,801000,737000,862000,969000,955000,316000,399000,1192000,1121000,1171000,952000,1490000,2048000,1212000,881000,-11025000,-1778000,1162000
IncomeEBIT,1580000,-2021000,10543000,40226000,2043000,1208000,14849000,223000,3317000,4822000,7990000,11718000,1436000,1189000,22873000,7624000,1645000,-3869000,-1327000,4375000,-2919000,2085000,-2336000,29449000,8879000,4989000,4096000,772000,5609000,1353000,-4897000,-17879000,-2354000,7659000,1111000,20006000,-3960000,8307000,14020000,66185000,10752000,-1321000,-1672000,12996000,7029000,10114000
IncomeFinanceIncome,454000,274000,45000,548000,616000,362000,617000,762000,398000,-42000,28000,467000,356000,449000,704000,902000,788000,1599000,1476000,1346000,1085000,1098000,656000,594000,606000,584000,728000,-46000,529000,513000,362000,553000,449000,359000,473000,530000,550000,513000,460000,377000,290000,213000,164000,192000,145000,156000
IncomeFinanceCosts,350000,380000,142000,284000,408000,170000,190000,391000,392000,382000,654000,1282000,117000,61000,50000,200000,241000,134000,69000,158000,98000,348000,452000,543000,798000,1720000,768000,-444000,933000,1091000,1405000,1398000,1551000,1871000,2079000,2402000,2122000,2090000,2375000,2270000,2178000,2129000,1636000,1781000,1665000,1424000
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90000,,,,,,,,,,,,,,1684000,-2127000
IncomeNetGrossProfit,10446000,40490000,2251000,1400000,15276000,594000,3323000,4398000,7364000,10903000,1675000,1577000,23527000,8326000,2192000,-2404000,80000,5563000,-1932000,2835000,-2132000,29500000,8687000,3853000,4056000,1170000,5205000,775000,-5850000,-18814000,-3456000,6147000,-495000,18134000,-5532000,6730000,12105000,64292000,8864000,-3237000,-3144000,11407000,5509000,8846000,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1684000,-2127000
IncomeBeforeTaxProfit,10446000,40490000,2251000,1400000,15276000,594000,3323000,4398000,7364000,10903000,1675000,1577000,23527000,8326000,2192000,-2404000,80000,5563000,-1932000,2835000,-2132000,29500000,8687000,3853000,4056000,1170000,5205000,775000,-5850000,-18814000,-3456000,6147000,-495000,18134000,-5532000,6730000,12105000,64292000,8864000,-3237000,-3144000,11407000,5509000,8846000,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1501000,-1693000
IncomeNetProfit,7805000,32663000,1545000,942000,12064000,590000,2558000,3557000,6196000,8723000,1333000,1261000,22752000,9745000,2787000,-2224000,320000,5874000,-1182000,2906000,-1694000,31281000,8900000,3856000,4429000,859000,4798000,749000,-4868000,-15894000,-2809000,5090000,-471000,17164000,-4415000,5519000,10338000,53656000,7412000,-2818000,-2572000,9275000,4432000,7348000,1270000,-1496000
IncomeShareholderNetProfit,6466000,32663000,1545000,942000,12064000,590000,2558000,3557000,6196000,8723000,1333000,1261000,22752000,9745000,2787000,-2224000,352000,5911000,-1084000,2993000,-1610000,31356000,8990000,3989000,4560000,1109000,4166000,47000,-3871000,-15773000,-2744000,5184000,-375000,17285000,-4242000,4965000,10102000,53706000,5862000,-3187000,-2548000,9337000,3864000,6437000,,
BalanceNoncurrentAssets,61605000,49420000,2745000,2980000,3801000,3858000,3840000,5010000,13950000,12850000,17955000,21099000,24895000,22300000,24969000,24265000,25952000,37484000,38245000,33037000,34484000,46880000,47016000,47042000,47648000,50499000,50792000,48876000,51533000,46356000,46353000,30976000,31669000,21926000,21027000,20443000,21062000,26099000,27516000,25286000,157000,,,,,
BalanceIntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44904000,45096000,807000,714000,1217000,1017000,899000,1674000
BalanceProperty,10059000,10091000,15843000,17111000,17175000,17624000,18198000,17551000,17710000,16939000,16781000,16343000,16246000,19110000,19063000,19238000,18504000,18641000,18481000,18358000,18269000,17615000,17437000,17181000,17780000,17566000,17340000,17006000,17046000,16912000,16671000,16928000,,,,,,,,,,,,,,
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13732000,,,,,,,,,0,,,,544000
BalanceNoncurrInvestments,4229000,870000,928000,957000,1761000,8747000,8935000,9383000,9266000,15925000,16193000,16240000,16988000,17645000,17650000,16966000,20935000,17438000,17353000,1755000,1354000,744000,5162000,7846000,4772000,2812000,4324000,1938000,2266000,2584000,2841000,2941000,3336000,3891000,2759000,2112000,3444000,3491000,3806000,5843000,5757000,6481000,11798000,12529000,7311000,8972000
