,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,3522000,2164000,4389000,11836000,3665000,4786000,7502000,22357000,4760000,4694000,9504000,16484000,6470000,18546000,5776000,12944000,4130000,5809000,3769000,8024000,6218000,5329000,6013000,20682000,23793000,49286000,29489000,61437000,54814000,61020000,34967000,39287000,59223000,69333000,37886000,44359000,70255000,70861000,48631000,46386000,68177000,71012000,42656000,58405000,69436000,75966000,42699000,85876000,58950000,63090000,49043000,59718000,70092000,60630000
IncomeRevenues_yy,,,,,4.06,121.16,70.93,88.89,29.88,-1.92,26.69,-26.27,35.92,295.10,-39.23,-21.48,-36.17,-68.68,-34.75,-38.01,50.56,-8.26,59.54,157.74,282.65,824.86,390.42,197.06,130.38,23.81,18.58,-36.05,8.04,13.62,8.35,12.91,18.63,2.20,28.36,4.57,-2.96,0.21,-12.29,25.91,1.85,6.98,0.10,47.04,-15.10,-16.95,14.86,-30.46,18.90,-3.90
IncomeRevenues_sy,,,,,-4.70,71.80,22.26,12.38,25.40,4.46,17.38,7.89,2.60,18.49,-0.54,-11.43,-34.02,-25.65,-8.27,5.10,4.94,-4.51,9.88,10.22,-1.07,10.94,-8.67,10.97,7.20,-2.93,-5.37,-23.50,-3.74,12.20,7.15,10.76,12.55,-7.34,-2.88,-1.07,-4.76,0.21,-1.04,15.62,9.72,6.98,9.18,6.01,4.99,-3.32,2.42,0.11,-1.36,2.32
IncomeRevenues_qq,,-38.56,102.82,169.67,-69.04,30.59,56.75,198.01,-78.71,-1.39,102.47,73.44,-60.75,186.65,-68.86,124.10,-68.09,40.65,-35.12,112.91,-22.51,-14.30,12.84,243.95,15.04,107.14,-40.17,108.34,-10.78,11.32,-42.70,12.35,50.74,17.07,-45.36,17.09,58.38,0.86,-31.37,-4.62,46.98,4.16,-39.93,36.92,18.89,9.40,-43.79,101.12,-31.35,7.02,-22.27,21.77,17.37,-13.50
IncomeRevenues_sq,,-14.13,9.22,81.15,-34.33,20.48,8.45,40.06,-5.90,-1.56,10.85,3.67,-5.99,18.39,-0.57,-3.37,-26.98,7.37,-1.67,40.32,-13.08,-4.97,11.22,19.05,-12.08,13.58,2.62,32.49,-14.71,5.07,-1.01,-1.52,-2.54,16.91,2.57,3.29,-6.31,2.02,-8.47,5.24,-1.88,5.41,-5.94,18.85,-4.11,7.46,-1.22,12.65,-5.33,0.43,-7.78,21.77,-1.94,3.26
IncomeCostOfSales,1859000,1267000,2754000,8724000,2215000,3503000,5693000,15513000,3424000,3083000,7447000,10232000,4065000,12705000,3874000,9187000,2742000,4433000,3242000,5828000,4883000,4548000,3352000,16487000,19100000,38305000,25355000,41105000,42189000,48155000,29575000,30634000,44637000,54057000,31733000,39984000,55916000,50110000,39844000,40443000,56163000,57077000,41049000,50591000,55571000,58204000,38156000,60027000,45530000,50138000,36344000,48365000,51767000,51127000
IncomeCostOfSales_yy,,,,,19.15,176.48,106.72,77.82,54.58,-11.99,30.81,-34.04,18.72,312.10,-47.98,-10.21,-32.55,-65.11,-16.31,-36.56,78.08,2.59,3.39,182.89,291.15,742.24,656.41,149.32,120.88,25.71,16.64,-25.47,5.80,12.26,7.30,30.52,25.27,-7.30,25.56,1.15,0.44,13.90,3.02,25.09,-1.05,1.97,-7.05,18.65,-18.07,-13.86,-4.75,-19.43,13.70,1.97
IncomeCostOfSales_sy,,,,,-2.44,66.42,20.16,-4.64,35.59,-5.34,15.87,8.51,13.79,25.72,4.96,-10.21,-28.42,-29.33,-13.13,3.11,22.89,2.36,4.45,19.94,2.72,10.08,2.49,4.04,10.02,19.98,2.51,-23.47,-3.78,16.38,0.83,11.52,15.40,-8.83,-6.22,-3.21,-6.16,9.54,1.09,10.30,3.07,1.44,0.22,1.14,4.12,-2.56,-3.44,2.69,4.23,0.84
IncomeCostOfSales_qq,,-31.85,117.36,216.78,-74.61,58.15,62.52,172.49,-77.93,-9.96,141.55,37.40,-60.27,212.55,-69.51,137.15,-70.15,61.67,-26.87,79.76,-16.21,-6.86,-26.30,391.86,15.85,100.55,-33.81,62.12,2.64,14.14,-38.58,3.58,45.71,21.10,-41.30,26.00,39.85,-10.38,-20.49,1.50,38.87,1.63,-28.08,23.25,9.84,4.74,-34.44,57.32,-24.15,10.12,-27.51,33.08,7.03,-1.24
IncomeCostOfSales_sq,,-12.24,15.61,68.34,-50.42,35.55,10.64,30.79,-3.84,2.78,-1.02,18.44,-15.50,19.20,-3.98,-1.83,-36.78,1.36,-2.62,31.70,-14.28,-0.90,-6.52,54.23,-16.10,8.02,11.24,30.76,-14.44,5.38,7.27,-10.68,3.64,15.52,-4.51,6.74,-3.02,-5.78,-4.84,0.80,6.42,4.93,-8.14,7.93,-3.62,3.44,1.69,3.44,-12.06,6.49,-2.73,20.44,-2.48,-3.78
