,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,2905500000,2709729000,2625940000,2935630000,2933814000,2855730000,2747942000,2891763000,2747979000,2538527000,2505776000,2797718000,2913000000,2512000000,2532000000,2847000000,2621000000,2316000000,2436000000,2808000000,2710000000,2487000000,2520000000,2817000000,2642000000,2392000000
IncomeRevenues_yy,,,,,0.97,5.39,4.65,-1.49,-6.33,-11.11,-8.81,-3.25,6.01,-1.04,1.05,1.76,-10.02,-7.80,-3.79,-1.37,3.40,7.38,3.45,0.32,-2.51,-3.82
IncomeRevenues_sy,,,,,-10.93,0.19,-6.08,-11.85,-9.01,-3.42,-10.12,-2.21,4.54,2.54,13.30,1.54,-3.10,-3.32,-3.79,5.74,0.64,-2.08,3.27,-5.03,5.11,0.61
IncomeRevenues_qq,,-6.74,-3.09,11.79,-0.06,-2.66,-3.77,5.23,-4.97,-7.62,-1.29,11.65,4.12,-13.77,0.80,12.44,-7.94,-11.64,5.18,15.27,-3.49,-8.23,1.33,11.79,-6.21,-9.46
IncomeRevenues_sq,,-13.10,-0.16,10.80,-9.90,-10.40,-2.42,8.08,-2.00,-10.10,-6.96,13.85,2.48,-12.62,-0.38,8.04,-2.12,-10.87,0.68,13.71,-8.06,-10.90,0.98,10.49,2.78,-9.38
IncomeCostOfSales,2389232000,2180589000,2367069000,2545557000,2492976000,2253906000,2334282000,2374308000,2188779000,1943554000,2049815000,2281852000,2277000000,2048000000,2087000000,2374000000,2233000000,2197000000,1957000000,2459000000,2177000000,2074000000,2183000000,2181000000,2068000000,1816000000
IncomeCostOfSales_yy,,,,,4.34,3.36,-1.39,-6.73,-12.20,-13.77,-12.19,-3.89,4.03,5.37,1.81,4.04,-1.93,7.28,-6.23,3.58,-2.51,-5.60,11.55,-11.31,-5.01,-12.44
IncomeCostOfSales_sy,,,,,-4.34,-1.39,-5.48,-8.91,-10.72,-8.28,-4.18,-0.57,1.01,5.37,9.48,-8.79,-1.93,-2.52,-7.44,5.06,-2.51,-5.60,-10.37,-5.71,5.68,20.58
IncomeCostOfSales_qq,,-8.73,8.55,7.54,-2.07,-9.59,3.57,1.71,-7.81,-11.20,5.47,11.32,-0.21,-10.06,1.90,13.75,-5.94,-1.61,-10.92,25.65,-11.47,-4.73,5.26,-0.09,-5.18,-12.19
IncomeCostOfSales_sq,,-10.74,4.38,10.94,-6.98,-10.54,-3.46,16.10,-9.46,-10.37,2.06,17.97,-8.25,-10.06,-1.26,13.75,-4.63,-2.47,-10.92,14.62,-11.69,-10.27,2.07,10.06,-2.68,4.29
IncomeDistributionExpenses,62982000,72829000,70811000,101530000,70422000,67818000,75279000,80802000,54668000,67158000,75123000,115051000,77000000,78000000,82000000,99000000,84000000,78000000,81000000,95000000,90000000,82000000,84000000,85000000,88000000,75000000
IncomeDistributionExpenses_yy,,,,,11.81,-6.88,6.31,-20.42,-22.37,-0.97,-0.21,42.39,40.85,16.14,9.15,-13.95,9.09,,-1.22,-4.04,7.14,5.13,3.70,-10.53,-2.22,-8.54
IncomeDistributionExpenses_sy,,,,,-40.89,-26.63,6.31,-20.42,2.94,-0.97,-16.74,11.78,-8.00,-1.88,-5.86,-12.96,4.26,,3.74,-4.28,-3.07,4.74,-8.36,-6.37,-11.80,-4.66
IncomeDistributionExpenses_qq,,15.63,-2.77,43.38,-30.64,-3.70,11.00,7.34,-32.34,22.85,11.86,53.15,-33.07,1.30,5.13,20.73,-15.15,-7.14,3.85,17.28,-5.26,-8.89,2.44,1.19,3.53,-14.77
IncomeDistributionExpenses_sq,,-21.96,-2.84,5.82,-30.64,-1.15,-4.42,7.34,-18.75,1.02,7.53,30.49,-25.30,6.14,-5.02,44.20,-11.86,-10.60,1.22,15.94,-1.34,-14.46,-2.04,22.46,1.72,-9.45
IncomeAdministrativExpenses,95795000,91358000,90318000,99049000,93500000,88989000,97486000,132172000,87819000,89144000,79948000,93089000,87000000,79000000,80000000,98000000,80000000,84000000,76000000,78000000,85000000,77000000,76000000,88000000,92000000,91000000
IncomeAdministrativExpenses_yy,,,,,-2.40,-2.59,7.94,33.44,-6.08,0.17,-17.99,-29.57,-0.93,-11.38,0.07,5.28,-8.05,6.33,-5.00,-20.41,6.25,-8.33,,12.82,8.24,18.18
IncomeAdministrativExpenses_sy,,,,,-4.74,3.36,-11.76,-35.96,-6.16,-29.14,-14.76,17.73,-18.78,-4.97,0.07,-11.36,-8.05,-4.01,-7.47,7.40,2.67,-5.60,,-10.46,7.41,12.16
IncomeAdministrativExpenses_qq,,-4.63,-1.14,9.67,-5.60,-4.82,9.55,35.58,-33.56,1.51,-10.32,16.44,-6.54,-9.20,1.27,22.50,-18.37,5.00,-9.52,2.63,8.97,-9.41,-1.30,15.79,4.55,-1.09
IncomeAdministrativExpenses_sq,,-1.96,2.95,23.36,-27.74,1.41,-4.94,-1.54,10.53,-18.10,5.52,42.19,-16.27,-6.73,-1.88,10.37,-18.37,5.00,-6.40,31.08,-15.54,-2.52,-1.36,10.90,-16.52,6.14
IncomeGrossProfit,357491000,364953000,97741000,189494000,276916000,445017000,240895000,304481000,416713000,438671000,300890000,307726000,472000000,307000000,283000000,276000000,224000000,-43000000,322000000,176000000,358000000,254000000,177000000,463000000,394000000,410000000
IncomeGrossProfit_yy,,,,,-22.54,21.94,146.46,60.68,50.48,-1.43,24.91,1.07,13.27,-30.02,-5.95,-10.31,-52.54,-114.01,13.78,-36.23,59.82,690.70,-45.03,163.07,10.06,61.42
IncomeGrossProfit_sy,,,,,-28.60,-17.60,0.94,-29.76,-26.96,14.75,5.80,6.53,40.76,4.74,52.52,-13.26,3.08,0.80,-20.66,4.33,-0.66,16.24,-1.35,-2.95,7.95,-87.85
IncomeGrossProfit_qq,,2.09,-73.22,93.87,46.13,60.70,-45.87,26.40,36.86,5.27,-31.41,2.27,53.38,-34.96,-7.82,-2.47,-18.84,-119.20,848.84,-45.34,103.41,-29.05,-30.31,161.58,-14.90,4.06
IncomeGrossProfit_sq,,-21.04,-51.22,34.68,35.21,-41.28,-9.24,3.26,41.16,-30.52,-43.64,6.42,77.00,-51.01,21.88,1.16,74.28,-60.12,3.42,7.38,30.91,-37.51,-21.42,-6.00,10.10,-92.38
IncomeOtherOperatingIncome,19394000,30922000,31618000,52987000,23439000,37245000,23852000,71182000,47958000,16557000,47553000,-5068000,27000000,17000000,17000000,30000000,15000000,38000000,28000000,36000000,37000000,59000000,48000000,-26000000,29000000,28000000
