,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,12732000,12897000,24187000,37660000,15901000,14041000,16342000,20139000,14895000,15268000,24765000,54346000,14902000,11202000,13189000,9522000,6358000,19507000,24864000,23144000,28619000,27583000,36791000
IncomeCostOfSales,10593000,9655000,18699000,29358000,11763000,10705000,12642000,16449000,10758000,11833000,19822000,45274000,13245000,9102000,11360000,10067000,6973000,15004000,19294000,19178000,25826000,22636000,30557000
IncomeDistributionExpenses,237000,355000,346000,361000,442000,459000,453000,462000,510000,365000,487000,492000,569000,465000,339000,461000,470000,303000,360000,511000,650000,416000,339000
IncomeAdministrativExpenses,980000,911000,2782000,63000,878000,1021000,1399000,1180000,1966000,1237000,1798000,2243000,677000,1526000,1494000,1455000,1773000,1706000,1791000,1744000,1939000,2001000,2538000
IncomeGrossProfit,922000,1976000,2360000,7878000,2818000,1856000,1848000,2048000,1661000,1833000,2658000,6337000,411000,109000,-4000,-2461000,-2858000,2494000,3419000,1711000,204000,2530000,3357000
IncomeOtherOperatingIncome,-104000,123000,122000,128000,66000,33000,121000,112000,78000,31000,88000,293000,69000,560000,98000,64000,89000,53000,95000,38000,49000,35000,57000
IncomeOtherOperatingCosts,147000,18000,116000,1639000,101000,32000,328000,46000,290000,89000,370000,869000,948000,144000,101000,47000,452000,169000,170000,149000,1113000,12000,1422000
IncomeEBIT,671000,2081000,2366000,6367000,2783000,1857000,1641000,2114000,1449000,1775000,2376000,5761000,-468000,525000,-7000,-2444000,-3221000,2378000,3344000,1600000,-860000,2553000,1992000
IncomeFinanceIncome,44000,37000,39000,54000,29000,127000,-11000,175000,218000,46000,358000,-21000,162000,163000,320000,27000,336000,73000,30000,23000,14000,18000,2875000
IncomeFinanceCosts,265000,228000,168000,133000,399000,121000,309000,235000,70000,107000,124000,213000,235000,199000,188000,150000,192000,137000,465000,303000,1105000,489000,-4000
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,450000,1890000,2237000,6288000,2413000,1863000,1321000,2054000,1597000,1714000,2610000,5527000,-541000,489000,125000,-2567000,-3077000,2314000,2909000,1320000,-1951000,2082000,4871000
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,
