,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,4550000,6331000,6529000,8581000,7770000,8240000,9652000,15172000,8211000,9826000,10121000,15003000,12608000,12894000,13837000,16444000,15148000,13472000,15358000,18802000,14517000,14738000,12103000,13485000,12297000,12090000,15394000,19825000,14317000,20395000,19260000,25322000,17984000,21883000,21940000,25794000,19061000,21618000,22925000,30769000,24794000,23386000,27851000,34291000,26116000,24517000
IncomeRevenues_yy,,,,,70.77,30.15,47.83,76.81,5.68,19.25,4.86,-1.11,53.55,31.22,36.72,9.60,20.15,4.48,10.99,14.34,-4.17,9.40,-21.19,-28.28,-15.29,-17.97,27.19,47.02,16.43,68.69,25.11,27.73,25.61,7.30,13.91,1.86,5.99,-1.21,4.49,19.29,30.08,8.18,21.49,11.45,5.33,4.84
IncomeRevenues_sy,,,,,53.34,36.54,41.36,45.98,-0.60,-0.51,-13.29,-1.11,-7.62,24.26,15.86,12.88,16.48,8.99,20.57,31.73,10.78,11.50,7.07,4.42,15.79,-0.16,9.91,4.61,10.10,26.62,9.01,6.98,18.23,8.12,13.91,6.07,16.81,-1.21,4.49,17.49,4.33,8.28,4.27,1.74,-2.76,8.68
IncomeRevenues_qq,,39.14,3.13,31.43,-9.45,6.05,17.14,57.19,-45.88,19.67,3.00,48.24,-15.96,2.27,7.31,18.84,-7.88,-11.06,14.00,22.42,-22.79,1.52,-17.88,11.42,-8.81,-1.68,27.33,28.78,-27.78,42.45,-5.57,31.47,-28.98,21.68,0.26,17.57,-26.10,13.41,6.05,34.22,-19.42,-5.68,19.09,23.12,-23.84,-6.12
IncomeRevenues_sq,,16.76,2.73,31.57,-10.26,11.45,7.74,30.07,-36.92,7.72,-8.36,35.38,-15.36,12.63,-5.42,25.96,-13.19,6.44,4.12,28.34,-25.43,12.43,-7.30,17.28,-13.86,4.88,-11.84,24.07,-15.56,23.68,-4.91,21.64,-10.12,21.68,-9.91,30.44,-17.50,9.12,-5.69,19.41,-15.79,3.40,-3.20,23.12,-17.45,11.61
IncomeCostOfSales,3148000,2822000,4689000,4737000,5519000,5442000,7996000,9493000,7059000,8578000,8827000,11132000,10592000,10229000,11125000,10618000,11266000,10468000,11591000,14305000,11691000,13024000,10604000,12388000,11008000,10476000,13325000,15532000,12873000,18224000,16925000,21173000,17612000,19976000,19073000,22041000,18539000,19886000,21514000,26998000,22962000,20991000,24554000,29915000,24225000,21889000
IncomeCostOfSales_yy,,,,,75.32,92.84,70.53,100.40,27.90,57.63,10.39,17.27,50.05,19.25,26.03,-4.62,6.36,2.34,4.19,34.72,3.77,24.42,-8.52,-13.40,-5.84,-19.56,25.66,25.38,16.94,73.96,27.02,36.32,36.81,9.61,12.69,4.10,5.26,-0.45,12.80,22.49,23.86,5.56,14.13,10.80,5.50,4.28
IncomeCostOfSales_sy,,,,,39.21,69.47,69.50,28.48,-4.81,0.42,-11.50,-7.53,12.06,19.25,6.58,6.03,9.00,2.34,22.62,30.44,3.22,3.80,3.41,-3.00,10.85,1.17,-1.46,-2.72,6.22,-5.17,-6.56,-4.30,-6.78,9.56,2.20,10.21,10.36,-0.86,4.67,22.18,-1.68,9.22,-2.52,-6.60,-4.56,4.28
IncomeCostOfSales_qq,,-10.36,66.16,1.02,16.51,-1.40,46.93,18.72,-25.64,21.52,2.90,26.11,-4.85,-3.43,8.76,-4.56,6.10,-7.08,10.73,23.41,-18.27,11.40,-18.58,16.82,-11.14,-4.83,27.20,16.56,-17.12,41.57,-7.13,25.10,-16.82,13.42,-4.52,15.56,-15.89,7.27,8.19,25.49,-14.95,-8.58,16.97,21.83,-19.02,-9.64
IncomeCostOfSales_sq,,2.20,4.71,70.91,-6.98,0.66,6.26,18.72,-48.22,6.19,-13.41,22.16,-12.54,21.03,-1.01,35.08,-15.54,16.16,-2.12,20.40,-17.63,7.47,-3.52,6.05,-15.02,0.08,-1.14,3.36,-11.56,8.34,-8.06,23.16,-18.75,23.04,-8.38,22.81,-12.13,5.24,-2.34,27.63,-20.56,-0.74,-4.68,30.71,-14.52,-9.44
IncomeDistributionExpenses,70000,5000,31000,31000,4000,141000,-141000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,-94.29,2720.00,-554.84,-100.00,-100.00,-100.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,39.18,62.47,78.05,35.42,-5.45,-32.74,5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,-92.86,520.00,,-87.10,3425.00,-200.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,32.91,-15.35,,-22.15,38.26,-19.26,43.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,1087000,2561000,1139000,3110000,1767000,2294000,2148000,2161000,1727000,2032000,1897000,1871000,1910000,1939000,1712000,3183000,2227000,2099000,2444000,2447000,2830000,3468000,1881000,2995000,2676000,2353000,2045000,2458000,1960000,1994000,2008000,1908000,1785000,1828000,1819000,2066000,1881000,2045000,1676000,1819000,1912000,1952000,1949000,1982000,2036000,2244000
IncomeAdministrativExpenses_yy,,,,,62.56,-10.43,88.59,-30.51,-2.26,-11.42,-11.69,-13.42,10.60,-4.58,-9.75,70.12,16.60,8.25,42.76,-23.12,27.08,65.22,-23.04,22.39,-5.44,-32.15,8.72,-17.93,-26.76,-15.26,-1.81,-22.38,-8.93,-8.32,-9.41,8.28,5.38,11.87,-7.86,-11.96,1.65,-4.55,16.29,8.96,6.49,14.96
IncomeAdministrativExpenses_sy,,,,,45.76,43.64,88.59,18.46,4.56,12.99,-22.77,-13.42,-7.85,-4.58,11.14,-10.60,16.60,3.52,14.66,-14.66,-0.67,12.24,-2.83,14.80,-1.11,-1.44,7.92,-2.68,5.46,-3.84,-39.19,-21.00,-8.60,-7.26,15.83,6.49,9.10,6.04,-10.63,31.00,0.56,-2.78,-0.62,2.15,6.32,12.78
IncomeAdministrativExpenses_qq,,135.60,-55.53,173.05,-43.18,29.82,-6.36,0.61,-20.08,17.66,-6.64,-1.37,2.08,1.52,-11.71,85.92,-30.03,-5.75,16.44,0.12,15.65,22.54,-45.76,59.22,-10.65,-12.07,-13.09,20.20,-20.26,1.73,0.70,-4.98,-6.45,2.41,-0.49,13.58,-8.95,8.72,-18.04,8.53,5.11,2.09,-0.15,1.69,2.72,10.22
IncomeAdministrativExpenses_sq,,22.52,-10.69,90.49,-10.52,20.74,1.92,19.85,-27.72,17.66,-34.64,46.11,-24.62,3.07,-11.71,25.54,-5.45,3.58,-4.82,5.35,-4.64,2.03,-6.19,16.88,-0.50,4.30,-3.75,20.98,-18.88,-0.68,-16.68,41.74,-21.54,1.80,1.18,19.27,-12.98,2.99,-1.56,25.70,-11.86,3.08,-7.42,18.59,-8.68,2.18
IncomeGrossProfit,245000,943000,670000,703000,480000,363000,-351000,3522000,-575000,-784000,-603000,2000000,106000,726000,1000000,2643000,1655000,905000,1323000,2050000,-4000,-1754000,-382000,-1898000,-1387000,-739000,24000,1835000,-516000,177000,327000,2241000,-1413000,79000,1048000,1687000,-1359000,-313000,-265000,1952000,-80000,443000,1348000,2394000,-145000,384000
IncomeGrossProfit_yy,,,,,95.92,-61.51,-152.39,401.00,-219.79,-315.98,-71.79,-43.21,118.43,192.60,265.84,32.15,1461.32,24.66,32.30,-22.44,-100.24,-293.81,-128.87,-192.59,-34575.00,57.87,106.28,196.68,62.80,123.95,1262.50,22.13,-173.84,-55.37,220.49,-24.72,3.82,-496.20,-125.29,15.71,94.11,241.53,608.68,22.64,-81.25,-13.32
IncomeGrossProfit_sy,,,,,96.40,11.83,-78.69,61.13,-46.63,-91.96,-15.94,31.57,42.19,62.17,112.26,34.25,32.20,9.48,-11.82,15.83,-48.06,-13.80,-18.48,-4.47,7.86,-0.58,5.52,-9.92,40.00,7.99,18.44,12.48,9.55,-4.21,28.72,12.10,-25.90,-29.63,-12.76,14.62,25.37,26.49,23.82,11.53,14.63,15.73
IncomeGrossProfit_qq,,284.90,-28.95,4.93,-31.72,-24.38,-196.69,1103.42,-116.33,-36.35,23.09,431.67,-94.70,584.91,37.74,164.30,-37.38,-45.32,46.19,54.95,-100.20,-43750.00,78.22,-396.86,26.92,46.72,103.25,7545.83,-128.12,134.30,84.75,585.32,-163.05,105.59,1226.58,60.97,-180.56,76.97,15.34,836.60,-104.10,653.75,204.29,77.60,-106.06,364.83
IncomeGrossProfit_sq,,92.72,15.84,-31.78,-27.06,25.93,-18.05,0.51,-67.22,-36.35,-15.53,57.31,-8.21,-3.90,29.92,27.58,-30.46,-2.02,2.52,113.13,-77.66,11.96,-14.36,154.45,-50.60,31.46,-28.97,45.43,-19.04,1.58,8.35,-7.35,-0.37,25.44,-12.31,28.14,-41.00,17.58,-28.01,51.47,-27.52,12.59,-2.63,35.09,-27.63,14.79
IncomeOtherOperatingIncome,14000,-218000,-31000,,3000,25000,-635000,-128000,11000,87000,1000,8000,42000,,,486000,-74000,72000,-78000,114000,,423000,-75000,945000,-44000,70000,8000,-961000,6000,-89000,-140000,-1558000,136000,221000,33000,199000,124000,280000,127000,189000,320000,144000,231000,257000,471000,140000
IncomeOtherOperatingIncome_yy,,,,,-78.57,111.47,-1948.39,,266.67,248.00,100.16,106.25,281.82,-100.00,-100.00,5975.00,-276.19,,,-76.54,100.00,487.50,3.85,728.95,,-83.45,110.67,-201.69,113.64,-227.14,-1850.00,-62.12,2166.67,348.31,123.57,112.77,-8.82,26.70,284.85,-5.03,158.06,-48.57,81.89,35.98,47.19,-2.78
