,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,339000,612000,985000,857000,1069000,2850000,6068000,7189000,13834000,25050000,31543000,30713000,33648000,38506000,30550000,30580000,33768000,35467000,31187000,31630000,33478000,31579000,34896000,33196000,34533000,33784000,32531000,30311000,29647000,29918000,35597000,31500000,35155000,37550000,45843000,47529000,44948000,45480000,50533000,47247000,47285000,40474000,50605000,46833000,64767000,62201000,66618000,64701000,79388000,111208000,141370000
IncomeRevenues_yy,,,,,215.34,365.69,516.04,738.86,1194.11,778.95,419.83,327.22,143.23,53.72,-3.15,-0.43,0.36,-7.89,2.09,3.43,-0.86,-10.96,11.89,4.95,3.15,6.98,-6.78,-8.69,-14.15,-11.44,9.42,3.92,18.58,25.51,28.78,50.89,27.86,21.12,10.23,-0.59,5.20,-11.01,0.14,-0.88,36.97,53.68,31.64,38.15,22.57,78.79,112.21
IncomeRevenues_sy,,,,,41.07,31.83,36.52,23.70,23.80,25.98,10.96,21.63,7.02,1.02,2.46,-0.43,6.06,12.72,25.43,8.86,19.42,6.14,13.96,14.37,9.16,13.89,10.85,3.12,9.90,4.68,9.87,8.11,14.70,10.97,14.47,16.92,7.31,8.46,7.60,8.43,8.35,12.46,10.94,9.72,7.20,12.39,11.06,12.57,13.14,7.74,14.42
IncomeRevenues_qq,,80.53,60.95,-12.99,24.74,166.60,112.91,18.47,92.43,81.08,25.92,-2.63,9.56,14.44,-20.66,0.10,10.43,5.03,-12.07,1.42,5.84,-5.67,10.50,-4.87,4.03,-2.17,-3.71,-6.82,-2.19,0.91,18.98,-11.51,11.60,6.81,22.09,3.68,-5.43,1.18,11.11,-6.50,0.08,-14.40,25.03,-7.45,38.29,-3.96,7.10,-2.88,22.70,40.08,27.12
IncomeRevenues_sq,,10.40,6.18,1.26,17.81,-0.06,9.46,2.44,19.62,-6.52,1.27,4.59,5.45,-4.13,2.05,4.28,1.59,-2.03,7.83,0.15,5.94,-13.58,7.40,4.58,5.29,-7.22,5.74,-0.74,3.95,-14.07,12.16,2.66,10.72,-5.10,9.18,3.00,5.59,-7.96,12.18,-0.32,7.94,-6.38,7.48,0.24,5.31,-1.71,4.43,2.23,6.21,-1.39,4.50
IncomeCostOfSales,139000,176000,656000,492000,560000,2224000,4878000,6140000,12094000,20991000,27523000,27089000,27463000,32257000,27164000,26490000,28688000,30361000,26571000,25796000,28388000,26736000,30119000,27908000,29149000,28651000,27596000,25490000,25151000,25457000,29989000,26366000,29439000,31907000,39260000,40920000,38281000,37913000,42926000,39958000,40278000,32432000,42492000,38888000,54421000,50871000,55861000,52007000,65165000,97445000,125481000
IncomeCostOfSales_yy,,,,,302.88,1163.64,643.60,1147.97,2059.64,843.84,464.23,341.19,127.08,53.67,-1.30,-2.21,4.46,-5.88,-2.18,-2.62,-1.05,-11.94,13.35,8.19,2.68,7.16,-8.38,-8.66,-13.72,-11.15,8.67,3.44,17.05,25.34,30.91,55.20,30.03,18.82,9.34,-2.35,5.22,-14.46,-1.01,-2.68,35.11,56.85,31.46,33.74,19.74,91.55,124.63
IncomeCostOfSales_sy,,,,,61.01,33.34,32.00,21.96,8.78,29.67,6.63,20.64,6.09,-9.53,-1.30,25.16,6.15,12.54,35.08,4.99,11.30,4.68,-2.33,18.08,3.80,20.58,18.66,-5.50,-1.40,2.31,4.74,3.30,3.08,6.28,12.98,12.67,6.69,9.95,8.54,7.58,6.72,10.16,2.30,9.02,-5.88,24.50,6.83,22.45,24.04,7.06,23.18
IncomeCostOfSales_qq,,26.62,272.73,-25.00,13.82,297.14,119.33,25.87,96.97,73.57,31.12,-1.58,1.38,17.46,-15.79,-2.48,8.30,5.83,-12.48,-2.92,10.05,-5.82,12.65,-7.34,4.45,-1.71,-3.68,-7.63,-1.33,1.22,17.80,-12.08,11.66,8.38,23.05,4.23,-6.45,-0.96,13.22,-6.91,0.80,-19.48,31.02,-8.48,39.94,-6.52,9.81,-6.90,25.30,49.54,28.77
IncomeCostOfSales_sq,,8.67,1.31,-4.92,41.72,-15.96,13.31,0.49,13.00,2.14,-0.72,0.19,14.94,-16.41,-2.00,2.10,16.75,-13.60,21.37,-9.14,11.05,-12.17,5.62,6.01,1.96,-4.29,11.20,-2.30,7.06,-12.56,4.54,,8.28,-4.89,12.79,1.42,3.43,-9.14,12.36,-0.44,2.34,-8.21,9.19,-5.61,,6.31,4.96,4.18,1.47,-2.64,2.09
