,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,24433000,31990000,30429000,31472000,31757000,39747000,45310000,39084000,41324000,45276000,50662000,51172000,50891000,53105000,55619000,54264000,47846000,42888000,45443000,37313000,38031000,37262000,43433000,42837000,41017000,42515000,44505000,43666000,41008000,42633000,44215000,43260000,40143000,45821000,44940000,45661000,41173000,41227000,44433000,44025000,46187000,45017000,52571000,48236000,43844000,46111000,50132000,46987000,41653000,44203000
IncomeRevenues_yy,,,,,29.98,24.25,48.90,24.19,30.13,13.91,11.81,30.93,23.15,17.29,9.78,6.04,-5.98,-19.24,-18.30,-31.24,-20.51,-13.12,-4.42,14.80,7.85,14.10,2.47,1.94,-0.02,0.28,-0.65,-0.93,-2.11,7.48,1.64,5.55,2.57,-10.03,-1.13,-3.58,12.18,9.19,18.32,9.57,,,,,-5.00,-4.14
IncomeRevenues_sy,,,,,25.12,20.93,19.95,24.19,23.53,12.24,8.08,30.93,23.15,17.29,9.78,6.04,28.31,0.58,4.76,2.89,-7.75,-4.00,-4.42,7.03,11.86,8.45,0.04,18.10,1.90,21.80,4.68,2.74,4.84,3.65,1.92,11.10,6.83,8.71,6.88,7.02,20.17,10.40,15.42,12.18,,,,,2.07,1.71
IncomeRevenues_qq,,30.93,-4.88,3.43,0.91,25.16,14.00,-13.74,5.73,9.56,11.90,1.01,-0.55,4.35,4.73,-2.44,-11.83,-10.36,5.96,-17.89,1.92,-2.02,16.56,-1.37,-4.25,3.65,4.68,-1.89,-6.09,3.96,3.71,-2.16,-7.21,14.14,-1.92,1.60,-9.83,0.13,7.78,-0.92,4.91,-2.53,16.78,-8.25,,5.17,8.72,-6.27,-11.35,6.12
IncomeRevenues_sq,,30.93,7.58,3.43,-5.76,27.10,18.74,-21.34,2.21,28.09,26.73,-25.67,-3.42,41.95,49.57,-50.48,11.10,23.51,5.96,-18.84,-4.51,17.03,9.30,-22.73,2.10,22.88,12.36,-9.95,-3.37,29.99,4.92,-19.31,-6.08,18.70,5.28,-6.17,-8.76,31.28,7.51,-12.48,4.35,8.46,16.32,-11.66,,16.24,8.89,-11.72,-8.80,21.34
IncomeCostOfSales,17215000,23139000,21077000,23511000,21711000,24678000,28491000,26325000,27152000,31179000,34714000,55646000,37102000,47950000,47003000,98063000,47087000,47149000,42960000,54073000,39877000,39017000,40991000,45383000,38704000,41264000,40841000,42333000,37308000,39048000,38151000,42979000,35645000,39199000,38436000,38054000,35307000,35106000,36221000,35391000,39960000,39510000,44501000,42476000,39048000,40435000,42398000,41671000,36851000,38354000
IncomeCostOfSales_yy,,,,,26.12,6.65,35.18,11.97,25.06,26.34,21.84,111.38,36.65,53.79,35.40,76.23,26.91,-1.67,-8.60,-44.86,-15.31,-17.25,-4.58,-16.07,-2.94,5.76,-0.37,-6.72,-3.61,-5.37,-6.59,1.53,-4.46,0.39,0.75,-11.46,-0.95,-10.44,-5.76,-7.00,13.18,12.54,22.86,20.02,,,,,-5.63,-5.15
IncomeCostOfSales_sy,,,,,26.12,6.65,18.62,11.97,17.29,16.76,15.62,41.86,36.65,44.89,35.40,76.23,26.91,-1.67,4.31,4.64,-9.11,1.06,-4.58,-3.97,10.06,1.77,-0.94,10.83,-0.88,17.81,-0.46,5.21,4.60,0.46,-0.98,7.68,5.42,5.49,4.90,-4.56,9.33,9.81,12.33,12.59,,,,,5.22,8.82
IncomeCostOfSales_qq,,34.41,-8.91,11.55,-7.66,13.67,15.45,-7.60,3.14,14.83,11.34,60.30,-33.32,29.24,-1.97,108.63,-51.98,0.13,-8.88,25.87,-26.25,-2.16,5.06,10.71,-14.72,6.61,-1.03,3.65,-11.87,4.66,-2.30,12.65,-17.06,9.97,-1.95,-0.99,-7.22,-0.57,3.18,-2.29,12.91,-1.13,12.63,-4.55,,3.55,4.85,-1.71,-11.57,4.08
IncomeCostOfSales_sq,,21.54,5.88,11.55,-7.66,12.44,16.80,-12.02,0.62,14.83,26.08,-20.42,-7.59,21.45,24.02,-24.61,2.01,0.13,6.60,-9.39,-20.78,7.90,5.06,-38.52,-11.01,6.61,17.61,-1.59,-7.26,13.32,1.87,-1.46,-9.02,12.15,1.41,-2.10,-6.66,7.05,5.39,-9.66,10.32,5.71,13.54,-4.55,,9.11,5.63,-7.25,-8.70,11.04
