,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,3614264000,3615074000,3658146000,3597730000,3444564000,3558354000,3578215000,3631880000,3572134000,3697565000,3784790000,3836039000,3868858000,3997878000,4082625000,4055879000,4107727000,4069513000,4063000000,4008529000,3989741000,4042858000,4110398000,4286373000,4307040000,4436873000,4373757000,4267330000,4317000000,4669000000,4798000000,4841000000,5072000000,5275000000,5502000000,5505000000,5458000000,5596000000
IncomeCostOfSales,1693394000,2322284000,2753117000,2667486000,2474264000,2646648000,2782792000,2480358000,2400828000,2617469000,2605892000,2596933000,2776882000,2737753000,2913390000,3790706000,2730697000,2728708000,2750893000,2950926000,2664166000,2753921000,2993835000,3129786000,3045858000,2960503000,3073304000,2777335000,3066000000,3099000000,3606000000,2961000000,3710000000,3504000000,4038000000,3689000000,3626000000,3719000000
IncomeDistributionExpenses,424981000,439984000,436243000,538397000,442302000,454208000,481131000,533614000,470515000,482526000,491465000,517480000,500734000,498143000,497778000,503696000,480588000,492072000,493818000,549460000,507624000,528740000,535589000,575071000,553106000,577702000,607643000,637549000,617000000,635000000,663000000,698000000,694000000,718000000,730000000,759000000,751000000,768000000
IncomeAdministrativExpenses,442967000,405472000,424166000,536276000,363250000,404434000,336106000,401994000,328961000,304235000,306775000,443926000,365110000,321597000,312641000,440953000,326284000,315030000,324493000,440673000,334083000,368192000,355227000,470197000,408016000,414046000,371942000,463996000,630000000,648000000,649000000,996000000,865000000,1171000000,1608000000,1720000000,1615000000,1727000000
IncomeGrossProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherOperatingIncome,75758000,13163000,35582000,135563000,25894000,53355000,1883000,8165000,204933000,88308000,97143000,95097000,75446000,88477000,103793000,320312000,204918000,75675000,99285000,105343000,101850000,143017000,140134000,152632000,166740000,179251000,231148000,225861000,204000000,208000000,234000000,690000000,279000000,251000000,321000000,327000000,495000000,305000000
IncomeOtherOperatingCosts,136482000,98858000,75153000,283089000,71125000,63067000,45002000,122192000,131304000,123084000,153828000,351750000,124399000,123787000,120519000,250033000,196959000,142695000,163344000,202601000,176690000,195901000,229185000,453249000,385564000,315292000,292609000,345535000,734000000,719000000,621000000,956000000,753000000,1031000000,1327000000,1548000000,1866000000,1565000000
IncomeEBIT,1433347000,1437801000,1080003000,650600000,1029167000,470928000,877950000,710040000,962152000,940212000,429129000,625234000,1034672000,1100884000,1405288000,539354000,1066284000,1079096000,1356831000,678547000,1011681000,1224040000,1113868000,343629000,1154022000,464964000,660860000,660154000,716000000,334000000,910000000,1031000000,1259000000,898000000,1739000000,1614000000,1399000000,1747000000
IncomeFinanceIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeFinanceCosts,0,0,0,35940000,47019000,11635000,0,0,296000,5480000,32779000,10597000,5758000,7047000,15145000,13540000,14400000,23426000,10234000,13604000,32198000,27615000,68905000,,,,,,,,,,,,,,,
IncomeOtherIncome,,,,,,,,,0,0,0,0,2457000,-601000,10000,-462000,86000,159000,-650000,-1120000,183000,-215000,-87000,4119000,-1000000,-1000000,-1000000,-1000000,10000000,7000000,1000000,1433347000,1437801000,1080003000,614660000,982148000,459293000,877950000
IncomeNetGrossProfit,710040000,961856000,934732000,396350000,614637000,1028914000,1093837000,1390143000,525814000,1054341000,1055069000,1346607000,664481000,979569000,1196584000,1044313000,471227000,1154205000,464749000,660773000,664273000,716000000,333000000,909000000,1030000000,1259000000,897000000,1749000000,1621000000,1399000000,1748000000,,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433347000,1437801000,1080003000,614660000,982148000,459293000,877950000
IncomeBeforeTaxProfit,710040000,961856000,934732000,396350000,614637000,1028914000,1093837000,1390143000,525814000,1054341000,1055069000,1346607000,664481000,979569000,1196584000,1044313000,471227000,1154205000,464749000,660773000,664273000,716000000,333000000,909000000,1030000000,1259000000,897000000,1749000000,1621000000,1399000000,1748000000,,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144646000,1164187000,892000000,562078000,807412000,362422000,704330000
IncomeNetProfit,565065000,791235000,761169000,304611000,486932000,822629000,893820000,1123809000,413568000,837117000,838345000,1091235000,528258000,760443000,959918000,843471000,403795000,941340000,380187000,510866000,510607000,559000000,231000000,718000000,866000000,1007000000,698000000,1298000000,1230000000,1043000000,1315000000,1144648000,1164201000,891998000,562098000,807415000,362424000,704330000
IncomeShareholderNetProfit,565062000,791799000,762164000,304534000,486927000,822291000,894642000,1122738000,415510000,837908000,837186000,1090196000,528206000,760446000,959905000,843483000,403897000,941332000,380261000,510902000,510505000,492000000,168000000,649000000,626000000,940000000,498000000,708000000,764000000,640000000,785000000,,,,,,,
BalanceNoncurrentAssets,26647950000,26933294000,26226465000,25328683000,24081167000,24319678000,23163553000,22412005000,23903768000,24270948000,24402026000,24002305000,24362324000,23512971000,23540904000,23454444000,24990288000,26296722000,27339956000,22254561000,23332603000,23742072000,24283642000,25664430000,26166192000,25998703000,25387137000,24344000000,24602000000,24492150000,24858000000,25674000000,27623000000,36383000000,35442000000,37194000000,16071000000,15703000000
BalanceIntangibleAssets,84873000,99321000,94172000,104700000,111830000,110826000,113820000,117448000,112270000,131643000,141844000,174754000,160858000,163277000,165933000,191712000,186062000,209356000,241977000,317245000,303081000,501788000,885611000,1637736000,1543504000,1544321000,1559829000,2925000000,2901000000,2901148000,2883000000,3046000000,2998000000,5241000000,5268000000,7282000000,7173000000,7103000000
BalanceProperty,1364542000,1344267000,1331173000,1390363000,1415556000,1405949000,1395788000,1431425000,1602361000,1562729000,1545339000,1589603000,1570109000,1554412000,1513768000,1556721000,2571711000,2574239000,2585315000,2402051000,2386848000,2380296000,2441544000,3237671000,3284283000,3387052000,2729801000,2472000000,2504000000,2552639000,3090000000,3205000000,3179000000,4522000000,4494000000,5593000000,5526000000,4993000000
BalanceNoncurrentReceivables,24707440000,25006541000,24237297000,23327568000,21982409000,22231720000,21101281000,20305758000,21604789000,21994138000,22144223000,21659505000,22029401000,21203014000,21297397000,21117559000,21622916000,22912568000,23890485000,18859902000,19914955000,20099588000,20226891000,19983689000,20435452000,20077667000,20085459000,17370000000,17512000000,17281793000,17093000000,17346000000,19272000000,23371000000,22477000000,21237000000,,
BalanceNoncurrInvestments,,,,,,,,,,,0,,0,0,692000,604000,37548000,48595000,68141000,68150000,67501000,66311000,66482000,66308000,71352000,54000000,54000000,53094000,52000000,37000000,37000000,190000000,192000000,20000000,20000000,17000000,491095000,483165000
BalanceOtherNoncurrentAssets,563823000,506052000,571372000,571183000,552664000,557374000,584348000,582438000,570620000,578443000,601956000,592268000,563806000,588452000,608907000,599955000,584631000,626768000,659578000,692250000,662095000,739023000,836471000,923355000,940696000,1523000000,1631000000,1703476000,1740000000,2040000000,2137000000,3059000000,3011000000,3062000000,3352000000,3590000000,32186368000,32017164000
BalanceCurrentAssets,35020683000,27847526000,28496333000,23255983000,26076867000,28258552000,29736796000,33030330000,29832794000,28126977000,30966543000,30754633000,33259762000,32455116000,33770144000,36301775000,34523093000,40532743000,41711978000,40079709000,43433554000,41908331000,45575790000,40081031000,42113720000,81053000000,83681000000,88453077000,88056000000,99622000000,99061000000,258879000000,264803000000,280211000000,302128000000,306108000000,,
BalanceInventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7980839000,7458600000
BalanceCurrentReceivables,7316901000,6222456000,9590471000,3029643000,4727909000,6119984000,5985111000,8794516000,9643936000,8275667000,10850349000,10557506000,11516328000,11790686000,14301065000,14791971000,14205171000,17238347000,17695787000,16605799000,19928857000,17907543000,19948887000,16139014000,15760442000,46664000000,49580000000,51638273000,50391000000,59998000000,61570000000,193737000000,196935000000,198600000000,177746000000,183483000000,22650467000,23035377000
BalanceCurrentInvestments,26319801000,20241476000,17672941000,18493494000,19875683000,20741334000,22340566000,22834631000,18900140000,18666522000,19100919000,19105962000,20737284000,19552902000,18181017000,20370064000,19079772000,21824288000,22481652000,22060696000,22027142000,22081806000,23505079000,21812425000,23682702000,28533000000,28954000000,31879625000,31105000000,33606000000,31249000000,50239000000,55484000000,71113000000,110532000000,108189000000,388098000,388128000
