,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,13921000,22381000,20812000,34562000,27104000,30590000,37995000,55940000,56888000,54913000,68081000,75064000,58763000,45155000,26923000,31897000,27302000,21545000,34939000,37586000,28033000,23640000,24269000,35263000,27269000,30718000,30904000,42892000,30560000,32203000,33641000,49113000,35055000,41597000,36978000,61555000,43778000,51662000,42979000,75277000,52610000,57359000,46508000,75296000,53948000,61518000,54194000,77781000,48428000,61056000
IncomeCostOfSales,7269000,8651000,9876000,12746000,12729000,10895000,16488000,21957000,28927000,21291000,32691000,33027000,37326000,20436000,13285000,16612000,16297000,8782000,19137000,16315000,16207000,10644000,12705000,15645000,14153000,13350000,15984000,19076000,15852000,11894000,15464000,20625000,15266000,15117000,14977000,24445000,20468000,21793000,21340000,32904000,25540000,23899000,24135000,31876000,28072000,26312000,25608000,30438000,22041000,23862000
IncomeDistributionExpenses,5424000,6884000,7229000,9859000,10120000,14814000,16771000,21601000,22131000,24037000,28044000,34086000,31988000,27803000,14408000,16331000,12102000,11320000,11694000,12876000,12221000,12094000,11847000,12799000,11932000,12496000,12354000,13991000,14054000,14789000,15393000,16927000,16450000,17629000,16805000,19726000,18481000,19788000,18339000,23436000,20647000,24016000,23383000,27537000,25404000,26749000,25942000,29446000,26136000,27708000
IncomeAdministrativExpenses,1346000,1654000,1955000,2370000,3085000,3008000,2067000,3631000,3769000,5200000,4026000,5604000,4690000,3256000,1881000,2954000,1783000,1755000,1668000,1929000,1964000,2424000,2399000,2476000,2154000,2283000,2545000,2421000,1261000,1152000,1239000,1419000,1229000,1566000,1497000,1709000,1698000,582000,2744000,2439000,2433000,1599000,1891000,2501000,1769000,2056000,1809000,1315000,1999000,2390000
IncomeGrossProfit,-118000,5192000,1752000,9587000,1170000,1873000,2669000,8751000,2061000,4385000,3320000,2347000,-15241000,-6340000,-2651000,-4000000,-2880000,-312000,2440000,6466000,-2359000,-1522000,-2682000,4343000,-970000,2589000,21000,7404000,-607000,4368000,1545000,10142000,2110000,7285000,3699000,15675000,3131000,9499000,556000,16498000,3990000,7845000,-2901000,13382000,-1297000,6401000,835000,16582000,-1748000,7096000
IncomeOtherOperatingIncome,38000,359000,88000,572000,382000,581000,250000,896000,466000,112000,209000,692000,342000,863000,1026000,1329000,580000,606000,325000,888000,82000,1160000,649000,1623000,82000,1136000,307000,1503000,558000,502000,1255000,1226000,1364000,77000,193000,834000,337000,1862000,62000,463000,361000,160000,473000,307000,210000,182000,323000,921000,864000,790000
IncomeOtherOperatingCosts,57000,223000,135000,1892000,131000,190000,98000,1003000,254000,146000,141000,29576000,796000,35641000,681000,19028000,190000,948000,2732000,2694000,256000,2259000,1232000,2492000,364000,1563000,621000,1058000,455000,809000,756000,-386000,94000,1025000,-158000,576000,57000,191000,117000,757000,53000,604000,71000,1308000,146000,99000,245000,2490000,129000,241000
IncomeEBIT,-137000,5328000,1705000,8267000,1421000,2264000,2821000,8644000,2273000,4351000,3388000,-26537000,-15695000,-41118000,-2306000,-21699000,-2490000,-654000,33000,4660000,-2533000,-2621000,-3265000,3474000,-1252000,2162000,-293000,7849000,-504000,4061000,2044000,11754000,3380000,6337000,4050000,15933000,3411000,11170000,501000,16204000,4298000,7401000,-2499000,12381000,-1233000,6484000,913000,15013000,-1013000,7645000
IncomeFinanceIncome,,84000,231000,447000,652000,1478000,377000,1335000,4600000,-4600000,1208000,774000,70917000,2524000,93000,3031000,-491000,1376000,-149000,864000,973000,319000,370000,-903000,1059000,252000,387000,732000,382000,432000,1210000,67000,77000,120000,1279000,1406000,401000,673000,-443000,77000,94000,345000,538000,292000,242000,344000,656000,462000,-820000,2256000
IncomeFinanceCosts,522000,704000,632000,12421000,812000,3404000,709000,4063000,-121000,308000,-10890000,12909000,1069000,1880000,-1466000,699000,-271000,1461000,1395000,5000,6000,7000,7000,329000,-223000,1537000,654000,375000,-372000,32000,182000,69000,584000,-20000,1460000,8000,2000,,0,0,0,,5399000,0,-1000,0,0,0,,-25880000
