,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,118882000,130575000,81759000,140795000,183911000,368934000,156030000,287715000,399135000,390225000,146670000,189554000,160877000,273051000,64346000,148572000,168720000,370523000,212223000,333396000
IncomeRevenues_yy,,,,,54.70,182.55,90.84,104.35,117.03,5.77,-6.00,-34.12,-59.69,-30.03,-56.13,-21.62,4.88,35.70,229.82,124.40
IncomeRevenues_sy,,,,,16.92,7.31,8.46,7.60,8.43,8.35,12.46,10.94,9.72,7.20,12.39,11.06,12.57,13.14,7.74,14.42
IncomeRevenues_qq,,9.84,-37.39,72.21,30.62,100.60,-57.71,84.40,38.73,-2.23,-62.41,29.24,-15.13,69.73,-76.43,130.90,13.56,119.61,-42.72,57.10
IncomeRevenues_sq,,10.72,-5.10,9.18,3.00,5.59,-7.96,12.18,-0.32,7.94,-6.38,7.48,0.24,5.31,-1.71,4.43,2.23,6.21,-1.39,4.50
IncomeCostOfSales,110223000,118881000,75582000,129853000,171370000,350226000,145202000,278842000,367554000,373747000,137085000,181624000,152692000,254521000,61671000,148856000,163984000,364940000,209120000,326502000
IncomeCostOfSales_yy,,,,,55.48,194.60,92.11,114.74,114.48,6.72,-5.59,-34.86,-58.46,-31.90,-55.01,-18.04,7.40,43.38,239.09,119.34
IncomeCostOfSales_sy,,,,,12.67,6.69,9.95,8.54,7.58,6.72,10.16,2.30,9.02,-5.88,24.50,6.83,22.45,24.04,7.06,23.18
IncomeCostOfSales_qq,,7.85,-36.42,71.80,31.97,104.37,-58.54,92.04,31.81,1.68,-63.32,32.49,-15.93,66.69,-75.77,141.37,10.16,122.55,-42.70,56.13
IncomeCostOfSales_sq,,8.28,-4.89,12.79,1.42,3.43,-9.14,12.36,-0.44,2.34,-8.21,9.19,-5.61,,6.31,4.96,4.18,1.47,-2.64,2.09
IncomeDistributionExpenses,395000,456000,527000,506000,589000,564000,651000,1020000,1423000,556000,266000,259000,234000,202000,103000,125000,261000,46000,62000,28000
IncomeDistributionExpenses_yy,,,,,49.11,23.68,23.53,101.58,141.60,-1.42,-59.14,-74.61,-83.56,-63.67,-61.28,-51.74,11.54,-77.23,-39.81,-77.60
IncomeDistributionExpenses_sy,,,,,-10.13,-7.39,4.88,24.75,5.43,12.92,5.04,-16.92,3.84,9.33,-2.35,19.68,22.84,10.30,-5.88,
IncomeDistributionExpenses_qq,,15.44,15.57,-3.98,16.40,-4.24,15.43,56.68,39.51,-60.93,-52.16,-2.63,-9.65,-13.68,-49.01,21.36,108.80,-82.38,34.78,-54.84
IncomeDistributionExpenses_sq,,3.98,0.51,0.14,6.47,-4.24,-5.90,41.84,-5.45,6.11,-7.23,-0.34,-7.29,2.06,1.11,14.04,-8.39,1.46,-2.07,18.18
IncomeAdministrativExpenses,4044000,2327000,3628000,3651000,3745000,2850000,5445000,3661000,5219000,6669000,6197000,6420000,5683000,7586000,6341000,6114000,6579000,7159000,7099000,7734000
IncomeAdministrativExpenses_yy,,,,,-7.39,22.48,50.08,0.27,39.36,134.00,13.81,75.36,8.89,13.75,2.32,-4.77,15.77,-5.63,11.95,26.50
IncomeAdministrativExpenses_sy,,,,,2.44,0.98,3.94,5.84,0.87,12.04,11.39,18.61,9.22,13.75,2.52,8.10,2.78,-5.63,10.40,6.14
IncomeAdministrativExpenses_qq,,-42.46,55.91,0.63,2.57,-23.90,91.05,-32.76,42.56,27.78,-7.08,3.60,-11.48,33.49,-16.41,-3.58,7.61,8.82,-0.84,8.94
IncomeAdministrativExpenses_sq,,15.24,-12.64,7.93,0.82,13.01,-15.38,2.15,6.45,15.81,-7.08,3.60,0.98,14.29,-13.90,10.30,-3.22,12.75,-17.22,9.46
IncomeGrossProfit,4220000,8911000,2022000,6785000,8207000,15294000,4732000,4192000,24939000,9253000,3122000,1251000,2268000,10742000,-3769000,-6523000,-2104000,-1622000,-4058000,-868000
IncomeGrossProfit_yy,,,,,94.48,71.63,134.03,-38.22,203.87,-39.50,-34.02,-70.16,-90.91,16.09,-220.72,-621.42,-192.77,-115.10,-7.67,86.69
IncomeGrossProfit_sy,,,,,29.68,42.25,36.97,46.18,9.65,-15.76,-29.56,-13.08,-9.79,5.09,3.05,-5.43,5.66,-11.86,-8.32,19.41
IncomeGrossProfit_qq,,111.16,-77.31,235.56,20.96,86.35,-69.06,-11.41,494.92,-62.90,-66.26,-59.93,81.29,373.63,-135.09,-73.07,67.74,22.91,-150.18,78.61
IncomeGrossProfit_sq,,-9.35,-5.56,12.14,20.96,3.02,3.32,0.72,1.82,-22.23,-5.48,-8.16,-6.93,5.79,13.53,-25.14,31.12,-28.36,12.68,3.02
IncomeOtherOperatingIncome,79000,1000,255000,575000,481000,-232000,274000,376000,263000,307000,682000,594000,294000,-384000,345000,421000,221000,223000,397000,69000
IncomeOtherOperatingIncome_yy,,,,,508.86,-23300.00,7.45,-34.61,-45.32,232.33,148.91,57.98,11.79,-225.08,-49.41,-29.12,-24.83,158.07,15.07,-83.61
IncomeOtherOperatingIncome_sy,,,,,-20.08,-14.17,-18.78,-24.76,31.06,1.88,9.17,23.76,-4.70,23.89,-7.29,5.68,34.69,16.38,17.06,17.71
IncomeOtherOperatingIncome_qq,,-98.73,25400.00,125.49,-16.35,-148.23,218.10,37.23,-30.05,16.73,122.15,-12.90,-50.51,-230.61,189.84,22.03,-47.51,0.90,78.03,-82.62
IncomeOtherOperatingIncome_sq,,25.67,-23.98,-0.62,-15.66,15.74,-29.68,-1.84,-27.50,52.14,-5.62,-1.74,4.00,38.33,-35.95,14.42,10.94,44.64,-26.84,-7.14
IncomeOtherOperatingCosts,95000,115000,180000,745000,140000,-325000,105000,225000,469000,280000,149000,1000000,240000,-651000,68000,112000,108000,212000,40000,247000
IncomeOtherOperatingCosts_yy,,,,,47.37,-382.61,-41.67,-69.80,235.00,186.15,41.90,344.44,-48.83,-332.50,-54.36,-88.80,-55.00,132.57,-41.18,120.54
IncomeOtherOperatingCosts_sy,,,,,6.16,-1.84,-37.15,-16.62,-0.94,-9.79,13.86,14.00,-20.51,-10.23,-8.68,-25.34,-8.69,36.41,-1.23,73.20
IncomeOtherOperatingCosts_qq,,21.05,56.52,313.89,-81.21,-332.14,132.31,114.29,108.44,-40.30,-46.79,571.14,-76.00,-371.25,110.45,64.71,-3.57,96.30,-81.13,517.50
IncomeOtherOperatingCosts_sq,,217.00,-59.72,11.60,-19.17,124.20,-72.53,20.27,-18.58,216.38,-63.22,8.33,-28.86,97.78,-41.67,16.04,-13.80,83.08,-55.93,59.87
IncomeEBIT,4204000,8797000,2097000,6615000,8548000,15387000,4901000,4343000,24733000,9280000,3655000,845000,2322000,11009000,-3492000,-6214000,-1991000,-1611000,-3701000,-1046000
IncomeEBIT_yy,,,,,103.33,74.91,133.71,-34.35,189.34,-39.69,-25.42,-80.54,-90.61,18.63,-195.54,-835.38,-185.75,-114.63,-5.99,83.17
IncomeEBIT_sy,,,,,35.89,26.31,33.95,13.31,8.65,-8.92,-22.11,-7.34,-5.67,14.00,9.49,-26.94,4.92,-19.90,-3.94,23.19
IncomeEBIT_qq,,109.25,-76.16,215.45,29.22,80.01,-68.15,-11.39,469.49,-62.48,-60.61,-76.88,174.79,374.12,-131.72,-77.95,67.96,19.09,-129.73,71.74
IncomeEBIT_sq,,-6.95,-24.68,26.60,13.44,-33.68,5.71,8.34,-0.72,-10.97,-1.58,2.32,-4.89,12.88,0.74,-19.68,20.68,-27.08,24.58,-2.22
IncomeFinanceIncome,-90000,383000,434000,365000,523000,1125000,1314000,-241000,245000,616000,1341000,343000,837000,770000,1286000,818000,469000,1072000,697000,1573000
IncomeFinanceIncome_yy,,,,,681.11,193.73,202.76,-166.03,-53.15,-45.24,2.05,242.32,241.63,25.00,-4.10,138.48,-43.97,39.22,-45.80,92.30
IncomeFinanceIncome_sy,,,,,40.74,27.80,-1.92,-43.50,-34.72,-36.41,-31.40,29.97,9.80,-22.72,-4.10,-9.52,17.45,37.14,-12.90,34.13
IncomeFinanceIncome_qq,,525.56,13.32,-15.90,43.29,115.11,16.80,-118.34,201.66,151.43,117.69,-74.42,144.02,-8.00,67.01,-36.39,-42.67,128.57,-34.98,125.68
IncomeFinanceIncome_sq,,19.65,,-1.25,-6.62,117.92,-15.70,-27.87,0.36,58.33,-13.64,8.85,-35.29,12.90,22.42,-6.65,-4.60,31.18,27.76,73.91
