,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,35827000,34444000,38995000,45609000,30664000,33674000,37630000,56031000,38241000,38154000,72690000,79337000,69612000,67287000,72999000,73630000,62169000,61456000,67510000,79195000,62035000,65384000,65055000,77614000,62692000,70286000,70981000,79918000,70915000,80885000,81576000,87177000,82851000,92254000,85818000,101037000,85571000,99278000,95285000
IncomeRevenues_yy,,,,,-14.41,-2.24,-3.50,22.85,24.71,13.30,93.17,41.59,82.03,76.36,0.43,-7.19,-10.69,-8.67,-7.52,7.56,-0.22,6.39,-3.64,-2.00,1.06,7.50,9.11,2.97,13.12,15.08,14.93,9.08,16.83,14.06,5.20,15.90,3.28,7.61,11.03
IncomeRevenues_sy,,,,,-9.53,-2.84,-3.50,17.77,15.21,21.65,10.32,11.86,13.64,7.99,4.76,-7.34,-5.72,-9.79,-4.06,-3.12,0.29,7.52,-5.84,-3.02,-1.30,1.99,4.55,2.46,-4.82,2.73,3.65,0.15,10.97,10.84,8.17,8.92,6.62,7.89,7.27
IncomeRevenues_qq,,-3.86,13.21,16.96,-32.77,9.82,11.75,48.90,-31.75,-0.23,90.52,9.14,-12.26,-3.34,8.49,0.86,-15.57,-1.15,9.85,17.31,-21.67,5.40,-0.50,19.31,-19.23,12.11,0.99,12.59,-11.26,14.06,0.85,6.87,-4.96,11.35,-6.98,17.73,-15.31,16.02,-4.02
IncomeRevenues_sq,,-20.79,32.42,16.96,-16.15,-18.31,31.46,15.03,-19.95,-12.09,45.80,9.19,-15.94,-13.88,16.16,3.14,-16.12,-9.82,32.26,5.54,-20.16,0.16,20.59,2.31,-20.64,-4.62,19.87,6.17,-23.60,2.58,17.34,4.68,-14.71,2.76,6.55,9.34,-17.77,13.99,5.02
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,4510000,6154000,6829000,8944000,3702000,7360000,5104000,7396000,3296000,6818000,13742000,18038000,12754000,12128000,11520000,12668000,11024000,12499000,12706000,15751000,10779000,14572000,13396000,16395000,11563000,14106000,13591000,14924000,11137000,15809000,15377000,19388000,15589000,20034000,16742000,22641000,16834000,22871000,21281000
IncomeGrossProfit_yy,,,,,-17.92,19.60,-25.26,-17.31,-10.97,-7.36,169.24,143.89,286.95,77.88,-16.17,-29.77,-13.56,3.06,10.30,24.34,-2.23,16.58,5.43,4.09,7.28,-3.19,1.45,-8.98,-3.69,12.07,13.15,29.92,39.97,26.73,8.88,16.77,7.99,14.16,27.11
IncomeGrossProfit_sy,,,,,-21.29,-92.64,-2.00,-0.51,32.21,14.20,11.16,39.44,72.26,22.06,-6.73,-8.10,-24.24,-3.68,-2.28,-2.86,-1.52,11.10,-10.14,-13.82,-16.55,12.68,15.62,-8.62,-29.38,12.07,-4.92,-1.87,45.00,-2.40,4.53,14.01,7.99,31.71,34.19
