,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
IncomeRevenues,2900000,3600000,8277000,9548000,15117000,17026000,21780000,13576000,12376000,9711000,14661000,16299000,26620000,35460000,50741000,63918000,55339000,49829000,46583000,31307000,25358000,29348000,21431000,13864000,14728000,14657000,15919000,15214000,15306000,14559000,12845000,11994000,8928000,77288000,37044000,41368000,29332000,26296000,16150000,27228000,21100000,15817000,3810000,8086000,9751000,4248000,6715000,-834000,6629000,6019000,6341000
IncomeCostOfSales,2658000,3334000,7686000,8267000,13398000,15134000,19794000,13348000,12012000,9753000,13824000,15676000,24213000,30806000,40058000,57953000,48341000,40636000,38104000,24258000,24107000,28473000,21350000,15003000,13715000,13173000,13407000,14945000,13122000,12235000,12100000,12011000,9423000,28041000,30159000,19805000,19891000,11499000,11444000,12933000,11554000,3719000,7567000,7037000,5938000,6685000,6102000,7675000,6424000,7685000,7048000
IncomeDistributionExpenses,200000,280000,221000,145000,146000,142000,131000,164000,166000,168000,181000,192000,332000,1920000,1692000,1518000,1418000,1337000,1775000,1882000,1275000,1183000,547000,393000,351000,469000,271000,393000,331000,380000,300000,267000,137000,759000,406000,517000,513000,237000,324000,394000,558000,59000,332000,235000,297000,259000,276000,319000,284000,294000,668000
IncomeAdministrativExpenses,542000,586000,666000,674000,655000,785000,667000,780000,604000,611000,600000,1029000,2014000,2774000,5054000,5142000,3739000,3774000,3649000,4156000,3161000,3304000,2858000,4006000,1592000,1732000,1208000,736000,957000,921000,695000,744000,638000,3359000,2105000,1956000,1623000,843000,1488000,1116000,1709000,811000,1233000,1086000,1035000,518000,586000,1042000,1065000,657000,458000
IncomeGrossProfit,-500000,-600000,-296000,462000,918000,965000,1188000,-716000,-406000,-821000,56000,-598000,61000,-40000,3937000,-695000,1841000,4082000,3055000,1011000,-3185000,-3612000,-3324000,-5538000,-930000,-717000,1033000,-860000,896000,1023000,-250000,-1028000,-1270000,45129000,4374000,19090000,7305000,13717000,2894000,12785000,7279000,11228000,-5322000,-272000,2481000,-3214000,-249000,-9870000,-1144000,-2617000,-1833000
IncomeOtherOperatingIncome,,1000,154000,959000,41000,9000,519000,11000,170000,11000,52000,100000,2538000,7729000,382000,102000,609000,891000,890000,244000,9474000,1810000,-117000,229000,3025000,972000,-926000,287000,-5000,1809000,329000,81000,935000,1251000,519000,538000,475000,1392000,-522000,745000,1577000,4758000,1306000,223000,213000,130000,271000,148000,2714000,112000,
IncomeOtherOperatingCosts,,95000,295000,55000,0,1265000,14000,54000,55000,3927000,117000,41000,2926000,1110000,787000,1172000,915000,1176000,1543000,9852000,1408000,17629000,55000,1105000,531000,629000,114000,632000,413000,4377000,448000,5505000,-48000,2243000,118000,659000,192000,787000,733000,304000,234000,66672000,149000,2430000,29000,60543000,14000,21000,92000,-500000,-599000
IncomeEBIT,-237000,1126000,918000,951000,1197000,-1462000,-409000,-705000,12000,-4473000,44000,2457000,8740000,-1423000,1156000,3519000,3031000,725000,-4484000,-3990000,-2922000,-23284000,-756000,1203000,1474000,-2415000,1069000,386000,1146000,-5076000,-1637000,40559000,5673000,17366000,7725000,13533000,4094000,11476000,7291000,12501000,-798000,-65638000,2555000,-5431000,-148000,-70142000,-1010000,76000,-1813000,68000,18000
IncomeFinanceIncome,48000,257000,31000,48000,10000,28000,162000,164000,20000,233000,-253000,4974000,2152000,2658000,-2842000,837000,196000,411000,-275000,61000,46000,21000,176000,-52000,88000,-50000,19000,115000,100000,8674000,1748000,2135000,3311000,2796000,2939000,3863000,2646000,3547000,2619000,2537000,2497000,-1275000,655000,10896000,609000,564000,538000,25000,-3000,38000,-14000
IncomeFinanceCosts,1000,8000,10000,65000,-48000,-43000,107000,227000,230000,616000,-654000,3695000,237000,4917000,955000,591000,535000,75000,796000,136000,244000,168000,164000,1195000,455000,608000,126000,388000,251000,5953000,2874000,3127000,2565000,2429000,2925000,5524000,6423000,8881000,2031000,2575000,2478000,2701000,2651000,3659000,2265000,2323000,2335000,,,,-4000
