,2005/Q1,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4
IncomeRevenues,886000,8553000,5538000,29452000,10118000,13513000,24753000,11501000,4454000,9944000,954000,4056000,1058000,983000,574000,9913000,10567000,3292000,19205000,8388000,4509000,22520000,1306000,3405000,1423000,1479000,1740000,572000,1571000,0,2783000,,389000,3990000,6075000,10098000,,,,
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1041000,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-809000,12784000,-799000,14039000,-948000
IncomeGrossProfit,12651000,3216000,-4127000,472000,8984000,-1357000,2253000,-259000,-760000,-942000,2777000,3260000,1808000,7173000,4899000,3450000,3791000,710000,2814000,1348000,1406000,1654000,-3361000,-79000,177000,-76000,2094000,-75000,-67000,-63000,-102000,-77000,506000,407000,2136000,2863000,-1610000,752000,4306000,406000
IncomeOtherOperatingIncome,-3571000,313000,17477000,589000,47000,2573000,-1665000,212000,1247000,1275000,-826000,151000,4079000,-40000,1438000,393000,973000,860000,-2018000,749000,-107000,304000,8430000,2811000,4736000,7935000,5002000,797000,770000,752000,14308000,734000,1593000,643000,871000,1152000,3099000,1063000,2717000,649000
IncomeOtherOperatingCosts,8076000,1405000,1559000,627000,12147000,1933000,10197000,5994000,5676000,14433000,21412000,1603000,3180000,3895000,7691000,1725000,4501000,4319000,989000,2422000,11101000,2629000,2379000,2260000,7632000,2408000,5599000,1193000,1232000,1236000,14413000,975000,3349000,3818000,6545000,902000,8075000,-1110000,15628000,-1191000
IncomeEBIT,1004000,2124000,11791000,434000,-3116000,-716000,-9609000,-6041000,-5189000,-14099000,-19461000,1808000,2707000,3237000,-1354000,2118000,263000,-2748000,-194000,-325000,-9801000,-671000,2690000,472000,-2719000,5452000,1497000,-471000,-528000,-547000,-207000,-318000,-1250000,-2768000,-3538000,772000,672000,264000,497000,510000
IncomeFinanceIncome,586000,406000,1156000,865000,1451000,416000,1815000,512000,483000,494000,1060000,301000,336000,837000,1592000,313000,311000,441000,389000,325000,494000,111000,114000,75000,182000,177000,394000,8000,183000,-171000,547000,0,3000,5000,0,2981000,1000000,952000,958000,673000
IncomeFinanceCosts,751000,619000,275000,227000,186000,174000,217000,240000,228000,177000,111000,100000,108000,104000,75000,72000,76000,84000,84000,75000,77000,74000,57000,58000,4000,-4000,4000,4000,0,10000,6000,95000,228000,216000,,,,,,
