,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,8099000,7296000,10547000,6938000,8042000,12333000,13268000,9272000,5566000,5916000,9690000,7956000,8852000,6479000,6593000,7424000,6717000,12842000,4057000,12323000,8512000,17696000,8186000,10877000,9198000,8078000,8877000,5699000,8834000,7994000,7116000,7253000
IncomeRevenues_yy,,,,,-0.71,69.04,25.80,33.63,-30.78,-52.03,-26.97,-14.19,59.02,9.53,-31.96,-6.69,-24.12,98.20,-38.47,65.99,26.72,37.80,101.77,-11.73,8.06,-54.35,8.44,-47.61,-3.96,-1.04,-19.84,27.27
IncomeRevenues_sy,,,,,30.50,10.60,18.46,4.01,29.94,5.53,8.04,5.39,-5.64,7.96,-5.28,6.98,2.13,25.62,-1.58,13.69,26.72,-10.38,17.27,1.96,4.59,-8.65,1.91,-7.34,12.97,6.02,-0.82,5.69
IncomeRevenues_qq,,-9.92,44.56,-34.22,15.90,53.36,7.58,-30.12,-39.96,6.28,63.79,-17.89,11.25,-26.80,1.75,12.60,-9.52,91.19,-68.41,203.75,-30.93,107.89,-53.74,32.87,-15.44,-12.18,9.89,-35.80,55.01,-9.51,-10.98,1.93
IncomeRevenues_sq,,12.94,-11.75,5.88,22.48,-9.38,5.22,-0.88,11.13,3.22,-2.48,-7.32,6.69,13.75,-3.96,2.63,-4.16,18.52,-21.54,5.26,8.12,9.50,-15.41,0.26,-9.84,8.80,0.72,0.79,14.93,-9.51,-3.32,3.79
IncomeCostOfSales,7574000,,,,,,,,,,,,,15701000,3096000,3500000,4405000,6770000,2696000,7863000,6965000,17188000,4811000,6995000,5780000,5447000,5586000,3620000,3843000,4315000,3557000,2999000
IncomeCostOfSales_yy,,,,,-100.00,,,,,,,,,,,,,-56.88,-12.92,124.66,58.12,153.88,78.45,-11.04,-17.01,-68.31,16.11,-48.25,-33.51,-20.78,-36.32,-17.15
IncomeCostOfSales_sy,,,,,28.24,,,,,,,,,,,,,-13.97,12.41,11.81,16.82,-5.44,12.21,8.00,-11.31,11.25,-1.21,-25.91,-28.56,7.05,-19.78,-13.33
IncomeCostOfSales_qq,,-100.00,,,,,,,,,,,,,-80.28,13.05,25.86,53.69,-60.18,191.65,-11.42,146.78,-72.01,45.40,-17.37,-5.76,2.55,-35.20,6.16,12.28,-17.57,-15.69
IncomeCostOfSales_sq,,-15.20,,,,,,,,,,,,,-20.07,7.00,-0.31,38.87,-18.54,7.39,-6.21,-1.91,3.40,7.41,-1.59,-7.29,2.55,-5.36,6.16,12.28,-5.56,-8.08
IncomeDistributionExpenses,,,,,,,,,,,,,,2248000,874000,782000,1033000,1154000,954000,1939000,1417000,3053000,1032000,1441000,1505000,1389000,1007000,1594000,1176000,1273000,691000,907000
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,-48.67,9.15,147.95,37.17,164.56,8.18,-25.68,6.21,-54.50,-2.42,10.62,-21.86,-8.35,-31.38,-43.10
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,9.05,-1.56,-1.03,2.88,-7.38,17.12,14.60,17.22,4.14,-3.05,0.80,-11.90,-3.06,-7.07,-6.75
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,-61.12,-10.53,32.10,11.71,-17.33,103.25,-26.92,115.46,-66.20,39.63,4.44,-7.71,-27.50,58.29,-26.22,8.25,-45.72,31.26
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,-23.96,14.16,-11.34,17.88,-25.95,27.94,-16.42,26.19,-13.29,19.30,3.08,4.62,-17.34,2.16,-10.30,10.26,-17.68,6.24
IncomeAdministrativExpenses,,,,,,,,,,,,,,10475000,2232000,2316000,1758000,1968000,2039000,2240000,1981000,2945000,2921000,3335000,5193000,2718000,3321000,3758000,3179000,2627000,2904000,3080000
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,,,,,-81.21,-8.65,-3.28,12.68,49.64,43.26,48.88,162.14,-7.71,13.69,12.68,-38.78,-3.35,-12.56,-18.04
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,,,,,-2.64,-1.52,0.36,4.69,19.28,12.43,16.03,14.40,-1.18,13.06,-7.88,2.77,-0.64,-0.64,4.95
