,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,40000,0,0,1000,4000,47000
IncomeRevenues_yy,,,,,-89.45,
IncomeRevenues_sy,,,,,7.74,
IncomeRevenues_qq,,-100.00,,,663.85,1005.91
IncomeRevenues_sq,,4.43,,,-1.39,4.50
IncomeCostOfSales,,,,,,
IncomeCostOfSales_yy,,,,,,
IncomeCostOfSales_sy,,,,,,
IncomeCostOfSales_qq,,,,,,
IncomeCostOfSales_sq,,,,,,
IncomeDistributionExpenses,,,,,,
IncomeDistributionExpenses_yy,,,,,,
IncomeDistributionExpenses_sy,,,,,,
IncomeDistributionExpenses_qq,,,,,,
IncomeDistributionExpenses_sq,,,,,,
IncomeAdministrativExpenses,,,,,,
IncomeAdministrativExpenses_yy,,,,,,
IncomeAdministrativExpenses_sy,,,,,,
IncomeAdministrativExpenses_qq,,,,,,
IncomeAdministrativExpenses_sq,,,,,,
IncomeGrossProfit,-513000,-412000,-399000,-918000,-844000,-811000
IncomeGrossProfit_yy,,,,,-64.71,-96.66
IncomeGrossProfit_sy,,,,,-8.32,19.41
IncomeGrossProfit_qq,,19.56,3.35,-130.31,8.01,3.96
IncomeGrossProfit_sq,,-25.14,31.12,-28.36,12.68,3.02
IncomeOtherOperatingIncome,48000,0,36000,144000,25000,100000
IncomeOtherOperatingIncome_yy,,,,,-48.29,5024550.00
IncomeOtherOperatingIncome_sy,,,,,17.06,17.71
IncomeOtherOperatingIncome_qq,,-100.00,1783850.00,303.02,-82.66,303.12
IncomeOtherOperatingIncome_sq,,14.42,10.94,44.64,-26.84,-7.14
IncomeOtherOperatingCosts,0,10000,-10000,,0,161000
IncomeOtherOperatingCosts_yy,,,,,,1568.39
IncomeOtherOperatingCosts_sy,,,,,,73.20
IncomeOtherOperatingCosts_qq,,,-199.62,100.00,,5374333.20
IncomeOtherOperatingCosts_sq,,,-13.80,83.08,,59.87
IncomeEBIT,-464000,-422000,-353000,-774000,-819000,-872000
IncomeEBIT_yy,,,,,-76.44,-106.55
IncomeEBIT_sy,,,,,-3.94,23.19
IncomeEBIT_qq,,9.13,16.30,-119.13,-5.86,-6.38
IncomeEBIT_sq,,-19.68,20.68,-27.08,24.58,-2.22
IncomeFinanceIncome,0,,0,3000,,1000
IncomeFinanceIncome_yy,,,,,-100.00,
IncomeFinanceIncome_sy,,,,,-12.90,
IncomeFinanceIncome_qq,,-100.00,,2467.24,-100.00,
IncomeFinanceIncome_sq,,-6.65,,31.18,27.76,
IncomeFinanceCosts,5000,3000,6000,10000,4000,8000
IncomeFinanceCosts_yy,,,,,-26.74,184.49
IncomeFinanceCosts_sy,,,,,-1.28,21.34
IncomeFinanceCosts_qq,,-39.52,120.78,54.28,-64.44,134.88
IncomeFinanceCosts_sq,,0.79,0.79,20.66,-9.06,31.18
IncomeOtherIncome,,,,,,
IncomeOtherIncome_yy,,,,,,
IncomeOtherIncome_sy,,,,,,
IncomeOtherIncome_qq,,,,,,
IncomeOtherIncome_sq,,,,,,
IncomeNetGrossProfit,-469000,-425000,-360000,-781000,-823000,-879000
IncomeNetGrossProfit_yy,,,,,-75.42,-106.90
IncomeNetGrossProfit_sy,,,,,-1.28,22.01
IncomeNetGrossProfit_qq,,9.40,15.40,-117.20,-5.36,-6.86
IncomeNetGrossProfit_sq,,-30.04,37.48,-21.98,7.38,-6.86
IncomeExtraordinarProfit,,,,,,
IncomeExtraordinarProfit_yy,,,,,,
IncomeExtraordinarProfit_sy,,,,,,
IncomeExtraordinarProfit_qq,,,,,,
IncomeExtraordinarProfit_sq,,,,,,
IncomeBeforeTaxProfit,-469000,-425000,-360000,-781000,-823000,-879000
IncomeBeforeTaxProfit_yy,,,,,-75.42,-106.90
IncomeBeforeTaxProfit_sy,,,,,-1.28,22.01
IncomeBeforeTaxProfit_qq,,9.40,15.40,-117.20,-5.36,-6.86
IncomeBeforeTaxProfit_sq,,-30.04,37.48,-21.98,7.38,-6.86
IncomeDiscontinuedProfit,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,
IncomeNetProfit,-469000,-425000,-360000,-778000,-823000,-879000
IncomeNetProfit_yy,,,,,-75.42,-106.83
IncomeNetProfit_sy,,,,,-9.96,51.70
IncomeNetProfit_qq,,9.40,15.40,-116.32,-5.79,-6.83
IncomeNetProfit_sq,,-29.32,23.55,-24.91,17.54,-8.36
IncomeShareholderNetProfit,-469000,-373000,-412000,-760000,-823000,-831000
IncomeShareholderNetProfit_yy,,,,,-75.42,-123.00
IncomeShareholderNetProfit_sy,,,,,-10.11,46.79
IncomeShareholderNetProfit_qq,,20.59,-10.61,-84.32,-8.34,-0.95
IncomeShareholderNetProfit_sq,,-29.22,43.74,-24.98,17.54,-4.30
BalanceNoncurrentAssets,11397000,12862000,14600000,16357000,17897000,19560000
BalanceNoncurrentAssets_yy,,,,,57.02,52.08
BalanceNoncurrentAssets_sy,,,,,3.24,6.48
BalanceNoncurrentAssets_qq,,12.85,13.52,12.03,9.41,9.29
BalanceNoncurrentAssets_sq,,1.04,0.37,-0.23,0.68,-0.24
BalanceIntangibleAssets,10181000,11409000,13220000,14792000,16404000,18127000
BalanceIntangibleAssets_yy,,,,,61.12,58.88
