,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeRevenues,166151000,170967000,197822000,224838000,250663000,257693000,291049000,278792000,313851000,328203000,332752000,297917000,284148000,304126000,294936000,272883000,225861000,282670000,305701000,281198000,241431000,296611000,349704000,344969000,341320000,378805000,412272000,391073000,356204000,388377000,444161000,386642000,356268000,380528000,450846000,440969000,417684000,446761000,507883000,494680000,471502000,503297000,547030000,509061000,530579000,573648000,646925000,567952000,622914000,675182000,736816000,662186000,690948000,753712000,829906000
IncomeRevenues_yy,,,,,50.86,50.73,47.13,24.00,25.21,27.36,14.33,6.86,-9.46,-7.34,-11.36,-8.40,-20.51,-7.05,3.65,3.05,6.89,4.93,14.39,22.68,41.37,27.71,17.89,13.36,4.36,2.53,7.73,-1.13,0.02,-2.02,1.51,14.05,17.24,17.41,12.65,12.18,12.88,12.65,7.71,2.91,12.53,13.98,18.26,11.57,17.40,17.70,13.90,16.59,10.92,11.63,12.63
IncomeRevenues_sy,,,,,35.28,48.79,17.95,26.68,22.89,19.42,12.64,12.68,9.37,9.93,0.66,3.49,-19.80,-14.82,-19.75,1.85,-6.72,12.47,15.62,22.68,31.04,22.93,19.94,22.76,6.70,4.36,-5.84,-3.56,-3.67,-2.42,2.62,7.53,5.61,7.17,6.43,5.54,7.78,6.02,6.94,3.25,-5.02,-2.64,-2.84,7.26,13.96,12.29,20.89,16.83,13.98,12.35,7.76
IncomeRevenues_qq,,2.90,15.71,13.66,11.49,2.80,12.94,-4.21,12.58,4.57,1.39,-10.47,-4.62,7.03,-3.02,-7.48,-17.23,25.15,8.15,-8.02,-14.14,22.86,17.90,-1.35,-1.06,10.98,8.83,-5.14,-8.92,9.03,14.36,-12.95,-7.86,6.81,18.48,-2.19,-5.28,6.96,13.68,-2.60,-4.69,6.74,8.69,-6.94,4.23,8.12,12.77,-12.21,9.68,8.39,9.13,-10.13,4.34,9.08,10.11
IncomeRevenues_sq,,10.45,15.71,2.95,11.49,5.44,9.18,-6.28,13.35,3.62,2.81,-6.58,8.02,4.32,-0.18,-17.54,-3.52,0.14,5.68,3.18,0.81,12.30,5.77,2.13,12.24,3.94,2.70,0.76,5.54,0.23,-4.73,-3.61,4.13,2.10,4.86,-7.34,4.42,4.51,4.56,-5.52,8.09,4.04,1.75,-9.83,4.70,6.78,-2.70,-4.48,16.06,0.62,1.69,0.37,11.72,0.52,4.95
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
