,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,348000,211000,131000,326000,38000,1906000,1804000,3525000,1878000,1593000,2298000,1957000,1151000,-203000,786000,-495000,244000,650000,458000,1556000,977000,2477000,1118000,1158000,384000,337000,685000,353000,119000,217000,296000,547000,539000,115000,76000,342000,102000,90000,76000,212000,185000,129000,88000,308000,121000,190000,242000,862000,323000,208000
IncomeRevenues_yy,,,,,-89.08,803.32,1277.10,981.29,4842.11,-16.42,27.38,-44.48,-38.71,-112.74,-65.80,-125.29,-78.80,420.20,-41.73,414.34,300.41,281.08,144.10,-25.58,-60.70,-86.39,-38.73,-69.52,-69.01,-35.61,-56.79,54.96,352.94,-47.00,-74.32,-37.48,-81.08,-21.74,,-38.01,81.37,43.33,15.79,45.28,-34.59,47.29,175.00,179.87,166.94,9.47
IncomeRevenues_sy,,,,,31.83,36.52,23.70,23.80,25.98,10.96,21.63,7.02,1.02,2.46,-0.43,6.06,12.72,25.43,8.86,19.42,6.14,13.96,14.37,9.16,13.89,10.85,3.12,9.90,4.68,9.87,8.11,14.70,10.97,14.47,16.92,7.31,8.46,7.60,,8.35,12.46,10.94,9.72,7.20,12.39,11.06,12.57,13.14,7.74,14.42
IncomeRevenues_qq,,-39.37,-37.91,148.85,-88.34,4915.79,-5.35,95.40,-46.72,-15.18,44.26,-14.84,-41.19,-117.64,487.19,-162.98,149.29,166.39,-29.54,239.74,-37.21,153.53,-54.86,3.58,-66.84,-12.24,103.26,-48.47,-66.29,82.35,36.41,84.80,-1.46,-78.66,-33.91,350.00,-70.18,-11.76,-15.56,178.95,-12.74,-30.27,-31.78,250.00,-60.71,57.02,27.37,256.20,-62.53,-35.60
IncomeRevenues_sq,,6.18,1.26,17.81,-0.06,9.46,2.44,19.62,-6.52,1.27,4.59,5.45,-4.13,2.05,4.28,1.59,-2.03,7.83,0.15,5.94,-13.58,7.40,4.58,5.29,-7.22,5.74,-0.74,3.95,-14.07,12.16,2.66,10.72,-5.10,9.18,3.00,5.59,-7.96,12.18,-0.32,7.94,-6.38,7.48,0.24,5.31,-1.71,4.43,2.23,6.21,-1.39,4.50
IncomeCostOfSales,246000,243000,169000,294000,185000,1673000,1514000,4207000,1851000,1470000,2035000,2190000,932000,-603000,41000,911000,428000,290000,212000,1019000,377000,1306000,1766000,334000,478000,-10000,183000,326000,72000,24000,24000,409000,389000,13000,24000,1000,47000,135000,132000,-35000,63000,175000,146000,-5000,149000,68000,203000,43000,149000,224000
IncomeCostOfSales_yy,,,,,-24.80,588.48,795.86,1330.95,900.54,-12.13,34.41,-47.94,-49.65,-141.02,-97.99,-58.40,-54.08,148.09,417.07,11.86,-11.92,350.34,733.02,-67.22,26.79,-100.77,-89.64,-2.40,-84.94,340.00,-86.89,25.46,440.28,-45.83,,-99.76,-87.92,938.46,450.00,-3600.00,34.04,29.63,10.61,85.71,136.51,-61.14,39.04,960.00,,229.41
IncomeCostOfSales_sy,,,,,33.34,32.00,21.96,8.78,29.67,6.63,20.64,6.09,-9.53,-1.30,25.16,6.15,12.54,35.08,4.99,11.30,4.68,-2.33,18.08,3.80,20.58,18.66,-5.50,-1.40,2.31,4.74,3.30,3.08,6.28,12.98,,6.69,9.95,8.54,7.58,6.72,10.16,2.30,9.02,-5.88,24.50,6.83,22.45,24.04,,23.18
IncomeCostOfSales_qq,,-1.22,-30.45,73.96,-37.07,804.32,-9.50,177.87,-56.00,-20.58,38.44,7.62,-57.44,-164.70,106.80,2121.95,-53.02,-32.24,-26.90,380.66,-63.00,246.42,35.22,-81.09,43.11,-102.09,1930.00,78.14,-77.91,-66.67,,1604.17,-4.89,-96.66,84.62,-95.83,4600.00,187.23,-2.22,-126.52,280.00,177.78,-16.57,-103.42,3080.00,-54.36,198.53,-78.82,246.51,50.34
IncomeCostOfSales_sq,,1.31,-4.92,41.72,-15.96,13.31,0.49,13.00,2.14,-0.72,0.19,14.94,-16.41,-2.00,2.10,16.75,-13.60,21.37,-9.14,11.05,-12.17,5.62,6.01,1.96,-4.29,11.20,-2.30,7.06,-12.56,4.54,,8.28,-4.89,12.79,1.42,3.43,-9.14,12.36,-0.44,2.34,-8.21,9.19,-5.61,,6.31,4.96,4.18,1.47,-2.64,2.09
IncomeDistributionExpenses,,,,,,,,,,,,0,132000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,-4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,10000,0,18000,15000,11000,60000,596000,502000,629000,966000,937000,872000,973000,476000,637000,-757000,400000,689000,607000,1188000,1325000,785000,-855000,1358000,288000,852000,695000,599000,529000,584000,438000,374000,358000,565000,561000,677000,650000,654000,503000,766000,541000,492000,522000,815000,656000,658000,541000,604000,549000,470000
IncomeAdministrativExpenses_yy,,,,,10.00,,3211.11,3246.67,5618.18,1510.00,57.21,73.71,54.69,-50.72,-32.02,-186.81,-58.89,44.75,-4.71,256.94,231.25,13.93,-240.86,14.31,-78.26,8.54,181.29,-55.89,83.68,-31.46,-36.98,-37.56,-32.33,-3.25,28.08,81.02,81.56,15.75,-10.34,13.15,-16.77,-24.77,3.78,6.40,21.26,33.74,3.64,-25.89,-16.31,-28.57
IncomeAdministrativExpenses_sy,,,,,10.00,,-7.88,106.91,1.29,15.81,9.90,37.35,13.91,7.89,11.81,17.27,12.50,6.35,11.43,-12.17,17.32,9.79,17.17,10.27,6.69,8.48,-0.28,-4.19,3.66,3.65,8.22,-4.37,1.24,5.68,2.44,0.98,3.94,5.84,0.87,12.04,11.39,18.61,9.22,13.75,2.52,8.10,2.78,-5.63,10.40,6.14
IncomeAdministrativExpenses_qq,,-100.00,,-16.67,-26.67,445.45,893.33,-15.77,25.30,53.58,-3.00,-6.94,11.58,-51.08,33.82,-218.84,152.84,72.25,-11.90,95.72,11.53,-40.75,-208.92,258.83,-78.79,195.83,-18.43,-13.81,-11.69,10.40,-25.00,-14.61,-4.28,57.82,-0.71,20.68,-3.99,0.62,-23.09,52.29,-29.37,-9.06,6.10,56.13,-19.51,0.30,-17.78,11.65,-9.11,-14.39
IncomeAdministrativExpenses_sq,,-49.11,,-8.89,-1.48,7.64,7.78,17.58,-7.56,17.83,-3.50,24.41,-5.38,9.81,-2.82,38.62,-21.61,18.76,-8.71,31.28,-6.88,3.08,-6.42,34.44,-21.66,5.50,-3.75,32.95,-17.24,10.18,-2.96,15.24,-12.64,7.93,0.82,13.01,-15.38,2.15,6.45,15.81,-7.08,3.60,0.98,14.29,-13.90,10.30,-3.22,12.75,-17.22,9.46
IncomeGrossProfit,92000,-32000,-56000,17000,-158000,173000,-306000,-1184000,-602000,-843000,-674000,-1105000,-886000,56000,108000,-649000,-584000,-329000,-361000,-651000,-725000,386000,207000,-534000,-382000,-505000,-193000,-572000,-482000,-391000,-166000,-236000,-208000,-463000,-509000,-336000,-595000,-699000,-559000,-519000,-419000,-538000,-580000,-502000,-684000,-536000,-502000,215000,-375000,-486000
IncomeGrossProfit_yy,,,,,-271.74,640.62,-446.43,-7064.71,-281.01,-587.28,-120.26,6.67,-47.18,106.64,116.02,41.27,34.09,-687.50,-434.26,-0.31,-24.14,217.33,157.34,17.97,47.31,-230.83,-193.24,-7.12,-26.18,22.57,13.99,58.74,56.85,-18.41,-206.63,-42.37,-186.06,-50.97,-9.82,-54.46,29.58,23.03,-3.76,3.28,-63.25,0.37,13.45,142.83,45.18,9.33
IncomeGrossProfit_sy,,,,,-3.96,61.24,33.03,36.20,19.37,-36.09,60.90,28.60,34.62,15.20,-15.13,41.27,5.53,-13.12,-4.40,7.22,-21.40,31.43,10.63,52.20,21.25,-14.25,-15.59,-35.32,-4.25,13.30,15.00,45.52,56.85,6.06,29.68,42.25,36.97,46.18,9.65,-15.76,-29.56,-13.08,-9.79,5.09,3.05,-5.43,5.66,-11.86,-8.32,19.41
IncomeGrossProfit_qq,,-134.78,-75.00,130.36,-1029.41,209.49,-276.88,-286.93,49.16,-40.03,20.05,-63.95,19.82,106.32,92.86,-700.93,10.02,43.66,-9.73,-80.33,-11.37,153.24,-46.37,-357.97,28.46,-32.20,61.78,-196.37,15.73,18.88,57.54,-42.17,11.86,-122.60,-9.94,33.99,-77.08,-17.48,20.03,7.16,19.27,-28.40,-7.81,13.45,-36.25,21.64,6.34,142.83,-274.42,-29.60
IncomeGrossProfit_sq,,31.79,-23.74,50.96,3.52,107.84,-11.59,-65.50,101.31,30.84,24.19,-50.74,130.05,9.55,15.92,-74.78,57.94,-6.86,56.37,-36.04,-0.80,8.40,26.21,19.73,-46.32,-37.22,40.19,-16.21,-36.51,33.70,17.53,-9.35,-5.56,12.14,20.96,3.02,3.32,0.72,1.82,-22.23,-5.48,-8.16,-6.93,5.79,13.53,-25.14,31.12,-28.36,12.68,3.02
IncomeOtherOperatingIncome,16000,0,1000,7000,,3000,1000,48000,322000,10000,66000,1814000,-332000,3594000,3651000,6576000,-549000,-1436000,5072000,16986000,-15095000,5285000,-7875000,-10787000,3294000,-1519000,-479000,-3307000,992000,-2806000,3410000,5835000,-9861000,1278000,-2307000,-1155000,4627000,1715000,-120000,-3227000,-2000,36000,2251000,-2456000,971000,-1850000,634000,-1727000,-299000,54000
IncomeOtherOperatingIncome_yy,,,,,-100.00,,,585.71,,233.33,6500.00,3679.17,-203.11,35840.00,5431.82,262.51,-65.36,-139.96,38.92,158.30,-2649.54,468.04,-255.26,-163.51,121.82,-128.74,93.92,69.34,-69.88,-84.73,811.90,276.44,-1094.05,145.55,-167.65,-119.79,146.92,34.19,94.80,-179.39,-100.04,-97.90,1975.83,23.89,48650.00,-5238.89,-71.83,29.68,-130.79,102.92
IncomeOtherOperatingIncome_sy,,,,,18.28,,,-59.44,,36.97,49.68,-0.60,-3.78,184.25,126.76,89.92,14.83,18.48,19.84,111.31,10.12,-6.10,18.99,-40.06,27.70,-32.78,-22.80,9.68,36.50,51.21,52.45,86.66,19.87,7.07,-20.08,-14.17,-18.78,-24.76,31.06,1.88,9.17,23.76,-4.70,23.89,-7.29,5.68,34.69,16.38,17.06,17.71
IncomeOtherOperatingIncome_qq,,-100.00,,600.00,-100.00,,-66.67,4700.00,570.83,-96.89,560.00,2648.48,-118.30,1182.53,1.59,80.12,-108.35,-161.57,453.20,234.90,-188.87,135.01,-249.01,-36.98,130.54,-146.11,68.47,-590.40,130.00,-382.86,221.53,71.11,-269.00,112.96,-280.52,49.93,500.61,-62.93,-107.00,-2589.17,99.94,1900.00,6152.78,-209.11,139.54,-290.53,134.27,-372.40,82.69,118.06
IncomeOtherOperatingIncome_sq,,-27.34,,309.60,-72.70,,-37.52,95.78,-54.00,-11.89,-50.98,5.01,-56.29,185.37,2.99,59.80,-44.82,18.95,-40.00,104.82,-76.91,43.75,-4.96,7.45,-16.80,-10.22,18.53,29.58,6.46,2.25,8.08,25.67,-23.98,-0.62,-15.66,15.74,-29.68,-1.84,-27.50,52.14,-5.62,-1.74,4.00,38.33,-35.95,14.42,10.94,44.64,-26.84,-7.14
IncomeOtherOperatingCosts,,0,0,14000,12000,0,0,30000,2000,90000,55000,155000,,18000,0,-3000,0,35000,3000,233000,3000,28000,2000,13000,2000,2000,5000,94000,17000,65000,17000,175000,2000,47000,27000,167000,1000,29000,7000,-24000,9000,132000,0,12000,7000,33000,2000,62000,2000,69000
IncomeOtherOperatingCosts_yy,,,,,,,,114.29,-83.33,,,416.67,-100.00,-80.00,-100.00,-101.94,,94.44,,7866.67,,-20.00,-33.33,-94.42,-33.33,-92.86,150.00,623.08,750.00,3150.00,240.00,86.17,-88.24,-27.69,58.82,-4.57,-50.00,-38.30,-74.07,-114.37,800.00,355.17,-100.00,150.00,-22.22,-75.00,,416.67,-71.43,109.09
IncomeOtherOperatingCosts_sy,,,,,,,,24.35,-17.96,,,88.48,-7.98,128.79,-30.90,33.74,,9.75,,-38.36,,17.93,66.60,-9.84,3.83,-28.44,-50.00,12.90,45.59,1.99,11.78,32.30,6.29,-14.24,6.16,-1.84,-37.15,-16.62,-0.94,-9.79,13.86,14.00,-20.51,-10.23,-8.68,-25.34,,36.41,-1.23,73.20
IncomeOtherOperatingCosts_qq,,,,,-14.29,-100.00,,,-93.33,4400.00,-38.89,181.82,-100.00,,-100.00,,100.00,,-91.43,7666.67,-98.71,833.33,-92.86,550.00,-84.62,,150.00,1780.00,-81.91,282.35,-73.85,929.41,-98.86,2250.00,-42.55,518.52,-99.40,2800.00,-75.86,-442.86,137.50,1366.67,-100.00,,-41.67,371.43,-93.94,3000.00,-96.77,3350.00
