,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2
IncomeRevenues,17728000,-1272040000,48434000,22514000,94889000,53404000,49255000,6753000,86873000,49691000,68812000,-78000,46858000,16773000,14806000,12888000,24197000,16377000,11859000,-37416000,5578000,2726000,53318000,-45910000,5180000,2482000
IncomeCostOfSales,9416000,-674522000,35281000,11457000,57146000,42692000,30490000,16302000,32177000,16240000,95234000,2359000,28427000,9917000,7852000,8271000,12797000,9991000,8313000,-23822000,2855000,1301000,33457000,-30999000,2641000,972000
IncomeDistributionExpenses,348000,-25058000,136000,388000,245000,1611000,397000,26301000,6550000,,,,,,,,,,,,,,665000,-47476000,1124000,2202000
IncomeAdministrativExpenses,10202000,3939000,11615000,8171000,8943000,8523000,5113000,1259000,3898000,3812000,2709000,1782000,3114000,2922000,2842000,-5873000,735000,732000,7676000,-5938000,667000,699000,7299000,-524985000,11893000,8467000
IncomeGrossProfit,27297000,5163000,6754000,-15269000,19451000,18379000,786000,-3696000,14533000,3044000,4245000,2836000,8286000,3464000,703000,-7721000,1987000,693000,12185000,-8973000,1872000,810000,,,,
IncomeOtherOperatingIncome,,,,-17866000,1577000,,-66552000,-8000,-156000,18133000,3132000,911000,508000,-2422000,1341000,-435000,11815000,-38004000,393000,-1390000,2064000,-147466000,3186000,2356000,17969000,6694000
IncomeOtherOperatingCosts,8377000,8445000,16867000,7364000,3168000,6435000,5301000,5846000,-22331000,30911000,3404000,2314000,2730000,-795000,1598000,1816000,8152000,3749000,3882000,1024000,5235000,-377519000,8708000,6111000,9328000,-1531000
IncomeEBIT,-1623000,-41580000,4162000,9400000,-2382000,-76682000,9224000,-2957000,26736000,-9942000,8015000,2061000,-1519000,-9348000,1731000,-1559000,15847000,-50726000,-1617000,-1604000,,,,,,
IncomeFinanceIncome,,-2654000,,,,,,,,,,1283000,488000,,18070000,1695000,850000,-62198000,1539000,-5311000,-24296000,-3692000,8942000,30264000,14079000,10513000
IncomeFinanceCosts,-5640000,2563000,1429000,-3279000,2030000,5090000,64000,171000,356000,-870000,252000,662000,-18062000,,,,,,,,,,,,0,
IncomeOtherIncome,,,-1382000,167000,48000,122000,1178000,-71000,2369000,383000,4385000,-315321000,7169000,11422000,33624000,2161000,-10565000,-74498000,-9917000,-1112000,3258000,-79246000,7795000,322000,24706000,-16414000
IncomeNetGrossProfit,8118000,1939000,-1752000,-6283000,3017000,57000,15568000,-35382000,16453000,91000,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,4385000,-315321000,7169000,11422000,33624000,2161000,-10565000,-74498000,-9917000,-1112000,3258000,-79246000,7795000,322000,24706000,-16414000
IncomeBeforeTaxProfit,8118000,1939000,-1752000,-6283000,3017000,57000,15568000,-35382000,16453000,91000,,,,,,,,,,,,-15793000,226000,-2000,-2161000,
IncomeDiscontinuedProfit,6567000,5942000,-2250000,8679000,3095000,0,3559000,-256076000,5725000,10934000,30643000,1483000,-11721000,-67343000,-10471000,-2195000,2489000,-83383000,6245000,-1832000,27255000,-24544000,6669000,1544000,-1483000,1838000
IncomeNetProfit,18807000,-1588000,-735000,-29370000,18462000,617000,3587000,-258150000,5725000,11053000,30643000,100000,-10190000,-66221000,-12023000,-605000,5163000,-92745000,4921000,-1574000,27396000,-23044000,6052000,1397000,-1355000,1306000
IncomeShareholderNetProfit,18178000,-1786000,-529000,-29966000,18366000,659000,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentAssets,,,,154559000,267501000,288335000,386403000,286575000,309769000,309166000,279479000,150814000,161415000,140435000,130263000,129884000,124605000,124049000,126719000,135676000,124141000,128508000,129309000,35321000,35141000,34426000
BalanceIntangibleAssets,,,,84533000,116678000,42860000,129279000,126956000,34017000,31990000,29430000,29623000,30194000,25733000,24661000,26165000,22696000,23716000,24131000,29671000,22336000,25764000,27971000,10774000,10894000,11183000
BalanceProperty,,,,19469000,243095000,252060000,109038000,88906000,93966000,72364000,76478000,74629000,70950000,73215000,71980000,68139000,69548000,67996000,4456000,3885000,4381000,,,,0,245000
BalanceNoncurrentReceivables,931000,243000,832000,852000,823000,135000,125000,108000,105000,7000,71000,72000,33000,7000,25000,26000,26000,6599000,7259000,5992000,,,,50236000,150374000,44000
BalanceNoncurrInvestments,50338000,276180000,278029000,250358000,21161000,21601000,98502000,21802000,22019000,21974000,24087000,24097000,28658000,28496000,27896000,27984000,11270000,10821000,10804000,,,,321000,205000,2336000,4133000
BalanceOtherNoncurrentAssets,0,-1261000,-1705000,-1131000,10989000,15527000,16092000,11329000,5215000,5235000,5223000,5242000,5360000,5144000,5275000,5332000,2221000,2282000,2066000,,,,106195000,206007000,204058000,144718000
BalanceCurrentAssets,132760000,129434000,101952000,116334000,76421000,78723000,73350000,55697000,40561000,45805000,37065000,33926000,35789000,53195000,43639000,39837000,10691000,12889000,14601000,,,,3430000,46333000,16014000,18483000
BalanceInventory,8551000,32943000,8604000,8075000,13810000,4307000,5507000,7855000,10488000,9469000,8453000,11296000,9609000,7884000,6352000,6673000,79000,65000,85000,,,,60525000,95407000,72269000,60301000
BalanceCurrentReceivables,89520000,66095000,65863000,68466000,44079000,62874000,37287000,30159000,21365000,23906000,16754000,13401000,21332000,34858000,23942000,22546000,6251000,8056000,6127000,,,,6566000,6821000,5179000,3750000
BalanceCurrentInvestments,196000,363000,1130000,240000,4000,6000,2020000,3000,5000,6000,4000,,,,18708000,49222000,83069000,22166000,15856000,18557000,16193000,23494000,15764000,8564000,18369000,14483000
BalanceCash,4846000,10019000,8979000,4538000,2302000,7449000,10687000,8334000,2751000,3258000,6948000,,,,16966000,15045000,25885000,38589000,15083000,11840000,11292000,16299000,2571000,2615000,11057000,2960000
BalanceOtherCurrentAssets,3862000,2407000,2872000,2672000,2544000,3000000,2653000,2281000,1610000,1510000,1441000,,,,,,30350000,,,,,,,,,
BalanceAssetsForSale,,,,,,,100421000,,,,,260754000,473509000,522743000,531122000,419335000,439203000,411117000,395813000,227234000,240138000,213785000,185960000,170445000,170410000,161114000
BalanceTotalAssets,160645000,171465000,177336000,172147000,169146000,146433000,48030000,49027000,,,,69903000,104951000,139499000,159430000,55422000,84164000,52440000,39423000,-50841000,-16083000,-21434000,84807000,61713000,68230000,66794000
BalanceCapital,65103000,67322000,83716000,82434000,81031000,53962000,27317000,32368000,,,,341000,361000,395000,437000,420000,412000,422000,407000,388000,397000,41608000,7400000,7362000,7404000,7387000
BalanceShareCapital,7413000,4134000,3966000,4068000,4111000,4134000,4140000,4293000,,,,,,,-521000,,,0,,-69401000,-120578000,-121276000,-121129000,-121877000,-74490000,-25393000
BalanceOwnShares,-26569000,-26714000,-23386000,-71968000,-67864000,,,,15770000,104590000,139104000,159513000,55002000,83752000,52018000,39015000,48502000,66504000,6360000,137983000,268819000,270488000,270431000,271132000,226636000,172306000
BalanceReserve,175615000,175588000,173154000,173239000,180024000,,,,-79000,,,10402000,,6039000,12976000,14951000,14589000,9820000,6736000,7400000,6821000,6651000,7180000,7583000,7339000,7140000
BalanceNonshareCapital,8779000,296000,264000,,,,106952000,253436000,204931000,228368000,194697000,214593000,212878000,220171000,62688000,62130000,63847000,59235000,53452000,56054000,52696000,53322000,52697000,50631000,49291000,47189000
BalanceNoncurrentLiabilities,3902000,10005000,5285000,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,93463000,229573000,149218000,185734000,149681000,176660000,181489000,189478000,39762000,37613000,39469000,35531000,30455000,31247000,30316000,29461000,29081000,27145000,27214000,25980000
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,13489000,23863000,55713000,42634000,45016000,37933000,31389000,30693000,22927000,24517000,24378000,23704000,22998000,24807000,22380000,23861000,23617000,23485000,22077000,21208000,3902000,10005000,5285000
BalanceNoncurrentOtherLiabilities,,,,83978000,115121000,166233000,143324000,158815000,140446000,145800000,130181000,202411000,179139000,156782000,32099000,48542000,38726000,34803000,35568000,44266000,35406000,33084000,33786000,14357000,10412000,11110000
BalanceCurrentLiabilities,,,,60422000,87632000,29788000,35537000,54503000,44063000,52299000,39542000,29411000,18790000,18343000,18023000,13790000,12446000,13575000,16611000,15283000,12284000,13935000,3338000,3183000,2072000,
BalanceCurrentTradePayablesv,,,16039000,13067000,125965000,25744000,57811000,47871000,35365000,18952000,116849000,109406000,93420000,3993000,5787000,5927000,5784000,5811000,7177000,6650000,6924000,6926000,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,1081000
BalanceCurrentLeasing,0,12079000,62965000,15940000,30979000,37521000,60074000,39488000,37814000,31486000,22987000,19760000,15380000,12064000,11627000,15961000,9150000,9591000,8575000,72981000,4658000,6475000,,,,6435000
BalanceCurrentOtherLiabilities,14423000,10481000,19078000,30560000,17533000,20616000,11613000,16664000,13130000,13533000,5119000,4972000,3629000,4510000,4556000,4518000,4324000,4286000,4350000,3471000,2570000,2563000,0,0,0,260754000
BalanceReckoning,473509000,510664000,531122000,419335000,439203000,411117000,395813000,227234000,240138000,213785000,185960000,170445000,170410000,161114000,160645000,171465000,177336000,172147000,169146000,81000000,48030000,49027000,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,,,,26879000,-237874000,,21815000,,,10364000,6233000,,-3654000,6630000,2901000,-1573000,1790000,7062000,4308000,-171000,-2795000,-1280000,-280000,,,
CashflowAmortization,4190000,756769000,,9721000,,,12113000,3066000,,8264000,-692000,3423000,861000,4804000,-9461000,12895000,2911000,5642000,169000,2000,,,,-77297000,-31623701000,
CashflowInvestingCashflow,-132667000,,,22894000,-84000,,-2251000,-719000,-2322000,-801000,-6488000,-587000,359000,-771000,771000,47425000,107000,,,,77297000,31623701000,,85156000,,
CashflowCapex,,,,,,,,,,,,,,,,,,67040000,34451269000,,105849000,,,-32174000,-13698000,
CashflowFinancingCashflow,-5242000,-767000,-1593000,-2100000,2368000,-1235000,-1621000,-1524000,-3604000,-45641000,3742000,,,,,,,,37945000,,,,,,,
CashflowShareCapitalCash,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend,,,,,,,,,,,,,16621000,2589693000,,-5004000,,,1083000,-7549000,,-11147000,5144000,-1014000,-4473000,-2330000
CashflowNetCashflow,5241000,3046000,-2466000,-5628000,504000,3569000,,,,,,,,,,,,,,,,,,,,
