,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,8291000,20674000,0,12042000,11009000,18904000,17820000,21158000,20948000,19112000,20652000,26503000,25751000,33203000,29819000,28417000,28139000,27663000,19919000,21796000,21016000,18656000,18602000,8667000,12546000,15623000,13659000,16351000,15916000,18883000,17355000,19736000,16193000,22434000,22061000,24568000,21038000,24974000,26739000,31106000,26197000,33449000,32328000,38849000,30711000,40160000,35908000,46151000,35167000,52377000,42327000,55765000,40887000,57954000
IncomeRevenues_yy,,,,,32.78,-8.56,,75.70,90.28,1.10,15.89,25.26,22.93,73.73,44.39,7.22,9.27,-16.69,-33.20,-23.30,-25.31,-32.56,-6.61,-60.24,-40.30,-16.26,-26.57,88.66,26.86,20.87,27.06,20.70,1.74,18.81,27.12,24.48,29.92,11.32,21.20,26.61,24.52,33.94,20.90,24.89,17.23,20.06,11.07,18.80,14.51,30.42,17.88,20.83,16.27,10.65
IncomeRevenues_sy,,,,,11.37,25.06,,54.37,72.74,40.22,49.59,35.60,22.38,20.50,24.13,9.96,4.73,10.39,2.92,0.90,3.89,-1.89,13.13,9.07,13.69,12.16,3.42,13.32,12.09,12.84,18.92,16.33,1.74,7.05,6.00,8.05,13.82,11.45,11.00,10.13,17.47,16.22,7.92,13.50,15.27,11.03,12.22,10.94,3.71,2.71,13.28,3.30,0.28,5.47
IncomeRevenues_qq,,149.35,-100.00,,-8.58,71.71,-5.73,18.73,-0.99,-8.76,8.06,28.33,-2.84,28.94,-10.19,-4.70,-0.98,-1.69,-27.99,9.42,-3.58,-11.23,-0.29,-53.41,44.76,24.53,-12.57,19.71,-2.66,18.64,-8.09,13.72,-17.95,38.54,-1.66,11.36,-14.37,18.71,7.07,16.33,-15.78,27.68,-3.35,20.17,-20.95,30.77,-10.59,28.53,-23.80,48.94,-19.19,31.75,-26.68,41.74
IncomeRevenues_sq,,10.90,9.81,,-27.92,12.75,16.65,41.24,-2.34,12.24,8.54,24.60,-19.51,5.44,10.45,16.36,-19.17,5.72,-6.50,20.86,-18.63,12.26,8.48,9.67,-18.97,22.45,2.72,23.39,-14.84,11.77,3.64,8.09,-20.17,18.91,-1.46,15.10,-16.70,18.19,4.60,10.24,-12.68,18.01,-2.16,16.32,-13.90,16.79,-2.37,7.05,-14.88,17.54,-0.20,14.40,-22.04,19.66
IncomeCostOfSales,6292000,15414000,0,8550000,7772000,14621000,12681000,14754000,15515000,13337000,14296000,17418000,17494000,19517000,17202000,16973000,18949000,17023000,13385000,14397000,13200000,12805000,12860000,4967000,6869000,8525000,6828000,8578000,8767000,9354000,8927000,10015000,8604000,10224000,10514000,12717000,11101000,11376000,13396000,14447000,13227000,14722000,15530000,18052000,15254000,18556000,17360000,23283000,19024000,25860000,21492000,27649000,21004000,27506000
IncomeCostOfSales_yy,,,,,23.52,-5.14,,72.56,99.63,-8.78,12.74,18.06,12.76,46.34,20.33,-2.55,8.32,-12.78,-22.19,-15.18,-30.34,-24.78,-3.92,-65.50,-47.96,-33.42,-46.91,72.70,27.63,9.72,30.74,16.75,-1.86,9.30,17.78,26.98,29.02,11.27,27.41,13.60,19.15,29.41,15.93,24.95,15.32,26.04,11.78,28.98,24.71,39.36,23.80,18.75,10.41,6.37
IncomeCostOfSales_sy,,,,,11.20,17.76,,46.94,56.58,31.87,55.53,24.74,21.93,39.58,22.12,23.29,16.84,12.88,7.38,-4.50,5.12,-4.76,11.60,0.45,9.09,7.75,-6.46,16.39,8.54,17.02,26.60,19.62,-1.86,9.30,-2.98,1.74,9.33,11.04,16.00,15.20,15.97,31.62,14.76,14.30,16.56,9.72,8.42,11.96,16.41,9.28,18.67,6.86,5.61,6.16
IncomeCostOfSales_qq,,144.98,-100.00,,-9.10,88.12,-13.27,16.35,5.16,-14.04,7.19,21.84,0.44,11.56,-11.86,-1.33,11.64,-10.16,-21.37,7.56,-8.31,-2.99,0.43,-61.38,38.29,24.11,-19.91,25.63,2.20,6.70,-4.56,12.19,-14.09,18.83,2.84,20.95,-12.71,2.48,17.76,7.85,-8.44,11.30,5.49,16.24,-15.50,21.65,-6.45,34.12,-18.29,35.93,-16.89,28.65,-24.03,30.96
IncomeCostOfSales_sq,,-0.38,20.47,,-15.07,-4.80,22.71,29.06,3.63,-11.64,18.64,11.08,-11.42,-8.06,11.12,3.32,-6.07,-3.22,1.75,21.02,-4.50,5.79,14.58,-7.14,-5.22,-5.69,7.60,14.72,-4.62,2.07,17.66,3.70,-15.50,14.89,1.36,5.63,-11.32,10.44,6.04,8.38,-11.00,11.40,-0.24,12.08,-11.80,11.94,2.11,14.73,-12.21,11.66,5.21,18.86,-15.59,6.69
IncomeDistributionExpenses,737000,1599000,0,978000,764000,1168000,1314000,2212000,1714000,2118000,2400000,4130000,3874000,7203000,6989000,9351000,7519000,8532000,7296000,7982000,6157000,7485000,6497000,14989000,3844000,6084000,3603000,12269000,7594000,7852000,8165000,8768000,7864000,8956000,9204000,9832000,9547000,10242000,10269000,11269000,11140000,11904000,12350000,13135000,13764000,14567000,14458000,15866000,16495000,17496000,17166000,18890000,19531000,20654000
IncomeDistributionExpenses_yy,,,,,3.66,-26.95,,126.18,124.35,81.34,82.65,86.71,126.02,240.08,191.21,126.42,94.09,18.45,4.39,-14.64,-18.11,-12.27,-10.95,87.79,-37.57,-18.72,-44.54,-18.15,97.55,29.06,126.62,-28.54,3.56,14.06,12.73,12.14,21.40,14.36,11.57,14.62,16.69,16.23,20.26,16.56,23.55,22.37,17.07,20.79,19.84,20.11,18.73,19.06,18.41,18.05
IncomeDistributionExpenses_sy,,,,,28.82,30.53,,51.54,84.88,47.25,76.06,56.63,42.37,50.44,37.04,36.84,39.52,17.54,17.95,2.44,-1.88,3.14,8.40,7.88,9.16,9.67,6.90,6.31,15.98,18.10,14.87,11.00,3.56,13.18,9.79,12.14,13.00,19.83,16.01,7.98,15.06,6.30,9.13,11.27,19.15,22.35,14.36,17.50,23.08,19.95,19.76,16.76,5.72,13.07
IncomeDistributionExpenses_qq,,116.96,-100.00,,-21.88,52.88,12.50,68.34,-22.51,23.57,13.31,72.08,-6.20,85.93,-2.97,33.80,-19.59,13.47,-14.49,9.40,-22.86,21.57,-13.20,130.71,-74.35,58.27,-40.78,240.52,-38.10,3.40,3.99,7.39,-10.31,13.89,2.77,6.82,-2.90,7.28,0.26,9.74,-1.14,6.86,3.75,6.36,4.79,5.83,-0.75,9.74,3.96,6.07,-1.89,10.04,3.39,5.75
