,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,154000,354000,2978000,2843000,,,,12000,8000,10000,76000,105000,29000,40000,117000,136000,188000,172000
IncomeRevenues_yy,,,,,-100.00,-100.00,-100.00,-99.57,,,,764.19,242.98,311.25,53.02,29.51,557.44,325.72
IncomeRevenues_sy,,,,,-3.60,-7.40,-11.22,-5.23,,,,-10.16,4.23,1.53,5.79,3.54,7.07,0.05
IncomeRevenues_qq,,129.72,742.43,-4.55,-100.00,,,,-31.61,17.87,676.79,38.01,-72.86,41.33,189.04,16.80,37.80,-8.49
IncomeRevenues_sq,,12.21,-13.93,3.84,-2.50,,,,-16.66,5.82,5.51,-0.82,-3.61,0.09,-4.50,-1.02,3.26,-3.32
IncomeCostOfSales,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,-1071000,-1417000,2352000,970000,-206000,-200000,-276000,-446000,-300000,-280000,-221000,-455000,-310000,-232000,-214000,-367000,-148000,-92000
IncomeGrossProfit_yy,,,,,80.78,85.87,-111.74,-146.01,-45.87,-39.68,20.06,-1.89,-3.31,17.12,3.19,19.36,52.21,60.26
IncomeGrossProfit_sy,,,,,7.26,-2.32,-6.21,-7.36,0.16,7.53,6.94,-5.60,7.65,4.09,17.09,9.52,9.67,-6.25
IncomeGrossProfit_qq,,-32.41,265.94,-58.78,-121.22,2.66,-37.90,-61.54,32.73,6.79,21.07,-105.89,31.79,25.22,7.81,-71.51,59.58,37.81
IncomeGrossProfit_sq,,23.08,-3.75,-3.25,-1.99,6.65,1.16,-2.70,-2.23,-16.19,13.22,-22.60,17.71,-7.25,11.32,-24.82,31.39,-17.38
IncomeOtherOperatingIncome,0,0,0,0,,11000,0,0,0,1000,0,1000,6000,0,0,0,19000,-2000
IncomeOtherOperatingIncome_yy,,,,,-100.00,,,206.35,,-90.34,-85.71,220.73,14862.79,-99.90,8400.00,-99.60,201.99,-166900.00
IncomeOtherOperatingIncome_sy,,,,,-57.50,,,-23.41,,6.45,-55.87,42.54,-0.66,-35.94,7.67,-52.63,12.22,-25.74
IncomeOtherOperatingIncome_qq,,-100.00,,,-100.00,,-99.93,5414.29,-88.86,2316.28,-99.90,123700.00,419.71,-99.98,8400.00,-94.12,388500.00,-108.58
IncomeOtherOperatingIncome_sq,,-11.76,,,-39.08,,-11.48,101.93,-29.46,23.26,-75.00,157.14,-33.42,-2.16,-22.32,106.12,-29.55,54.75
IncomeOtherOperatingCosts,0,1000,0,0,,0,0,45000,0,0,0,803000,1000,0,1000,0,9000,1000
IncomeOtherOperatingCosts_yy,,,,,-100.00,-95.60,-96.55,26290.06,,-56.52,1700.00,1693.17,2877.78,-90.00,7061.11,-99.95,1562.87,59100.00
IncomeOtherOperatingCosts_sy,,,,,-33.33,-30.00,9.55,-10.75,,-0.38,-33.33,-15.74,23.23,-2.31,,65.73,15.30,13.21
IncomeOtherOperatingCosts_qq,,1643.33,-94.46,-689.66,100.00,,-95.65,4478400.00,-99.96,-44.44,80.00,4461394.53,-99.93,-99.81,128800.00,-68.27,2079.22,-93.36
IncomeOtherOperatingCosts_sq,,11.06,-23.44,38.91,-56.56,,12.61,1.28,-48.28,0.35,-50.00,54.50,-56.71,4.99,-18.93,204.27,-88.93,-18.83
IncomeEBIT,-1071000,-1418000,2352000,970000,-206000,-190000,-276000,-490000,-300000,-279000,-221000,-1256000,-304000,-232000,-215000,-367000,-138000,-94000
IncomeEBIT_yy,,,,,80.78,86.63,-111.74,-150.57,-45.86,-47.04,20.05,-156.14,-1.35,16.81,2.65,70.79,54.75,59.28
IncomeEBIT_sy,,,,,-12.07,-3.26,-74.70,-1.22,10.05,2.51,29.42,-46.64,11.74,7.84,18.72,-5.40,-8.93,8.11
IncomeEBIT_qq,,-32.45,265.87,-58.76,-121.21,7.87,-45.71,-77.62,38.82,7.13,20.78,-469.05,75.79,23.77,7.29,-70.73,62.49,31.42
