,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,130807000,147424000,138034000,133609000,136881000,134658000,127673000,132879000,131955000,136008000,124563000,122387000,123022000,142335000,150178000,148254000,147061000,155191000,140131000,151012000,173674000,212132000
IncomeRevenues_yy,,,,,4.64,-8.66,-7.51,-0.55,-3.60,1.00,-2.44,-7.90,-6.77,4.65,20.56,21.13,19.54,9.03,-6.69,1.86,18.10,36.69
IncomeRevenues_sy,,,,,14.48,12.83,-8.66,2.50,-3.60,-7.40,-11.22,-5.23,7.40,5.40,18.56,-10.16,4.23,1.53,5.79,3.54,7.07,0.05
IncomeRevenues_qq,,12.70,-6.37,-3.21,2.45,-1.62,-5.19,4.08,-0.70,3.07,-8.41,-1.75,0.52,15.70,5.51,-1.28,-0.80,5.53,-9.70,7.77,15.01,22.14
IncomeRevenues_sq,,10.67,1.60,-1.20,3.98,12.21,-13.93,3.84,-2.50,2.13,-3.20,18.32,-16.66,5.82,5.51,-0.82,-3.61,0.09,-4.50,-1.02,3.26,-3.32
IncomeCostOfSales,75155000,95204000,86487000,77181000,80245000,82728000,75377000,81359000,80896000,85611000,74307000,72406000,72088000,92071000,99426000,99115000,95653000,113932000,79531000,102658000,125178000,171552000
IncomeCostOfSales_yy,,,,,6.77,-13.10,-12.85,5.41,0.81,3.48,-1.42,-11.00,-10.89,7.55,33.80,36.89,32.69,23.74,-20.01,3.58,30.87,50.57
IncomeCostOfSales_sy,,,,,6.77,-1.52,-27.04,-3.15,-10.96,-53.08,-14.08,6.82,10.34,3.85,8.94,-15.12,-20.33,-0.74,-11.98,-10.06,-15.38,-2.38
IncomeCostOfSales_qq,,26.68,-9.16,-10.76,3.97,3.09,-8.89,7.94,-0.57,5.83,-13.20,-2.56,-0.44,27.72,7.99,-0.31,-3.49,19.11,-30.19,29.08,21.94,37.05
IncomeCostOfSales_sq,,16.34,6.22,-3.86,3.97,5.74,-20.21,7.66,-8.66,-0.37,-1.56,17.50,-17.94,-2.86,-0.72,-9.64,-10.02,-3.41,-13.38,-1.34,-9.86,5.26
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,8789000,8516000,7948000,9545000,8889000,9978000,9007000,9109000,9492000,10347000,9284000,10592000,10832000,10304000,10185000,11684000,10609000,7530000,13703000,12586000,12421000,8959000
IncomeAdministrativExpenses_yy,,,,,1.14,17.16,13.33,-4.56,6.78,3.70,3.07,16.28,14.12,-0.42,9.71,10.32,-2.06,-26.92,34.54,7.72,17.08,18.97
