,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeRevenues,25436000,27196000,18112000,20467000,10933000,23510000,29266000,29131000,32460000,30170000,29993000,31448000,27817000,38811000,61367000,56284000,35519000,36835000,34874000,53847000,44391000,39378000,32112000,25387000,25031000,27631000,18958000,26240000,25960000,41466000,42943000,34533000,22531000,18216000,20617000,14833000,15298000,37995000,31992000,34751000,15550000,29775000,27835000,21644000,23823000,26618000,25443000,33819000,23433000,35369000,24261000,21001000,15780000,16454000,29291000
IncomeCostOfSales,24440000,25775000,17142000,19654000,10363000,21466000,24778000,27178000,28730000,25462000,24513000,26034000,22002000,32989000,52506000,48564000,31190000,28447000,29419000,47856000,38749000,35314000,27613000,22056000,25469000,32853000,23807000,28549000,24671000,39499000,39624000,32242000,21625000,22253000,23798000,17969000,14086000,34351000,30795000,32819000,22284000,21084000,27060000,20747000,23054000,27271000,24045000,34095000,21047000,32579000,24099000,29093000,20847000,18956000,26177000
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,1454000,1218000,1453000,1330000,1208000,1267000,1255000,1607000,1256000,1366000,1271000,1566000,2127000,1482000,1474000,1822000,2376000,1590000,1588000,3018000,1647000,1779000,1353000,2495000,906000,1272000,1128000,1248000,1198000,1197000,1247000,1293000,1230000,1139000,1015000,1210000,1095000,1071000,1026000,1666000,621000,1049000,1042000,1203000,1696000,1333000,1476000,1328000,1390000,1592000,1244000,1794000,1396000,1821000,1320000
IncomeGrossProfit,-458000,203000,-483000,-517000,-638000,777000,3233000,346000,2474000,3342000,4209000,3848000,3688000,4340000,7387000,5898000,1953000,6798000,3867000,2973000,3995000,2285000,3146000,836000,-1344000,-6494000,-5977000,-3557000,91000,770000,2072000,998000,-324000,-5176000,-4196000,-4346000,117000,2573000,171000,266000,-7355000,7642000,-267000,-306000,-927000,-1986000,-78000,-1604000,996000,1198000,-1082000,-9886000,-6463000,-4323000,1794000
IncomeOtherOperatingIncome,103000,74000,185000,638000,127000,36000,37000,141000,292000,34000,147000,187000,88000,179000,39000,89000,118000,104000,145000,13000,108000,50000,119000,421000,4192000,205000,16000,1176000,47000,520000,140000,-104000,55000,319000,91000,243000,109000,-118000,91000,826000,161000,-18000,334000,300000,81000,-58000,76000,91000,117000,-179000,51000,606000,82000,59000,736000
IncomeOtherOperatingCosts,60000,398000,33000,122000,56000,207000,24000,352000,480000,308000,76000,376000,30000,584000,4000,362000,18000,109000,62000,1067000,17000,1451000,0,-15000,83000,231000,-21000,149000,20000,323000,651000,44000,8000,300000,16000,172000,13000,508000,43000,421000,128000,118000,-35000,-15000,56000,15000,315000,21000,30000,684000,-6000,-49000,30000,-2000,34000
IncomeEBIT,-415000,-121000,-331000,-1000,-567000,606000,3246000,135000,2286000,3068000,4280000,3659000,3746000,3935000,7422000,5625000,2053000,6793000,3950000,1919000,4086000,884000,3265000,1272000,2765000,-6520000,-5940000,-2530000,118000,967000,1561000,850000,-277000,-5157000,-4121000,-4275000,213000,1947000,219000,671000,-7322000,7506000,102000,9000,-902000,-2059000,-317000,-1534000,1083000,335000,-1025000,-9231000,-6411000,-4262000,2496000
IncomeFinanceIncome,1203000,506000,320000,433000,236000,272000,222000,172000,142000,139000,243000,414000,501000,345000,226000,440000,1300000,2674000,980000,78000,62000,516000,132000,228000,290000,160000,204000,198000,189000,91000,184000,130000,124000,107000,83000,89000,48000,29000,219000,-10000,144000,77000,205000,34000,71000,5000,5000,26000,4000,38000,1000,0,0,28000,33000
IncomeFinanceCosts,734000,-3000,154000,46000,68000,3000,61000,255000,50000,20000,5000,-69000,8000,3000,72000,107000,543000,87000,-442000,119000,119000,124000,119000,77000,130000,94000,148000,191000,326000,327000,131000,97000,145000,140000,17000,62000,64000,139000,44000,31000,34000,50000,31000,66000,51000,115000,38000,82000,141000,111000,90000,107000,175000,91000,
