,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
IncomeRevenues,10354000,11807000,11654000,11102000,10290000,12180000,11992000,10606000,13458000,13476000,11807000,11788000,12595000,15593000,15816000,12634000,10765000,10896000,10509000,10207000,11906000,12482000,12452000,20007000,19296000,22883000,25208000,21101000,22361000,22439000,25759000,26586000,21637000,24298000,24291000,25036000,22619000,25029000,27167000,29791000,31070000,41562000,45558000,36668000,34642000,46095000,47408000,39340000,34666000,42045000,46422000
IncomeCostOfSales,7942000,8967000,8120000,8155000,7467000,8863000,8780000,8124000,10105000,10092000,8818000,9143000,9907000,11109000,11979000,8733000,6776000,7579000,8015000,8110000,8933000,9721000,9666000,14520000,16005000,18344000,19574000,15870000,18346000,17929000,20197000,21859000,18175000,19467000,18454000,20625000,19747000,20913000,22163000,27408000,26233000,36284000,36688000,32486000,29706000,39297000,38121000,31421000,27670000,33007000,36840000
IncomeDistributionExpenses,388000,553000,495000,630000,342000,522000,509000,636000,330000,595000,468000,546000,412000,607000,544000,709000,560000,453000,431000,508000,456000,472000,373000,1066000,884000,924000,1133000,1138000,1791000,194000,994000,1050000,1652000,177000,1016000,1080000,960000,899000,934000,1338000,1186000,1210000,1247000,458000,1009000,1341000,906000,1360000,1011000,1327000,1298000
IncomeAdministrativExpenses,1573000,1882000,1621000,1844000,1598000,1865000,1976000,1952000,1768000,2092000,910000,1949000,1717000,2264000,1895000,1787000,1931000,1650000,1693000,1687000,1688000,1853000,1838000,2976000,2017000,2174000,2379000,2463000,1572000,3596000,2313000,2281000,1712000,3082000,2457000,2136000,2132000,2300000,2224000,1998000,2685000,3427000,2255000,3372000,3140000,3584000,3096000,2656000,3146000,3321000,3381000
IncomeGrossProfit,451000,405000,1418000,473000,883000,930000,727000,-106000,1255000,697000,1611000,150000,559000,1613000,1398000,1405000,1498000,1214000,370000,-98000,829000,436000,575000,1445000,390000,1441000,2122000,1630000,652000,720000,2255000,1396000,98000,1572000,2364000,1195000,-220000,917000,1846000,-953000,966000,641000,5368000,352000,787000,1873000,5285000,3903000,2839000,4390000,4903000
IncomeOtherOperatingIncome,213000,896000,655000,193000,388000,444000,494000,714000,472000,456000,-450000,1212000,272000,889000,204000,77000,236000,318000,250000,813000,146000,256000,159000,681000,309000,125000,130000,531000,327000,270000,499000,875000,529000,408000,557000,391000,420000,420000,413000,371000,775000,567000,-412000,473000,642000,794000,400000,323000,1210000,211000,189000
IncomeOtherOperatingCosts,54000,295000,467000,283000,29000,418000,317000,1194000,128000,355000,18000,417000,44000,1359000,417000,-263000,110000,257000,110000,358000,65000,158000,111000,644000,33000,117000,47000,826000,186000,155000,355000,569000,291000,156000,95000,3000,165000,281000,76000,775000,198000,1619000,40000,1150000,258000,147000,209000,663000,852000,-288000,53000
IncomeEBIT,610000,1006000,1606000,383000,1242000,956000,904000,-586000,1599000,798000,1143000,945000,787000,1143000,1185000,1745000,1624000,1275000,510000,357000,910000,534000,623000,1482000,666000,1449000,2205000,1335000,793000,835000,2399000,1702000,336000,1824000,2826000,1583000,35000,1056000,2183000,-1357000,1543000,-411000,4916000,-325000,1171000,2520000,5476000,3563000,3197000,4889000,5039000
IncomeFinanceIncome,1000,46000,-46000,8000,-65000,87000,110000,98000,1000,13000,107000,-47000,43000,8000,144000,31000,276000,94000,174000,-125000,174000,-68000,56000,37000,35000,101000,-28000,11000,16000,-4000,8000,-5000,55000,-45000,5000,4000,79000,-13000,3000,48000,49000,192000,-96000,273000,-183000,52000,92000,199000,-126000,495000,301000
IncomeFinanceCosts,-22000,51000,170000,87000,100000,73000,71000,107000,60000,73000,232000,53000,360000,40000,85000,18000,15000,8000,5000,1000,71000,43000,287000,99000,357000,1140000,292000,631000,419000,546000,344000,241000,314000,258000,604000,595000,93000,420000,383000,696000,1080000,1108000,1193000,919000,1155000,320000,1307000,820000,720000,981000,
