,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,10209000,19916000,19559000,14851000,12005000,18472000,27581000,18858000,14308000,24201000,26093000,21784000,15808000,27441000,35309000,23404000,14995000,27754000,35533000,22510000,15831000,22493000,25686000,17145000,15073000,21307000,30666000,17274000,13926000,19940000,21874000,16239000,12778000,20440000,25777000,13564000,13056000,24041000
IncomeRevenues_yy,,,,,17.59,-7.25,41.01,26.98,19.18,31.01,-5.40,15.52,10.48,13.39,35.32,7.44,-5.14,1.14,0.63,-3.82,5.58,-18.96,-27.71,-23.83,-4.79,-5.27,19.39,0.75,-7.61,-6.42,-28.67,-5.99,-8.24,2.51,17.84,-16.47,2.18,17.62
IncomeRevenues_sy,,,,,12.84,13.89,22.40,22.36,22.16,17.24,11.98,14.00,9.18,0.09,-8.34,-5.27,-4.38,6.22,8.31,3.77,5.62,8.90,6.14,0.94,11.28,1.79,2.12,-1.20,-5.84,8.04,12.38,8.14,11.60,8.36,12.03,12.08,7.52,16.57
IncomeRevenues_qq,,95.08,-1.79,-24.07,-19.16,53.87,49.31,-31.63,-24.13,69.14,7.82,-16.51,-27.43,73.59,28.67,-33.72,-35.93,85.09,28.03,-36.65,-29.67,42.08,14.20,-33.25,-12.09,41.36,43.92,-43.67,-19.38,43.19,9.70,-25.76,-21.31,59.96,26.11,-47.38,-3.75,84.14
IncomeRevenues_sq,,12.38,1.24,-1.90,-4.70,19.34,10.57,-2.23,1.00,10.57,4.87,-1.28,-6.65,4.06,5.76,-3.59,-9.28,12.36,1.39,-6.83,-2.51,13.88,2.34,-7.27,3.76,6.32,-0.38,-3.70,-4.04,15.77,-0.34,-0.14,-4.55,4.54,4.73,1.58,1.11,2.19
IncomeCostOfSales,6957000,13697000,12211000,10976000,8582000,12930000,20255000,13719000,10677000,17047000,19777000,16018000,11667000,19542000,26606000,15179000,11511000,20191000,26450000,15410000,11698000,16422000,18901000,12751000,11385000,15775000,22107000,12632000,9954000,14096000,15958000,11359000,9952000,14870000,18049000,10277000,9434000,16861000
IncomeCostOfSales_yy,,,,,23.36,-5.60,65.88,24.99,24.41,31.84,-2.36,16.76,9.27,14.64,34.53,-5.24,-1.34,3.32,-0.59,1.52,1.62,-18.67,-28.54,-17.26,-2.68,-3.94,16.96,-0.93,-12.57,-10.64,-27.81,-10.08,-0.02,5.49,13.10,-9.53,-5.20,13.39
IncomeCostOfSales_sy,,,,,10.74,16.54,28.80,24.18,24.08,18.13,10.44,14.31,10.64,7.20,0.63,0.11,2.26,7.05,6.71,4.68,4.51,2.38,4.28,-0.79,7.99,-2.17,1.30,-6.12,-8.28,3.21,6.26,7.27,12.24,8.23,13.10,9.74,5.60,12.01
IncomeCostOfSales_qq,,96.88,-10.85,-10.11,-21.81,50.66,56.65,-32.27,-22.17,59.66,16.01,-19.01,-27.16,67.50,36.15,-42.95,-24.16,75.41,31.00,-41.74,-24.09,40.38,15.10,-32.54,-10.71,38.56,40.14,-42.86,-21.20,41.61,13.21,-28.82,-12.39,49.42,21.38,-43.06,-8.20,78.73
IncomeCostOfSales_sq,,9.62,1.80,-3.17,-2.20,19.51,11.69,-4.29,9.51,11.78,4.29,3.66,-10.64,5.26,0.32,-3.28,-9.54,12.90,1.64,-6.02,-6.07,9.36,-1.31,-7.99,-4.06,13.07,-0.62,-2.09,-4.52,16.79,-2.36,1.22,-2.07,8.59,4.03,1.08,-3.30,1.98
