,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,12446000,10998000,9476000,15451000,18583000,26993000,20602000,29643000,23450000,26756000,26328000,28769000,31065000,26176000,24173000,20516000,18644000,30777000,26945000,24607000,22955000,32164000,30410000,23362000,24184000,26226000,22446000,23457000,24576000,27536000,16916000,21594000,20579000,28949000,22193000,23673000,23091000,28198000,23529000,20841000
IncomeRevenues_yy,,,,,49.31,145.44,117.41,91.85,26.19,-0.88,27.79,-2.95,32.47,-2.17,-8.19,-28.69,-39.98,17.58,11.47,19.94,23.12,4.51,12.86,-5.06,5.35,-18.46,-26.19,0.41,1.62,5.00,-24.64,-7.94,-16.26,5.13,31.20,9.63,12.21,-2.59,6.02,-11.96
IncomeRevenues_sy,,,,,11.18,145.44,117.41,356.48,26.19,11.74,28.12,18.80,32.47,-2.17,-8.19,-28.69,-35.13,17.58,11.47,-7.92,5.08,4.51,10.94,10.54,-3.64,-20.82,-3.82,17.85,-6.22,30.36,-10.58,-0.04,6.11,-2.78,6.54,21.20,7.18,-9.79,2.12,-11.23
IncomeRevenues_qq,,-11.63,-13.84,63.05,20.27,45.26,-23.68,43.88,-20.89,14.10,-1.60,9.27,7.98,-15.74,-7.65,-15.13,-9.12,65.08,-12.45,-8.68,-6.71,40.12,-5.45,-23.18,3.52,8.44,-14.41,4.50,4.77,12.04,-38.57,27.65,-4.70,40.67,-23.34,6.67,-2.46,22.12,-16.56,-11.42
IncomeRevenues_sq,,-11.63,-20.44,53.69,43.48,45.26,2.78,6.50,-5.39,14.10,14.93,16.30,-24.56,-13.51,4.98,-15.13,-9.12,12.87,-12.45,-13.66,0.08,98.27,-27.59,-17.72,7.98,6.06,6.74,-1.50,-6.18,29.01,-20.04,6.24,-1.40,8.62,-10.67,3.75,2.38,5.63,-4.20,-10.40
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
