,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,29708000,22202000,21134000,27015000,35279000,17326000,30669000,21291000,53923000,29923000,21702000,32365000,50173000,27723000,43174000,26007000,56414000,24593000,27522000,8067000,-39420000,26945000,36835000,-26718000,12085000,1980000,806000,587000,932000,583000,556000,504000,730000,415000,15573000
IncomeRevenues_yy,,,,,18.75,-21.96,45.12,-21.19,52.85,72.71,-29.24,52.01,-6.95,-7.35,98.94,-19.64,12.44,-11.29,-36.25,-68.98,-169.88,9.56,33.84,-431.19,130.66,-92.65,-97.81,102.20,-92.29,-70.57,-31.03,-14.11,-21.64,-28.80,2700.85
IncomeRevenues_sy,,,,,22.88,27.45,27.06,26.64,15.12,16.99,-10.02,-14.81,-21.21,-21.66,-21.97,-13.92,-3.16,10.76,7.65,1.74,8.59,17.20,-0.54,-1.86,-2.84,-5.98,-3.72,-3.44,-1.66,-0.16,2.50,4.28,9.21,3.50,8.48
IncomeRevenues_qq,,-25.27,-4.81,27.83,30.59,-50.89,77.01,-30.58,153.27,-44.51,-27.47,49.13,55.02,-44.75,55.73,-39.76,116.92,-56.41,11.91,-70.69,-588.65,168.35,36.71,-172.53,145.23,-83.62,-59.29,-27.21,58.80,-37.46,-4.59,-9.35,44.86,-43.17,3653.21
IncomeRevenues_sq,,-38.04,46.49,15.96,17.46,-32.04,42.04,8.80,5.34,-43.67,23.02,-3.32,-5.52,-40.86,14.18,15.76,7.45,-26.57,33.37,3.46,12.08,-28.29,24.90,5.36,5.67,-32.50,15.91,10.40,8.95,-27.56,21.49,9.09,8.03,-30.65,18.03
IncomeCostOfSales,100640000,18023000,17603000,-27641000,79891000,14034000,27361000,18556000,42696000,26544000,,,122476000,25542000,36880000,27207000,50548000,24525000,28621000,21640000,-59357000,22030000,35407000,-26645000,6453000,1355000,-35000,462000,185000,38000,10000,3000,0,81000,12786000
IncomeCostOfSales_yy,,,,,-20.62,-22.13,55.43,167.13,-46.56,89.14,-100.00,-100.00,186.86,-3.77,,,-58.73,-3.98,-22.39,-20.46,-217.43,-10.18,23.71,-223.13,110.87,-93.85,-100.10,101.73,-97.13,-97.20,128.76,-99.35,-99.94,114.75,128518.04
IncomeCostOfSales_sy,,,,,22.08,43.05,35.68,28.16,23.33,24.38,-0.85,-9.95,-14.47,-21.23,,,-11.25,3.78,2.41,3.31,12.99,13.00,2.09,-5.86,-9.81,-7.94,-5.02,-5.54,2.68,2.38,4.93,4.75,2.61,6.89,15.93
IncomeCostOfSales_qq,,-82.09,-2.33,-257.02,389.03,-82.43,94.96,-32.18,130.09,-37.83,-100.00,,,-79.15,44.39,-26.23,85.79,-51.48,16.70,-24.39,-374.29,137.11,60.72,-175.25,124.22,-79.00,-102.55,1435.70,-59.85,-79.56,-73.76,-70.02,-96.04,68851.69,15614.66
IncomeCostOfSales_sq,,-40.09,44.61,14.00,13.82,-34.84,37.45,7.92,9.77,-39.07,25.49,,,-49.55,22.30,12.95,6.81,-27.36,25.34,6.15,11.20,-31.32,29.40,9.58,6.04,-37.65,21.10,11.14,22.70,-30.51,14.81,8.23,15.22,-33.23,25.66
