,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeRevenues,7285000,15311000,27180000,46201000,42238000,37568000,35108000,53510000,40745000,37656000,32521000,45274000,36680000,37656000,42506000,51745000,42492000,38362000,31500000,45771000,37320000,32922000,32111000,36947000,33700000,32579000,31256000,48452000,39121000,31198000,32572000,42133000,37074000,35137000,36101000,43522000,41306000,39485000,41736000,46229000,47962000,41680000,54464000,68687000,61709000,63646000,59360000
IncomeRevenues_yy,,,,,479.79,145.37,29.17,15.82,-3.53,0.23,-7.37,-15.39,-9.98,,30.70,14.29,15.85,1.87,-25.89,-11.55,-12.17,-14.18,1.94,-19.28,-9.70,-1.04,-2.66,31.14,16.09,-4.24,4.21,-13.04,-5.23,12.63,10.83,3.30,11.42,12.37,15.61,6.22,16.11,5.56,30.50,48.58,28.66,52.70,8.99
IncomeRevenues_sy,,,,,28.54,26.77,11.44,12.00,2.52,-7.36,-8.78,-12.53,-8.47,,24.80,17.55,15.38,20.53,14.60,4.28,12.14,1.88,4.36,6.83,8.34,16.27,13.21,10.10,9.54,9.18,6.23,15.50,10.84,11.06,14.46,3.86,2.60,3.77,1.73,2.72,11.63,7.72,5.74,7.43,6.40,10.37,13.78
IncomeRevenues_qq,,110.17,77.52,69.98,-8.58,-11.06,-6.55,52.42,-23.86,-7.58,-13.64,39.21,-18.98,2.66,12.88,21.74,-17.88,-9.72,-17.89,45.30,-18.46,-11.78,-2.46,15.06,-8.79,-3.33,-4.06,55.02,-19.26,-20.25,4.40,29.35,-12.01,-5.22,2.74,20.56,-5.09,-4.41,5.70,10.77,3.75,-13.10,30.67,26.11,-10.16,3.14,-6.73
IncomeRevenues_sq,,24.70,-2.87,56.48,-25.78,15.66,-5.90,37.14,-37.29,0.27,-10.14,33.22,-23.46,13.87,7.53,38.81,-34.28,7.69,3.15,34.82,-22.04,6.95,0.93,30.83,-19.51,5.10,1.22,27.00,-17.79,10.82,-3.36,27.56,-15.10,6.98,1.80,12.94,-15.04,9.31,0.12,24.36,-15.70,3.81,-7.71,25.36,-21.32,8.38,-5.64
IncomeCostOfSales,5681000,9221000,23264000,29901000,26140000,25297000,23472000,34951000,26492000,26350000,22278000,30436000,22473000,25984000,29717000,31769000,25503000,26996000,21507000,29415000,24323000,22880000,20722000,26070000,22935000,21741000,20160000,31699000,25391000,20682000,20841000,25317000,22303000,22235000,21842000,25274000,23395000,23748000,23022000,25828000,25999000,24009000,32237000,35896000,36111000,37339000,34416000
IncomeCostOfSales_yy,,,,,360.13,174.34,0.89,16.89,1.35,4.16,-5.09,-12.92,-15.17,-1.39,33.39,4.38,13.48,3.89,-27.63,-7.41,-4.63,-15.25,-3.65,-11.37,-5.71,-4.98,-2.71,21.59,10.71,-4.87,3.38,-20.13,-12.16,7.51,4.80,-0.17,4.90,6.80,5.40,2.19,11.13,1.10,40.03,38.98,38.89,55.52,6.76
IncomeCostOfSales_sy,,,,,19.50,30.53,13.03,13.38,2.39,-10.42,-11.87,-12.92,-5.98,-1.76,18.01,17.01,7.93,8.31,5.36,0.54,11.90,0.76,7.29,-3.33,8.19,12.83,4.51,6.52,7.93,5.13,3.38,5.31,4.88,6.19,4.92,0.75,-6.31,1.94,-8.10,3.48,8.48,8.60,5.53,3.52,8.19,14.52,12.39
IncomeCostOfSales_qq,,62.31,152.29,28.53,-12.58,-3.22,-7.21,48.91,-24.20,-0.54,-15.45,36.62,-26.16,15.62,14.37,6.91,-19.72,5.85,-20.33,36.77,-17.31,-5.93,-9.43,25.81,-12.03,-5.21,-7.27,57.24,-19.90,-18.55,0.77,21.48,-11.91,-0.30,-1.77,15.71,-7.43,1.51,-3.06,12.19,0.66,-7.65,34.27,11.35,0.60,3.40,-7.83
IncomeCostOfSales_sq,,29.42,-2.54,43.90,-30.12,17.54,-9.08,32.78,-37.76,4.60,-15.34,36.62,-25.54,9.85,2.19,33.71,-37.27,5.70,7.28,24.82,-34.66,4.80,-0.51,28.34,-13.88,5.68,-2.85,31.92,-20.38,9.08,-4.66,25.87,-20.02,7.68,-0.54,21.38,-26.23,13.10,-3.26,30.97,-27.25,5.23,-0.23,23.45,-26.02,7.03,-6.61
IncomeDistributionExpenses,514000,1049000,624000,2075000,2373000,2683000,2203000,2583000,2354000,1689000,1083000,1166000,1096000,744000,650000,1457000,1236000,1140000,648000,1033000,872000,887000,617000,834000,654000,2652000,1311000,1817000,1868000,1792000,2016000,2348000,1990000,2038000,1716000,2109000,1853000,1813000,1698000,2025000,2068000,1988000,3456000,4261000,3525000,3509000,3241000
IncomeDistributionExpenses_yy,,,,,361.67,155.77,253.04,24.48,-0.80,-37.05,-50.84,-54.86,-53.44,-55.95,-39.98,24.96,12.77,53.23,-0.31,-29.10,-29.45,-22.19,-4.78,-19.26,-25.00,198.99,112.48,117.87,185.63,-32.43,53.78,29.22,6.53,13.73,-14.88,-10.18,-6.88,-11.04,-1.05,-3.98,11.60,9.65,103.53,110.42,70.45,76.51,-6.22
IncomeDistributionExpenses_sy,,,,,21.04,39.38,31.86,15.37,16.04,3.20,0.34,-16.50,-1.10,11.57,17.82,25.57,10.47,30.27,-2.97,-6.27,2.73,-15.66,1.63,9.14,8.98,23.78,10.38,2.11,1.27,8.10,2.60,6.19,8.45,12.89,8.34,4.19,6.10,1.53,6.80,-2.40,5.31,-3.16,-7.62,-5.88,8.23,7.24,9.42
IncomeDistributionExpenses_qq,,104.09,-40.51,232.53,14.36,13.06,-17.89,17.25,-8.87,-28.25,-35.88,7.66,-6.00,-32.12,-12.63,124.15,-15.17,-7.77,-43.16,59.41,-15.59,1.72,-30.44,35.17,-21.58,305.50,-50.57,38.60,2.81,-4.07,12.50,16.47,-15.25,2.41,-15.80,22.90,-12.14,-2.16,-6.34,19.26,2.12,-3.87,73.84,23.29,-17.27,-0.45,-7.64
IncomeDistributionExpenses_sq,,11.55,3.40,54.92,-28.14,21.80,-10.64,46.15,-28.79,1.12,-8.48,16.14,-16.09,8.07,4.82,27.24,-26.71,8.28,-14.55,19.56,-10.27,5.33,-1.88,29.42,-20.68,3.64,0.64,15.29,-15.59,12.78,-3.69,22.90,-17.59,5.58,-1.42,22.52,-18.29,4.84,0.78,21.77,-14.18,3.55,-8.98,24.26,-18.52,4.92,-3.73
