,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
IncomeRevenues,3576000,5616000,4564000,3407000,4605000,4747000,6187000,5146000,6263000,6138000,5895000,6049000,6631000,6219000,6571000,7423000,7197000,6869000,7193000,6676000,6699000,7538000,6488000,6360000,6871000,7079000,9407000,17270000,13435000,6763000,7069000,12667000,6476000,11318000,5163000,4669000,7235000
IncomeCostOfSales,,1589000,930000,-650000,725000,471000,761000,7582000,741000,701000,791000,769000,1093000,1056000,516000,830000,765000,604000,810000,685000,664000,824000,616000,663000,810000,929000,1236000,6358000,6711000,440000,1135000,6720000,521000,4430000,290000,205000,2648000
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13000,,,,,,,1906000,1198000
IncomeAdministrativExpenses,1629000,1911000,1260000,1770000,2244000,-5274000,2087000,2284000,1895000,2398000,2725000,2432000,2545000,3453000,2980000,2937000,3242000,2784000,3097000,3270000,3155000,3378000,3150000,3376000,3650000,3446000,3397000,2777000,2532000,3314000,2697000,4077000,3309000,3283000,2494000,1670000,2829000
IncomeGrossProfit,2005000,2146000,2620000,2506000,3182000,2838000,3435000,3153000,3209000,2882000,2813000,2731000,3510000,3140000,3452000,3328000,3141000,3207000,2938000,3444000,2717000,2319000,2911000,2774000,4521000,7467000,3314000,3559000,3402000,2633000,3258000,2811000,1564000,1180000,2093000,102000,-33000
IncomeOtherOperatingIncome,80000,618000,438000,261000,455000,285000,37000,60000,105000,357000,35000,44000,73000,243000,117000,166000,185000,114000,174000,352000,287000,723000,426000,643000,733000,-481000,127000,252000,215000,235000,225000,442000,827000,761000,893000,,
IncomeOtherOperatingCosts,,307000,218000,16000,100000,160000,0,360000,19000,214000,14000,-3000,8000,35000,9000,10000,4000,99000,12000,271000,6000,87000,36000,107000,6000,143000,252000,308000,538000,-58000,480000,694000,538000,500000,1168000,1772000,2796000
IncomeEBIT,2085000,2457000,2840000,2751000,3537000,2963000,3472000,2853000,3295000,3025000,2834000,2778000,3575000,3348000,3560000,3484000,3322000,3222000,3100000,3525000,2998000,2954000,3301000,3310000,5248000,6842000,3189000,3503000,3079000,2926000,3003000,2559000,1853000,1442000,1818000,7000,0
IncomeFinanceIncome,1000,1000,2000,141000,292000,405000,359000,649000,577000,794000,847000,1767000,535000,1327000,967000,919000,960000,960000,985000,948000,936000,3847000,998000,1007000,1019000,1180000,989000,1399000,1582000,2087000,1486000,1207000,1377000,1613000,1195000,661000,732000
IncomeFinanceCosts,908000,1391000,1390000,980000,1480000,1274000,1594000,1392000,1685000,1799000,1684000,2481000,1737000,2194000,2023000,1853000,2182000,1581000,1578000,1733000,1838000,1701000,1670000,1615000,3436000,3844000,1579000,2392000,2032000,1724000,1803000,1112000,1058000,1311000,1342000,,
