,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,28474000,38990000,34377000,61278000,27101000,53283000,43166000,85298000,29622000,71995000,42966000,109158000,36913000,68983000,61504000,126048000,47500000,66496000,91629000,123516000,74408000,94757000,78876000,136353000,76320000,114931000,98069000,193259000,101630000,120639000,127722000,190091000,132828000,163291000,108739000,157361000,106286000,246501000,158162000,209940000,75082000,100966000,111016000,141342000,69259000,77158000,62651000,53023000,33519000,21028000
IncomeRevenues_yy,,,,,-4.82,36.66,25.57,39.20,9.30,35.12,-0.46,27.97,24.61,-4.18,43.15,15.47,28.68,-3.61,48.98,-2.01,56.65,42.50,-13.92,10.39,2.57,21.29,24.33,41.73,33.16,4.97,30.24,-1.64,30.70,35.36,-14.86,-17.22,-19.98,50.96,45.45,33.41,-29.36,-59.04,-29.81,-32.68,-7.76,-23.58,-43.57,-62.49,-51.60,-72.75
IncomeRevenues_sy,,,,,34.12,54.48,20.68,76.41,28.54,26.77,11.44,12.00,2.52,-7.36,-8.78,-12.53,-8.47,6.46,24.80,17.55,15.38,20.53,14.60,4.28,12.14,1.88,4.36,6.83,8.34,16.27,13.21,10.10,9.54,9.18,6.23,15.50,10.84,11.06,14.46,3.86,2.60,3.77,1.73,2.72,11.63,7.72,5.74,7.43,6.40,10.37
IncomeRevenues_qq,,36.93,-11.83,78.25,-55.77,96.61,-18.99,97.60,-65.27,143.05,-40.32,154.06,-66.18,86.88,-10.84,104.94,-62.32,39.99,37.80,34.80,-39.76,27.35,-16.76,72.87,-44.03,50.59,-14.67,97.06,-47.41,18.70,5.87,48.83,-30.12,22.93,-33.41,44.71,-32.46,131.92,-35.84,32.74,-64.24,34.47,9.95,27.32,-51.00,11.41,-18.80,-15.37,-36.78,-37.27
IncomeRevenues_sq,,21.28,-5.20,48.49,-28.59,24.70,-2.87,56.48,-25.78,15.66,-5.90,37.14,-37.29,0.27,-10.14,33.22,-23.46,13.87,7.53,38.81,-34.28,7.69,3.15,34.82,-22.04,6.95,0.93,30.83,-19.51,5.10,1.22,27.00,-17.79,10.82,-3.36,27.56,-15.10,6.98,1.80,12.94,-15.04,9.31,0.12,24.36,-15.70,3.81,-7.71,25.36,-21.32,8.38
IncomeCostOfSales,22369000,33008000,28426000,51160000,21629000,44794000,33783000,71444000,19474000,59966000,32069000,89126000,27192000,55146000,51435000,106591000,38994000,51276000,78087000,100729000,60845000,78749000,67534000,108917000,63868000,100366000,85892000,161260000,87690000,102218000,107350000,162200000,115467000,165461000,103041000,163724000,98958000,237006000,156989000,206168000,73301000,85813000,110715000,141754000,65530000,94032000,61944000,65758000,26159000,28193000
IncomeCostOfSales_yy,,,,,-3.31,35.71,18.85,39.65,-9.96,33.87,-5.07,24.75,39.63,-8.04,60.39,19.60,43.40,-7.02,51.82,-5.50,56.04,53.58,-13.51,8.13,4.97,27.45,27.18,48.06,37.30,1.85,24.98,0.58,31.68,61.87,-4.01,0.94,-14.30,43.24,52.36,25.92,-25.93,-63.79,-29.48,-31.24,-10.60,9.58,-44.05,-53.61,-60.08,-70.02
IncomeCostOfSales_sy,,,,,19.90,68.92,17.75,92.79,19.50,30.53,13.03,13.38,2.39,-10.42,-11.87,-12.92,-5.98,-1.76,18.01,17.01,7.93,8.31,5.36,0.54,11.90,0.76,7.29,-3.33,8.19,12.83,4.51,6.52,7.93,5.13,3.38,5.31,4.88,6.19,4.92,0.75,-6.31,1.94,-8.10,3.48,8.48,8.60,5.53,3.52,8.19,14.52
IncomeCostOfSales_qq,,47.56,-13.88,79.98,-57.72,107.10,-24.58,111.48,-72.74,207.93,-46.52,177.92,-69.49,102.80,-6.73,107.23,-63.42,31.50,52.29,29.00,-39.60,29.43,-14.24,61.28,-41.36,57.15,-14.42,87.75,-45.62,16.57,5.02,51.09,-28.81,43.30,-37.72,58.89,-39.56,139.50,-33.76,31.33,-64.45,17.07,29.02,28.04,-53.77,43.49,-34.12,6.16,-60.22,7.78
IncomeCostOfSales_sq,,14.06,-0.82,22.23,-26.93,29.42,-2.54,43.90,-30.12,17.54,-9.08,32.78,-37.76,4.60,-15.34,36.62,-25.54,9.85,2.19,33.71,-37.27,5.70,7.28,24.82,-34.66,4.80,-0.51,28.34,-13.88,5.68,-2.85,31.92,-20.38,9.08,-4.66,25.87,-20.02,7.68,-0.54,21.38,-26.23,13.10,-3.26,30.97,-27.25,5.23,-0.23,23.45,-26.02,7.03
