,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,10102000,9996000,10495000,8129000,10342000,11330000,14117000,14913000,16132000,17056000,18475000,20710000,24754000,29228000,28742000,25008000,29612000,30432000,33244000,32470000,35027000,35271000
IncomeCostOfSales,1848000,3521000,1249000,2826000,2698000,3106000,4200000,-823000,3587000,4390000,3945000,4814000,6217000,5563000,8242000,6299000,7782000,8036000,8394000,8477000,9420000,9062000
IncomeDistributionExpenses,,,,307000,,,,,,,,,,,,,,,,,3242000,616000
IncomeAdministrativExpenses,773000,1714000,2018000,169000,1271000,3061000,1657000,1600000,1958000,3097000,2049000,2380000,2004000,4161000,2395000,3423000,2977000,2575000,1649000,2142000,5012000,5859000
IncomeGrossProfit,8473000,3282000,5626000,8055000,8646000,12675000,10888000,11066000,12572000,12799000,16488000,21285000,18496000,14548000,19435000,18973000,21873000,21418000,23958000,24067000,0,19000
IncomeOtherOperatingIncome,272000,1461000,592000,62000,1743000,144000,740000,395000,473000,-701000,655000,158000,637000,447000,302000,2520000,-1606000,313000,577000,1233000,-19377000,-34772000
IncomeOtherOperatingCosts,23932000,11606000,-2267000,-3934000,5313000,78373000,69613000,-18668000,-13252000,-93842000,-2075000,-38433000,46957000,-58149000,104524000,-5793000,-45086000,34553000,-18894000,-80884000,24389000,40650000
IncomeEBIT,-15187000,-6863000,8485000,12051000,5076000,-65554000,-57985000,30129000,26297000,105940000,19218000,59876000,-27824000,73144000,-84787000,27286000,65353000,-12822000,43429000,106184000,211000,905000
IncomeFinanceIncome,863000,496000,1324000,-953000,3236000,843000,806000,583000,657000,602000,445000,-44696000,28020000,18885000,821000,686000,11727000,-11051000,656000,602000,5964000,2489000
IncomeFinanceCosts,131000,6984000,3036000,3431000,7993000,4446000,7958000,9659000,7287000,13359000,10337000,15935000,9077000,16367000,10247000,-27685000,47562000,9969000,9827000,61243000,-4496000,-9054000
IncomeOtherIncome,6641000,10485000,-2785000,-14755000,23873000,-14710000,-16543000,-5180000,-3186000,-42045000,49310000,,46727000,-10812000,14140000,30012000,-7814000,-2866000,3988000,10452000,319000,-83912000
IncomeNetGrossProfit,-41264000,6343000,3124000,88003000,6140000,2431000,-8881000,33617000,-44903000,6347000,29518000,12885000,23446000,56355000,,,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,14140000,30012000,-7814000,-2866000,3988000,10452000,319000,-83912000
IncomeBeforeTaxProfit,-41264000,6343000,3124000,88003000,6140000,2431000,-8881000,33617000,-44903000,6347000,29518000,12885000,23446000,56355000,,,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,12310000,34027000,-9620000,-9269000,3193000,7567000,-327000,-74048000
IncomeNetProfit,-53012000,13979000,4474000,90779000,5292000,3007000,-7117000,34029000,-52499000,24017000,23625000,-4858000,29205000,29945000,12310000,34031000,-17917000,-2873000,4380000,4089000,-973000,-68964000
IncomeShareholderNetProfit,-53407000,11115000,4059000,82185000,5009000,906000,-7441000,31465000,-45867000,25728000,18219000,-18000,28091000,26008000,,,,,,,,
BalanceNoncurrentAssets,1236531000,1307495000,1330867000,1365674000,1463096000,1565901000,1635686000,1636829000,1638215000,1741341000,1842122000,1981802000,2029346000,2085102000,2064106000,2151032000,2058609000,2167743000,2253899000,2243854000,2301794000,2414753000
BalanceIntangibleAssets,,,,,,,,,,,,,,,,,,,,,,
