,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,8283000,8418000,9775000,10938000,14308000,19883000,21691000,23183000,17510000,17031000,21139000,25835000,22807000,22547000,24498000,35404000,24541000,28412000,27509000,33472000,26891000,25805000,31028000,29752000,28406000,29036000,33334000,36578000,28828000,36310000,33966000,38115000,30312000,34769000,45316000,54182000,68988000,75618000,53815000,83271000,92419000,64861000,84259000,96774000,84764000,67739000,79563000,109542000,95009000,82689000
IncomeRevenues_yy,,,,,72.74,136.20,121.90,111.95,22.38,-14.34,-2.54,11.44,30.25,32.39,15.89,37.04,7.60,26.01,12.29,-5.46,9.58,-9.18,12.79,-11.11,5.63,12.52,7.43,22.94,1.49,25.05,1.90,4.20,5.15,-4.24,33.42,42.15,127.59,117.49,18.75,53.69,33.96,-14.23,56.57,16.22,-8.28,4.44,-5.57,13.19,12.09,22.07
IncomeRevenues_sy,,,,,72.74,40.22,49.59,35.60,22.38,20.50,24.13,9.96,4.73,10.39,2.92,0.90,3.89,-1.89,13.13,9.07,13.69,12.16,3.42,13.32,12.09,12.84,18.92,16.33,1.74,7.05,6.00,8.05,13.82,11.45,11.00,10.13,17.47,16.22,7.92,13.50,15.27,11.03,12.22,10.94,3.71,2.71,13.28,3.30,0.28,5.47
IncomeRevenues_qq,,1.63,16.12,11.90,30.81,38.96,9.09,6.88,-24.47,-2.74,24.12,22.21,-11.72,-1.14,8.65,44.52,-30.68,15.77,-3.18,21.68,-19.66,-4.04,20.24,-4.11,-4.52,2.22,14.80,9.73,-21.19,25.95,-6.46,12.22,-20.47,14.70,30.33,19.56,27.33,9.61,-28.83,54.74,10.99,-29.82,29.91,14.85,-12.41,-20.09,17.46,37.68,-13.27,-12.97
IncomeRevenues_sq,,12.75,16.65,41.24,-2.34,12.24,8.54,24.60,-19.51,5.44,10.45,16.36,-19.17,5.72,-6.50,20.86,-18.63,12.26,8.48,9.67,-18.97,22.45,2.72,23.39,-14.84,11.77,3.64,8.09,-20.17,18.91,-1.46,15.10,-16.70,18.19,4.60,10.24,-12.68,18.01,-2.16,16.32,-13.90,16.79,-2.37,7.05,-14.88,17.54,-0.20,14.40,-22.04,19.66
IncomeCostOfSales,4859000,5859000,6694000,7205000,7608000,-26455000,49717000,11060000,9797000,8975000,8994000,34578000,17585000,17298000,17823000,25818000,18916000,20755000,19136000,23632000,19195000,17235000,21938000,18718000,19776000,19176000,22562000,25352000,17987000,26532000,19842000,24879000,18720000,22190000,29349000,39460000,54936000,62573000,40682000,67597000,78328000,51557000,68653000,78764000,69728000,52924000,62735000,90745000,79564000,66734000
IncomeCostOfSales_yy,,,,,56.58,-551.53,642.71,53.50,28.77,133.93,-81.91,212.64,79.49,92.74,98.17,-25.33,7.57,19.98,7.37,-8.47,1.47,-16.96,14.64,-20.79,3.03,11.26,2.84,35.44,-9.05,38.36,-12.06,-1.87,4.08,-16.37,47.91,58.61,193.46,181.99,38.61,71.31,42.58,-17.61,68.76,16.52,-10.98,2.65,-8.62,15.21,14.11,26.09
IncomeCostOfSales_sy,,,,,56.58,31.87,55.53,24.74,21.93,39.58,22.12,23.29,16.84,12.88,7.38,-4.50,5.12,-4.76,11.60,0.45,9.09,7.75,-6.46,16.39,8.54,17.02,26.60,19.62,-1.86,9.30,-2.98,1.74,9.33,11.04,16.00,15.20,15.97,31.62,14.76,14.30,16.56,9.72,8.42,11.96,16.41,9.28,18.67,6.86,5.61,6.16
IncomeCostOfSales_qq,,20.58,14.25,7.63,5.59,-447.73,287.93,-77.75,-11.42,-8.39,0.21,284.46,-49.14,-1.63,3.04,44.86,-26.73,9.72,-7.80,23.49,-18.78,-10.21,27.29,-14.68,5.65,-3.03,17.66,12.37,-29.05,47.51,-25.21,25.39,-24.76,18.54,32.26,34.45,39.22,13.90,-34.98,66.16,15.87,-34.18,33.16,14.73,-11.47,-24.10,18.54,44.65,-12.32,-16.13
IncomeCostOfSales_sq,,-4.80,22.71,29.06,3.63,-11.64,18.64,11.08,-11.42,-8.06,11.12,3.32,-6.07,-3.22,1.75,21.02,-4.50,5.79,14.58,-7.14,-5.22,-5.69,7.60,14.72,-4.62,2.07,17.66,3.70,-15.50,14.89,1.36,5.63,-11.32,10.44,6.04,8.38,-11.00,11.40,-0.24,12.08,-11.80,11.94,2.11,14.73,-12.21,11.66,5.21,18.86,-15.59,6.69
IncomeDistributionExpenses,509000,1041000,533000,1010000,1739000,966000,1479000,136000,1821000,830000,1672000,2748000,2020000,3758000,3299000,4669000,3408000,3894000,4025000,5913000,4546000,5326000,5097000,5881000,5660000,6293000,6202000,7020000,7560000,5854000,11601000,10724000,9799000,10197000,9659000,12972000,9211000,9760000,9500000,11088000,9635000,9788000,10457000,12071000,10414000,10480000,10865000,13318000,10626000,11452000
IncomeDistributionExpenses_yy,,,,,241.65,-7.20,177.49,-86.53,4.72,-14.08,13.05,1920.59,10.93,352.77,97.31,69.91,68.71,3.62,22.01,26.64,33.39,36.77,26.63,-0.54,24.51,18.16,21.68,19.37,33.57,-6.98,87.05,52.76,29.62,74.19,-16.74,20.96,-6.00,-4.29,-1.65,-14.52,4.60,0.29,10.07,8.87,8.09,7.07,3.90,10.33,2.04,9.27
IncomeDistributionExpenses_sy,,,,,84.88,47.25,76.06,56.63,42.37,50.44,37.04,36.84,39.52,17.54,17.95,2.44,-1.88,3.14,8.40,7.88,9.16,9.67,6.90,6.31,15.98,18.10,14.87,11.00,3.56,13.18,9.79,12.14,13.00,19.83,16.01,7.98,15.06,6.30,9.13,11.27,19.15,22.35,14.36,17.50,23.08,19.95,19.76,16.76,5.72,13.07
IncomeDistributionExpenses_qq,,104.52,-48.80,89.49,72.18,-44.45,53.11,-90.80,1238.97,-54.42,101.45,64.35,-26.49,86.04,-12.21,41.53,-27.01,14.26,3.36,46.91,-23.12,17.16,-4.30,15.38,-3.76,11.18,-1.45,13.19,7.69,-22.57,98.17,-7.56,-8.63,4.06,-5.28,34.30,-28.99,5.96,-2.66,16.72,-13.10,1.59,6.83,15.43,-13.73,0.63,3.67,22.58,-20.21,7.77
IncomeDistributionExpenses_sq,,27.28,5.01,53.65,-0.01,10.66,10.25,31.16,-6.70,17.68,-3.19,30.56,-8.74,7.58,-6.94,13.91,-11.28,6.53,2.69,10.47,-12.12,8.62,-2.04,14.44,-6.59,7.97,0.26,8.91,-9.85,6.13,1.46,9.48,-8.20,10.70,-0.47,9.74,-6.31,7.07,-0.89,16.72,-9.60,11.28,-0.14,15.83,-7.52,6.26,-0.54,10.14,-11.94,8.02
IncomeAdministrativExpenses,1865000,1530000,2095000,2174000,3901000,6419000,6271000,9686000,4991000,6267000,8208000,-14627000,1916000,735000,1146000,1553000,1399000,1837000,1915000,795000,954000,1175000,1263000,1558000,1043000,1166000,957000,1353000,1366000,1500000,1501000,1433000,1369000,1211000,2719000,-93000,1238000,1544000,1293000,1544000,1243000,1834000,1283000,1601000,1255000,1892000,1093000,2168000,1223000,1056000
IncomeAdministrativExpenses_yy,,,,,109.17,319.54,199.33,345.54,27.94,-2.37,30.89,-251.01,-61.61,-88.27,-86.04,110.62,-26.98,149.93,67.10,-48.81,-31.81,-36.04,-34.05,95.97,9.33,-0.77,-24.23,-13.16,30.97,28.64,56.84,5.91,0.22,-19.27,81.15,-106.49,-9.57,27.50,-52.45,1760.22,0.40,18.78,-0.77,3.69,0.97,3.16,-14.81,35.42,-2.55,-44.19
IncomeAdministrativExpenses_sy,,,,,50.40,62.19,27.85,53.21,35.04,17.00,31.86,21.84,5.69,-2.50,-5.72,-26.67,-7.36,-2.30,-7.59,-1.96,-7.57,10.52,10.92,-3.43,7.72,-5.82,-12.72,8.34,3.20,9.90,13.70,-5.74,-2.36,18.22,-0.24,5.56,8.98,11.70,14.94,8.94,7.61,10.59,0.20,14.98,12.23,12.42,6.59,-0.05,3.83,-1.75
IncomeAdministrativExpenses_qq,,-17.96,36.93,3.77,79.44,64.55,-2.31,54.46,-48.47,25.57,30.97,-278.20,113.10,-61.64,55.92,35.51,-9.92,31.31,4.25,-58.49,20.00,23.17,7.49,23.36,-33.06,11.79,-17.92,41.38,0.96,9.81,0.07,-4.53,-4.47,-11.54,124.53,-103.42,1431.18,24.72,-16.26,19.41,-19.49,47.55,-30.04,24.79,-21.61,50.76,-42.23,98.35,-43.59,-13.65
IncomeAdministrativExpenses_sq,,7.16,18.20,15.40,16.74,18.58,-7.98,40.18,-7.48,10.58,3.78,20.54,-13.68,-2.15,-3.76,19.08,-16.11,-1.31,-3.25,4.30,1.81,7.10,0.46,3.21,-16.41,5.40,-3.82,11.44,-4.56,4.46,0.03,-1.86,-5.04,11.96,-0.39,10.18,-3.50,5.02,-1.14,0.44,-6.66,2.94,3.09,24.79,-10.90,16.00,-6.22,9.10,-5.88,7.89
IncomeGrossProfit,1050000,-12000,453000,549000,1060000,1259000,1918000,2301000,901000,959000,2265000,3136000,1286000,756000,2230000,3364000,818000,1926000,2433000,3132000,2196000,2069000,2730000,3595000,1927000,2401000,3613000,2853000,1915000,2424000,1022000,1079000,424000,1171000,3589000,1843000,3603000,1741000,2340000,3042000,3213000,1682000,3866000,4338000,3367000,2443000,4870000,3311000,3596000,3447000
IncomeGrossProfit_yy,,,,,0.95,10591.67,323.40,319.13,-15.00,-23.83,18.09,36.29,42.73,-21.17,-1.55,7.27,-36.39,154.76,9.10,-6.90,168.46,7.42,12.21,14.78,-12.25,16.05,32.34,-20.64,-0.62,0.96,-71.71,-62.18,-77.86,-51.69,251.17,70.81,749.76,48.68,-34.80,65.06,-10.82,-3.39,65.21,42.60,4.79,45.24,25.97,-23.67,6.80,41.10
IncomeGrossProfit_sy,,,,,24.95,44.16,45.93,43.09,25.19,49.34,14.31,-56.69,-114.40,-21.17,-53.57,21.26,35.06,39.87,51.12,41.27,18.09,67.87,7.56,-3.18,14.48,-48.83,-34.83,-6.30,-31.16,39.45,23.94,109.40,47.01,14.84,35.06,-8.16,5.41,23.82,-14.36,11.18,-2.71,3.41,-10.77,12.45,-32.56,3.30,25.97,11.56,2.60,24.93
IncomeGrossProfit_qq,,-101.14,3875.00,21.19,93.08,18.77,52.34,19.97,-60.84,6.44,136.18,38.45,-58.99,-41.21,194.97,50.85,-75.68,135.45,26.32,28.73,-29.89,-5.78,31.95,31.68,-46.40,24.60,50.48,-21.04,-32.88,26.58,-57.84,5.58,-60.70,176.18,206.49,-48.65,95.50,-51.68,34.41,30.00,5.62,-47.65,129.85,12.21,-22.38,-27.44,99.35,-32.01,8.61,-4.14
IncomeGrossProfit_sq,,1.76,68.74,32.91,-19.65,40.81,16.68,78.17,-60.84,45.01,-24.29,23.21,-105.66,74.00,-37.44,159.69,-73.41,135.61,20.95,79.53,-86.33,167.62,-5.74,81.01,-69.48,91.01,-50.34,62.46,-88.66,178.69,-24.59,99.72,-79.14,181.23,-9.96,27.36,-80.03,182.18,-38.05,100.87,-81.79,147.09,-53.28,76.79,-94.59,101.05,-5.92,44.84,-106.00,125.03
IncomeOtherOperatingIncome,17000,58000,54000,243000,1000,2000,16000,123000,51000,243000,61000,250000,159000,244000,87000,199000,84000,924000,182000,235000,179000,139000,148000,270000,193000,96000,148000,209000,83000,185000,298000,686000,176000,131000,119000,331000,104000,282000,124000,-22000,126000,139000,83000,534000,267000,111000,143000,107000,340000,206000
IncomeOtherOperatingIncome_yy,,,,,-94.12,-96.55,-70.37,-49.38,5000.00,12050.00,281.25,103.25,211.76,0.41,42.62,-20.40,-47.17,278.69,109.20,18.09,113.10,-84.96,-18.68,14.89,7.82,-30.94,,-22.59,-56.99,92.71,101.35,228.23,112.05,-29.19,-60.07,-51.75,-40.91,115.27,4.20,-106.65,21.15,-50.71,-33.06,2527.27,111.90,-20.14,72.29,-79.96,27.34,85.59
IncomeOtherOperatingIncome_sy,,,,,125.55,5.29,22.20,45.86,48.15,19.33,41.48,8.42,174.39,132.52,0.64,65.50,12.30,-21.31,52.78,26.32,-17.60,-23.47,-14.95,82.77,6.26,11.80,,-23.71,16.60,8.49,45.34,65.13,4.07,-46.60,-35.49,-17.94,-26.60,15.93,-14.40,2.92,13.84,12.30,0.32,-8.62,-11.86,-11.46,-7.47,-6.81,26.46,-16.90
