,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,25750000,25731000,23101000,22868000,26151000,23581000,21380000,23257000,26424000,26094000,28157000,23212000,24649000,36616000,32554000,27058000,39809000,37785000,36434000,35768000,34696000,32019000,27190000,27665000,34546000,29945000,29608000,25335000,26458000,25474000,22430000,20438000,22311000,20126000,20745000,16274000,15554000,12816000,-868000,-4612000,4310000,76000,1719000,888000,444000,337000
IncomeRevenues_yy,,,,,1.56,-8.36,-7.45,1.70,1.04,10.66,31.70,-0.19,-6.72,40.32,15.62,16.57,61.50,3.19,11.92,32.19,-12.84,-15.26,-25.37,-22.65,-0.43,-6.48,8.89,-8.42,-23.41,-14.93,-24.24,-19.33,-15.67,-20.99,-7.51,-20.37,-30.29,-36.32,-104.18,-128.34,-72.29,-99.41,298.04,119.25,-89.70,343.42
IncomeRevenues_sy,,,,,9.37,9.93,0.66,3.49,-19.80,-14.82,-19.75,1.85,-6.72,12.47,15.62,22.68,31.04,22.93,19.94,22.76,6.70,4.36,-5.84,-3.56,-3.67,-2.42,2.62,7.53,5.61,7.17,6.43,5.54,7.78,6.02,6.94,3.25,-5.02,-2.64,-2.84,7.26,13.96,12.29,20.89,16.83,13.98,12.35
IncomeRevenues_qq,,-0.07,-10.22,-1.01,14.36,-9.83,-9.33,8.78,13.62,-1.25,7.91,-17.56,6.19,48.55,-11.09,-16.88,47.12,-5.08,-3.58,-1.83,-3.00,-7.72,-15.08,1.75,24.87,-13.32,-1.13,-14.43,4.43,-3.72,-11.95,-8.88,9.16,-9.79,3.08,-21.55,-4.42,-17.60,-106.77,-431.34,193.45,-98.24,2161.84,-48.34,-50.00,-24.10
IncomeRevenues_sq,,3.62,2.81,-6.58,8.02,4.32,-0.18,-17.54,-3.52,0.14,5.68,3.18,0.81,12.30,5.77,2.13,12.24,3.94,2.70,0.76,5.54,0.23,-4.73,-3.61,4.13,2.10,4.86,-7.34,4.42,4.51,4.56,-5.52,8.09,4.04,1.75,-9.83,4.70,6.78,-2.70,-4.48,16.06,0.62,1.69,0.37,11.72,0.52
IncomeCostOfSales,16903000,16643000,14453000,15102000,17033000,15111000,14005000,15873000,18857000,16080000,20392000,17994000,18158000,23881000,25723000,16997000,27498000,25299000,23129000,18018000,23041000,22946000,17875000,20192000,27161000,20814000,21814000,17390000,19114000,17351000,14829000,11843000,14972000,14296000,14168000,12419000,11610000,9285000,-1394000,-3530000,3441000,-166000,152000,256000,113000,0
IncomeCostOfSales_yy,,,,,0.77,-9.21,-3.10,5.11,10.71,6.41,45.61,13.36,-3.71,48.51,26.14,-5.54,51.44,5.94,-10.08,6.01,-16.21,-9.30,-22.72,12.07,17.88,-9.29,22.04,-13.88,-29.63,-16.64,-32.02,-31.90,-21.67,-17.61,-4.46,4.86,-22.46,-35.05,-109.84,-128.42,-70.36,-101.79,110.90,107.25,-96.72,100.00
IncomeCostOfSales_sy,,,,,12.79,15.89,4.96,0.20,-17.44,-17.84,-20.42,-4.28,-1.58,13.06,28.41,27.44,34.70,26.88,26.06,14.72,14.73,9.38,0.67,-1.58,-10.53,-1.52,0.30,2.70,-0.67,5.65,4.78,1.83,8.85,6.92,5.14,2.06,-11.08,-7.58,-5.72,5.02,19.74,16.66,21.85,17.04,13.00,9.94
IncomeCostOfSales_qq,,-1.54,-13.16,4.49,12.79,-11.28,-7.32,13.34,18.80,-14.73,26.82,-11.76,0.91,31.52,7.71,-33.92,61.78,-8.00,-8.58,-22.10,27.88,-0.41,-22.10,12.96,34.51,-23.37,4.80,-20.28,9.91,-9.22,-14.54,-20.14,26.42,-4.52,-0.90,-12.34,-6.51,-20.03,-115.01,-153.23,197.48,-104.82,191.57,68.42,-55.86,-100.00
IncomeCostOfSales_sq,,2.72,4.77,3.69,-0.34,6.49,1.51,-19.82,-8.75,0.64,3.58,1.75,9.64,6.32,8.59,3.55,10.69,2.71,3.12,6.31,9.92,-0.93,1.40,-2.52,2.43,-4.37,3.10,-2.99,6.01,3.49,1.19,-6.38,11.82,4.88,-2.34,-7.60,-0.16,2.49,-3.13,-2.58,15.87,0.56,-0.55,2.60,8.89,0.26
