,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,16986000,16520000,13540000,41549000,20882000,18802000,18905000,31916000,35653000,55284000,60768000,87887000,71078000,89898000,88348000,85754000,91595000,88943000,90933000,99234000,89967000,79582000
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,12080000,5931000,8062000,7142000,8333000,8109000,9820000,18828000,37795000,42920000,48355000,45232000,60745000,,,,,,1866000,1364000,3518000
IncomeAdministrativExpenses,1387000,1357000,1728000,6013000,1725000,3261000,2127000,4354000,2160000,2685000,,,,,10094000,9466000,6245000,29969000,12353000,9112000,9068000,16083000
IncomeGrossProfit,15100000,14228000,15721000,35178000,23686000,26468000,30430000,22052000,34071000,30529000,26338000,13589000,29432000,19796000,120000,302000,23000,485000,1000,60000,290000,35000
IncomeOtherOperatingIncome,127000,66000,111000,366000,172000,482000,79000,3000,75000,82000,219000,453000,124000,1067000,3545000,2986000,985000,4135000,2500000,3000,610000,2216000
IncomeOtherOperatingCosts,3376000,850000,3285000,2666000,4876000,5987000,2088000,2230000,5331000,4445000,1641000,-5638000,1414000,570000,6668000,6783000,5283000,26319000,9854000,9169000,8748000,13902000
IncomeEBIT,11851000,13444000,12547000,32878000,18982000,20963000,28421000,19825000,28815000,26166000,24916000,19680000,28142000,20293000,159000,134000,68000,95000,137000,120000,939000,1292000
IncomeFinanceIncome,1392000,1038000,1061000,1032000,1230000,1211000,1461000,993000,1419000,1187000,16140000,2092000,871000,934000,3000,1000,-1000,42000,50000,24000,16000,77000
IncomeFinanceCosts,0,4000,1000,0,3000,0,444000,-442000,10000,83000,83000,224000,119000,231000,124000,126000,318000,262000,58000,175000,162000,89000
IncomeOtherIncome,236000,-66000,-169000,112000,340000,104000,,,,,6948000,7042000,5670000,26634000,9999000,9440000,9833000,15206000,13479000,14412000,13438000,34022000
IncomeNetGrossProfit,20549000,22278000,28994000,21260000,30224000,27270000,40973000,21548000,28894000,20996000,,,,,,,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,6948000,7042000,5670000,26634000,9999000,9440000,9833000,15206000,13479000,14412000,13438000,34022000
IncomeBeforeTaxProfit,20549000,22278000,28994000,21260000,30224000,27270000,40973000,21548000,28894000,20996000,,,,,,,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,4491000,6421000,4459000,22193000,8576000,7246000,8160000,12172000,11683000,11124000,11269000,27609000
IncomeNetProfit,16681000,17932000,23723000,15963000,21318000,25593000,35938000,17100000,23107000,17227000,4491000,6421000,4459000,22193000,8576000,7246000,8160000,12172000,11683000,11124000,11269000,27609000
IncomeShareholderNetProfit,16681000,17932000,23723000,15963000,21318000,25593000,35938000,17100000,22494000,16641000,,,,,,,,,,,,
BalanceNoncurrentAssets,,4681000,4712000,6559000,6596000,4483000,4772000,5307000,5197000,13564000,13392000,13284000,12797000,38492000,67329000,115595000,13423000,14281000,18763000,12245000,9956000,9521000
BalanceIntangibleAssets,,,,,,0,0,0,0,7853000,7459000,7068000,6674000,6279000,7849000,7848000,7844000,7845000,8875000,7912000,7893000,7906000
BalanceProperty,,129000,144000,139000,137000,137000,125000,155000,157000,488000,437000,287000,389000,478000,521000,522000,515000,515000,1229000,1011000,880000,915000
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,
