,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,5511000,5589000,5296000,5908000,7385000,6756000,8805000,7999000,11486000,10044000,11505000,11709000,12235000,13162000,13711000,13509000,14283000,14509000,14957000,15318000,16292000,16787000,17165000,18544000,20365000,21561000,23829000,22056000,24608000,27007000,26317000,27716000,28790000,31100000,31161000
IncomeRevenues_yy,,,,,34.00,20.88,66.26,35.39,55.53,48.67,30.66,46.38,6.52,31.04,19.17,15.37,16.74,10.23,9.09,13.39,14.07,15.70,14.76,21.06,25.00,28.44,38.82,18.94,20.83,25.26,10.44,25.66,16.99,15.16,18.41
IncomeRevenues_sy,,,,,19.42,6.14,13.96,14.37,9.16,13.89,10.85,3.12,9.90,4.68,9.87,8.11,14.70,10.97,14.47,16.92,7.31,8.46,7.60,8.43,8.35,12.46,10.94,9.72,7.20,12.39,11.06,12.57,13.14,7.74,14.42
IncomeRevenues_qq,,1.42,-5.24,11.56,25.00,-8.52,30.33,-9.15,43.59,-12.55,14.55,1.77,4.49,7.58,4.17,-1.47,5.73,1.58,3.09,2.41,6.36,3.04,2.25,8.03,9.82,5.87,10.52,-7.44,11.57,9.75,-2.55,5.32,3.88,8.02,0.20
IncomeRevenues_sq,,-2.03,7.83,0.15,5.94,-13.58,7.40,4.58,5.29,-7.22,5.74,-0.74,3.95,-14.07,12.16,2.66,10.72,-5.10,9.18,3.00,5.59,-7.96,12.18,-0.32,7.94,-6.38,7.48,0.24,5.31,-1.71,4.43,2.23,6.21,-1.39,4.50
IncomeCostOfSales,4011000,3617000,4273000,3108000,8067000,5159000,7185000,9450000,7419000,9047000,12061000,10741000,11544000,11816000,12352000,11623000,12661000,12863000,13049000,12992000,13962000,14217000,14860000,16234000,19024000,19515000,21043000,19496000,22602000,24029000,24517000,24143000,25403000,26398000,26543000
IncomeCostOfSales_yy,,,,,101.12,42.63,68.15,204.05,-8.03,75.36,67.86,13.66,55.60,30.61,2.41,8.21,9.68,8.86,5.64,11.78,10.28,10.53,13.88,24.95,36.26,37.27,41.61,20.09,18.81,23.13,16.51,23.84,12.39,9.86,8.26
IncomeCostOfSales_sy,,,,,11.30,4.68,-2.33,18.08,3.80,20.58,18.66,-5.50,-1.40,2.31,4.74,3.30,3.08,6.28,12.98,12.67,6.69,9.95,8.54,7.58,6.72,10.16,2.30,9.02,-5.88,24.50,6.83,22.45,24.04,7.06,23.18
IncomeCostOfSales_qq,,-9.82,18.14,-27.26,159.56,-36.05,39.27,31.52,-21.49,21.94,33.31,-10.94,7.48,2.36,4.54,-5.90,8.93,1.60,1.45,-0.44,7.47,1.83,4.52,9.25,17.19,2.58,7.83,-7.35,15.93,6.31,2.03,-1.53,5.22,3.92,0.55
IncomeCostOfSales_sq,,-13.60,21.37,-9.14,11.05,-12.17,5.62,6.01,1.96,-4.29,11.20,-2.30,7.06,-12.56,4.54,,8.28,-4.89,12.79,1.42,3.43,-9.14,12.36,-0.44,2.34,-8.21,9.19,-5.61,,6.31,4.96,4.18,1.47,-2.64,2.09
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,848000,462000,679000,2141000,-1020000,600000,695000,555000,1787000,579000,1281000,1667000,1533000,1180000,532000,784000,964000,877000,912000,807000,809000,811000,841000,932000,945000,968000,1110000,1352000,1405000,950000,1109000,1078000,1089000,1180000,1233000
IncomeAdministrativExpenses_yy,,,,,-220.28,29.87,2.36,-74.08,275.20,-3.50,84.32,200.36,-14.21,103.80,-58.47,-52.97,-37.12,-25.68,71.43,2.93,-16.08,-7.53,-7.79,15.49,16.81,19.36,31.99,45.06,48.68,-1.86,-0.09,-20.27,-22.49,24.21,11.18
IncomeAdministrativExpenses_sy,,,,,-12.17,17.32,9.79,17.17,10.27,6.69,8.48,-0.28,-4.19,3.66,3.65,8.22,-4.37,1.24,5.68,2.44,0.98,3.94,5.84,0.87,12.04,11.39,18.61,9.22,13.75,2.52,8.10,2.78,-5.63,10.40,6.14
IncomeAdministrativExpenses_qq,,-45.52,46.97,215.32,-147.64,158.82,15.83,-20.14,221.98,-67.60,121.24,30.13,-8.04,-23.03,-54.92,47.37,22.96,-9.02,3.99,-11.51,0.25,0.25,3.70,10.82,1.39,2.43,14.67,21.80,3.92,-32.38,16.74,-2.80,1.02,8.36,4.49
IncomeAdministrativExpenses_sq,,-21.61,18.76,-8.71,31.28,-6.88,3.08,-6.42,34.44,-21.66,5.50,-3.75,32.95,-17.24,10.18,-2.96,15.24,-12.64,7.93,0.82,13.01,-15.38,2.15,6.45,15.81,-7.08,3.60,0.98,14.29,-13.90,10.30,-3.22,12.75,-17.22,9.46
IncomeGrossProfit,652000,1510000,344000,659000,338000,997000,925000,-2006000,2280000,418000,-1837000,-699000,-842000,166000,827000,1102000,658000,769000,996000,1519000,1521000,1759000,1464000,1378000,396000,1078000,1676000,1208000,601000,2028000,691000,2495000,2298000,3522000,3385000
IncomeGrossProfit_yy,,,,,-48.16,-33.97,168.90,-404.40,574.56,-58.07,-298.59,65.15,-136.93,-60.29,145.02,257.65,178.15,363.25,20.44,37.84,131.16,128.74,46.99,-9.28,-73.96,-38.72,14.48,-12.34,51.77,88.13,-58.77,106.54,282.36,73.67,389.87
IncomeGrossProfit_sy,,,,,7.22,-21.40,31.43,10.63,52.20,21.25,-14.25,-15.59,-35.32,-4.25,13.30,15.00,45.52,56.85,6.06,29.68,42.25,36.97,46.18,9.65,-15.76,-29.56,-13.08,-9.79,5.09,3.05,-5.43,5.66,-11.86,-8.32,19.41
IncomeGrossProfit_qq,,131.60,-77.22,91.57,-48.71,194.97,-7.22,-316.86,213.66,-81.67,-539.47,61.95,-20.46,119.71,398.19,33.25,-40.29,16.87,29.52,52.51,0.13,15.65,-16.77,-5.87,-71.26,172.22,55.47,-27.92,-50.25,237.44,-65.93,261.07,-7.90,53.26,-3.89
IncomeGrossProfit_sq,,57.94,-6.86,56.37,-36.04,-0.80,8.40,26.21,19.73,-46.32,-37.22,40.19,-16.21,-36.51,33.70,17.53,-9.35,-5.56,12.14,20.96,3.02,3.32,0.72,1.82,-22.23,-5.48,-8.16,-6.93,5.79,13.53,-25.14,31.12,-28.36,12.68,3.02
IncomeOtherOperatingIncome,137000,65000,105000,110000,110000,263000,198000,870000,-59000,222000,759000,-534000,52000,83000,145000,117000,122000,86000,91000,93000,204000,98000,117000,140000,213000,270000,157000,177000,217000,126000,176000,194000,184000,150000,142000
