,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,4029000,1338000,3825000,7633000,12531000,10401000,46128000,60227000,17758000,12385000,12239000,12058000,11031000,78437000,54458000,42350000,33716000,25678000,53122000,37620000,29244000,26750000,25652000,34711000,29035000,87003000,49572000,47206000,32452000,79991000,64087000,71381000,60637000,162738000,117858000,92057000,53936000,186010000,86270000,209654000,67831000,183281000,192184000,162273000,227093000,124637000,258051000,229656000
IncomeCostOfSales,2579000,375000,798000,5621000,4571000,3662000,28406000,37422000,5598000,3370000,3049000,3049000,2702000,46824000,31818000,24445000,18373000,13007000,33383000,24556000,18574000,14569000,13926000,21460000,17781000,63055000,35544000,33296000,19615000,50982000,35956000,40180000,35223000,113931000,75985000,54060000,26646000,121732000,50811000,136861000,33804000,117704000,112705000,102801000,149788000,80066000,159143000,136377000
IncomeDistributionExpenses,,,0,0,0,0,1395000,2479000,803000,1139000,223000,994000,629000,689000,502000,405000,416000,583000,632000,684000,924000,1407000,1248000,1610000,2081000,2687000,1067000,1178000,1518000,3401000,1722000,1875000,2025000,4421000,2672000,3195000,2850000,4275000,3018000,3564000,3597000,3724000,3822000,3544000,3988000,4159000,4173000,4868000
IncomeAdministrativExpenses,2474000,4747000,3614000,4220000,7426000,2366000,3541000,3975000,3849000,3587000,2592000,1481000,1826000,2657000,2280000,2258000,2102000,3713000,2539000,2521000,3493000,3179000,2573000,2587000,2287000,5360000,2821000,3010000,4411000,4869000,3143000,4398000,3276000,5467000,3133000,3784000,3531000,12543000,5151000,8376000,4664000,8597000,4410000,8100000,5438000,17172000,7194000,11165000
IncomeGrossProfit,-1024000,-3784000,-587000,-2208000,534000,4373000,12786000,16351000,7508000,4289000,6375000,6534000,5874000,28267000,19858000,15242000,12825000,8375000,16568000,9859000,6253000,7595000,7905000,9054000,6886000,15901000,10140000,9722000,6908000,20739000,23266000,24928000,20113000,38919000,36068000,31018000,20909000,47460000,27290000,60853000,25766000,53256000,71247000,47828000,67879000,23240000,87541000,77246000
IncomeOtherOperatingIncome,225000,13000,25000,1464000,138834000,-3935000,182000,2000000,-217000,90140000,3241000,19569000,-12138000,-96475000,-14076000,15949000,-9298000,38076000,3079000,-554000,51180000,31427000,-27273000,4378000,-18188000,65657000,16632000,34604000,13507000,-8042000,5976000,-5177000,3704000,75376000,-39778000,29083000,26310000,11382000,4919000,69010000,-44585000,35069000,-83072000,197000,23446000,-56938000,22112000,38690000
IncomeOtherOperatingCosts,122000,9000,28000,1558000,11268000,4245000,110000,41000,149000,32802000,-29662000,30589000,892000,6782000,196000,38000,329000,20445000,42000,161000,7042000,17522000,106000,48000,33000,10269000,157000,2881000,10389000,3233000,154000,158000,1233000,43411000,253000,539000,-241000,7397000,220000,1373000,1587000,24634000,404000,406000,1823000,1926000,569000,2357000
IncomeEBIT,-921000,-3780000,-590000,-2302000,128100000,-3807000,12858000,18310000,7142000,61627000,39278000,-4486000,-7156000,-74990000,5586000,31153000,3198000,26006000,19605000,9144000,50391000,21500000,-19474000,13384000,-11335000,71289000,26615000,41445000,10026000,9464000,29088000,19593000,22584000,70884000,-3963000,59562000,47460000,51445000,31989000,128490000,-20406000,63691000,-12229000,47619000,89502000,-35624000,109084000,113579000
IncomeFinanceIncome,163000,2803000,416000,4314000,3508000,15281000,8768000,7305000,-2057000,-9135000,1055000,546000,421000,3794000,14692000,-12720000,7757000,2434000,1025000,2160000,2900000,2108000,14151000,-2576000,11826000,6035000,2046000,1655000,1291000,3268000,980000,1071000,1092000,1567000,29010000,-15596000,-5974000,-2539000,732000,1023000,1323000,1660000,32567000,648000,-10027000,21697000,1643000,1622000
IncomeFinanceCosts,3475000,1130000,1079000,1060000,1855000,7235000,8895000,-1351000,3818000,39603000,36608000,-9282000,-10365000,-9576000,1316000,2869000,-671000,1321000,3923000,1229000,25006000,3384000,1959000,2280000,2118000,932000,7428000,13153000,-8138000,-1200000,10569000,5433000,9078000,21665000,8554000,8350000,9114000,7335000,9400000,34036000,-9211000,22268000,8138000,7867000,8107000,8224000,14530000,33139000
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,-4233000,-2107000,-1253000,952000,129753000,4239000,12731000,26966000,1267000,12889000,3725000,5342000,3630000,-61620000,18962000,15564000,11626000,27119000,16707000,10075000,28285000,20224000,-7282000,8528000,-1627000,76392000,21233000,29947000,19455000,13932000,19499000,15231000,14598000,50786000,16493000,35616000,32372000,41571000,23321000,95477000,-9872000,43083000,12200000,40400000,71368000,-22151000,96197000,82062000
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,-4233000,-2107000,-1253000,952000,129753000,4239000,12731000,26966000,1267000,12889000,3725000,5342000,3630000,-61620000,18962000,15564000,11626000,27119000,16707000,10075000,28285000,20224000,-7282000,8528000,-1627000,76392000,21233000,29947000,19455000,13932000,19499000,15231000,14598000,50786000,16493000,35616000,32372000,41571000,23321000,95477000,-9872000,43083000,12200000,40400000,71368000,-22151000,96197000,82062000
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,-3616000,-1868000,-1263000,491000,102257000,5017000,10069000,21808000,835000,9032000,2576000,3651000,2415000,-52456000,14644000,11545000,8522000,15837000,13420000,17348000,18907000,12334000,6980000,6413000,6127000,51134000,17337000,27120000,15742000,13403000,16738000,13923000,11599000,34060000,20945000,19532000,25400000,43055000,18275000,75244000,-8898000,28503000,11048000,31694000,57869000,-20371000,78333000,68759000
IncomeShareholderNetProfit,-3616000,-1868000,-1263000,491000,102257000,5017000,10069000,21808000,835000,8322000,2200000,3356000,2092000,-52782000,14328000,11278000,8285000,15666000,13257000,17158000,18719000,12184000,6842000,6350000,5570000,50516000,17337000,27120000,15742000,13403000,16738000,13923000,11599000,34060000,20945000,19532000,25400000,43055000,18275000,75244000,-8898000,28503000,11048000,31694000,57869000,-20371000,78333000,68759000
BalanceNoncurrentAssets,,279510000,327515000,,562496000,573135000,591546000,657216000,692883000,679915000,438591000,424848000,440850000,473147000,476655000,482641000,637357000,665509000,687313000,783886000,824652000,893568000,948888000,1459758000,1472829000,1486587000,1513327000,1594368000,1562137000,1591509000,1650692000,1767528000,1786986000,1911811000,1880609000,1920925000,1856924000,1875259000,1929880000,1920718000,1976577000,2041399000,,6000,83000,,447000,1185000
BalanceIntangibleAssets,1251000,1016000,943000,885000,754000,731000,666000,523000,468000,432000,342000,286000,231000,347000,325000,302000,288000,372000,341000,322000,309000,291000,271000,254000,246000,267000,246000,245000,256000,434000,407000,405000,440000,452000,448000,455000,,277089000,324930000,,557495000,78636000,584834000,653456000,132864000,5314000,436301000,1012000
BalanceProperty,990000,469156000,472228000,470671000,626722000,617530000,638963000,732789000,773748000,839352000,893472000,1439377000,1450781000,1462691000,1489178000,1569881000,1532767000,1572119000,1630829000,1740058000,1760583000,1892157000,1857647000,1901941000,1841176000,1859712000,1916060000,1896527000,1958158000,2023297000,,,,,,,,,,,,,,0,,,,1982000
BalanceNoncurrentReceivables,2006000,1993000,2208000,32081000,32131000,32044000,32089000,32165000,32108000,2073000,2086000,2080000,2088000,6948000,6883000,6939000,7000000,7019000,7065000,7159000,7118000,7191000,7105000,5011000,5028000,11684000,12314000,12509000,,0,24000,,,489425000,,,556429000,671298000,,421549000,437646000,,,,,,,
BalanceNoncurrInvestments,,,,,,,,,,,,,,,,,,,,,,,,2415000,2478000,,4554000,3889000,5461000,2744000,2647000,2418000,1536000,1556000,1548000,1486000,1953000,9545000,8085000,15612000,15988000,18706000,18490000,21749000,23020000,17936000,19621000,21494000
