,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,1324247000,1327844000,1046548000,1220175000,1225709000,1225258000,1016690000,1060291000,1063084000,1077008000,888721000,1025492000,1195185000,1254070000,1022800000,1079658000,1085872000,1183629000,1087326000,1158615000,1185572000,1261140000,1204944000,1281763000
IncomeRevenues_yy,,,,,-7.44,-7.73,-2.85,-13.10,-13.27,-12.10,-12.59,-3.28,12.43,16.44,15.09,5.28,-9.15,-5.62,6.31,7.31,9.18,6.55,10.82,10.63
IncomeRevenues_sy,,,,,8.11,14.70,10.97,14.47,16.92,7.31,8.46,7.60,8.43,8.35,12.46,10.94,9.72,7.20,12.39,11.06,12.57,13.14,7.74,14.42
IncomeRevenues_qq,,0.27,-21.18,16.59,0.45,-0.04,-17.02,4.29,0.26,1.31,-17.48,15.39,16.55,4.93,-18.44,5.56,0.58,9.00,-8.14,6.56,2.33,6.37,-4.46,6.38
IncomeRevenues_sq,,3.95,-14.07,12.16,2.66,10.72,-5.10,9.18,3.00,5.59,-7.96,12.18,-0.32,7.94,-6.38,7.48,0.24,5.31,-1.71,4.43,2.23,6.21,-1.39,4.50
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,141107000,72480000,19754000,100268000,-91573000,62146000,55148000,105600000,113396000,-171440000,32392000,10316000,81767000,-211012000,-61218000,-70637000,8645000,69401000,-1111000,43834000,71789000,61657000,61871000,66379000
IncomeGrossProfit_yy,,,,,-164.90,-14.26,179.17,5.32,223.83,-375.87,-41.26,-90.23,-27.89,-23.08,-288.99,-784.73,-89.43,132.89,98.19,162.06,730.41,-11.16,5668.95,51.43
IncomeGrossProfit_sy,,,,,15.00,45.52,56.85,6.06,29.68,42.25,36.97,46.18,9.65,-15.76,-29.56,-13.08,-9.79,5.09,3.05,-5.43,5.66,-11.86,-8.32,19.41
IncomeGrossProfit_qq,,-48.63,-72.75,407.58,-191.33,167.86,-11.26,91.48,7.38,-251.19,118.89,-68.15,692.62,-358.06,70.99,-15.39,112.24,702.79,-101.60,4045.45,63.77,-14.11,0.35,7.29
IncomeGrossProfit_sq,,-16.21,-36.51,33.70,17.53,-9.35,-5.56,12.14,20.96,3.02,3.32,0.72,1.82,-22.23,-5.48,-8.16,-6.93,5.79,13.53,-25.14,31.12,-28.36,12.68,3.02
IncomeOtherOperatingIncome,2871000,-4900000,4773000,19734000,835000,54429000,21788000,1059000,5968000,28447000,9855000,146105000,15193000,19512000,11554000,8997000,4893000,13866000,12701000,8212000,7873000,17172000,10932000,12236000
