,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,5993000,20570000,12419000,7575000,20139000,18079000,22043000,23583000,19186000,24496000,22597000,22471000,24952000,30927000,30677000,30995000,41159000,32921000,37747000,38142000,50985000,64772000,50468000,44446000,32960000,29173000,33380000,36320000,37807000,28327000,30553000,34979000,30100000,28058000,28447000,37196000,30697000,32981000,33240000,35858000,31667000,27401000,31034000,34079000,34395000,31652000,35496000,43329000,42445000,33567000
IncomeRevenues_yy,,,,,236.04,-12.11,77.49,211.33,-4.73,35.49,2.51,-4.72,30.05,26.25,35.76,37.93,64.95,6.45,23.05,23.06,23.87,96.75,33.70,16.53,-35.35,-54.96,-33.86,-18.28,14.71,-2.90,-8.47,-3.69,-20.39,-0.95,-6.89,6.34,1.98,17.55,16.85,-3.60,3.16,-16.92,-6.64,-4.96,8.61,15.51,14.38,27.14,23.40,6.05
IncomeRevenues_sy,,,,,23.22,15.63,30.44,6.85,10.22,12.74,4.06,7.27,1.75,6.26,-1.24,-0.18,3.90,2.05,12.91,15.60,17.52,15.57,18.34,27.05,31.46,11.40,8.60,12.64,1.52,0.01,3.74,-8.14,-3.44,-1.94,-11.16,4.57,0.03,2.17,13.89,2.99,3.80,2.48,6.10,6.96,17.14,6.59,11.92,2.73,0.21,2.61
IncomeRevenues_qq,,243.23,-39.63,-39.00,165.86,-10.23,21.93,6.99,-18.64,27.68,-7.75,-0.56,11.04,23.95,-0.81,1.04,32.79,-20.02,14.66,1.05,33.67,27.04,-22.08,-11.93,-25.84,-11.49,14.42,8.81,4.09,-25.07,7.86,14.49,-13.95,-6.78,1.39,30.76,-17.47,7.44,0.79,7.88,-11.69,-13.47,13.26,9.81,0.93,-7.97,12.14,22.07,-2.04,-20.92
IncomeRevenues_sq,,5.14,7.96,18.23,-9.75,3.00,20.15,8.13,-10.70,3.59,5.73,9.80,-2.76,8.88,-0.12,1.04,-2.92,6.30,11.12,1.02,-2.95,3.01,-2.36,21.28,-7.41,-1.88,5.28,13.40,-14.21,3.87,10.47,5.94,-13.95,2.50,1.39,22.43,-13.78,5.45,6.29,0.83,-12.54,6.41,3.54,5.11,-2.66,1.88,0.31,14.77,-9.14,-1.27
IncomeCostOfSales,4575000,17826000,-6512000,,10590000,19577000,18435000,20532000,16471000,20375000,17214000,17429000,18970000,25159000,24978000,24864000,36415000,24086000,30294000,31417000,41061000,55017000,46783000,44356000,27086000,24149000,26872000,29354000,31291000,21930000,23340000,26296000,22994000,21957000,21843000,29665000,24033000,26562000,25900000,28441000,24564000,21388000,23635000,25685000,26243000,24446000,27430000,34629000,33220000,25754000
IncomeCostOfSales_yy,,,,,131.48,9.82,383.09,,55.53,4.08,-6.62,-15.11,15.17,23.48,45.10,42.66,91.96,-4.26,21.28,26.36,12.76,128.42,54.43,41.18,-34.03,-56.11,-42.56,-33.82,15.52,-9.19,-13.14,-10.42,-26.52,0.12,-6.41,12.81,4.52,20.97,18.57,-4.13,2.21,-19.48,-8.75,-9.69,6.84,14.30,16.06,34.82,26.59,5.35
IncomeCostOfSales_sy,,,,,17.72,15.58,26.32,,17.44,4.08,4.13,4.20,5.76,23.30,-1.17,0.72,2.92,-0.03,15.76,17.36,8.88,22.81,10.50,37.12,48.64,26.71,22.51,8.70,-4.06,-2.91,-2.02,-10.42,-4.24,-2.73,-13.66,-0.25,-1.55,-2.96,10.39,-3.71,5.16,5.38,9.39,7.22,19.10,14.30,8.14,7.78,0.46,4.22
IncomeCostOfSales_qq,,289.64,-136.53,100.00,,84.86,-5.83,11.38,-19.78,23.70,-15.51,1.25,8.84,32.63,-0.72,-0.46,46.46,-33.86,25.77,3.71,30.70,33.99,-14.97,-5.19,-38.93,-10.84,11.28,9.24,6.60,-29.92,6.43,12.66,-12.56,-4.51,-0.52,35.81,-18.99,10.52,-2.49,9.81,-13.63,-12.93,10.51,8.67,2.17,-6.85,12.21,26.24,-4.07,-22.47
IncomeCostOfSales_sq,,2.28,10.52,18.62,,7.91,13.34,6.09,-8.12,3.63,11.91,4.50,-0.04,3.15,-0.72,0.33,-1.87,-1.38,11.98,3.96,-10.74,7.97,10.85,35.96,-12.92,-2.25,8.51,16.74,-15.92,-4.89,8.50,3.99,-17.80,-4.51,4.31,9.94,-15.70,3.86,8.79,0.71,-12.06,4.60,10.56,6.64,-3.05,-8.14,1.00,18.93,-5.24,-0.26
IncomeDistributionExpenses,637000,856000,883000,1217000,1245000,2176000,3068000,4339000,2708000,3096000,3254000,4175000,3431000,3614000,3780000,4218000,3904000,5273000,5492000,5697000,4489000,5298000,4968000,6983000,4363000,4716000,4545000,5402000,4045000,4771000,4661000,5607000,3946000,3743000,3735000,4388000,3786000,4001000,4163000,4573000,3747000,3465000,4499000,5015000,4519000,4422000,4911000,4911000,4498000,4692000
