,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,1679000,2125000,1894000,2364000,2237000,2167000,3022000,3033000,3113000,3709000,5498000,8768000,10158000,10241000,11165000,10348000,10345000,10361000,11051000,12851000,13251000,16988000,15010000,16037000,14869000,16727000,17603000,21029000,18167000,18526000,20375000,19919000,17164000,14573000,13466000,13166000,10589000,12219000,10115000,7942000,8416000,7779000
IncomeCostOfSales,,,,3365000,915000,694000,,7040000,12242000,6465000,6782000,6533000,6624000,6781000,7226000,8022000,9333000,9235000,9174000,8903000,9587000,10628000,10593000,10620000,10581000,11509000,11315000,9953000,8969000,8792000,7776000,6924000,6688000,6140000,5828000,5415000,4929000,642000,833000,916000,2559000,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394000,510000,561000,597000,404000,508000,564000,5083000,2433000,1381000
IncomeAdministrativExpenses,1327000,1473000,1885000,1549000,1726000,1760000,2029000,1815000,2827000,2030000,2186000,1989000,3335000,2393000,2457000,2203000,2043000,2049000,1609000,1636000,2125000,1907000,1176000,1684000,1181000,1610000,1291000,643000,782000,417000,793000,918000,965000,1508000,318000,1468000,1906000,2609000,2982000,3043000,2681000,3319000
IncomeGrossProfit,2239000,2339000,1852000,2721000,3899000,3469000,5626000,3960000,4036000,3936000,4954000,4986000,7101000,5154000,5488000,6663000,6561000,5162000,3995000,3038000,3265000,1758000,4355000,2291000,933000,1391000,1559000,,146000,2000,1000,25000,23000,23000,98000,16000,50000,21000,110000,50000,164000,2000
IncomeOtherOperatingIncome,-109000,13000,13000,8000,72000,40000,74000,64000,97000,296000,188000,120000,256000,90000,168000,50000,114000,91000,182000,75000,109000,90000,329000,60000,147000,156000,109000,8000,153000,4000,197000,34000,58000,33000,51000,56000,39000,-12000,52000,7000,32000,-9000
IncomeOtherOperatingCosts,6000,16000,43000,15000,68000,11000,78000,42000,81000,171000,223000,93000,89000,69000,94000,57000,83000,62000,61000,61000,70000,65000,76000,60000,122000,134000,102000,635000,775000,415000,597000,909000,930000,1498000,365000,1428000,1917000,2642000,3040000,3086000,2813000,3330000
IncomeEBIT,2124000,2336000,1822000,2714000,3903000,3498000,5622000,3982000,4052000,4061000,4919000,5013000,7268000,5175000,5562000,6656000,6592000,5191000,4116000,3052000,3304000,1783000,4608000,2291000,958000,1413000,1566000,62000,23000,4000,11000,11000,18000,29000,16000,18000,25000,9000,42000,98000,-41000,117000
IncomeFinanceIncome,446000,108000,135000,125000,142000,100000,109000,91000,-11000,19000,20000,20000,17000,13000,11000,11000,12000,12000,11000,10000,11000,11000,10000,10000,9000,36000,16000,154000,56000,183000,211000,259000,198000,373000,-726000,25000,225000,26000,-177000,23000,25000,25000
IncomeFinanceCosts,23000,27000,27000,27000,27000,24000,24000,20000,20000,18000,33000,15000,14000,11000,29000,9000,8000,7000,28000,6000,6000,5000,25000,5000,5000,5000,4000,,,,,,,,,,,,,,,
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,543000,742000,236000,397000,661000,750000,1154000,1107000,1421000,1717000,2625000,3259000,3161000,2747000,3422000
IncomeNetGrossProfit,2547000,2417000,1930000,2812000,4018000,3574000,5707000,4053000,4021000,4062000,4906000,5018000,7271000,5177000,5544000,6658000,6596000,5196000,4099000,3056000,3309000,1789000,4593000,2296000,962000,1444000,1578000,,,,,,,,,,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,543000,742000,236000,397000,661000,750000,1154000,1107000,1421000,1717000,2625000,3259000,3161000,2747000,3422000
IncomeBeforeTaxProfit,2547000,2417000,1930000,2812000,4018000,3574000,5707000,4053000,4021000,4062000,4906000,5018000,7271000,5177000,5544000,6658000,6596000,5196000,4099000,3056000,3309000,1789000,4593000,2296000,962000,1444000,1578000,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,362000,677000,182000,278000,537000,580000,886000,857000,1119000,1405000,1100000,3411000,2331000,2011000,2808000
IncomeNetProfit,2025000,1948000,1559000,2263000,3245000,2880000,4582000,3339000,3245000,3270000,3946000,4048000,5899000,4187000,4482000,5390000,5342000,4202000,3329000,2464000,2673000,1446000,3733000,1856000,735000,1143000,1321000,362000,677000,182000,278000,537000,580000,886000,857000,1119000,1405000,1100000,3411000,2331000,2011000,2808000
IncomeShareholderNetProfit,2025000,1948000,1559000,2263000,3245000,2880000,4582000,3339000,3245000,3270000,3946000,4048000,5899000,4187000,4482000,5390000,5342000,4202000,3329000,2464000,2673000,1446000,3733000,1856000,735000,1143000,1321000,,,,,,,,,,,,,,,
BalanceNoncurrentAssets,8993000,4797000,5649000,8130000,8107000,8517000,8573000,6859000,6716000,16953000,56950000,144926000,143395000,154463000,140855000,135370000,111041000,184185000,217086000,277248000,324479000,361585000,354960000,381624000,449552000,526945000,534651000,580100000,638994000,585930000,551646000,524705000,478954000,427467000,421351000,406835000,353858000,325333000,292657000,238903000,16000,13000
BalanceIntangibleAssets,9000,19000,14000,11000,8000,6000,4000,2000,1000,4000,4000,12000,8000,108000,106000,153000,227000,227000,222000,240000,240000,240000,230000,236000,226000,214000,202000,194000,182000,173000,156000,140000,125000,111000,94000,79000,69000,63000,2124000,2301000,2740000,3093000
