,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,289093000,302455000,262852000,246788000,263472000,267935000,287462000,274074000,253834000,247120000,277911000,269884000,281590000,267447000,265396000,292761000,303670000,325332000,312356000,344534000,362371000,358789000
IncomeRevenues_yy,,,,,-8.86,-11.41,9.36,11.06,-3.66,-7.77,-3.32,-1.53,10.93,8.23,-4.50,8.48,7.84,21.64,17.69,17.68,19.33,10.28
IncomeRevenues_sy,,,,,0.10,-3.97,5.64,8.88,7.75,-3.97,2.94,4.32,0.74,5.68,-1.17,,8.20,4.64,9.64,9.62,-7.10,8.40
IncomeRevenues_qq,,4.62,-13.09,-6.11,6.76,1.69,7.29,-4.66,-7.39,-2.64,12.46,-2.89,4.34,-5.02,-0.77,10.31,3.73,7.13,-3.99,10.30,5.18,-0.99
IncomeRevenues_sq,,0.41,-3.60,0.38,6.76,1.69,6.86,2.62,3.97,-7.44,11.14,2.17,-0.98,-2.54,-1.62,5.74,12.04,-8.59,0.26,11.64,-0.59,-0.78
IncomeCostOfSales,233792000,251278000,219998000,197701000,218519000,222407000,239672000,208796000,209655000,199324000,217027000,199009000,207384000,189789000,203105000,195875000,221720000,234156000,240356000,231180000,245188000,262881000
IncomeCostOfSales_yy,,,,,-6.53,-11.49,8.94,5.61,-4.06,-10.38,-9.45,-4.69,-1.08,-4.78,-6.42,-1.57,6.91,23.38,18.34,18.02,10.58,12.27
IncomeCostOfSales_sy,,,,,-4.10,-11.49,-0.95,0.96,0.78,-7.18,-4.90,-2.32,-2.62,-2.66,-6.42,-0.17,10.60,2.57,7.38,7.21,-4.46,9.62
IncomeCostOfSales_qq,,7.48,-12.45,-10.13,10.53,1.78,7.76,-12.88,0.41,-4.93,8.88,-8.30,4.21,-8.48,7.02,-3.56,13.19,5.61,2.65,-3.82,6.06,7.22
IncomeCostOfSales_sq,,1.62,-7.72,3.15,4.68,-2.07,3.52,7.40,0.54,-7.73,10.73,-3.54,-6.27,-1.73,-1.34,5.14,8.16,-12.01,2.65,6.28,-0.40,6.44
IncomeDistributionExpenses,16544000,20441000,21252000,20825000,18105000,19605000,19373000,22552000,16231000,17664000,20084000,73803000,36865000,38596000,33772000,36980000,42384000,41771000,39737000,43537000,49257000,47877000
IncomeDistributionExpenses_yy,,,,,9.43,-4.09,-8.84,8.29,-10.35,-9.90,3.67,227.26,127.13,118.50,68.16,-49.89,14.97,8.23,17.66,17.73,16.22,14.62
IncomeDistributionExpenses_sy,,,,,10.32,11.55,8.74,3.34,6.17,7.77,3.27,12.48,24.13,21.08,28.74,1.35,8.64,0.99,9.26,17.73,2.10,13.68
IncomeDistributionExpenses_qq,,23.56,3.97,-2.01,-13.06,8.29,-1.18,16.41,-28.03,8.83,13.70,267.48,-50.05,4.70,-12.50,9.50,14.61,-1.45,-4.87,9.56,13.14,-2.80
IncomeDistributionExpenses_sq,,4.30,2.17,11.65,-7.41,1.02,8.74,5.07,-15.52,3.93,3.13,15.51,-15.74,11.77,-12.50,9.50,-2.68,-5.26,-3.19,9.56,-11.33,8.67
IncomeAdministrativExpenses,14904000,10746000,10441000,8231000,11038000,10373000,11492000,14045000,14986000,12681000,12836000,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,-25.94,-3.47,10.07,70.65,35.76,22.26,11.69,-100.00,-100.00,-100.00,-100.00,,,,,,,
IncomeAdministrativExpenses_sy,,,,,-3.62,7.41,10.07,15.18,13.18,5.82,11.69,-15.72,3.41,0.64,-12.68,,,,,,,
IncomeAdministrativExpenses_qq,,-27.90,-2.84,-21.17,34.11,-6.03,10.79,22.22,6.69,-15.38,1.22,-100.00,,,,,,,,,,
IncomeAdministrativExpenses_sq,,3.15,-7.92,18.39,-8.66,8.01,-6.35,23.65,-15.38,4.79,-2.99,2.50,,,,,,,,,,
IncomeGrossProfit,23853000,19990000,11160000,20031000,15811000,15550000,16924000,28681000,12962000,17451000,27965000,37575000,37341000,39062000,28519000,59906000,39566000,49405000,32263000,69817000,67926000,48031000
IncomeGrossProfit_yy,,,,,-33.72,-22.21,51.65,43.19,-18.02,12.22,65.23,31.01,188.08,123.84,1.98,59.43,5.96,26.48,13.13,16.54,71.68,-2.78
IncomeGrossProfit_sy,,,,,-26.14,18.52,32.64,18.05,54.52,28.65,64.37,83.54,11.20,22.16,-0.33,-51.76,-13.35,-26.37,3.36,42.64,-27.18,-20.70
IncomeGrossProfit_qq,,-16.19,-44.17,79.49,-21.07,-1.65,8.84,69.47,-54.81,34.63,60.25,34.37,-0.62,4.61,-26.99,110.06,-33.95,24.87,-34.70,116.40,-2.71,-29.29
IncomeGrossProfit_sq,,-16.19,-6.11,-26.27,24.67,-0.58,8.84,-6.57,74.89,-11.56,19.50,19.62,18.12,6.44,-9.82,-13.40,119.85,-17.86,-19.22,60.70,5.28,-18.90
IncomeOtherOperatingIncome,5079000,1004000,691000,10320000,2350000,5991000,4280000,-4906000,1501000,1935000,1671000,1799000,,2824000,3074000,63570000,573000,-195000,1679000,8035000,2778000,2265000
IncomeOtherOperatingIncome_yy,,,,,-53.74,496.51,519.13,-147.54,-36.12,-67.69,-60.95,136.66,-100.00,45.91,83.95,3434.32,,-106.91,-45.38,-87.36,384.82,1261.54
IncomeOtherOperatingIncome_sy,,,,,8.52,-5.26,-42.69,-70.64,31.32,-32.32,45.58,-16.26,-49.52,-13.39,4.02,35.06,,46.74,29.62,-55.00,0.68,19.22
IncomeOtherOperatingIncome_qq,,-80.23,-31.17,1392.98,-77.23,154.97,-28.56,-214.63,130.59,28.96,-13.66,7.63,-100.00,,8.85,1967.99,-99.10,-134.03,961.03,378.56,-65.43,-18.47
IncomeOtherOperatingIncome_sq,,36.65,17.62,236.61,-77.23,154.97,-55.81,280.33,-33.38,1.38,-7.30,83.86,-67.08,,16.54,144.39,-55.04,40.98,27.17,37.14,-30.38,12.14
IncomeOtherOperatingCosts,2210000,1411000,1542000,9742000,677000,4400000,3379000,-4797000,3589000,1466000,1071000,,779000,,,,,,,,,
IncomeOtherOperatingCosts_yy,,,,,-69.36,211.70,119.12,-149.24,430.02,-66.68,-68.31,100.00,-78.30,-100.00,-100.00,,-100.00,,,,,
IncomeOtherOperatingCosts_sy,,,,,78.17,81.39,17.66,-70.73,11.03,-14.12,-55.37,95.50,-22.29,10.84,91.11,,-5.17,,,,,
IncomeOtherOperatingCosts_qq,,-36.13,9.25,531.74,-93.05,549.71,-23.20,-241.96,174.83,-59.15,-26.97,-100.00,,-100.00,,,,,,,,
IncomeOtherOperatingCosts_sq,,99.30,1.39,99.24,-76.82,22.25,17.34,-43.50,-15.33,-23.62,-25.46,168.55,,73.72,,,,,,,,
IncomeEBIT,26722000,19583000,10309000,20609000,17483000,17141000,17825000,28572000,10873000,17920000,28565000,45500000,36562000,42665000,31593000,123476000,40139000,49210000,33942000,77852000,70704000,50296000
IncomeEBIT_yy,,,,,-34.57,-12.47,72.90,38.64,-37.81,4.55,60.25,59.24,236.25,138.09,10.60,171.38,9.78,15.34,7.44,-36.95,76.15,2.21
IncomeEBIT_sy,,,,,-27.97,15.89,33.36,43.29,51.49,21.62,73.76,59.24,15.50,20.20,-8.01,-51.03,-16.90,-25.62,21.34,35.38,-22.36,-14.56
IncomeEBIT_qq,,-26.72,-47.36,99.90,-15.17,-1.96,3.99,60.29,-61.94,64.81,59.40,59.28,-19.64,16.69,-25.95,290.83,-67.49,22.60,-31.03,129.37,-9.18,-28.86
IncomeEBIT_sq,,-19.48,21.82,-31.88,5.40,10.32,3.99,16.15,28.44,-14.18,20.58,26.88,24.72,9.24,-23.32,-35.21,68.54,-5.32,3.22,-16.28,29.67,-15.20
IncomeFinanceIncome,1948000,2388000,-1005000,-312000,544000,71000,1298000,2386000,1233000,666000,323000,,,,,,,,,,,
IncomeFinanceIncome_yy,,,,,-72.08,-97.04,229.13,864.84,126.59,842.39,-75.15,-100.00,-100.00,-100.00,-100.00,,,,,,,
IncomeFinanceIncome_sy,,,,,-63.70,-38.18,117.48,24.31,-15.34,-57.97,20.72,-77.28,3.96,126.94,-92.83,,,,,,,
IncomeFinanceIncome_qq,,22.58,-142.10,68.97,274.35,-87.01,1737.82,83.79,-48.35,-45.99,-51.54,-100.00,,,,,,,,,,
