,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,17770000,5298000,5395000,-5381000,23371000,8328000,6952000,8775000,9984000,6979000,6057000,9025000,9738000,6597000,6061000,10609000,8407000,4243000,6022000,8308000,9254000,6239000,5229000,8470000,7751000,6222000,7365000,11098000,13092000,7272000,10456000,16631000
IncomeCostOfSales,,18891000,,,,,20830000,5606000,5403000,6877000,7815000,5498000,5247000,8028000,6888000,3766000,5626000,6985000,7614000,5235000,4625000,7274000,6245000,5308000,6671000,9360000,11153000,6261000,8989000,13904000,,2115000
IncomeDistributionExpenses,,,,,2567000,689000,657000,1056000,689000,709000,611000,869000,362000,475000,594000,622000,598000,609000,516000,616000,562000,539000,512000,677000,690000,592000,531000,710000,,1512000,,
IncomeAdministrativExpenses,,,1426000,464000,368000,397000,423000,427000,534000,446000,325000,442000,351000,540000,411000,363000,420000,435000,409000,440000,411000,481000,467000,496000,541000,613000,800000,-240000,-404000,625000,-216000,-184000
IncomeGrossProfit,821000,250000,219000,-372000,694000,811000,-36000,-330000,1265000,832000,-440000,-549000,161000,631000,32000,-332000,145000,535000,-65000,-229000,580000,782000,-77000,395000,1404000,,607000,,,,,476000
IncomeOtherOperatingIncome,-37000,156000,210000,377000,931000,650000,252000,173000,457000,310000,282000,298000,292000,285000,273000,121000,721000,264000,241000,24000,294000,149000,245000,,367000,,,,,563000,21000,202000
IncomeOtherOperatingCosts,13000,136000,599000,476000,182000,254000,413000,192000,330000,228000,325000,373000,300000,314000,71000,192000,242000,35000,382000,213000,343000,,800000,,,,,799000,161000,-419000,891000,1052000
IncomeEBIT,296000,-156000,1335000,752000,-396000,-431000,113000,701000,-1000,-420000,118000,342000,585000,-157000,579000,771000,-165000,331000,1306000,,202000,,,,,270000,-200000,10000,-8000,0,37000,10000
IncomeFinanceIncome,10000,17000,149000,275000,-138000,-14000,52000,6000,7000,184000,-170000,281000,-8000,-214000,323000,26000,13000,,604000,,,,,536000,172000,170000,133000,316000,29000,132000,131000,165000
IncomeFinanceCosts,246000,105000,89000,199000,191000,103000,300000,6000,153000,119000,108000,50000,142000,218000,546000,,-458000,,,,,,301000,-57000,-67000,-37000,18000,0,,244000,,
IncomeOtherIncome,,,,,,,117000,-177000,-393000,-140000,-477000,-140000,376000,298000,90000,-636000,684000,859000,304000,-314000,1232000,623000,-493000,-261000,-114000,488000,104000,-517000,-175000,520000,262000,5000
IncomeNetGrossProfit,463000,507000,16000,139000,773000,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit,,,,,,117000,-177000,-393000,-140000,-477000,-140000,376000,298000,90000,-636000,684000,859000,304000,-314000,1232000,623000,-493000,-261000,-114000,488000,104000,-517000,-175000,520000,262000,5000,463000
IncomeBeforeTaxProfit,507000,16000,139000,773000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit,,,,,115000,31000,-393000,-140000,-607000,-140000,376000,143000,301000,-636000,635000,636000,339000,-351000,1196000,587000,-591000,-261000,-163000,467000,53000,-417000,-53000,483000,143000,-50000,577000,327000
IncomeNetProfit,-142000,235000,567000,115000,31000,-393000,-140000,-607000,-140000,376000,143000,301000,-636000,635000,636000,339000,-351000,1196000,587000,-591000,-261000,-163000,467000,53000,-417000,-53000,483000,143000,-50000,577000,327000,-142000
IncomeShareholderNetProfit,235000,567000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentAssets,22191000,23191000,23423000,24172000,24274000,25297000,25439000,24665000,24161000,25923000,26953000,27821000,27883000,28062000,27950000,27585000,28223000,28008000,26706000,29420000,29226000,29382000,28873000,28241000,28363000,28645000,28698000,28220000,28176000,28423000,27330000,
BalanceIntangibleAssets,4693000,,,,,4268000,4977000,6027000,6360000,6284000,6187000,6130000,6060000,5959000,5898000,5746000,5595000,7272000,7234000,7035000,6834000,6677000,6485000,6295000,6107000,5918000,5845000,5730000,5533000,,17193000,
BalanceProperty,,,,19610000,18245000,18793000,19356000,19787000,19996000,20296000,20128000,19362000,20250000,20230000,19081000,20359000,20430000,20644000,20265000,19812000,20113000,20466000,20275000,20005000,19744000,19499000,19379000,,0,,,
BalanceNoncurrentReceivables,26000,29000,31000,,677000,,,,,,,,,,,,,,,,,,915000,,,,,216000,215000,360000,434000,916000
BalanceNoncurrInvestments,215000,900000,905000,1650000,1687000,1679000,1652000,1210000,1060000,1066000,1073000,1039000,1041000,1127000,1511000,1508000,1897000,2459000,1734000,,390000,,,,,571000,724000,743000,803000,834000,808000,736000
BalanceOtherNoncurrentAssets,858000,614000,388000,353000,378000,579000,502000,637000,701000,713000,724000,757000,805000,789000,690000,735000,684000,10882000,10132000,11937000,13430000,9678000,12180000,13988000,12205000,11352000,11056000,11550000,12635000,13148000,12970000,12806000
BalanceCurrentAssets,13431000,9458000,11512000,14092000,12510000,9344000,11209000,11332000,12720000,9900000,14816000,17120000,17852000,13345000,18664000,21204000,,7435000,,,,,7665000,6806000,5946000,6150000,7150000,7869000,6997000,5936000,6560000,5987000
BalanceInventory,5340000,6429000,5901000,6537000,7262000,6263000,6903000,6133000,7813000,8239000,5828000,6285000,7353000,7773000,,2074000,,,26000,29000,31000,4199000,2628000,4557000,5089000,5243000,3042000,4323000,6432000,5634000,3218000,5461000
BalanceCurrentReceivables,5549000,6174000,2385000,3345000,4030000,4031000,2233000,4425000,5750000,9102000,4337000,8113000,10188000,,0,188000,,356000,195000,0,187000,75000,72000,40000,1172000,87000,98000,50000,113000,90000,70000,40000
BalanceCurrentInvestments,40000,25000,55000,72000,89000,48000,58000,69000,79000,90000,,198000,,,,,,92000,,,1111000,,126000,9000,45000,65000,71000,29000,23000,30000,373000,45000
BalanceCash,64000,272000,122000,66000,113000,151000,,425000,,,,,146000,1826000,366000,235000,170000,1087000,478000,350000,1013000,194000,553000,1959000,294000,353000,539000,984000,1358000,1766000,2774000,2811000
BalanceOtherCurrentAssets,2742000,2937000,3355000,3351000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale,,,,,33073000,33324000,35360000,36000,37602000,33952000,37478000,39470000,36870000,35513000,36980000,38503000,40455000,41032000,41032000,40756000,41015000,37681000,39520000,40798000,41930000,38570000,40591000,40205000,40962000,38612000,43810000,45818000
