,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,279000,172000,135000,30000,64000,-57000,0,0,0,3395000,8272000,10792000,10865000,11494000,28668000,39334000,54706000,67512000,65740000,68101000,68967000,71333000,111334000,102164000,84702000,102316000,99186000,-184149000,27461000,22617000,20927000,16509000,12781000,14345000,12531000,15551000,10424000,4466000,1253000,5915000,6821000,8387000
IncomeCostOfSales,,,,,,,0,0,,638000,3607000,8021000,3294000,4551000,10166000,4395000,6438000,13188000,10478000,9206000,16031000,19540000,7929000,22825000,18334000,21931000,20803000,-20237000,11072000,12705000,10888000,14836000,8454000,9310000,8332000,10904000,6838000,4299000,2136000,6169000,2523000,2168000
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,1405000,820000,1121000,3501000,3818000,2234000,6137000,2044000,4328000,8897000,6891000,8572000,4119000,7025000,11238000,5328000,9766000,6770000,8803000,4956000,10556000,7093000,13318000,7304000,6023000,7378000,11221000,9080000,5212000,5767000,6849000,8859000,4511000,7340000,15095000,5688000,3054000,2765000,2082000,3185000,2383000,2662000
IncomeGrossProfit,-1126000,-649000,-986000,-3471000,-3807000,-2244000,-6137000,-2044000,-4328000,-6141000,-2226000,-5801000,3452000,-83000,7264000,29612000,38502000,47554000,46459000,53939000,42380000,44700000,90087000,72035000,60345000,73007000,67163000,-172993000,11178000,4145000,3190000,-7186000,-184000,-2305000,-10896000,-1041000,533000,-2598000,-2965000,-3440000,1915000,3557000
IncomeOtherOperatingIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8849000,0
IncomeOtherOperatingCosts,,,,,,83000,141000,120000,98000,2329000,4592000,1340000,3992000,3773000,2941000,13355000,16584000,19592000,28484000,17878000,16579000,16800000,27127000,26939000,25176000,23933000,26843000,-39807000,9791000,7932000,8612000,5637000,4894000,5517000,4569000,5788000,3208000,1545000,544000,1695000,1553000,1621000
IncomeEBIT,-1126000,-649000,-986000,-3471000,-3807000,-2326000,-6278000,-2163000,-4426000,-8470000,-6818000,-7141000,-539000,-3855000,4323000,16257000,21918000,27962000,17975000,36061000,25802000,27900000,62960000,45096000,35169000,49074000,40319000,-133186000,1388000,-3787000,-5421000,-12823000,-5078000,-7821000,-15466000,-6829000,-2675000,-4144000,-3509000,-5135000,9211000,1936000
IncomeFinanceIncome,620000,1977000,779000,-612000,-1059000,3329000,3000,428000,839000,821000,-17000,275000,163000,-513000,1188000,-1050000,4417000,3403000,795000,667000,-2732000,3072000,619000,439000,6562000,-4380000,191000,4000,430000,-6488000,8000,12000,,,,,205000,108000,97000,23757000,89000,746000
IncomeFinanceCosts,5903000,17031000,7941000,12384000,5479000,4197000,3740000,4793000,6065000,38668000,7299000,13036000,281272000,24059000,7199000,10510000,7479000,262794000,10095000,8587000,4296000,-1452000,6558000,4566000,5403000,5805000,5725000,3642000,3675000,4372000,3685000,3765000,-3126000,24118000,5295000,7975000,,437000,11711000,-120000,790000,-620000
IncomeOtherIncome,0,-66000,-4963000,1372000,857000,-248000,-770000,-2039000,-3219000,-387000,-969000,1637000,-847000,-73000,375000,-3048000,-11953000,-2578000,-7864000,-156028000,-5738000,5338000,-170380000,-31166000,-985000,-1039000,-197000,-70651000,-331000,8428000,-25669000,-717000,1051000,-674000,-712000,-909000,405000,-17987000,-3237000,-2894000,-13861000,-15865000
IncomeNetGrossProfit,-12430000,-25388000,-10085000,-9660000,-4545000,-9144000,-3619000,-26143000,15421000,12907000,-257243000,15080000,18550000,17984000,53123000,-217674000,13740000,38347000,34721000,-292143000,-10717000,-3012000,-180774000,-56281000,-11781000,-12490000,-19356000,-81852000,-6692000,519000,-26053000,-29971000,4967000,-6713000,,,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-712000,-909000,405000,-17987000,-3237000,-2894000,-13861000,-15865000
IncomeBeforeTaxProfit,-12430000,-25388000,-10085000,-9660000,-4545000,-9144000,-3619000,-26143000,15421000,12907000,-257243000,15080000,18550000,17984000,53123000,-217674000,13740000,38347000,34721000,-292143000,-10717000,-3012000,-180774000,-56281000,-11781000,-12490000,-19356000,-81852000,-6692000,519000,-26053000,-29971000,4967000,-6713000,,,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,76464000,1841000,6290000,9759000,-1510000,-115240000,0,0,0,,,,,,-712000,-456000,398000,-18014000,-3237000,-2894000,-11177000,-18516000,-11876000
