,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4
IncomeRevenues,1584972000,1814225000,1496507000,1940055000,1867940000,1709673000,1442752000,1480516000,912799000,1073328000,881076000,964697000,845625000,896397000,719695000,723202000,658531000,734497000,553033000,632977000,674429000,785352000
IncomeCostOfSales,,,,,,,1146683000,927766000,652383000,1066554000,980757000,1006314000,830122000,745451000,613148000,630564000,689054000,651693000,503188000,543225000,608430000,692605000
IncomeDistributionExpenses,,,,,,,141761000,178114000,77718000,96498000,88786000,142136000,86607000,49227000,65260000,76868000,55760000,68678000,40440000,52606000,68733000,73711000
IncomeAdministrativExpenses,,,,,,,108339000,119120000,84004000,120524000,89000000,97870000,74047000,70780000,76005000,78986000,65643000,77041000,63220000,62773000,73006000,66143000
IncomeGrossProfit,383290000,468088000,172484000,537270000,363456000,184967000,45969000,255516000,98694000,-210248000,-277467000,-281623000,-145150000,30938000,-34718000,-63217000,-151926000,-62916000,-53815000,-25628000,-75740000,-47107000
IncomeOtherOperatingIncome,7819000,8629000,8935000,9452000,5064000,19368000,2618000,5702000,-128000,33433000,2682000,2567000,-1300353000,-2059300000,4013000,2343000,2756000,-777908000,1934000,1606000,1475000,-844489000
IncomeOtherOperatingCosts,26051000,28712000,30394000,54652000,40720000,24650000,3433000,2834000,3250000,3876000,3100000,1333052000,-1260973000,3280000,2390000,3695000,2317000,2152000,2494000,2336000,2064000,4820000
IncomeEBIT,365058000,448005000,151024000,492070000,327801000,179684000,45153000,258384000,95317000,-180690000,-277885000,-1612107000,-184531000,-2031643000,-33095000,-64569000,-151487000,-842976000,-54376000,-26358000,-76329000,-896415000
IncomeFinanceIncome,12332000,-6515000,36396000,22357000,11077000,63553000,109683000,-35467000,62661000,52239000,44506000,10295000,-1353000,52707000,10253000,1743000,7424000,14202000,221877000,6870000,13966000,-196528000
IncomeFinanceCosts,123258000,120599000,144737000,76511000,139875000,148868000,122397000,49989000,88146000,126141000,160980000,80965000,55453000,179474000,75121000,73748000,75627000,57524000,63155000,35409000,47392000,86146000
IncomeOtherIncome,,,,,,,,,,,,,,,-9778000,-31731000,-59614000,1561464000,283441000,254131000,320891000,42683000
IncomeNetGrossProfit,437916000,199002000,94369000,32440000,172928000,69832000,-254593000,-394359000,-1682777000,-241337000,-2158410000,-107741000,-168304000,-279303000,675165000,104347000,-54896000,-109754000,-895648000,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,254131000,320891000,42683000
IncomeBeforeTaxProfit,437916000,199002000,94369000,32440000,172928000,69832000,-254593000,-394359000,-1682777000,-241337000,-2158410000,-107741000,-168304000,-279303000,675165000,104347000,-54896000,-109754000,-895648000,,,
