,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeRevenues,548333000,801276000,862046000,633236000,565917000,866566000,967024000,763133000,688709000,1020285000,1008150000,796672000,736990000,1106941000,1125591000,840838000,676369000,1106281000,1106574000,840767000,732188000,997254000,1064135000,837512000,717141000,1027369000,1003074000,858354000,717691000,1031563000,987706000,828716000,685829000,1000240000,1010039000,761252000,634085000,909775000,894050000,655259000,602493000,887009000,949882000,692630000,493841000,768582000,691140000,439042000,618358000,966138000,940480000,-293354000,604448000,1037507000,958907000
IncomeRevenues_yy,,,,,3.21,8.15,12.18,20.51,21.70,17.74,4.25,4.39,7.01,8.49,11.65,5.54,-8.23,-0.06,-1.69,-0.01,8.25,-9.86,-3.84,-0.39,-2.06,3.02,-5.74,2.49,0.08,0.41,-1.53,-3.45,-4.44,-3.04,2.26,-8.14,-7.54,-9.04,-11.48,-13.92,-4.98,-2.50,6.24,5.70,-18.03,-13.35,-27.24,-36.61,25.21,25.70,36.08,-166.82,-2.25,7.39,1.96
IncomeRevenues_sy,,,,,7.51,10.32,11.53,17.58,23.22,15.63,30.44,6.85,10.22,12.74,4.06,7.27,1.75,6.26,-1.24,-0.18,3.90,2.05,12.91,15.60,17.52,15.57,18.34,27.05,31.46,11.40,8.60,12.64,1.52,0.01,3.74,-8.14,-3.44,-1.94,-11.16,4.57,0.03,2.17,13.89,2.99,3.80,2.48,6.10,6.96,17.14,6.59,11.92,2.73,0.21,2.61,0.15
IncomeRevenues_qq,,46.13,7.58,-26.54,-10.63,53.13,11.59,-21.08,-9.75,48.14,-1.19,-20.98,-7.49,50.20,1.68,-25.30,-19.56,63.56,0.03,-24.02,-12.91,36.20,6.71,-21.30,-14.37,43.26,-2.36,-14.43,-16.39,43.73,-4.25,-16.10,-17.24,45.84,0.98,-24.63,-16.70,43.48,-1.73,-26.71,-8.05,47.22,7.09,-27.08,-28.70,55.63,-10.08,-36.48,40.84,56.24,-2.66,-131.19,306.05,71.65,-7.58
IncomeRevenues_sq,,-0.16,11.90,9.52,-9.48,5.14,7.96,18.23,-9.75,3.00,20.15,8.13,-10.70,3.59,5.73,9.80,-2.76,8.88,-0.12,1.04,-2.92,6.30,11.12,1.02,-2.95,3.01,-2.36,21.28,-7.41,-1.88,5.28,13.40,-14.21,3.87,10.47,5.94,-13.95,2.50,1.39,22.43,-13.78,5.45,6.29,0.83,-12.54,6.41,3.54,5.11,-2.66,1.88,0.31,14.77,-9.14,-1.27,16.88
IncomeCostOfSales,-262628000,-337911000,1585883000,318790000,269983000,368725000,410303000,425107000,319174000,477012000,480239000,407961000,382616000,534225000,530160000,467758000,312968000,658698000,462932000,571915000,417542000,496438000,516059000,471380000,428761000,511924000,498311000,491738000,424857000,549786000,696794000,268484000,404665000,530819000,560615000,515525000,409634000,507757000,467613000,442975000,403266000,446365000,440027000,395089000,265751000,344683000,333470000,215180000,412713000,613801000,610474000,-579598000,417766000,646997000,600799000
IncomeCostOfSales_yy,,,,,202.80,209.12,-74.13,33.35,18.22,29.37,17.04,-4.03,19.88,11.99,10.40,14.66,-18.20,23.30,-12.68,22.27,33.41,-24.63,11.48,-17.58,2.69,3.12,-3.44,4.32,-0.91,7.40,39.83,-45.40,-4.75,-3.45,-19.54,92.01,1.23,-4.34,-16.59,-14.07,-1.55,-12.09,-5.90,-10.81,-34.10,-22.78,-24.22,-45.54,55.30,78.08,83.07,-369.35,1.22,5.41,-1.58
IncomeCostOfSales_sy,,,,,12.07,8.78,4.92,12.82,17.72,15.58,26.32,7.52,17.44,4.08,4.13,4.20,5.76,23.30,-1.17,0.72,2.92,-0.03,15.76,17.36,8.88,22.81,10.50,37.12,48.64,26.71,22.51,8.70,-4.06,-2.91,-2.02,-10.42,-4.24,-2.73,-13.66,-0.25,-1.55,-2.96,10.39,-3.71,5.16,5.38,9.39,7.22,19.10,14.30,8.14,7.78,0.46,4.22,-2.21
IncomeCostOfSales_qq,,-28.67,569.32,-79.90,-15.31,36.57,11.28,3.61,-24.92,49.45,0.68,-15.05,-6.21,39.62,-0.76,-11.77,-33.09,110.47,-29.72,23.54,-26.99,18.90,3.95,-8.66,-9.04,19.40,-2.66,-1.32,-13.60,29.40,26.74,-61.47,50.72,31.17,5.61,-8.04,-20.54,23.95,-7.91,-5.27,-8.96,10.69,-1.42,-10.21,-32.74,29.70,-3.25,-35.47,91.80,48.72,-0.54,-194.94,172.08,54.87,-7.14
IncomeCostOfSales_sq,,-13.80,28.18,4.32,-6.64,2.28,10.52,18.62,-9.92,7.91,13.34,6.09,-8.12,3.63,11.91,4.50,-0.04,3.15,-0.72,0.33,-1.87,-1.38,11.98,3.96,-10.74,7.97,10.85,35.96,-12.92,-2.25,8.51,16.74,-15.92,-4.89,8.50,3.99,-17.80,-4.51,4.31,9.94,-15.70,3.86,8.79,0.71,-12.06,4.60,10.56,6.64,-3.05,-8.14,1.00,18.93,-5.24,-0.26,11.45
IncomeDistributionExpenses,162470000,257192000,-1076613000,1495143000,203998000,275121000,259965000,264864000,227408000,275754000,265762000,279071000,227811000,309399000,331987000,229378000,251553000,290764000,397796000,185858000,244060000,281153000,284755000,283465000,250197000,310954000,280734000,279093000,244809000,322000000,93577000,439399000,243241000,291756000,278245000,168463000,213177000,273196000,264210000,190203000,183685000,276642000,251903000,207378000,133928000,252516000,199150000,109140000,124105000,176397000,165916000,185512000,134316000,197752000,167489000
IncomeDistributionExpenses_yy,,,,,25.56,6.97,124.15,-82.29,11.48,0.23,2.23,5.36,0.18,12.20,24.92,-17.81,10.42,-6.02,19.82,-18.97,-2.98,-3.31,-28.42,52.52,2.51,10.60,-1.41,-1.54,-2.15,3.55,-66.67,57.44,-0.64,-9.39,197.34,-61.66,-12.36,-6.36,-5.04,12.90,-13.83,1.26,-4.66,9.03,-27.09,-8.72,-20.94,-47.37,-7.33,-30.14,-16.69,69.98,8.23,12.11,0.95
IncomeDistributionExpenses_sy,,,,,21.28,4.75,24.80,17.36,37.43,21.84,14.44,7.95,10.24,34.56,25.27,7.29,12.17,8.62,5.68,11.91,13.79,10.38,6.85,20.70,4.54,5.28,-4.18,-9.34,11.99,17.57,14.82,17.94,-5.38,-1.04,-0.80,-0.97,-4.71,4.47,4.30,6.40,-0.96,2.86,-1.91,-2.58,-2.89,-4.06,3.86,1.80,5.68,2.71,9.16,11.45,1.94,6.60,-0.20
IncomeDistributionExpenses_qq,,58.30,-518.60,238.87,-86.36,34.86,-5.51,1.88,-14.14,21.26,-3.62,5.01,-18.37,35.81,7.30,-30.91,9.67,15.59,36.81,-53.28,31.32,15.20,1.28,-0.45,-11.74,24.28,-9.72,-0.58,-12.28,31.53,-70.94,369.56,-44.64,19.95,-4.63,-39.46,26.54,28.15,-3.29,-28.01,-3.43,50.61,-8.94,-17.68,-35.42,88.55,-21.13,-45.20,13.71,42.14,-5.94,11.81,-27.60,47.23,-15.30
IncomeDistributionExpenses_sq,,6.46,5.91,43.38,-12.98,9.56,4.91,32.70,-14.30,2.72,14.84,21.41,-16.98,4.22,5.10,11.21,-15.27,5.33,4.65,18.34,-7.18,1.24,0.59,21.86,-25.16,-1.79,3.01,29.93,-11.00,8.09,7.01,18.86,-19.04,-0.99,6.18,20.30,-15.88,-3.10,-2.46,17.56,-14.52,3.50,-2.11,7.34,-14.68,-1.64,6.96,6.02,-7.94,-1.64,11.06,12.23,-13.40,1.04,-6.74
IncomeAdministrativExpenses,70962000,65072000,-312523000,423886000,65498000,62769000,69263000,52968000,69451000,47608000,63376000,50487000,54744000,56901000,43452000,82964000,80881000,681000,44452000,46833000,30781000,46972000,48891000,51202000,33778000,53516000,50061000,51232000,42185000,54693000,42271000,66135000,55150000,55351000,49120000,51887000,58767000,41424000,41580000,61838000,21756000,46407000,79481000,61187000,55624000,45517000,40062000,42816000,42335000,39494000,38475000,47046000,40265000,29125000,49339000
IncomeAdministrativExpenses_yy,,,,,-7.70,-3.54,122.16,-87.50,6.04,-24.15,-8.50,-4.68,-21.18,19.52,-31.44,64.33,47.74,-98.80,2.30,-43.55,-61.94,6797.50,9.99,9.33,9.74,13.93,2.39,0.06,24.89,2.20,-15.56,29.09,30.73,1.20,16.20,-21.54,6.56,-25.16,-15.35,19.18,-62.98,12.03,91.15,-1.05,155.67,-1.92,-49.60,-30.02,-23.89,-13.23,-3.96,9.88,-4.89,-26.25,28.24
IncomeAdministrativExpenses_sy,,,,,5.77,-3.65,11.06,-15.74,15.76,23.14,37.74,16.90,11.68,22.68,9.17,6.82,-3.35,-5.14,1.02,-7.17,6.22,14.02,9.74,13.42,2.71,10.92,16.79,24.05,24.44,2.02,14.14,4.92,7.97,1.14,11.33,-0.18,0.82,-12.33,-13.10,-3.93,-3.10,7.58,1.83,-0.61,2.23,9.68,2.50,-3.44,9.03,8.72,17.83,10.66,12.48,15.73,25.66
IncomeAdministrativExpenses_qq,,-8.30,-580.27,235.63,-84.55,-4.17,10.35,-23.53,31.12,-31.45,33.12,-20.34,8.43,3.94,-23.64,90.93,-2.51,-99.16,6427.46,5.36,-34.27,52.60,4.09,4.73,-34.03,58.43,-6.46,2.34,-17.66,29.65,-22.71,56.45,-16.61,0.36,-11.26,5.63,13.26,-29.51,0.38,48.72,-64.82,113.31,71.27,-23.02,-9.09,-18.17,-11.98,6.87,-1.12,-6.71,-2.58,22.28,-14.41,-27.67,69.40
IncomeAdministrativExpenses_sq,,14.09,-11.32,60.70,-25.18,4.67,4.48,12.57,-0.98,9.80,22.88,6.69,-6.16,10.25,-4.49,13.17,-15.09,0.44,-1.84,9.51,-5.93,2.00,3.24,17.65,-13.78,19.84,0.22,12.94,-11.53,6.78,-5.86,12.34,-15.25,3.02,-1.06,9.45,-11.09,-9.64,5.26,14.15,-19.66,1.56,-1.69,17.54,-11.67,4.11,-9.70,29.22,-9.24,3.67,-1.78,20.69,-13.33,0.86,39.67
IncomeGrossProfit,52273000,141101000,3837065000,-3575271000,26438000,159951000,227493000,20194000,72676000,219911000,198773000,59153000,71819000,206416000,219992000,60738000,30967000,156138000,201394000,36161000,39805000,172691000,214430000,31465000,4405000,150975000,173968000,36291000,5840000,105084000,155064000,54698000,-17227000,122314000,122059000,25377000,-47493000,87398000,120647000,-39757000,-6214000,117595000,178471000,28976000,38538000,125866000,118458000,71906000,39205000,136446000,125615000,53686000,12101000,163633000,141280000
IncomeGrossProfit_yy,,,,,-49.42,13.36,-94.07,100.56,174.89,37.49,-12.62,192.92,-1.18,-6.14,10.67,2.68,-56.88,-24.36,-8.45,-40.46,28.54,10.60,6.47,-12.99,-88.93,-12.58,-18.87,15.34,32.58,-30.40,-10.87,50.72,-394.98,16.40,-21.28,-53.61,-175.69,-28.55,-1.16,-256.67,86.92,34.55,47.93,172.88,720.18,7.03,-33.63,148.16,1.73,8.41,6.04,-25.34,-69.13,19.93,12.47
IncomeGrossProfit_sy,,,,,-31.38,13.12,8.51,16.16,55.75,-31.18,-12.62,-18.08,-15.30,-6.14,33.39,21.67,-7.06,-35.38,-8.93,28.94,-16.86,5.96,12.74,-17.58,-4.16,-12.77,-5.82,15.34,27.93,-17.62,-10.87,2.25,26.12,30.60,38.52,18.01,19.80,1.60,-6.75,27.38,17.07,5.70,36.43,-3.60,-7.96,-4.38,-13.84,17.78,0.99,-3.23,28.64,-5.88,5.48,-11.93,1.51
IncomeGrossProfit_qq,,169.93,2619.37,-193.18,100.74,505.00,42.23,-91.12,259.89,202.59,-9.61,-70.24,21.41,187.41,6.58,-72.39,-49.02,404.21,28.98,-82.04,10.08,333.84,24.17,-85.33,-86.00,3327.36,15.23,-79.14,-83.91,1699.38,47.56,-64.73,-131.49,810.01,-0.21,-79.21,-287.15,284.02,38.04,-132.95,84.37,1992.42,51.77,-83.76,33.00,226.60,-5.89,-39.30,-45.48,248.03,-7.94,-57.26,-77.46,1252.23,-13.66
IncomeGrossProfit_sq,,77.36,-20.66,5.77,-12.68,105.00,-28.13,34.57,5.78,-39.34,33.06,-25.16,30.56,-21.77,29.44,4.58,34.53,-33.74,-1.54,-51.00,10.08,19.81,23.09,-35.22,39.78,-23.41,73.43,-32.48,-27.86,-0.70,17.98,-42.70,-1.37,-15.48,3.70,-2.16,-1.90,-34.54,38.04,48.06,-1.75,7.38,20.07,-19.01,3.66,25.94,1.66,26.30,-15.75,23.92,10.25,1.89,-1.10,-52.44,184.54
IncomeOtherOperatingIncome,12810000,14022000,3690000,,,,,,,,,,,,,0,,1025000,-305000,6025000,671000,2069000,1972000,-1984000,649000,3231000,1063000,3881000,722000,5439000,33260000,10797000,5443000,6252000,2971000,6082000,5047000,-4859000,0,2017000,3676000,107000,2582000,648000,2091000,165000,0,-1000,227000,,,,793000,,
IncomeOtherOperatingIncome_yy,,,,,-100.00,-100.00,-100.00,,,,,,,,,,,,,,,101.85,746.56,-132.93,-3.28,56.16,-46.10,295.61,11.25,68.34,3028.88,178.20,653.88,14.95,-91.07,-43.67,-7.28,-177.72,-100.00,-66.84,-27.16,102.20,,-67.87,-43.12,54.21,-100.00,-100.15,-89.14,-100.00,,100.00,249.34,,
IncomeOtherOperatingIncome_sy,,,,,125.77,-43.30,7.92,,,,,,,,,,,,,,,-26.38,-21.05,16.38,14.46,91.91,-3.04,-10.36,0.07,0.04,20.16,-11.44,-39.22,1.33,-38.27,-24.53,13.47,-11.35,4.97,13.14,-14.23,37.42,,15.25,-21.92,-31.34,-3.20,-13.46,26.98,-9.59,,-24.59,18.45,,
IncomeOtherOperatingIncome_qq,,9.46,-73.68,-100.00,,,,,,,,,,,,,,,-129.76,2075.41,-88.86,208.35,-4.69,-200.61,132.71,397.84,-67.10,265.10,-81.40,653.32,511.51,-67.54,-49.59,14.86,-52.48,104.71,-17.02,-196.28,100.00,,82.25,-97.09,2313.08,-74.90,222.69,-92.11,-100.00,,22800.00,-100.00,,,,-100.00,
IncomeOtherOperatingIncome_sq,,193.03,-51.40,50.32,,,,,,,,,,,,,,,-30.84,56.95,-46.89,26.74,-3.38,127.49,-49.65,71.06,-38.34,10.84,-51.55,59.16,-0.67,8.27,-36.95,16.50,-23.13,60.56,-27.66,31.00,-27.94,,-41.30,23.06,-19.86,92.68,-29.20,10.82,1.28,,-22.28,11.06,,,,33.20,
IncomeOtherOperatingCosts,12419000,11208000,-58698000,38070000,-13573000,-552000,-763000,-3274000,-1133000,-3553000,-7328000,1020000,-606000,1391000,-14906000,-5166000,-808000,,,,,,,,,,,,,,-6878000,,,,,,,-15416000,-1264000,-1691000,-919000,3486000,-311000,39997000,-2770000,-1459000,109000,33265000,,2108000,-404000,19339000,,-148000,-885000
IncomeOtherOperatingCosts_yy,,,,,-209.29,-104.93,98.70,-108.60,91.65,-543.66,-860.42,131.15,46.51,139.15,-103.41,-606.47,-33.33,-100.00,100.00,100.00,100.00,,,,,,,,,,,,,,100.00,,,,,,,122.61,75.40,2465.29,-201.41,-141.85,135.05,-16.83,100.00,244.48,-470.64,-41.86,,-107.02,-119.06
IncomeOtherOperatingCosts_sy,,,,,60.98,-12.39,29.65,-40.70,-6.55,71.96,25.37,55.20,-27.27,67.44,-34.33,117.43,113.26,-7.41,56.60,40.43,-25.18,,,,,,,,,,,,,,-12.88,,,,,,,1.95,20.95,24.09,-15.52,22.35,-3.07,13.62,-7.28,35.60,34.03,-12.90,,25.04,-42.09
IncomeOtherOperatingCosts_qq,,-9.75,-623.72,164.86,-135.65,95.93,-38.22,-329.10,65.39,-213.59,-106.25,113.92,-159.41,329.54,-1171.60,65.34,84.36,100.00,,,,,,,,,,,,,,100.00,,,,,,,91.80,-33.78,45.65,479.33,-108.92,12960.77,-106.93,47.33,107.47,30418.35,-100.00,,-119.17,4886.88,-100.00,,-497.97
IncomeOtherOperatingCosts_sq,,93.62,-22.46,210.33,-83.09,25.25,-29.74,113.69,-56.76,4.12,-20.16,62.48,-69.30,32.02,-62.80,286.79,-66.43,14.84,,,,,,,,,,,,,,98.69,,,,,,,-12.78,34.07,-42.22,2.94,-16.53,132.14,7.01,50.13,-40.66,158.43,-53.48,,-31.00,59.94,-54.68,,-247.60
IncomeEBIT,52664000,143915000,3899453000,-3643863000,40011000,160503000,228256000,23468000,73809000,223464000,206101000,58133000,72425000,205025000,234898000,65904000,31775000,156355000,201089000,42186000,40476000,174760000,216402000,29481000,5054000,154206000,175031000,40172000,6562000,110523000,195202000,58617000,-11784000,128566000,125030000,31459000,-42446000,97955000,121911000,-36049000,-1619000,114216000,181364000,-10373000,43399000,127490000,118349000,38640000,39432000,134111000,126019000,34347000,12894000,162988000,142165000
IncomeEBIT_yy,,,,,-24.03,11.53,-94.15,100.64,84.47,39.23,-9.71,147.71,-1.88,-8.25,13.97,13.37,-56.13,-23.74,-14.39,-35.99,27.38,11.77,7.62,-30.12,-87.51,-11.76,-19.12,36.26,29.84,-28.33,11.52,45.92,-279.58,16.33,-35.95,-46.33,-260.20,-23.81,-2.49,-214.59,96.19,16.60,48.77,71.23,2780.61,11.62,-34.75,472.51,-9.14,5.19,6.48,-11.11,-67.30,21.53,12.81
IncomeEBIT_sy,,,,,-6.30,12.12,35.03,96.24,68.73,-2.22,-9.71,-31.73,-10.66,-12.62,17.59,13.70,-6.40,-4.89,-19.45,41.32,18.77,4.08,7.62,-30.04,9.83,-12.46,-2.24,-61.31,16.71,3.96,-19.18,9.35,27.38,14.75,12.33,9.23,17.55,30.33,-13.72,36.91,27.18,25.68,20.72,-4.48,4.24,-20.00,-18.41,12.77,-2.50,-12.99,6.48,13.16,6.16,-11.69,1.99
IncomeEBIT_qq,,173.27,2609.55,-193.45,101.10,301.15,42.21,-89.72,214.51,202.76,-7.77,-71.79,24.59,183.09,14.57,-71.94,-51.79,392.07,28.61,-79.02,-4.05,331.76,23.83,-86.38,-82.86,2951.17,13.50,-77.05,-83.67,1584.29,76.62,-69.97,-120.10,1191.02,-2.75,-74.84,-234.92,330.78,24.46,-129.57,95.51,7154.73,58.79,-105.72,518.38,193.76,-7.17,-67.35,2.05,240.11,-6.03,-72.74,-62.46,1164.06,-12.78
IncomeEBIT_sq,,126.16,-33.43,5.00,-13.68,44.50,0.78,73.03,-2.46,-18.68,-0.14,-2.64,-10.86,-2.01,18.20,-20.88,23.46,-18.06,8.94,-17.30,28.50,11.16,18.91,-32.88,31.09,21.05,13.86,-55.55,37.47,-7.62,-13.02,-43.11,3.78,-3.71,-2.75,21.09,0.08,-23.84,26.34,14.30,0.10,6.40,9.21,12.26,-12.07,18.88,1.82,23.66,-11.94,9.74,16.16,-1.37,29.76,-55.24,188.90
IncomeFinanceIncome,1187000,886000,1295000,534000,1443000,730000,309000,655000,614000,-247000,716000,276000,3564000,-2025000,7950000,1460000,-6210000,3147000,6318000,-1834000,515000,1400000,-496000,258000,29000,789000,-2160000,-359000,2073000,102000,-1113000,447000,618000,653000,526000,509000,576000,161000,2187000,-1818000,489000,224000,491000,494000,452000,84000,39000,17000,48000,9000,9000,46000,21000,10000,14000
IncomeFinanceIncome_yy,,,,,21.57,-17.61,-76.14,22.66,-57.45,-133.84,131.72,-57.86,480.46,-719.84,1010.34,428.99,-274.24,255.41,-20.53,-225.62,108.29,-55.51,-107.85,114.07,-94.37,-43.64,-335.48,-239.15,7048.28,-87.07,48.47,224.51,-70.19,540.20,147.26,13.87,-6.80,-75.34,315.78,-457.17,-15.10,39.13,-77.55,127.17,-7.57,-62.50,-92.06,-96.56,-89.38,-89.29,-76.92,170.59,-56.25,11.11,55.56
