,IncomeRevenues,IncomeCostOfSales,IncomeDistributionExpenses,IncomeAdministrativExpenses,IncomeGrossProfit,IncomeOtherOperatingIncome,IncomeOtherOperatingCosts,IncomeEBIT,IncomeFinanceIncome,IncomeFinanceCosts,IncomeOtherIncome,IncomeNetGrossProfit,IncomeExtraordinarProfit,IncomeBeforeTaxProfit,IncomeDiscontinuedProfit,IncomeNetProfit,IncomeShareholderNetProfit,BalanceNoncurrentAssets,BalanceIntangibleAssets,BalanceProperty,BalanceNoncurrentReceivables,BalanceNoncurrInvestments,BalanceOtherNoncurrentAssets,BalanceCurrentAssets,BalanceInventory,BalanceCurrentReceivables,BalanceCurrentInvestments,BalanceCash,BalanceOtherCurrentAssets,BalanceAssetsForSale,BalanceTotalAssets,BalanceCapital,BalanceShareCapital,BalanceOwnShares,BalanceReserve,BalanceNonshareCapital,BalanceNoncurrentLiabilities,BalanceNoncurrentTradeLiabilities,BalanceNoncurrentBorrowings,BalanceNoncurrentObligations,BalanceNoncurrentLeasing,BalanceNoncurrentOtherLiabilities,BalanceCurrentLiabilities,BalanceCurrentTradePayablesv,BalanceCurrentBorrowings,BalanceCurrentObligations,BalanceCurrentLeasing,BalanceCurrentOtherLiabilities,BalanceReckoning,BalanceTotalEquityAndLiabilities,CashflowOperatingCashflow,CashflowAmortization,CashflowInvestingCashflow,CashflowCapex,CashflowFinancingCashflow,CashflowShareCapitalCash,CashflowDividend,CashflowNetCashflow
EFK,12389000.0,4869000.0,505000.0,2882000.0,4133000.0,32000.0,38000.0,4127000.0,39000.0,817000.0,12000.0,200000.0,,-2283000.0,,-2195000.0,-2195000.0,105777000.0,659000.0,102538000.0,225000.0,386000.0,1191000.0,12738000.0,137000.0,1571000.0,1991000.0,353000.0,,75583000.0,35471000.0,1665000.0,-982000.0,40868000.0,,71509000.0,65915000.0,78386000.0,,,3538000.0,12322000.0,3739000.0,9620000.0,,,14374000.0,21000.0,108350000.0,,3422000.0,998000.0,-186000.0,232000.0,-2780000.0,,1360000.0,155000.0
EGS,181699000.0,149381000.0,10876000.0,9302000.0,12140000.0,867000.0,2052000.0,10955000.0,181000.0,639000.0,33000.0,8899000.0,,8899000.0,,7095000.0,7017000.0,261025000.0,67190000.0,180501000.0,33000.0,170000.0,2191000.0,235481000.0,104381000.0,107386000.0,226000.0,21502000.0,,457917000.0,172827000.0,23662000.0,,70415000.0,328000.0,65421000.0,,30714000.0,,,21217000.0,192629000.0,105231000.0,80469000.0,,,10549000.0,1334000.0,518187000.0,,-25358000.0,5461000.0,-1931000.0,23966000.0,-24207000.0,,0.0,12868000.0
EHG,286502000.0,259509000.0,,,26993000.0,,26021000.0,10884000.0,104000.0,7833000.0,-2000.0,3153000.0,,3153000.0,,6045000.0,3742000.0,980201000.0,406919000.0,36825000.0,,184859000.0,311888000.0,724267000.0,,841635000.0,31436000.0,155905000.0,,,2159668000.0,219828000.0,276877000.0,,-25388000.0,85068000.0,83823000.0,,,,,880644000.0,41447000.0,,,,421913000.0,417297000.0,1411784000.0,,55329000.0,3699000.0,40410000.0,26465000.0,-98940000.0,,,18545000.0
EKP,1334000.0,966000.0,,235000.0,-2000.0,548000.0,1287000.0,4000.0,1000.0,59000.0,-2685000.0,,-955000.0,,-955000.0,-949000.0,,50054000.0,1550000.0,42197000.0,17000.0,,3268000.0,183000.0,1453000.0,2429000.0,3697000.0,89000.0,,54655000.0,59153000.0,,4612000.0,539000.0,1638000.0,,,,,5964000.0,,,,,191000.0,,0.0,,,,-314000.0,142000.0,-286000.0,566000.0,,,-14000.0,
ELB,251805000.0,238152000.0,1158000.0,3848000.0,8647000.0,3917000.0,2787000.0,17701000.0,0.0,557000.0,2676000.0,21624000.0,,21624000.0,,17204000.0,17204000.0,188818000.0,39216000.0,89625000.0,9180000.0,26123000.0,18623000.0,737303000.0,50353000.0,337220000.0,24000.0,84891000.0,249299000.0,165358000.0,62395000.0,24821000.0,,58352000.0,1056000.0,6717000.0,2969000.0,,,,1964000.0,220928000.0,160330000.0,22497000.0,,,855000.0,43904000.0,474004000.0,,70634000.0,4028000.0,-951000.0,5947000.0,-23012000.0,,,-38751000.0
ELT,63631000.0,56769000.0,1720000.0,2224000.0,2918000.0,-1030000.0,705000.0,1183000.0,249000.0,148000.0,339000.0,4250000.0,,4250000.0,,3398000.0,3298000.0,35521000.0,9370000.0,,880000.0,1412000.0,108954000.0,5526000.0,59583000.0,94000.0,3180000.0,,121902000.0,83624000.0,9983000.0,,64698000.0,533000.0,312000.0,24000.0,,,1716000.0,56563000.0,43360000.0,6013000.0,,,14520000.0,0.0,,,,,10852000.0,730000.0,-1874000.0,1993000.0,2106000.0,0.0,0.0,17075000.0
ELZ,24063000.0,15946000.0,2474000.0,3499000.0,2144000.0,332000.0,85000.0,2391000.0,198000.0,103000.0,,2778000.0,,2778000.0,,2318000.0,2253000.0,82104000.0,10627000.0,26694000.0,59000.0,773000.0,32502000.0,15529000.0,22746000.0,10580000.0,20042000.0,,3176000.0,33803000.0,22143000.0,0.0,16296000.0,78000.0,2118000.0,,2108000.0,,151000.0,1088000.0,90873000.0,,,,1831000.0,8215000.0,58305000.0,,,,1922000.0,821000.0,-3301000.0,1302000.0,-3231000.0,,,-17290000.0
EMC,44501000.0,,,,-5148000.0,742000.0,985000.0,-5391000.0,520000.0,540000.0,,-641000.0,,-641000.0,,-1101000.0,-1201000.0,191936000.0,31367000.0,208880000.0,,1545000.0,22542000.0,1253000.0,19611000.0,,4661000.0,,34468000.0,33606000.0,26550000.0,,17056000.0,3056000.0,45235000.0,,61854000.0,,2311000.0,10219000.0,17966000.0,15522000.0,,,13654000.0,5159000.0,252378000.0,,,,10543000.0,2475000.0,-11303000.0,-11593000.0,2484000.0,,,-51000.0
EMT,196897000.0,,,,8095000.0,525000.0,51000.0,8569000.0,611000.0,1009000.0,5000.0,11330000.0,,11330000.0,,10261000.0,9637000.0,160337000.0,107013000.0,73121000.0,,1145000.0,952000.0,314753000.0,89888000.0,108370000.0,4580000.0,23365000.0,,69984000.0,85390000.0,89498000.0,,1263000.0,,32053000.0,,21143000.0,,,13582000.0,94906000.0,27867000.0,54024000.0,,,10677000.0,30637000.0,,,5039000.0,804000.0,3484000.0,4485000.0,-1748000.0,1210000.0,,50824000.0
ENA,2191618000.0,,,,268897000.0,16886000.0,161490000.0,86182000.0,19002000.0,17418000.0,,309752000.0,,309752000.0,,249429000.0,233099000.0,12371968000.0,216758000.0,12528004000.0,167045000.0,47578000.0,164771000.0,5751655000.0,649509000.0,1780595000.0,232986000.0,1983027000.0,407223000.0,930000.0,28389420000.0,221595000.0,,2939493000.0,2882000.0,1518009000.0,35000.0,79690000.0,,1882000.0,1582139000.0,1449826000.0,1158467000.0,63603000.0,,3494000.0,551223000.0,,14974886000.0,,384211000.0,188502000.0,-608316000.0,730328000.0,616502000.0,,445000.0,-117194000.0
ENE,52816000.0,45785000.0,1657000.0,1396000.0,3978000.0,253000.0,1384000.0,2847000.0,41000.0,612000.0,,38144000.0,,38144000.0,,38370000.0,38392000.0,117584000.0,3259000.0,87323000.0,,2310000.0,1298000.0,42656000.0,2028000.0,19176000.0,7030000.0,5442000.0,2572000.0,,205842000.0,14183000.0,,757000.0,,27278000.0,32901000.0,24118000.0,,,7568000.0,36797000.0,18394000.0,21448000.0,,,6766000.0,56000.0,182508000.0,,6807000.0,2639000.0,-274000.0,462000.0,-5550000.0,5000.0,0.0,-7178000.0
ENG,2747942000.0,2334282000.0,75279000.0,97486000.0,240895000.0,23852000.0,89873000.0,174874000.0,26461000.0,95322000.0,,281939000.0,,281939000.0,681000.0,168000000.0,166000000.0,12227792000.0,521414000.0,11371481000.0,,53663000.0,281234000.0,4189939000.0,291555000.0,1315050000.0,40673000.0,2306822000.0,235839000.0,142816000.0,17498949000.0,8354388000.0,4521613000.0,,1044747000.0,29834000.0,7270048000.0,,5648645000.0,,,1755316000.0,2183530000.0,682524000.0,374406000.0,,,990961000.0,129613000.0,18296932000.0,304564000.0,191151000.0,-1204552000.0,1208543000.0,-113618000.0,,16384000.0,85611000.0
ENI,104940000.0,94149000.0,670000.0,3876000.0,6245000.0,485000.0,516000.0,6214000.0,-1009000.0,537000.0,,2825000.0,,2825000.0,,2072000.0,2030000.0,104901000.0,1283000.0,64274000.0,,3059000.0,112433000.0,14299000.0,113251000.0,84000.0,15194000.0,,,112628000.0,1800000.0,,101956000.0,6820000.0,19103000.0,,4037000.0,,,18021000.0,109804000.0,5791000.0,,,6136000.0,17570000.0,0.0,,,,-42083000.0,1716000.0,-3359000.0,3424000.0,-723000.0,50000.0,1936000.0,5670000.0
ENP,13232000.0,11707000.0,,943000.0,582000.0,71000.0,29000.0,624000.0,183000.0,64000.0,,557000.0,,557000.0,,377000.0,377000.0,5144000.0,9000.0,4404000.0,24000.0,,803000.0,21627000.0,1977000.0,12232000.0,,5982000.0,1436000.0,,26953000.0,16454000.0,3994000.0,,12460000.0,,514000.0,,,,1073000.0,15659000.0,11369000.0,,,,2849000.0,15000.0,13465000.0,,1904000.0,158000.0,-196000.0,242000.0,-13000.0,,,3834000.0
ENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERB,298684000.0,273239000.0,984000.0,13746000.0,5246000.0,1297000.0,403000.0,6140000.0,665000.0,3515000.0,,10980000.0,,10980000.0,-35733000.0,6898000.0,6803000.0,156821000.0,24949000.0,58855000.0,1149000.0,19272000.0,661245000.0,108941000.0,550454000.0,5484000.0,139098000.0,,346949000.0,224825000.0,1260000.0,,223354000.0,14416000.0,94554000.0,,78510000.0,,6169000.0,336479000.0,199199000.0,66057000.0,,,102200000.0,22516000.0,1078767000.0,,,,33224000.0,1672000.0,-1114000.0,389000.0,-16957000.0,,-5381000.0,
ERG,23424000.0,,,,525000.0,102000.0,562000.0,65000.0,23000.0,113000.0,,-3000.0,,-3000.0,,-155000.0,-169000.0,29703000.0,1531000.0,204000.0,,1006000.0,29258000.0,8643000.0,19536000.0,,311000.0,2720000.0,53178000.0,29149000.0,17322000.0,-1352000.0,20889000.0,4854000.0,,8476000.0,,,3011000.0,23654000.0,13541000.0,2727000.0,,1378000.0,0.0,53368000.0,,,,,-815000.0,847000.0,-221000.0,1097000.0,257000.0,,,170000.0
ESS,42022000.0,26393000.0,7969000.0,5019000.0,2641000.0,260000.0,492000.0,2409000.0,-18000.0,-50000.0,,2441000.0,,2441000.0,,2088000.0,2072000.0,80625000.0,388000.0,65826000.0,7000.0,1681000.0,95494000.0,28560000.0,46201000.0,,21614000.0,,154451000.0,134752000.0,14145000.0,,126129000.0,266000.0,8005000.0,,,,,34749000.0,,226000.0,,,2860000.0,24387000.0,186885000.0,,,,3121000.0,1974000.0,-1130000.0,1162000.0,-2142000.0,,,-15573000.0
EST,14806000.0,7852000.0,,2842000.0,703000.0,1341000.0,1598000.0,1731000.0,18070000.0,,33624000.0,,33624000.0,,-10471000.0,-12023000.0,,130263000.0,24661000.0,71980000.0,25000.0,27896000.0,5275000.0,43639000.0,6352000.0,23942000.0,18708000.0,16966000.0,,531122000.0,159430000.0,437000.0,-521000.0,52018000.0,12976000.0,62688000.0,,39762000.0,,,23704000.0,32099000.0,18023000.0,5787000.0,,,11627000.0,4556000.0,160645000.0,,2901000.0,-9461000.0,771000.0,,,,,
ETL,33966000.0,19842000.0,11601000.0,1501000.0,1022000.0,298000.0,188000.0,1132000.0,12000.0,60000.0,,426000.0,,426000.0,,279000.0,450000.0,33968000.0,24203000.0,8589000.0,104000.0,667000.0,25466000.0,2061000.0,13328000.0,229000.0,3196000.0,176000.0,,90857000.0,52751000.0,,21537000.0,,459000.0,,,,,2250000.0,6179000.0,,,,266000.0,,69997000.0,,,,3889000.0,343000.0,-724000.0,839000.0,-2030000.0,,,641000.0
EUC,11268000.0,7126000.0,23000.0,1582000.0,3737000.0,445000.0,1256000.0,5829000.0,,1005000.0,,4920000.0,,4920000.0,,4359000.0,4359000.0,11420000.0,30000.0,5706000.0,2073000.0,260000.0,9577000.0,88836000.0,13000.0,114973000.0,1739000.0,,,31008000.0,19166000.0,560000.0,,-90000.0,258000.0,3771000.0,,756000.0,,,6440000.0,83042000.0,40797000.0,10730000.0,,,389000.0,,180933000.0,,-591000.0,194000.0,-1711000.0,80000.0,1677000.0,,5880000.0,-10799000.0
EUR,4244565000.0,3813790000.0,266491000.0,79545000.0,84738000.0,16800000.0,15698000.0,85840000.0,2590000.0,12990000.0,,75440000.0,,75440000.0,,57508000.0,57508000.0,2036069000.0,1440395000.0,557762000.0,2913000.0,34805000.0,124906000.0,3254267000.0,1282444000.0,1810758000.0,28701000.0,3659000.0,,1114972000.0,302111000.0,133687000.0,,185715000.0,5000.0,543171000.0,,350508000.0,,,58363000.0,3645917000.0,3010832000.0,776618000.0,,,161179000.0,106892000.0,5246492000.0,,89861000.0,29332000.0,-32761000.0,32651000.0,-73309000.0,691000.0,1564000.0,-1712000.0
EVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEE,37660000.0,29358000.0,361000.0,63000.0,7878000.0,128000.0,1639000.0,6367000.0,54000.0,133000.0,,6288000.0,,6288000.0,,5982000.0,5982000.0,65029000.0,23644000.0,41368000.0,,10000.0,7000.0,58659000.0,20724000.0,22993000.0,,14621000.0,321000.0,,123688000.0,87468000.0,33383000.0,,44138000.0,,14744000.0,,9480000.0,,,5264000.0,21476000.0,14689000.0,2169000.0,,,1775000.0,2843000.0,123688000.0,691000.0,721000.0,-6592000.0,6919000.0,-514000.0,-332000.0,,7667000.0
FER,76744000.0,72033000.0,1892000.0,3755000.0,-936000.0,6484000.0,-42000.0,5590000.0,1809000.0,3758000.0,,-4609000.0,,-4609000.0,,-8531000.0,-8531000.0,178932000.0,4744000.0,138171000.0,0.0,,241097000.0,53454000.0,105789000.0,2479000.0,,,362132000.0,155112000.0,75839000.0,-12899000.0,96519000.0,,52458000.0,167000.0,,,21789000.0,250235000.0,73031000.0,88472000.0,,,19959000.0,,257734000.0,,,,15246000.0,3024000.0,-743000.0,854000.0,-14517000.0,,,-4487000.0
FFI,7193000.0,810000.0,,3097000.0,2938000.0,174000.0,12000.0,3100000.0,985000.0,1578000.0,,2507000.0,,2507000.0,,2019000.0,2019000.0,17937000.0,,1413000.0,,4272000.0,76169000.0,34000.0,138675000.0,327000.0,408000.0,55259000.0,,238340000.0,72097000.0,1000000.0,,,58821000.0,,35035000.0,,,153039000.0,58521000.0,941000.0,26624000.0,,,4043000.0,92936000.0,,,,-2828000.0,128000.0,-2356000.0,25000.0,-5655000.0,,,-7112000.0
FMF,284327000.0,205131000.0,1865000.0,26366000.0,50965000.0,15116000.0,8160000.0,57921000.0,4889000.0,4291000.0,,5402000.0,,5402000.0,,14555000.0,14557000.0,703444000.0,276022000.0,6403000.0,18656000.0,24653000.0,739653000.0,157846000.0,,52178000.0,12637000.0,,1187650000.0,1445786000.0,,289314000.0,20235000.0,145048000.0,,1304000.0,,3186000.0,244034000.0,129649000.0,53731000.0,,,473226000.0,20875000.0,1722727000.0,,,,,97713000.0,40226000.0,-39812000.0,38157000.0,-10965000.0,,,91656000.0
FMG,58571000.0,,,,-3493000.0,17000.0,36000.0,,,,1203000.0,,1203000.0,,4071000.0,4073000.0,,46911000.0,19797000.0,5627000.0,465000.0,,30067000.0,,59838000.0,237000.0,9747000.0,3792000.0,,138635000.0,66765000.0,31616000.0,,32601000.0,,258000.0,,,,,24909000.0,,13996000.0,,,7358000.0,2788000.0,138906000.0,,,1163000.0,959000.0,4459000.0,0.0,-415000.0,,-145000.0,
FON,4865000.0,4572000.0,,169000.0,273000.0,6000.0,690000.0,-322000.0,90000.0,,-444000.0,,-444000.0,,-423000.0,-423000.0,,239656000.0,,1327000.0,215000.0,,3174000.0,0.0,12259000.0,145374000.0,468000.0,37000.0,359000.0,4215000.0,3601000.0,,42067000.0,,625000.0,,,,0.0,2376000.0,277000.0,,,,7141000.0,216000.0,63253000.0,,,,-459000.0,320000.0,-2369000.0,0.0,-2692000.0,,,271000.0
FRO,79195000.0,,,,15751000.0,195000.0,5547000.0,10399000.0,-153000.0,1448000.0,,9368000.0,,9368000.0,,7792000.0,7792000.0,177347000.0,151749000.0,28156000.0,,128000.0,139246000.0,70649000.0,50717000.0,,9381000.0,,,40812000.0,9479000.0,,93682000.0,2000.0,38412000.0,,48352000.0,,,8247000.0,122019000.0,30909000.0,,,1232000.0,,127007000.0,,,,16267000.0,502000.0,-189000.0,186000.0,-11516000.0,0.0,10621000.0,-26092000.0
FSG,45413000.0,31970000.0,1162000.0,10210000.0,2071000.0,471000.0,639000.0,1903000.0,263000.0,1277000.0,-21000.0,-3713000.0,,-3713000.0,,-3613000.0,-3193000.0,105711000.0,2723000.0,104454000.0,110000.0,1774000.0,49992000.0,14486000.0,29800000.0,4914000.0,5803000.0,3982000.0,,192923000.0,80748000.0,8731000.0,,63608000.0,28288000.0,17389000.0,11163000.0,,,,26962000.0,30283000.0,,,,251000.0,35000.0,183074000.0,,,4435000.0,2201000.0,-864000.0,1653000.0,-2274000.0,891000.0,2486000.0,2438000.0
FTE,166540000.0,106882000.0,33536000.0,7413000.0,18709000.0,85000.0,1011000.0,17783000.0,508000.0,-162000.0,349000.0,24789000.0,,24789000.0,,19469000.0,19482000.0,291929000.0,16332000.0,2918000.0,3507000.0,472000.0,280841000.0,147167000.0,322186000.0,16482000.0,1613000.0,4517000.0,505409000.0,417590000.0,23901000.0,,540280000.0,58116000.0,,16423000.0,,,16121000.0,109071000.0,158933000.0,,,393000.0,8920000.0,0.0,,,,,22003000.0,4221000.0,-4164000.0,4515000.0,-21463000.0,,,-33223000.0
GBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCN,95302000.0,81357000.0,1289000.0,9323000.0,3333000.0,604000.0,309000.0,3628000.0,146000.0,1810000.0,,1964000.0,,1964000.0,,-2003000.0,-2002000.0,190708000.0,81073000.0,,0.0,6520000.0,57811000.0,30789000.0,153000.0,16159000.0,,,438752000.0,129274000.0,11578000.0,,375000.0,8513000.0,,126943000.0,,,9951000.0,142683000.0,109733000.0,,,7123000.0,1283000.0,119203000.0,,,,,-31474000.0,3011000.0,-5695000.0,6099000.0,34119000.0,,1122000.0,6134000.0
GKI,16039000.0,12617000.0,,2940000.0,482000.0,402000.0,4752000.0,-3868000.0,111000.0,565000.0,,-10386000.0,,-10386000.0,,1735000.0,1730000.0,213420000.0,478000.0,277524000.0,5070000.0,4102000.0,30474000.0,3472000.0,25386000.0,869000.0,,,144579000.0,141878000.0,18216000.0,-1634000.0,101880000.0,22592000.0,19147000.0,14827000.0,,,10935000.0,29658000.0,13421000.0,23764000.0,,,3575000.0,17640000.0,454713000.0,,,,11590000.0,1909000.0,-1873000.0,1416000.0,-12316000.0,0.0,,-16711000.0
GLC,39043000.0,,,,2620000.0,424000.0,308000.0,2736000.0,-42000.0,122000.0,,2664000.0,,2664000.0,,1834000.0,1834000.0,20275000.0,1164000.0,60375000.0,,,3104000.0,87919000.0,44548000.0,,4960000.0,10521000.0,,147013000.0,275888000.0,86076000.0,,172616000.0,3842000.0,,,,,1461000.0,56164000.0,21098000.0,46656000.0,,1774000.0,20759000.0,,341772000.0,,,-486000.0,398000.0,-7881000.0,1082000.0,9662000.0,10214000.0,,6162000.0
GOB,500703000.0,454774000.0,27467000.0,10451000.0,8011000.0,3824000.0,1572000.0,10263000.0,172000.0,4721000.0,,5841000.0,,876000.0,,2027000.0,2027000.0,463450000.0,99638000.0,347082000.0,,208000.0,14355000.0,243888000.0,73358000.0,121950000.0,171000.0,56333000.0,32764000.0,424605000.0,190394000.0,48200000.0,,156177000.0,823000.0,141515000.0,154562000.0,207236000.0,,,24738000.0,254218000.0,88992000.0,81499000.0,,,73862000.0,4609000.0,803361000.0,,19401000.0,5656000.0,3093000.0,5253000.0,-14728000.0,,,4734000.0
GPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPW,69000000.0,,,,28759000.0,227000.0,491000.0,28495000.0,2200000.0,2561000.0,,28134000.0,,28134000.0,,25953000.0,25906000.0,574749000.0,272388000.0,120622000.0,,177676000.0,4063000.0,445915000.0,180000.0,49920000.0,121000.0,389042000.0,,812000.0,1105701000.0,747078000.0,63865000.0,,1481000.0,553000.0,134420000.0,,,243378000.0,,,,,,,22321000.0,,1015404000.0,,-14142000.0,6921000.0,-12087000.0,4370000.0,-39560000.0,,202000.0,67297000.0
GRI,58279000.0,33551000.0,,27169000.0,241000.0,662000.0,327000.0,576000.0,450000.0,-185000.0,-1452000.0,-5262000.0,,-5262000.0,2747000.0,2747000.0,,89799000.0,39241000.0,47844000.0,202000.0,2785000.0,85396000.0,90989000.0,29957000.0,,656000.0,,134799000.0,50370000.0,47755000.0,,55926000.0,,39544000.0,,,,7466000.0,90238000.0,15587000.0,27582000.0,,,2410000.0,,221290000.0,,,,-3458000.0,1402000.0,-1346000.0,1346000.0,2662000.0,,,-4428000.0
GRN,62611000.0,,,,1296000.0,75000.0,285000.0,1086000.0,202000.0,476000.0,780000.0,,780000.0,,636000.0,637000.0,,36727000.0,1731000.0,44128000.0,207000.0,441000.0,40280000.0,22382000.0,39501000.0,0.0,194000.0,938000.0,,145496000.0,43600000.0,1538000.0,,53416000.0,117000.0,7480000.0,16483000.0,,,708000.0,78320000.0,81151000.0,,,81000.0,81000.0,108290000.0,,,,397000.0,910000.0,-1654000.0,192000.0,4298000.0,-40000.0,915000.0,-430000.0
GRT,151000.0,,,,-556000.0,12000.0,43000.0,-1943000.0,58000.0,8403000.0,8050000.0,-15083000.0,,-15083000.0,,-11217000.0,-11217000.0,9078000.0,2000.0,7509000.0,14833000.0,88000.0,19610000.0,,6542000.0,17548000.0,12993000.0,119000.0,,68686000.0,39133000.0,825000.0,,33479000.0,10345000.0,15795000.0,,,,,4142000.0,247000.0,33000.0,,,,,69579000.0,,,-1000.0,148000.0,-178000.0,23000.0,-109000.0,,,-34000.0
GRV,1220766000.0,,,,36732000.0,19374000.0,21895000.0,34211000.0,5730000.0,44999000.0,-418000.0,8046000.0,,8046000.0,,-10402000.0,-10597000.0,2458841000.0,690845000.0,1586695000.0,60061000.0,40181000.0,81058000.0,2561887000.0,1054092000.0,1000237000.0,,244427000.0,263131000.0,30357000.0,5051085000.0,1540054000.0,279870000.0,-13366000.0,1140041000.0,11279000.0,1264852000.0,26398000.0,1040029000.0,,,304077000.0,1861475000.0,763219000.0,699526000.0,,,398731000.0,,4834674000.0,18290000.0,44271000.0,-93146000.0,100234000.0,87248000.0,,,-29357000.0
GTC,129839000.0,42457000.0,3238000.0,7795000.0,76349000.0,-66771000.0,2666000.0,62214000.0,3741000.0,51846000.0,-1976000.0,238612000.0,,238612000.0,,235135000.0,230381000.0,5249021000.0,,21583000.0,234305000.0,37105000.0,683053000.0,17772000.0,112045000.0,238740000.0,22026000.0,,8005591000.0,2045934000.0,46022000.0,,27944000.0,,37293000.0,5158718000.0,,,634455000.0,618907000.0,129085000.0,527123000.0,,,,0.0,,,,,82977000.0,532000.0,-26700000.0,29677000.0,-513951000.0,,,200077000.0
HDR,22506000.0,17489000.0,656000.0,2760000.0,1601000.0,764000.0,102000.0,2263000.0,558000.0,221000.0,,2600000.0,,2600000.0,0.0,2250000.0,2245000.0,64861000.0,33000.0,,16000.0,0.0,67400000.0,28176000.0,16374000.0,,232000.0,0.0,85315000.0,69464000.0,4797000.0,,66676000.0,201000.0,18935000.0,,,,4305000.0,17586000.0,11353000.0,2396000.0,,,1912000.0,64289000.0,,,,,5464000.0,1181000.0,-1659000.0,2278000.0,-5202000.0,,4797000.0,-112000.0
HEL,20850000.0,14688000.0,4219000.0,1233000.0,710000.0,1000.0,62000.0,-399000.0,6000.0,136000.0,,-529000.0,,-529000.0,,-505000.0,-505000.0,25716000.0,22000.0,25131000.0,,,218000.0,42681000.0,28596000.0,12138000.0,,1573000.0,374000.0,,68052000.0,48752000.0,2500000.0,,42303000.0,,8322000.0,,7460000.0,,,65000.0,40315000.0,39510000.0,8386000.0,,,641000.0,,82153000.0,12763000.0,478000.0,-68000.0,126000.0,-12642000.0,,,53000.0
HLD,6062000.0,,,,-235000.0,667000.0,6000.0,426000.0,-30000.0,302000.0,140000.0,855000.0,,855000.0,,711000.0,658000.0,63565000.0,4990000.0,56987000.0,,,1587000.0,10719000.0,1201000.0,5581000.0,2000000.0,705000.0,534000.0,,99974000.0,34311000.0,31000000.0,,776000.0,389000.0,43114000.0,,26114000.0,,,7157000.0,33042000.0,9419000.0,10875000.0,,,3582000.0,10052000.0,142575000.0,197000.0,583000.0,-77000.0,77000.0,-217000.0,,,227000.0
HRP,60588000.0,41924000.0,8067000.0,6271000.0,4326000.0,509000.0,346000.0,4488000.0,2000.0,515000.0,,1443000.0,,1443000.0,,16348000.0,16348000.0,175326000.0,1669000.0,170315000.0,1583000.0,,18075000.0,70247000.0,46337000.0,,5449000.0,1146000.0,,149185000.0,43351000.0,1546000.0,,38487000.0,,60004000.0,,61505000.0,,6933000.0,863000.0,153400000.0,57574000.0,35358000.0,,1038000.0,6724000.0,149185000.0,,,6581000.0,1943000.0,-9523000.0,9523000.0,4047000.0,,,-2019000.0
HRS,26597000.0,,,,4580000.0,1339000.0,190000.0,3148000.0,34000.0,1010000.0,,-6174000.0,,-6174000.0,288000.0,288000.0,,289873000.0,18646000.0,329929000.0,,24000.0,46862000.0,14916000.0,15868000.0,388000.0,282000.0,1880000.0,19045000.0,387578000.0,224544000.0,86824000.0,,,8654000.0,8628000.0,78304000.0,,,44069000.0,48222000.0,16416000.0,27416000.0,,,194000.0,4866000.0,423198000.0,,,3210000.0,3564000.0,-87000.0,403000.0,-3850000.0,,,-45000.0
HUB,2677000.0,,,,-407000.0,24000.0,22000.0,-405000.0,103000.0,165000.0,,-850000.0,,-850000.0,,-213000.0,-213000.0,6951000.0,9640000.0,776000.0,259000.0,6103000.0,77000.0,4070000.0,1862000.0,942000.0,,1229000.0,116000.0,,19084000.0,12238000.0,1845000.0,2456000.0,9000.0,341000.0,,140000.0,,7000.0,,4394000.0,117000.0,,,286000.0,116000.0,19166000.0,,,-207000.0,188000.0,-1061000.0,1175000.0,-86000.0,,,162000.0
HYP,7427000.0,3251000.0,,143000.0,-4341000.0,76000.0,-47000.0,-4218000.0,132000.0,-412000.0,,-6854000.0,,-6854000.0,,-6854000.0,-6854000.0,101980000.0,22628000.0,236653000.0,0.0,636000.0,13063000.0,220000.0,14416000.0,1666000.0,213000.0,,78267000.0,56129000.0,12307000.0,,37980000.0,,3000.0,,,,55000.0,15029000.0,6428000.0,,,,35152000.0,57951000.0,278326000.0,,,,-109000.0,182000.0,-3000.0,3000.0,-201000.0,,,-7218000.0
I2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAG,52951000.0,54807000.0,,2923000.0,2348000.0,204000.0,-606000.0,-4786000.0,197000.0,2419000.0,-1047000.0,,-1047000.0,,2650000.0,2024000.0,,36340000.0,13193000.0,1507000.0,,2654000.0,789000.0,17724000.0,503000.0,5569000.0,7383000.0,1700000.0,,128795000.0,73078000.0,1131000.0,,-33646000.0,,,5324000.0,,,180000.0,52721000.0,28289000.0,17885000.0,,,11700000.0,966000.0,164468000.0,,,22113000.0,828000.0,-1506000.0,2505000.0,-366000.0,,,-577000.0
