,2009/Q4,2010/Q4,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,51250000000,51250000000,51250000000,51250000000,51250000000,51250000000,51250000000,51250000000,51250000000,51250000000,51250000000,69941261000,69941261000,69961361000,69978366000,72333864000,72681196000,72681196000,72707463000,72707463000,129257712000,129257712000,129257763000,129257763000,129257763000,129257763000,12926362000,129278841000,130458716000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,10.40,-12.31,,,,-43.56,-41.15,-33.90,-43.58,-9.78,0.93,-0.22,-0.95,-1.06,-15.39,-12.32,-12.63,-10.86,-7.29,2.54,5.00,1.42,1.43,-9.20,-11.05,-90.89,2.50,1.77
CWKCurrent_sy,,-4.40,-27.90,,,,-13.75,-8.60,-8.00,-2.00,8.47,10.58,6.01,3.70,-1.39,-6.86,-5.76,-4.82,-2.83,-2.71,2.54,5.00,1.42,-1.95,-9.20,-11.05,-43.61,0.62,-1.80
CWKCurrent_qq,,,,-5.95,-13.28,14.17,-39.39,-1.94,-2.60,-2.55,-3.08,9.70,-3.71,-3.26,-3.18,-6.18,-0.22,-3.61,-1.21,-2.43,10.36,-1.29,-4.58,-2.42,-1.20,-3.31,-90.23,998.09,-1.90
