,2004/Q4,2005/Q4,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,-10.94,72.12,,26.84,,,,59.01,10.67,3.20,,-7.20,-6.81,-65.30,,-60.59,-63.81,23.72,,-16.03,-11.18,-24.85,,20.01,16.74,21.04,,6.72,10.16,3.34,7.23,-0.08,-4.45,-2.02,1.33,-17.75,-21.91,-35.95,-27.70,-25.49,-19.15,18.43,-3.04,35.52,40.30,63.10,76.05,49.00,48.00,6.60
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,42.95,-1.48,-100.00,,-0.51,-8.13,-100.00,,-0.10,-65.79,-100.00,,-8.25,16.95,-100.00,,-2.96,-1.04,-100.00,,-5.61,2.60,-4.71,15.65,-2.56,-3.75,-1.13,7.77,-6.82,-1.31,2.24,-12.53,-11.53,-19.04,15.41,-9.86,-4.01,18.59,-5.51,26.00,-0.63,37.87,1.99,6.64,-1.30,-0.70
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,12.27,-41.90,,-21.17,,,,-37.12,-9.63,-3.12,,7.79,7.33,188.21,,153.71,176.26,-19.18,,19.08,12.59,33.06,,-16.67,-14.34,-17.37,,-6.30,-9.22,-3.24,-6.73,0.08,4.64,2.07,-1.31,21.59,28.06,56.12,38.30,34.20,23.70,-15.56,3.13,-26.21,-28.72,-38.69,-43.20,-32.88,-32.44,-6.19
CWKCurrent_sy,-14.79,-17.93,,-30.62,,,,-52.96,-28.36,-13.84,,30.66,-0.27,27.25,,15.75,48.21,-3.36,,-0.84,-22.96,24.96,,16.99,53.32,14.99,,15.59,-0.68,-2.10,54.98,2.17,10.06,9.13,10.88,21.16,7.60,15.79,15.21,-11.83,-3.39,-4.85,0.32,-3.26,14.67,7.77,0.89,-1.82,-5.09,-6.12
CWKCurrent_qq,,,,,-30.05,1.52,,,0.53,8.83,,,0.10,192.26,,,8.99,-14.49,,,3.05,1.05,,,5.93,-2.53,4.94,-13.53,2.63,3.89,1.16,-7.21,7.31,1.33,-2.19,14.32,13.03,23.53,-13.35,10.93,4.18,-15.68,5.83,-20.64,0.64,-27.47,-1.95,-6.22,1.30,0.71
CWKCurrent_sq,,,,,-36.64,-16.15,,,-3.51,0.84,,,-26.35,28.67,,,-5.70,-16.10,,,-26.74,36.10,,,-3.99,2.07,-37.90,89.93,-17.50,0.61,-1.70,25.21,-11.13,-0.24,-0.12,36.82,-21.08,7.35,-0.61,4.70,-13.52,5.73,4.79,0.97,2.51,-0.63,-1.91,-1.74,-0.91,-1.71
WKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_yy,-6.28,-17.80,,-81.68,,,,18.78,-47.61,-38.10,,-84.94,-100.46,-96.39,,-6.49,19.33,39.16,,58.08,55.36,40.27,,-14.87,-9.45,-11.37,,14.98,9.70,-22.39,-24.14,-34.20,-33.42,5.47,1.99,-5.81,6.90,1.22,12.02,24.15,16.35,17.35,9.42,36.30,37.16,63.29,60.45,25.95,17.13,-57.03
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,,,36.69,-9.46,100.00,,-15.05,-2.40,100.00,,-24.70,-0.33,100.00,,5.53,24.33,100.00,,-0.60,-1.25,100.00,,4.14,-3.03,3.67,10.62,-1.80,-39.64,2.29,3.38,-1.21,1.07,-1.31,-4.31,10.95,-4.96,9.76,10.07,1.79,-3.71,1.11,36.76,3.12,39.41,-6.55,-18.41,-8.41,-14.80
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,-4.84,-22.79,,44.78,,,21.37,7.59,22.39,17.62,13.95,35.38,10.87,12.71,14.34,-19.13,-0.04,-28.40,-29.25,-51.59,-60.94,-58.18,-67.58,24.01,41.57,83.99,138.30,4.94,5.82,12.21,9.87,24.29,28.92,8.99,5.99,-15.84,-25.76,-25.19,-24.39,-16.20,-8.20,-0.78,0.31,4.32,2.63,-3.45,-19.06,-35.78,-43.22,-52.20
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,14.47,-5.89,6.97,5.32,1.48,7.05,2.81,2.03,20.57,-12.34,4.51,3.50,-14.72,8.36,-25.14,2.28,-41.64,-12.57,-19.86,-20.72,123.25,-0.19,4.15,2.68,-1.69,0.65,10.44,0.54,11.21,4.40,-6.64,-2.22,-11.70,-7.91,-5.92,-1.17,-2.13,0.88,1.68,-0.08,1.79,-0.76,-4.35,-16.24,-19.24,-12.24,-19.48
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,5.10,29.50,,-30.92,,,-17.59,-7.06,-18.30,-14.98,-12.24,-26.14,-9.79,-11.27,-12.54,23.67,0.04,39.66,41.34,106.55,155.99,139.13,208.48,-19.36,-29.37,-45.65,-58.04,-4.72,-5.50,-10.88,-8.99,-19.54,-22.43,-8.25,-5.64,18.83,34.69,33.69,32.25,19.33,8.93,0.79,-0.31,-4.14,-2.55,3.58,23.55,55.72,76.10,109.19
CPCurrent_sy,142.98,-0.17,,17.52,,,93.79,-49.51,-23.06,-25.00,-2.32,50.76,0.27,85.65,-8.90,23.17,62.33,-17.93,0.06,-17.60,-34.80,-6.30,22.05,-12.30,0.49,-8.81,-14.52,35.76,-2.25,9.22,9.08,1.39,15.18,-4.18,48.20,10.16,63.26,38.50,15.89,16.47,-18.61,-19.19,-34.63,-33.09,-18.91,0.39,-0.90,-14.61,-17.05,-1.28
CPCurrent_qq,,,,-12.63,6.26,-6.51,-5.05,-1.46,-6.59,-2.72,-1.99,-17.07,14.09,-4.31,-3.39,17.26,-7.71,33.58,-2.22,71.35,14.38,24.78,26.13,-55.20,0.18,-3.99,-2.61,1.71,-0.65,-9.45,-0.55,-10.08,-4.21,7.10,2.28,13.24,8.58,6.30,1.18,2.18,-0.88,-1.65,0.08,-1.75,0.76,4.54,19.38,23.83,13.95,24.19
CPCurrent_sq,,,,164.90,-16.46,-7.73,-5.10,-30.99,27.32,-10.05,23.59,6.52,-15.32,66.54,-39.36,44.02,11.61,-15.81,-26.06,18.60,-11.69,20.99,-3.68,-14.78,1.19,9.78,-9.71,35.35,-27.14,22.66,-9.82,25.80,-17.23,2.04,39.47,-6.49,22.67,-13.43,16.70,-6.01,-14.27,-14.06,-5.59,-3.81,3.90,6.40,-6.80,-17.12,0.93,26.62
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,-18.28,448.02,,-39.18,,,-66.84,26.18,35.01,56.16,1.44,-200.31,-239.48,-629.64,-806.77,-165.48,-94.33,105.87,106.58,99.57,97.98,-161.84,-161.20,1465.72,552.66,248.54,212.77,13.59,-70.96,-87.62,-62.38,-61.80,-153.74,-42.19,-178.17,-603.04,-652.12,-3031.79,-562.28,-21.72,-4.43,125.05,108.65,201.40,273.19,620.08,2734.20,119.38,66.12,-76.68
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,-57.88,-10.38,-23.39,14.65,60.30,-4.11,-11.39,-25.53,-258.52,-33.33,-236.50,0.62,40.46,2.41,110.16,11.41,-103.91,-355.67,-211.26,-10.25,187.34,51.03,2.14,-16.30,-12.03,-61.39,-56.45,154.35,-10.68,-154.33,146.84,-443.93,-474.80,18.77,-82.57,22.31,-5.64,30.31,143.80,-73.19,1139.06,19.03,82.12,5.52,-4.09,-9.87,-74.43
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,22.37,-81.75,,64.41,,,201.59,-20.75,-25.93,-35.96,-1.42,,,,,,,,,,,,,,,,,-11.96,244.37,707.53,165.76,161.87,,72.99,,,,,,,,,,,,-86.11,-96.47,-54.42,-39.80,328.80
CZCurrent_sy,9.73,-77.13,,-53.99,,,-42.68,-52.88,71.87,-18.86,10.93,,,,,,,,,,,,,,,,,58.30,-3.35,-10.44,7.70,-10.09,,78.51,,,,,,,,,,,,-21.44,1.29,4.67,-17.28,-28.39
CZCurrent_qq,,,,137.41,11.58,30.53,-12.78,-37.62,4.29,12.85,34.27,,,,,,,,-10.24,,,,,,-33.79,-2.08,19.47,13.66,159.01,129.61,-60.68,12.00,,,,,,,,,,,272.92,-91.93,-15.99,-45.09,-5.23,4.26,10.95,291.13
CZCurrent_sq,,,,-5.53,-27.46,20.51,-30.59,-22.33,164.55,-43.10,-5.12,,,,,,,,-10.24,,,,,,-0.23,3.55,44.58,5.98,-39.09,-4.05,73.87,-11.52,,,,,,,,,,,-25.78,9.91,-5.56,1.97,-4.31,13.58,-25.36,-11.72
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,7.39,353.23,,-48.52,,,-65.84,61.25,88.87,131.55,89.46,-108.43,-144.77,-341.52,-358.90,-1781.70,-200.19,115.11,115.36,114.45,112.39,-72.20,-77.19,-26.52,-25.61,7.53,3.48,-24.10,13.05,44.89,94.41,356.36,267.73,178.04,191.18,-114.88,-115.27,-180.41,-172.51,-91.88,-82.44,187.28,180.94,369.72,418.31,197.21,212.94,100.40,70.50,-76.35
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,-58.96,-4.29,-21.32,10.53,93.73,12.10,-3.54,-9.56,-108.62,-495.48,-420.40,3.05,37.36,5.00,126.20,-1.46,-41.10,-18.49,-41.23,-19.14,89.73,-17.48,-15.06,-22.18,39.16,22.90,8.87,4.41,226.66,-0.96,-17.69,9.35,-116.69,-1.62,-333.50,1.40,55.83,3.38,307.40,-8.57,47.20,14.03,93.65,-3.73,-5.73,-2.98,-73.14
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,-6.89,-77.93,,94.22,,,192.76,-37.98,-47.06,-56.81,-47.22,,,,,,,,,,,259.75,338.36,36.09,34.41,-7.01,-3.37,31.75,-11.54,-30.98,-48.56,-78.09,-72.81,-64.03,-65.66,,,,,,,,,,,-66.35,-68.05,-50.10,-41.35,322.92
CZOCurrent_sy,-53.81,-29.99,,-23.37,,,-2.97,-33.30,-48.71,-36.58,-18.84,,,,,,,,,,,-8.56,-7.36,-25.00,-11.50,63.71,94.03,151.84,49.80,1.25,-8.88,5.83,50.73,105.76,107.81,,,,,,,,,,,0.92,8.34,16.27,-22.38,-35.48
CZOCurrent_qq,,,,143.66,4.49,27.09,-9.53,-48.38,-10.80,3.67,10.57,,,,,,,,1.48,69.80,22.69,70.17,23.65,-47.29,21.18,17.72,28.50,-28.13,-18.64,-8.15,-4.22,-69.39,0.97,21.49,-8.55,,,,,,,,9.37,-32.07,-12.30,-48.36,3.87,6.09,3.08,272.33
CZOCurrent_sq,,,,-1.57,-0.52,-0.31,-0.60,-32.33,-23.51,23.27,27.20,,,,,,,,4.56,30.53,-11.24,-24.52,5.94,5.68,4.74,39.61,25.56,37.16,-37.70,-5.64,13.00,59.31,-11.27,28.81,14.13,,,,,,,,-12.72,2.76,26.65,-11.15,-6.31,10.28,-15.45,-26.14
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,1.50,-3.17,,62.21,,,,-7.60,43.31,37.20,,72.62,91.25,83.33,,3.98,-20.20,-35.97,,-53.15,-49.92,-36.28,,12.91,7.16,8.27,452.21,-13.99,-9.13,18.83,19.86,31.94,29.91,-2.91,-0.39,3.96,-6.37,0.73,-10.86,-20.50,-15.17,-18.74,-11.31,-30.83,-30.20,-50.90,-48.11,-24.95,-19.83,22.39
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,557.25,-27.91,7.69,-80.40,507.32,11.81,3.10,-85.72,948.36,23.88,-1.17,-92.21,990.07,-4.93,-20.70,-87.83,410.73,1.61,0.90,-80.90,476.68,-3.57,1.95,-2.60,-10.18,1.88,33.32,-1.75,-1.13,0.32,-0.36,0.79,3.19,-9.65,7.19,-10.81,-7.98,-3.59,2.69,-2.65,-28.23,-2.70,-27.78,2.89,3.80,3.93,10.27
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,6.66,25.41,,12.04,,,-17.59,-14.12,17.10,16.64,-12.24,27.51,72.51,62.66,-12.54,28.58,-20.17,-10.57,41.34,-3.22,28.20,52.36,208.48,-8.95,-24.31,-41.15,131.73,-18.04,-14.13,5.90,9.10,6.15,0.77,-10.91,-6.03,23.52,26.13,34.65,17.90,-5.14,-7.60,-18.10,-11.59,-33.70,-31.98,-49.15,-35.89,16.87,41.17,156.04
EVPCurrent_sy,-4.07,6.62,,46.52,,,84.28,-21.08,-0.96,-3.49,10.00,23.43,51.39,50.28,15.54,30.77,-0.97,15.05,10.04,1.46,-8.75,-0.99,-19.85,-21.30,-32.29,-38.76,50.82,8.99,17.52,41.20,93.05,-5.33,19.84,-15.82,-9.43,-2.05,3.32,-18.58,-3.26,-4.51,-2.93,12.71,-9.03,-14.58,-35.85,-13.38,-15.36,-22.29,34.03,19.84
EVPCurrent_qq,,,,474.18,-23.39,0.68,-81.39,498.39,4.45,0.29,-86.00,769.48,41.31,-5.44,-92.47,1178.20,-12.27,5.94,-88.10,775.18,16.22,25.91,-75.91,158.32,-3.39,-2.11,-5.15,-8.64,1.22,20.72,-2.28,-11.10,-3.91,6.73,3.08,16.86,-1.89,13.94,-9.75,-5.98,-4.43,0.99,-2.57,-29.49,-1.96,-24.50,22.83,28.53,18.43,36.94
EVPCurrent_sq,,,,432.15,-22.40,1.07,-55.85,127.90,-2.62,-1.52,-49.67,155.73,19.44,-2.23,-61.31,189.44,-9.56,13.58,-62.99,166.87,-18.66,23.23,-70.04,162.04,-30.02,11.45,-26.21,89.36,-24.54,33.90,0.89,-7.14,-4.48,-5.95,8.56,0.43,0.76,-25.89,28.99,-0.87,2.43,-13.94,4.10,-6.91,-23.08,16.21,1.72,-14.53,32.65,3.91
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,-5.49,-78.63,,215.07,,,192.76,-42.70,-24.12,-40.75,-47.22,-2148.38,-527.21,-175.91,-138.63,94.47,73.42,523.66,750.90,424.35,504.06,129.22,338.36,53.66,44.03,0.68,433.62,13.31,-19.62,-17.99,-38.34,-71.09,-64.67,-65.08,-65.79,-798.63,-713.18,-225.25,-222.93,58.57,53.50,193.10,209.57,125.64,121.93,-83.48,-83.42,-62.55,-52.98,417.62
EVEBITCurrent_sy,5.96,-36.85,,66.38,,,507.49,4.06,-48.94,-60.77,-29.98,-26.03,59.95,151.33,-27.93,-89.77,-165.79,4.33,-8.52,1912.96,263.96,-6.87,59.12,-28.30,-18.51,23.03,69.35,29.51,-51.89,-24.96,18.44,9.85,204.12,-103.93,29.03,-7.58,40.76,4008.11,11.19,-21.51,-43.59,-20.86,4.43,45.80,52.02,11.71,-11.32,-23.39,-31.66,-17.79
EVEBITCurrent_qq,,,,1501.52,-24.67,36.87,-82.27,213.47,-0.26,6.88,-84.21,-12265.92,79.20,81.01,91.96,-1640.35,-0.07,402.68,-87.65,767.22,24.67,71.71,-76.39,203.99,16.86,20.02,25.16,-35.45,-17.11,22.46,-5.90,-69.73,1.29,21.05,-7.83,-718.16,11.10,75.27,9.54,-108.33,0.22,149.51,6.47,-51.24,-14.68,-62.70,6.88,10.11,7.13,310.58
EVEBITCurrent_sq,,,,745.71,40.54,-12.41,-41.65,44.87,-31.04,-32.71,4.16,53.05,49.11,5.73,-70.13,-78.28,-1059.21,267.66,-73.81,377.94,-21.87,-4.77,-55.26,115.36,-11.21,43.78,-38.41,64.70,-67.01,124.26,-2.79,52.75,-8.68,-102.90,3288.75,9.42,39.09,-19.47,-9.28,-22.76,-0.05,12.98,19.71,7.84,4.22,-16.97,-4.97,-6.83,-7.03,-0.12
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,-5.49,-78.63,,215.07,,,192.76,-42.70,-24.12,-40.75,-47.22,-2148.38,-527.21,-175.91,-138.63,94.47,73.42,523.66,750.90,424.35,504.06,129.22,338.36,53.66,44.03,0.68,433.62,13.31,-19.62,-17.99,-38.34,-71.09,-64.67,-65.08,-65.79,-798.63,-713.18,-225.25,-222.93,58.57,53.50,193.10,209.57,125.64,121.93,-83.48,-83.42,-62.55,-52.98,417.62
EVEBITDACurrent_sy,119.12,8.69,,46.85,,,170.17,16.29,-50.13,-58.55,-32.74,-25.54,61.67,176.83,-12.35,-87.62,-165.48,-4.01,-19.98,1532.27,259.54,-5.17,65.58,-27.49,-20.86,11.11,114.60,31.25,13.64,-14.86,-5.84,7.29,25.00,-104.00,47.29,-24.44,51.12,2868.39,-14.90,-2.71,-42.73,7.35,19.51,41.67,33.92,11.14,-10.85,-20.42,-22.68,-17.36
EVEBITDACurrent_qq,,,,1501.52,-24.67,36.87,-82.27,213.47,-0.26,6.88,-84.21,-12265.92,79.20,81.01,91.96,-1640.35,-0.07,402.68,-87.65,767.22,24.67,71.71,-76.39,203.99,16.86,20.02,25.16,-35.45,-17.11,22.46,-5.90,-69.73,1.29,21.05,-7.83,-718.16,11.10,75.27,9.54,-108.33,0.22,149.51,6.47,-51.24,-14.68,-62.70,6.88,10.11,7.13,310.58
EVEBITDACurrent_sq,,,,257.22,62.07,-21.07,-40.88,53.77,-30.50,-34.40,-4.06,70.24,50.89,12.33,-69.63,-75.95,-898.12,264.66,-74.68,390.51,-21.99,-2.13,-55.78,114.80,-14.86,37.40,-14.60,31.38,-26.28,2.95,-5.55,49.68,-14.11,-103.29,3582.12,-23.22,71.80,-39.73,7.04,-12.23,1.12,12.98,19.17,4.05,-4.41,-6.24,-4.41,-7.12,-7.12,0.21
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,-8.25,218.43,,-52.05,,,,-20.66,21.96,51.40,,-208.10,-249.67,-1626.03,,-573.69,-436.96,104.74,,99.48,97.73,-182.28,,1233.33,487.54,222.76,,6.50,-73.66,-88.00,-64.89,-61.80,-156.40,-41.03,-177.06,-711.75,-861.34,-4671.74,-816.18,-63.37,-29.17,121.16,108.94,174.80,223.41,341.35,1506.32,47.26,12.28,-78.13
ROE_sy,24.73,112.71,,-5.04,,,,-3.19,-20.73,-32.80,,-82.44,-83.33,-89.60,,-211.33,-61.67,221.15,,230.27,689.66,24.75,,10.67,-35.37,-54.40,,-30.81,-61.37,-82.98,-44.64,-17.41,21.28,-123.71,-66.31,-22.44,-9.86,2756.52,590.43,170.10,190.13,191.33,89.83,-24.37,16.08,-34.21,34.01,5.32,16.71,57.56
ROE_qq,,,,,-37.29,-22.29,,,-3.61,-3.52,,,-33.46,-883.62,,,-6.37,108.68,,,-368.06,-214.24,,,60.05,-0.46,-12.15,-23.91,-60.41,-54.65,157.05,-17.21,-158.43,147.42,-435.87,-557.28,8.17,-125.52,32.69,-17.20,27.40,136.94,-71.57,881.03,19.78,32.12,3.46,-10.06,-8.67,-74.27
ROE_sq,,,,,-19.33,30.01,,,-33.94,10.21,,,-37.29,-31.28,,,121.59,475.86,,,30.86,-9.02,,,-23.58,-35.81,-11.58,59.52,-57.34,-71.72,187.63,137.99,-37.35,-105.53,508.70,447.87,-27.18,62.93,6.22,114.33,-21.78,63.60,-30.79,-14.61,20.06,-7.28,40.99,-32.89,33.03,25.17
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,-16.67,284.78,,-57.87,,,,22.65,7.72,27.05,,-168.17,-190.61,-494.87,,-211.89,-179.47,109.00,,99.08,95.89,-200.00,,1307.69,509.84,233.16,,21.02,-71.20,-90.36,-69.44,-68.95,-145.83,-33.33,-178.79,-603.39,-724.24,-3243.75,-703.85,-71.38,-32.35,128.83,109.57,195.68,263.06,965.52,4367.50,213.76,136.46,-78.12
ROA_sy,534.48,213.49,,14.05,,,,-1.33,-23.91,-13.75,,-79.87,-82.91,-85.71,,-181.56,-54.50,139.53,,302.74,639.58,66.50,,-34.80,-70.99,-69.39,,-40.93,-30.58,-90.95,-41.49,11.40,34.97,-231.58,-68.48,13.39,15.03,1528.00,415.38,83.33,133.78,128.01,132.84,-15.34,16.76,-27.64,39.58,11.41,32.67,34.13
ROA_qq,,,,,0.18,-23.90,,,-12.01,-10.24,,,-16.96,-291.15,,,-4.80,112.60,,,-369.23,-206.56,,,59.24,-0.40,-13.25,-12.04,-62.11,-66.67,175.00,-10.61,-155.93,148.48,-425.00,-471.15,8.42,-84.93,16.90,-21.77,29.27,140.28,-72.41,1117.50,20.53,163.20,15.66,-14.49,-9.16,-75.65
ROA_sq,,,,,-9.93,-13.99,,,-30.54,-2.51,,,-41.06,-18.48,,,132.88,329.17,,,19.93,-3.38,,,-46.63,1.94,34.29,-19.15,-37.28,-86.71,768.42,53.94,-24.02,-112.95,308.00,453.85,-22.92,60.81,-24.93,97.01,-1.70,56.84,-23.34,-28.37,35.57,-2.81,47.88,-42.82,61.45,-1.74
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,12.88,486.92,,-64.44,,,-71.86,49.87,54.31,96.86,66.29,-106.23,-140.39,-314.27,-326.43,-2225.41,-200.24,121.11,121.72,129.84,131.73,-33.53,-29.61,-40.76,-47.44,-41.53,-56.56,-27.62,6.82,29.08,76.87,267.04,185.10,155.09,174.67,-117.68,-120.57,-207.50,-195.92,-128.90,-98.83,187.96,180.68,358.56,410.11,207.87,286.65,212.11,200.25,-50.53
OPM_sy,200.00,94.93,,207.31,,,2212.29,72.18,25.00,60.34,36.83,-62.01,-42.42,-57.39,-52.14,-59.96,-90.89,-37.17,-8.03,301.54,1020.05,180.31,27.72,-24.35,-18.38,-44.70,-57.60,-33.00,-13.94,-19.05,11.57,-18.00,-40.06,-68.90,7.85,45.02,53.44,388.15,9.20,-13.23,-2.98,-23.02,24.58,79.03,48.59,3.56,62.87,-31.84,23.21,18.28
OPM_qq,,,,-64.15,1.70,-26.45,4.93,90.93,4.71,-6.16,-11.36,-107.15,-579.01,-397.84,6.33,26.56,12.33,135.00,-3.64,0.92,-6.77,-26.69,2.04,-15.07,-17.27,-18.44,-24.20,41.52,22.10,-1.44,3.86,193.68,-5.16,-11.82,11.83,-118.91,-10.30,-360.96,0.23,54.88,4.19,303.91,-8.48,44.60,14.91,102.44,14.94,16.72,10.55,-66.65
