,2009/Q4,2010/Q4,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
ShareAmountCurrent,37619048000,37619048000,37619048000,822536861000,875510373000,875510373000,970748468000,970748468000,970748468000,970748468000,970748468000,970748468000,970748468000,970748468000,970748468000,970748468000,970748468000,970748468000,970748468000,970748468000,883381106000,883381106000,883381106000,883381106000,883381106000,901696125000,901696125000,901696125000,971293193000
CWKCurrent,90,80,0,100,100,100,110,100,100,100,100,100,100,90,100,90,90,90,90,90,80,90,90,90,90,90,100,120,150
PCurrent,710,1740,130410,6240,6060,6070,5420,5240,5000,4760,4600,4490,4450,4460,4380,4230,4030,3790,3640,3490,3710,3600,3560,3510,3470,3270,3180,3080,2760
CPCurrent,700,290,0,80,80,80,90,100,100,110,110,110,110,110,110,120,120,130,140,140,130,140,140,140,140,150,160,160,180
ZCurrent,-3350,-3540,26040,1260,460,420,340,230,260,290,410,490,530,520,370,370,300,260,50,-110,-190,-270,-70,-150,-180,-280,-640,-580,-640
CZCurrent,,,20,400,1100,1200,1460,2140,1950,1750,1210,1010,940,960,1350,1350,1660,1910,10990,,,,,,,,,,
ZOCurrent,-4350,-4260,28850,1410,550,500,390,260,280,320,390,430,430,380,310,330,300,280,40,-110,-180,-250,-40,-140,-210,-320,-750,-690,-720
CZOCurrent,,,20,350,910,1010,1270,1960,1770,1540,1270,1160,1170,1300,1620,1520,1680,1810,12440,,,,,,,,,,
DTAR,710,780,920,920,920,920,930,920,920,930,920,930,930,920,930,930,930,930,930,930,930,920,930,920,920,920,930,940,940
CG,2400,3550,11890,12240,12180,12180,12420,11540,12250,12550,12310,12720,12440,11980,12550,12970,12330,12400,12700,12710,12380,12270,12910,12120,11820,11540,12870,14990,15730
NetDebt,146053000000,458001000000,43277080000000,42535203000000,45363082000000,44559483000000,44003387000000,45627000000000,46939219000000,47454131000000,47330193000000,48314104000000,48131671000000,48289916000000,49149870000000,51020249000000,51082658000000,49968187000000,49987917000000,47722205000000,46861784000000,45851378000000,45856653000000,44291134000000,43750160000000,43083006000000,42156420000000,41652933000000,42843047000000
NetDebtEBITDA,-960,-3250,37710,34720,83330,89500,98750,145510,137630,123350,103860,97630,98380,108350,133400,132550,143100,148510,448510,-1766250,-597380,-325480,1120150,-949090,-399980,-202440,-71310,-77400,-69930
RN,160,140,110,110,120,120,110,110,100,100,90,90,90,90,80,80,80,70,70,70,70,60,70,70,70,60,60,60,60
CRN,2314000,2663000,3403000,3214000,3163000,3171000,3206000,3384000,3583000,3828000,4032000,4168000,4214000,4222000,4335000,4544000,4842000,5179000,5406000,5544000,5611000,5665000,5617000,5617000,5587000,5702000,5719000,5769000,5896000
CPZ,6800000,4451000,3739000,3640000,3555000,3575000,3678000,3858000,4153000,4501000,4756000,5029000,5165000,5203000,5404000,5698000,6032000,6493000,6809000,7084000,7318000,7484000,7442000,7428000,7353000,7456000,7477000,7478000,7501000
RM,40,60,90,90,90,90,90,90,80,70,70,70,70,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50
