,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3
WKCurrent_yy,-1716.67,-45.87,,,,133.33,147.37,139.86,520.00,11.32,18.52,22.81,19.35,47.46,45.31,35.71,-100.00,11.49,5.38,6.32,,12.37,24.49,23.76,,17.43,5.74,5.60,,-73.44,-79.07,-84.85,-67.44,-73.53,-77.78,-7240.00,-3821.43,-32022.22,-48033.33,-101.47,-84.71
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,28.30,-25.44,106.99,430.00,1.89,5.56,8.77,-4.84,8.47,9.38,5.71,17.57,6.90,2.15,-100.00,,1.03,3.06,-100.00,,11.93,2.46,-100.00,,0.78,2.33,-2.27,-73.64,-20.59,-25.93,110.00,-78.57,-33.33,-23900.00,-9.45,-83.81,-0.10,-0.03,-0.35
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,,,,,,,,-83.67,-10.41,-16.20,-18.22,-16.62,-32.93,-31.21,-26.40,,-9.58,-4.12,-5.57,,-11.08,-20.08,-19.71,,-14.74,-5.56,-5.40,,274.17,377.08,561.76,211.39,287.33,349.62,,,,,,
CWKCurrent_sy,,,,,,,,,-1.37,-19.71,-44.43,-4.51,-34.29,-30.98,-2.13,0.19,,-11.23,-28.55,-26.81,,-17.10,6.38,18.98,,16.43,3.40,0.18,,-2.47,1.64,-1.01,-7.21,2.97,-3.64,,,,,,
CWKCurrent_qq,,,,,,-80.83,-2.49,-5.69,-7.42,5.22,-8.79,-7.96,-5.60,-15.36,-6.45,-1.53,,,-0.80,-3.02,,,-10.85,-2.57,,,-1.24,-2.40,2.23,279.72,25.92,35.38,-51.89,372.32,46.17,,,,,,
CWKCurrent_sq,,,,,,-19.00,11.12,-47.97,110.61,-34.06,-23.10,-10.59,44.92,-30.74,9.04,-8.47,,,-12.22,-6.25,,,12.64,4.86,,,0.03,1.59,3.19,-6.99,4.25,-1.06,-3.28,3.22,-2.45,,,,,,
WKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_yy,-100.00,-15.29,,,,123.47,136.15,122.44,740.00,-19.57,-10.64,37.14,23.81,105.41,100.00,77.08,-100.00,15.79,-86.90,-78.82,,-75.00,-245.45,383.33,,231.82,137.50,-156.32,,-226.03,-1750.00,-97.96,-39.62,-4.35,1.01,-12087.63,-16067.57,-2952.08,-2892.86,75.19,75.39
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,33.67,-20.00,103.21,820.00,2.17,-25.53,20.00,-11.90,13.51,14.29,8.33,46.15,10.53,1.19,-100.00,,-87.50,63.64,-100.00,,-172.73,643.75,-100.00,,-91.78,-916.67,-8.16,-73.58,-7.61,2.02,23.71,-29.73,-2.08,-11963.27,-1.20,75.51,-0.10,,-0.38
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,,,,,,,,-88.06,24.90,13.46,-26.63,-18.59,-51.59,-50.19,-43.84,,-13.86,671.13,380.41,,293.03,,-79.59,,-69.40,,,,,,,,,,,,,,,
CWKGrahamCurrent_sy,,,,,,,,,25.08,-58.56,-45.12,-24.11,-14.43,-21.07,-25.30,-10.03,,-3.99,-13.40,-10.33,,15.36,,8.99,,30.57,,,,,,,,,,,,,,,
CWKGrahamCurrent_qq,,,,,,-89.09,-2.71,35.34,-16.88,14.12,-11.62,-12.48,-7.77,-32.14,-9.08,-1.31,,,713.97,-38.52,,,,,,,1163.14,,,,,,,,,,,,,,
CWKGrahamCurrent_sq,,,,,,46.36,-14.64,-35.99,56.39,-51.50,13.04,-11.49,76.35,-55.27,6.98,6.61,,,-3.51,10.39,,,,,,,5.45,,,,,,,,,,,,,,
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,12.64,7.53,,,,-92.21,-86.06,-72.03,60.18,276.27,231.87,191.79,148.07,4.95,-35.76,-61.38,-70.16,-42.92,-30.93,2.65,47.76,87.97,118.66,112.90,65.15,23.20,-0.34,-15.15,-27.52,-38.64,-46.23,-66.07,-75.95,-83.07,-89.81,631.58,959.65,-84.38,-1037.50,-145.04,-168.71
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,-13.74,-26.65,-76.41,-47.79,54.24,47.25,35.07,22.65,36.04,29.47,14.83,-48.11,-16.74,-22.16,-11.26,-0.75,0.75,15.67,27.74,26.26,17.20,12.63,-0.91,-5.81,-5.19,-4.11,-15.36,-20.25,-16.93,-39.49,-40.00,-43.86,-50.00,4243.75,-13.09,-99.17,-3100.00,-108.67,-32.59
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,-11.29,-6.96,,,,1183.15,615.35,256.65,-37.74,-73.47,-69.75,-65.59,-59.62,-4.66,55.42,158.71,233.83,75.28,44.56,-2.65,-32.11,-46.82,-54.21,-53.04,-39.49,-18.71,0.39,18.01,38.37,62.61,85.82,195.57,313.00,487.12,891.45,-86.38,-90.52,536.40,,,
CPCurrent_sy,-8.30,-19.21,,,,-21.10,-20.99,-25.65,-16.23,-17.05,-5.74,10.29,6.82,-19.38,-10.93,-11.84,-7.60,21.43,12.66,8.84,-1.77,-5.62,-10.99,-24.33,-26.59,-24.86,-24.96,-10.96,1.87,32.02,50.99,61.96,54.27,4.13,-22.94,-37.93,-39.84,-36.24,,,
CPCurrent_qq,,,15.94,36.16,324.69,91.39,-35.36,-32.12,-25.86,-18.46,-26.30,-22.77,-13.01,92.55,20.14,28.56,12.25,1.10,-0.91,-13.43,-21.72,-20.80,-14.69,-11.21,0.86,6.40,5.35,4.38,18.27,25.04,20.38,66.03,65.26,77.76,103.29,-97.72,15.05,11831.32,,,
CPCurrent_sq,,,-12.00,-3.20,-8.18,0.88,-11.88,-8.92,3.46,-0.10,0.14,6.57,0.20,-24.61,10.64,5.48,5.02,-0.92,2.65,1.90,-5.21,-4.80,-3.20,-13.37,-8.04,-2.56,-3.33,2.79,5.20,26.29,10.56,10.26,0.20,-14.76,-18.18,-11.19,-2.88,-9.67,,,
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,-709.09,26.87,,,,67.35,88.31,99.17,120.93,200.00,333.33,2700.00,166.67,-81.25,-90.48,-103.85,-108.33,100.00,100.00,600.00,600.00,100.00,500.00,380.00,160.00,50.00,-70.83,-70.83,-100.00,-622.22,-1557.14,-1685.71,,73.40,79.41,-3039.64,-6206.67,-7140.00,-7209.52,111.82,110.11
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,-57.14,-55.84,64.17,62.79,43.75,88.89,1000.00,77.78,31.25,23.81,-7.69,-87.50,-33.33,-150.00,-100.00,400.00,-33.33,25.00,100.00,20.00,100.00,,8.33,-30.77,-61.11,,-100.00,,-8.51,-8.82,18.92,72.22,16.00,-16495.24,-62.87,68.11,15.19,126.84,39.32
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,,,,,,,,,,,-60.35,364.31,870.12,,,-40.20,-48.80,,,-51.07,-82.14,-77.48,-62.57,-37.62,246.62,251.07,14197.87,,,,,,,,,,,,
CZCurrent_sy,,,,,,,,,,,,,-36.26,-15.90,38.90,,,20.27,-28.12,,,56.43,40.04,34.26,36.25,-2.96,30.65,40.30,30.51,,,,,,,,,,,,
CZCurrent_qq,,,,,,,,,,-40.12,-25.90,-19.25,10.69,601.09,54.82,,,,32.55,-22.14,-43.00,-16.83,-51.63,-1.82,-5.24,38.61,168.79,-0.56,3759.14,,,,,,,,,,,,-28.22
CZCurrent_sq,,,,,,,,,,-18.22,0.22,-1.93,-20.70,7.90,65.52,,,,-1.08,2.48,19.91,28.68,-11.45,-1.75,21.69,-8.35,19.22,5.51,13.20,,,,,,,,,,,,-9.25
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,-561.54,51.67,,,,44.83,81.13,94.51,109.38,137.50,210.00,520.00,566.67,66.67,-27.27,-85.71,-100.00,-90.00,-100.00,,,600.00,,500.00,216.67,71.43,-94.74,-105.56,-131.58,-433.33,-4700.00,-4300.00,-633.33,2.50,21.74,-12418.18,-12325.00,-253.85,255.56,135.13,136.46
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,-82.76,-71.70,64.84,50.00,37.50,50.00,160.00,100.00,83.33,90.91,-4.76,-50.00,-20.00,-62.50,-100.00,,-100.00,,100.00,16.67,171.43,-5.26,5.56,-36.84,-91.67,-200.00,-500.00,-566.67,-15.00,4.35,,11.36,7.69,-15200.00,0.74,97.48,140.58,3355.36,3.00
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,,,,,,,,,,,,-86.10,-38.97,46.39,720.11,,1253.16,4647.62,-4.23,,-89.84,-99.15,-85.35,-68.79,-41.46,1687.48,,,,,,,,,,,,,,
CZOCurrent_sy,,,,,,,,,,,,,-34.47,-34.71,-27.46,-19.71,,18.63,13.07,16.03,,57.68,34.33,71.61,34.05,18.95,21.37,,,,,,,,,,,,,,
CZOCurrent_qq,,,,,,,,,,-54.81,-46.25,-45.78,5.57,98.37,28.94,203.73,,,352.38,-93.87,-55.25,-18.05,-62.04,5.22,-4.66,53.72,1059.17,,,,,,,,,,,,,-97.11,-2.93
CZOCurrent_sq,,,,,,,,,,-16.51,3.50,-13.30,-12.54,-16.80,14.99,-4.04,,,9.60,-1.53,18.51,23.27,-6.63,25.80,-7.43,9.39,-4.73,,,,,,,,,,,,,-1.92,-17.20
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,-0.34,-3.53,,,,4.01,,-3.52,1.02,-0.67,-2.34,-7.64,-12.73,-10.29,-8.22,0.56,15.16,12.41,11.57,12.52,,1.17,1.84,-0.33,,4.46,13.96,15.83,15.33,8.23,-3.46,-4.03,-4.34,-6.14,-1.79,852.77,898.79,-36.76,-40.43,-92.20,-92.23
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,4.18,-0.17,-1.01,1.02,0.17,-3.68,3.65,-0.67,-1.52,-8.90,-2.07,2.11,0.75,-0.19,12.15,-0.33,,0.67,-0.33,0.83,0.66,-1.48,,5.33,9.81,0.14,-0.43,-1.16,-2.05,-0.45,-0.75,-3.02,2.49,865.81,4.04,-93.86,-3.45,26.53,3.63
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,-11.65,-10.26,,,,1235.71,615.06,244.10,-37.11,-73.66,-70.42,-68.23,-64.76,-14.49,42.64,160.14,284.40,96.94,61.25,9.57,-32.11,-46.20,-53.37,-53.20,-39.49,-15.01,14.35,36.69,59.58,75.91,79.33,183.77,295.23,451.22,874.69,29.67,-5.33,302.79,,,
EVPCurrent_sy,4.10,-30.48,,,,-9.28,-6.34,-47.22,-18.99,-32.43,-50.93,8.30,16.43,-18.10,44.53,31.71,-7.60,6.65,37.05,13.10,-5.24,23.43,0.53,51.24,-18.16,-11.75,-2.89,-34.14,61.69,99.81,25.71,37.75,13.81,-4.64,-16.03,12.29,-11.77,-6.14,,,
EVPCurrent_qq,,,20.77,36.05,320.22,93.45,-35.35,-34.53,-23.19,-18.99,-27.37,-29.69,-14.81,96.55,21.15,28.23,25.89,0.70,-0.81,-12.86,-22.01,-20.20,-14.03,-12.53,0.84,12.08,15.67,4.56,17.73,23.54,17.92,65.45,63.98,72.29,108.52,-77.99,19.72,633.04,,,
EVPCurrent_sq,,,-16.22,4.40,-8.74,13.65,-13.51,-41.17,40.08,-5.20,-37.18,29.83,50.59,-33.32,10.85,18.32,5.65,-23.03,42.45,-2.36,-11.49,0.26,16.02,46.89,-52.10,8.11,27.66,-0.38,17.60,33.60,-19.68,9.17,-2.85,11.94,-29.27,45.98,-23.67,19.08,,,
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,-120.73,-99.82,,,,-89.95,-450.57,-1715.91,1273.38,363.03,183.33,121.64,-87.87,-45.27,34.35,724.64,-27414.36,1420.36,5195.70,7.80,101.40,-89.72,-99.13,-85.40,-68.79,-38.80,1935.91,-1975.88,-480.88,-133.05,-102.25,97.60,87.69,2.44,-24.78,92.32,91.88,82.20,138.26,122.23,121.34
EVEBITCurrent_sy,519.84,127.67,,,,-49.78,55.60,-48.12,114.80,-46.25,23.33,22.64,-58.31,2.33,6.00,-9.30,13.24,-12.74,0.20,-1.76,37.20,22.83,32.03,51.14,7.92,46.22,21.43,-8.51,14.47,-30.11,-72.70,66.05,45.05,70.64,290.61,-13.97,7.93,-5.89,1.25,1.89,10.81
EVEBITCurrent_qq,,,42.32,42.38,-185.36,-100.26,-67.19,-90.06,284.39,-55.11,-47.03,-50.64,3.38,102.50,30.01,202.97,-3524.35,111.27,352.86,-93.83,-55.42,-17.44,-61.74,3.65,-4.68,61.91,1172.78,-195.50,80.65,85.95,13.49,-2.17,0.84,-11.32,-10.64,93.71,-4.85,-144.13,337.82,-96.35,0.62
EVEBITCurrent_sq,,,-83.14,228.41,-62.99,145.05,-47.76,9.49,53.26,-38.68,19.86,8.88,-47.91,50.52,24.16,-6.84,-34.96,15.98,42.58,-8.66,-9.17,3.84,53.26,4.56,-35.14,40.69,27.28,-21.23,-18.85,-14.10,-50.29,379.21,-29.11,1.06,13.78,5.54,-11.06,-11.89,22.41,6.21,-3.27
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,-143.90,-149.61,,,,-39.79,-400.12,-1889.07,901.83,315.07,169.37,116.82,-85.09,-41.43,32.45,544.44,2783.46,638.93,788.96,9.73,-87.54,-79.55,-94.49,-81.54,-66.10,-37.20,885.28,12479.40,-628.93,-137.43,-105.02,-100.39,90.41,3.80,-22.97,92.49,92.03,80.16,133.37,122.08,121.28
EVEBITDACurrent_sy,-56.32,37.07,,,,-32.66,-4.44,-26.51,238.41,-37.20,32.31,34.26,-62.72,-13.09,22.30,76.06,55.25,2.41,-18.40,-38.65,1.24,37.32,29.52,74.94,44.31,5.08,26.73,-27.64,-3.43,-19.50,-15.34,70.33,45.71,94.06,32.28,-11.41,5.59,-14.74,2.26,-8.98,-11.64
EVEBITDACurrent_qq,,,51.54,47.03,-185.77,-90.58,-73.37,-110.66,215.20,-48.88,-44.08,-48.92,2.14,100.76,26.46,148.51,357.03,-48.55,52.13,-69.32,-48.10,-15.56,-59.04,2.87,-4.71,56.43,542.61,1213.33,-104.01,88.93,13.88,-2.05,1.38,-10.99,-10.09,93.77,-4.73,-176.34,285.10,-95.88,0.94
EVEBITDACurrent_sq,,,-61.49,15.83,-54.86,234.44,-45.35,-10.92,107.84,-37.93,15.14,-9.61,-42.29,44.69,62.02,30.13,-49.11,-4.55,29.10,-2.16,-16.03,29.48,21.76,32.15,-30.73,-5.72,46.84,-24.54,-7.56,-21.41,54.44,51.82,-20.93,4.66,5.27,1.68,-5.76,-15.49,26.27,-9.49,-8.52
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,131.20,-48.80,,,,-200.45,-124.60,-101.29,103.59,185.25,297.29,3530.28,110.22,-85.55,-92.90,-101.74,,51.17,87.12,935.38,,81.79,347.25,256.35,,36.67,-72.77,-73.07,,-1998.48,-7204.14,-10749.52,-154564.29,-4.66,7.32,143.98,267.91,121.93,115.27,-105.87,-105.48
ROE_sy,15.37,155.35,,,,2.94,-30.97,-20.13,669.31,36.15,110.03,15.26,-28.72,-9.80,-42.22,-14.41,,-22.76,14.10,1.20,,-41.20,-36.63,-35.14,,8.38,-30.94,-18.03,,-55.31,-29.44,-60.84,-64.16,8.32,6.91,87.22,103.50,45.12,33.17,9.97,43.98
ROE_qq,,,117.19,25.00,-599.63,92.59,46.80,93.45,1491.74,75.68,23.11,13.96,-14.71,-87.93,-39.48,-127.90,,,-25.09,24.54,,,84.31,-0.77,,,-63.28,-1.88,-97.31,-196185.71,-37.41,-47.08,61.02,-32.86,-21.69,169.80,48.79,-82.65,-15.28,-126.83,-38.83
ROE_sq,,,-4.52,14.27,-83.43,469.51,-35.97,32.22,59.57,0.79,-1.23,-27.44,-1.32,27.54,-36.73,7.49,,,-6.55,-4.67,,,0.70,-2.41,,,-35.83,15.82,-11.36,-32.17,1.32,-35.72,-18.86,105.00,,12.56,-11.81,46.19,-8.24,-7.05,15.47
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,-657.85,-9.28,,,,27.91,87.23,99.50,111.10,169.74,226.53,2191.94,40.35,-82.00,-87.98,-103.24,,58.94,110.74,883.33,,59.59,242.68,233.74,,23.56,-78.25,-80.42,,-716.60,-2669.23,-3336.74,-122083.33,51.72,67.91,53.99,28.54,-2523.70,-2582.58,759.21,718.24
ROA_sy,512.90,77.37,,,,48.66,97.23,35.97,99.25,42.81,41.65,12.49,16.53,-12.65,-40.63,-42.21,,-14.72,15.99,11.10,,-34.90,-23.33,-16.54,,-14.70,-42.54,-39.12,,-87.33,-107.77,-91.75,-66.26,454.67,1294.74,1051.28,289.09,9.38,-0.22,9.35,51.17
ROA_qq,,,-182.20,-60.62,32.25,76.53,50.00,93.67,1595.16,47.46,-9.29,4.60,0.31,-81.09,-39.43,-128.19,,,-19.69,4.78,,,72.44,2.04,,,-69.65,-8.12,-97.21,-79333.33,-26.46,-15.75,-5.17,68.64,15.95,-65.99,-63.34,-1051.32,14.06,140.79,53.18
ROA_sq,,,-14.39,64.30,-1.05,6.82,13.57,13.27,45.00,-23.43,12.65,-10.05,50.21,-42.61,-23.44,-12.43,,,4.13,-16.13,,,22.62,-8.70,,,-17.40,-3.27,-31.08,-76.99,-150.67,202.63,182.05,278.18,9.13,-1.10,-4.68,6.31,-0.44,8.39,31.77
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,-527.36,55.06,,,,-602.33,-29.86,81.06,105.34,110.00,135.50,246.81,191.33,56.46,6.18,-68.49,-101.37,-87.03,-96.96,1.80,5050.00,421.82,5283.33,220.59,94.28,39.02,-94.43,-107.34,-141.94,-632.58,-8144.44,-11627.50,-3105.37,-464.94,-681.25,-1589.00,-1066.35,-2162.85,83.48,21.94,46.95
OPM_sy,1484.62,59.44,,,,65.85,74.79,20.91,24.11,31.93,0.57,22.32,33.95,2.71,21.51,13.43,-1.98,-1.71,-9.39,-24.79,-6.07,-8.20,8.74,-17.13,-21.89,-30.50,-34.52,-17.77,-35.67,-46.48,-58.60,-50.00,-40.59,26.10,64.53,41.85,3.33,-2.93,4.95,17.62,114.25
OPM_qq,,,-109.07,-136.18,-47.27,3.42,61.34,65.55,141.55,80.67,37.27,42.47,-17.55,-2.97,-6.84,-57.72,-103.59,1016.67,-78.18,1316.67,74.71,-3.37,125.09,-15.63,5.87,-30.85,-90.98,-211.11,-505.00,-778.10,-36.28,-61.98,-65.36,-54.76,-88.46,-250.19,-14.19,-200.26,98.62,-1555.02,22.40
OPM_sq,,,5.05,41.96,-7.94,20.81,10.71,-1.80,-5.51,28.43,-15.61,19.43,3.48,-1.53,-0.16,11.49,-10.58,-1.25,-7.97,-7.46,11.67,-3.48,9.02,-29.47,5.25,-14.12,2.72,-11.43,-17.66,-28.55,-20.55,6.98,-2.17,51.67,3.66,-7.77,-28.74,42.47,12.08,3.37,29.80
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,-643.10,30.79,,,,-325.84,16.98,98.17,113.69,125.24,171.21,1554.35,1.94,-79.52,-84.00,-106.13,-134.79,193.75,182.14,958.54,363.93,8.75,156.65,108.52,61.70,30.43,-71.02,-66.35,-98.98,-924.50,-2865.53,-4846.15,-196300.00,-58.64,-104.37,-327.57,-498.50,-45453.84,873.03,73.72,85.29
ROS_sy,384.00,83.06,,,,66.14,125.53,31.66,45.76,40.08,49.87,47.23,11.05,0.87,-30.22,-29.98,-19.55,-16.92,-4.25,-15.55,-20.39,-18.06,5.25,-7.08,-12.67,-6.92,-40.79,-17.53,-44.46,-77.85,-101.30,-82.62,-57.02,160.27,6866.67,274.47,89.54,12.11,-5.42,13.07,55.17
ROS_qq,,,-81.04,-112.16,-50.04,26.11,64.70,95.32,1221.74,36.24,-0.43,-4.43,-21.38,-72.62,-22.22,-136.61,-346.34,331.15,-25.30,11.39,37.22,-4.76,76.30,-9.49,6.40,-23.18,-60.83,5.11,-96.76,-61937.50,-31.37,-80.38,-33.89,50.00,-69.24,-277.38,-87.42,-3705.69,102.87,-112.83,-4.92
ROS_sq,,,-25.73,87.23,14.94,3.95,0.82,9.30,27.25,-0.10,7.86,7.37,-4.02,-9.25,-25.38,7.73,10.29,-6.29,-14.00,-4.98,3.97,-3.54,10.45,-16.11,-2.29,2.81,-29.74,16.85,-34.20,-58.99,-104.11,1666.67,62.77,148.37,6.84,-13.30,-17.61,46.90,-9.86,3.65,13.07
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,16.19,47.46,,,,-339.08,-71.45,73.18,101.30,109.43,134.40,249.72,1932.00,141.12,28.12,-59.06,-79.72,-59.16,-66.97,29.03,217.48,55.15,143.84,27.50,15.90,-37.87,-77.25,-124.65,-175.46,-457.75,-1207.41,-1559.09,-643.36,213.45,400.33,627.26,472.30,-35562.32,245.03,-19.60,-36.01
RS_sy,2477.78,16.16,,,,65.49,237.97,65.72,32.75,13.57,-9.55,2.35,10.92,30.01,40.27,71.67,42.91,8.28,-10.18,-34.47,-20.52,-15.43,-23.01,-33.70,-43.33,-42.70,-45.57,-25.98,-19.88,-67.73,-24.12,-14.72,-19.66,143.05,-4.91,19.03,28.27,27.31,98.91,26.39,37.04
RS_qq,,,-22.90,-125.64,-46.21,-8.29,52.01,64.71,107.06,688.00,75.13,53.62,-4.15,-6.50,-6.95,-50.90,-52.53,88.35,-24.74,91.78,16.79,-7.95,18.27,0.28,6.16,-50.66,-56.68,-208.64,-225.00,-133.92,-34.08,-62.76,-45.62,135.70,254.94,185.75,2.82,-3500.62,103.45,-33.42,-18.16
RS_sq,,,-41.37,79.11,21.91,29.28,19.73,-12.17,-2.35,10.59,-4.64,-0.62,5.83,29.63,2.89,21.62,-11.89,-1.79,-14.66,-11.26,6.85,4.51,-22.31,-23.59,-8.66,5.66,-26.19,3.92,-1.13,-57.44,73.54,16.80,-6.86,28.74,-32.10,46.20,0.37,27.78,6.09,-7.10,8.82
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,-769.01,62.15,,,,-543.19,-8.08,97.87,114.80,119.71,157.13,1458.70,4.56,-61.57,-59.69,-91.52,-110.52,155.92,71.86,798.11,1141.51,-9.81,114.86,55.04,43.48,35.11,-67.29,-77.78,-112.75,-720.82,-2053.05,-5940.85,-16236.63,-63.77,-103.16,-373.81,-183.18,-53338.94,1027.72,71.01,71.09
GPM_sy,298.08,115.05,,,,111.74,633.33,42.28,62.19,34.75,27.89,17.08,-0.77,7.12,-10.66,-6.69,-8.96,-12.85,-6.33,-23.53,-11.54,-18.90,0.48,-5.54,-12.09,-14.21,-39.48,-21.53,-39.19,-66.99,-92.06,-59.48,-71.63,85.24,808.00,64.89,188.61,7.17,21.59,11.83,28.07
GPM_qq,,,-114.32,-133.19,-50.51,14.49,63.99,95.41,1147.83,13.90,4.37,9.08,-19.36,-58.13,9.48,-77.06,-200.00,1118.87,-26.48,19.90,15.97,-11.78,75.15,-13.48,7.32,-16.92,-57.60,-41.22,-161.59,-3944.55,-33.39,-75.79,-72.25,59.45,-65.47,-309.99,-2.95,-7551.29,102.87,-112.81,-2.67
