,2004/Q4,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,27.37,,36.12,,,9.10,9.57,7.50,4.39,-0.57,-9.12,-6.53,1.38,5.69,5.86,6.72,1.49,2.48,5.82,7.88,5.26,5.48,6.83,7.73,4.87,3.52,3.62,1.55,0.14,2.12,2.87,3.54,3.08,2.71,6.31,6.27,8.43,6.33,3.03,2.56,0.88,2.56,3.30,3.54,4.28,2.97,3.20,5.06,2.80,6.33,6.82
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,2.51,-2.08,11.03,-2.11,2.95,-3.93,7.82,-6.76,-5.91,-1.19,16.95,-2.80,-5.75,-0.39,11.22,-1.85,-2.69,1.56,8.51,-1.64,-1.44,2.41,5.63,-2.90,-1.35,0.37,4.16,-0.99,-0.62,1.02,3.69,-1.34,2.86,0.99,5.80,-3.26,-0.33,0.54,4.07,-1.64,0.38,0.77,4.81,-2.87,0.60,2.58,2.55,0.46,1.07
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,-21.49,,-26.53,,,-8.34,-8.73,-6.98,-4.20,0.57,10.04,6.99,-1.37,-5.38,-5.54,-6.30,-1.47,-2.42,-5.50,-7.30,-4.99,-5.21,-6.39,-7.18,-4.64,-3.39,-3.49,-1.53,-0.14,-2.07,-2.79,-3.42,-2.99,-2.64,-5.94,-5.90,-7.78,-5.95,-2.93,-2.50,-0.87,-2.50,-3.19,-3.43,-4.10,-2.89,-3.10,-4.81,-2.72,-5.95,-6.38
CWKCurrent_sy,-27.85,,-26.53,,,-8.34,-8.73,-3.52,1.64,0.57,-0.68,10.99,-1.37,-10.41,0.15,-14.22,-11.37,3.06,-13.45,-9.43,-1.93,-5.21,-5.56,-8.99,-12.38,-5.49,-7.97,-25.76,-25.40,-22.18,-0.10,20.15,32.60,13.41,-3.00,10.30,5.85,2.34,4.90,-3.47,-2.57,-5.15,-10.58,-9.62,-6.52,-5.34,-4.27,-3.77,-3.00,-3.28,-3.73
CWKCurrent_qq,,,-2.44,2.13,-9.94,2.15,-2.86,4.09,-7.25,7.24,6.28,1.20,-14.49,2.88,6.11,0.38,-10.08,1.89,2.76,-1.53,-7.84,1.66,1.47,-2.36,-5.32,2.99,1.37,-0.37,-3.99,1.00,0.62,-1.02,-3.56,1.36,-2.79,-0.97,-5.49,3.37,0.34,-0.53,-3.91,1.67,-0.38,-0.77,-4.58,2.96,-0.60,-2.52,-2.49,-0.46,-1.05
CWKCurrent_sq,,,-2.44,-5.08,-8.67,8.38,-2.86,0.34,-3.78,7.24,-4.07,12.13,-14.49,-2.59,7.23,-3.96,-11.65,13.27,-9.94,0.49,-4.33,9.48,-10.28,-3.16,-7.89,18.09,-12.63,-21.88,-7.44,23.19,12.15,-6.04,2.15,5.36,-4.07,6.84,-1.97,1.87,-1.68,-1.69,-1.06,-0.82,-7.31,-0.64,2.34,0.42,-6.26,-0.11,3.17,0.13,-6.69
WKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_yy,15.27,,113.54,,,-48.63,-70.85,-91.94,-62.63,-83.00,-145.29,-486.02,-19.41,-18.31,90.05,133.03,178.44,498.69,2380.51,653.83,2.69,18.35,88.40,36.30,9.14,5.01,7.44,27.38,28.58,46.74,38.81,37.51,10.77,6.03,11.28,8.90,35.66,32.89,31.87,35.97,5.16,11.74,13.72,11.94,13.99,10.95,13.40,17.93,14.73,27.04,27.71
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,-14.19,-54.20,67.65,-22.04,-51.30,-87.33,676.93,-64.53,-229.73,-7.98,262.20,-64.05,-115.80,458.47,1267.38,-22.70,-39.81,18.49,86.26,-10.91,-4.19,-14.28,49.15,-14.28,-1.97,1.63,50.56,-2.17,-7.26,0.67,21.28,-6.35,-2.67,-1.48,51.07,-8.27,-3.42,1.58,16.84,-2.53,-1.71,,18.98,-5.13,0.47,3.99,15.76,5.05,0.99
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,-13.24,,-53.17,,,94.68,243.03,1139.61,167.58,488.27,,,24.09,22.41,,,-64.09,-83.30,,-86.74,-2.61,-15.51,-46.92,-26.63,-8.38,-4.77,-6.93,-21.49,-22.23,-31.85,-27.96,-27.28,-9.72,-5.69,-10.14,-8.18,-26.28,-24.75,-24.17,-26.45,-4.91,-10.50,-12.06,-10.67,-12.28,-9.87,-11.82,-15.20,-12.84,-21.29,-21.69
CWKGrahamCurrent_sy,123.77,,-81.84,,,94.68,59.01,7.54,1511.02,216.69,,,56.49,-22.40,,,-44.71,-51.06,,-32.18,-25.75,-30.19,6.20,47.32,-25.39,4.94,-26.50,-56.81,-12.25,-8.35,113.79,68.24,39.60,36.96,-36.08,-17.43,13.11,-3.56,-6.58,48.41,27.41,-22.79,-17.28,-46.63,-62.02,-54.16,-40.32,-27.14,14.01,36.40,71.49
CWKGrahamCurrent_qq,,,16.53,118.36,-40.35,28.26,105.34,689.10,-87.13,181.99,,,,178.17,,,-92.69,29.36,66.14,-15.61,-46.31,12.24,4.37,16.66,-32.95,16.66,2.00,-1.60,-33.58,2.22,7.84,-0.67,-17.55,6.78,2.75,1.50,-33.81,9.01,3.54,-1.56,-14.41,2.60,1.73,,-15.95,5.41,-0.47,-3.83,-13.61,-4.81,-0.98
CWKGrahamCurrent_sq,,,16.53,11.38,-86.78,1034.15,-4.82,-24.67,98.10,122.95,,,,10.55,,,-12.98,-2.14,-37.79,28.01,-4.73,-7.98,-5.36,77.57,-51.75,29.42,-33.71,4.33,-1.97,35.19,54.62,-17.90,-18.66,32.63,-27.84,6.07,11.43,13.09,-30.10,68.49,-4.34,-31.47,-25.12,,-31.91,-17.28,-2.51,32.70,6.55,-1.04,22.56
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,-42.04,,-15.84,,,21.86,19.83,24.34,16.68,15.29,7.79,5.63,-6.57,-6.97,-2.54,-5.49,-2.38,-4.58,-6.96,-5.12,-1.15,-0.36,2.71,2.63,1.98,5.57,4.73,3.11,3.02,-0.94,-1.06,0.36,-4.91,-4.34,-7.39,-6.62,-2.46,-1.38,0.94,-0.31,1.28,3.37,6.38,8.84,11.94,10.58,9.06,8.32,6.44,7.29,7.64
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,5.15,0.09,13.18,2.30,3.40,3.85,6.20,1.09,-3.32,1.78,-6.07,0.65,1.28,-1.30,-2.98,-1.61,-1.25,0.65,1.08,-0.82,1.79,0.57,0.44,2.67,0.99,-0.99,0.36,-1.28,0.86,0.43,-4.91,-0.69,-2.35,1.26,-0.67,0.41,-0.05,0.01,0.90,2.49,2.86,2.32,3.78,1.24,1.45,1.62,1.98,2.05,1.78
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,72.53,,18.82,,,-17.94,-16.55,-19.56,-14.30,-13.27,-7.23,-5.33,7.03,7.51,2.61,5.80,2.45,4.80,7.48,5.40,1.17,0.36,-2.65,-2.56,-1.95,-5.27,-4.51,-3.01,-2.93,0.94,1.08,-0.36,5.16,4.55,7.96,7.10,2.53,1.40,-0.93,0.31,-1.27,-3.27,-6.01,-8.13,-10.66,-9.56,-8.31,-7.68,-6.06,-6.80,-7.09
CPCurrent_sy,-5.20,,-2.24,,,-17.94,-15.61,-15.38,-1.21,-11.54,-14.80,-12.86,-19.54,-11.72,-14.75,-0.96,4.40,9.90,2.42,1.49,0.75,-11.30,-2.87,-16.74,-18.57,-13.36,-12.47,9.28,2.24,6.91,-8.20,-24.75,-24.50,-24.38,0.06,-1.65,1.69,5.52,-7.19,0.43,8.18,6.29,3.37,0.94,-1.45,-1.94,-6.96,-10.61,-14.15,-18.14,-7.35
CPCurrent_qq,,,-4.90,-0.10,-11.64,-2.25,-3.29,-3.71,-5.85,-1.08,3.44,-1.74,6.44,-0.64,-1.27,1.31,3.08,1.64,1.27,-0.65,-1.07,0.82,-1.77,-0.56,-0.44,-2.60,-0.97,1.00,-0.36,1.29,-0.84,-0.44,5.16,0.70,2.39,-1.23,0.68,-0.41,0.04,,-0.91,-2.42,-2.79,-2.26,-3.64,-1.22,-1.44,-1.60,-1.93,-2.01,-1.74
CPCurrent_sq,,,-5.96,0.73,-11.38,-2.25,-3.29,1.00,3.47,-12.47,-6.86,3.30,-4.47,-3.96,-10.05,20.01,0.70,1.11,-16.18,18.92,-0.03,-10.99,-8.21,1.94,-2.23,-5.29,-7.27,27.27,-8.53,-0.96,-20.38,4.33,-8.23,-0.80,5.35,2.54,-5.11,2.93,-7.34,,2.22,1.13,-9.89,8.36,-0.21,0.64,-14.50,4.11,-4.16,-4.05,-3.23
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,54.86,,-3.40,,,-0.66,-11.78,-8.34,-34.90,-66.96,-147.84,-126.77,-109.67,-45.78,157.81,280.92,550.39,219.65,192.23,145.28,217.90,63.14,28.58,5.24,-17.23,-13.57,-16.25,-20.21,-2.75,10.01,3.11,22.66,18.97,6.92,57.56,37.17,63.52,47.96,-26.99,-32.47,-48.74,-35.41,-6.03,18.52,46.51,26.82,29.13,30.81,16.17,45.03,39.72
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,11.42,-21.87,26.64,-9.88,-1.06,-18.83,-10.05,-54.27,-243.28,54.58,67.51,356.40,52.76,42.16,-19.11,81.97,39.65,19.32,4.84,-6.62,10.07,-2.34,-17.54,-2.49,6.66,-6.97,0.51,10.31,-0.03,10.67,-2.52,-0.86,47.32,-3.65,16.20,-10.29,-27.31,-10.88,-11.80,13.04,5.76,12.40,9.04,-2.15,7.68,13.86,-3.17,22.15,3.74
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,-35.43,,3.52,,,0.66,13.36,9.10,53.61,202.73,,,,84.46,,,,-68.73,-65.78,-59.23,-68.55,-38.69,-22.23,-4.96,20.81,15.70,19.41,25.33,2.83,-9.10,-3.02,-18.48,-15.94,-6.48,-36.53,-27.10,-38.85,-32.41,36.97,48.09,95.08,54.82,6.42,-15.62,-31.74,-21.15,-22.55,-23.56,-13.92,-31.05,-28.43
CZCurrent_sy,-32.00,,8.56,,,0.76,-22.87,-2.63,-15.05,-12.61,,,,-16.25,,,,43.20,-27.29,-41.03,1.44,-13.42,22.88,-13.12,-34.13,-38.76,12.20,5.85,8.77,57.23,59.95,104.86,74.91,-6.18,-31.41,-31.22,-25.97,8.09,9.72,-6.16,8.10,-29.84,-10.31,-12.79,-14.45,3.73,-25.13,-3.88,-10.20,-7.34,11.19
CZCurrent_qq,,,-10.25,28.01,-21.04,10.97,1.07,23.20,11.17,118.70,,,,,-34.55,-29.66,23.65,-45.06,-28.39,-16.19,-4.61,7.09,-9.16,2.41,21.26,2.56,-6.25,7.50,-0.51,-9.34,0.02,-9.64,2.59,0.86,-32.12,3.79,-13.94,11.48,37.56,12.22,13.37,-11.53,-5.44,-11.03,-8.29,2.19,-7.13,-12.18,3.27,-18.14,-3.60
CZCurrent_sq,,,31.90,-21.36,-3.51,0.68,0.97,-0.73,-15.82,3.57,,,,,-8.97,56.37,-20.99,27.34,-53.78,26.83,35.91,8.69,-34.41,-10.33,3.05,1.04,20.16,-15.40,5.89,46.07,22.23,8.36,-9.59,-21.65,-10.64,8.67,-2.69,14.40,-9.29,-7.06,12.09,-25.76,15.96,-9.63,9.97,-9.98,-16.30,16.01,2.74,-7.12,0.44
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,16.80,,-20.30,,,-6.89,11.12,29.69,19.47,1.77,-65.00,-49.57,-79.62,-53.21,63.45,34.60,302.43,143.92,87.85,64.97,32.17,-0.65,-2.90,-10.02,-28.97,-16.81,-19.10,-12.27,12.24,9.19,3.22,6.00,-7.71,-7.26,-5.57,-12.70,25.10,7.91,13.24,10.05,-29.72,-7.66,-0.58,8.21,47.57,35.32,23.70,34.55,27.78,32.60,35.66
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,-2.70,-16.03,15.29,-1.14,16.11,-2.00,6.20,-15.78,-60.07,41.21,-57.08,93.33,39.51,16.29,28.31,17.18,7.44,2.12,2.80,-11.92,5.01,-5.37,-18.85,3.16,2.12,2.62,3.82,0.36,-3.46,5.39,-9.61,0.84,-1.70,-2.58,29.54,-13.01,3.16,-5.32,-17.27,14.29,11.06,3.05,12.82,4.80,1.52,12.09,7.15,8.75,3.87
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,-14.38,,25.47,,,7.39,-10.00,-22.89,-16.29,-1.74,185.69,98.26,390.64,113.75,-38.82,-25.70,-75.15,-59.00,-46.77,-39.39,-24.34,0.66,2.98,11.14,40.79,20.20,23.61,13.99,-10.90,-8.42,-3.13,-5.66,8.36,7.83,5.90,14.55,-20.07,-7.33,-11.69,-9.14,42.28,8.29,0.59,-7.58,-32.23,-26.10,-19.16,-25.68,-21.75,-24.59,-26.29
CZOCurrent_sy,-11.35,,-9.47,,,7.39,-25.33,-24.85,-9.26,-1.74,-1.52,14.48,16.96,-9.48,-39.78,16.75,-13.88,2.55,14.32,-36.62,-19.04,8.15,6.62,-3.08,-15.04,-29.03,4.15,0.47,-9.33,35.24,35.95,35.55,119.58,25.62,-20.61,-29.14,-43.93,-27.46,-14.43,-1.58,-17.03,-24.40,-21.79,-12.29,14.10,20.62,2.22,-7.72,0.24,2.45,5.35
CZOCurrent_qq,,,2.78,19.09,-13.26,1.15,-13.87,2.04,-5.84,18.73,150.42,-29.19,133.03,-48.28,-28.32,-14.01,-22.07,-14.66,-6.92,-2.08,-2.73,13.54,-4.78,5.68,23.22,-3.06,-2.07,-2.56,-3.68,-0.36,3.58,-5.11,10.63,-0.84,1.73,2.65,-22.80,14.96,-3.06,5.62,20.88,-12.50,-9.96,-2.96,-11.36,-4.58,-1.50,-10.79,-6.67,-8.05,-3.72
CZOCurrent_sq,,,64.22,-7.57,-16.38,-15.38,14.18,-6.97,0.96,-8.37,14.44,8.14,3.14,-29.08,-23.88,109.66,-23.92,-15.55,-15.13,16.24,-2.83,12.82,-16.34,5.68,-14.82,-5.75,22.77,1.95,-23.13,40.58,23.41,1.65,24.52,-19.58,-22.01,-9.27,-1.47,4.04,-8.00,4.36,-16.94,-5.20,-4.82,17.03,8.05,0.22,-19.34,5.65,17.37,2.43,-17.06
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,45.12,,-12.26,,,13.88,13.27,14.18,13.62,14.66,15.39,10.39,34.61,-3.24,-8.47,-7.74,-28.88,-6.51,-6.88,-5.17,-4.82,-8.28,-5.54,-8.23,2.32,1.98,3.96,11.74,0.58,-1.94,-3.29,-9.66,-4.46,0.22,0.60,-2.37,-9.99,-11.47,-11.68,-10.67,-6.49,-2.42,-1.61,-2.06,-2.43,-6.66,-6.42,-4.66,-3.97,-6.59,-6.69
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,1.47,6.87,13.21,-7.24,0.92,7.73,12.66,-6.39,1.57,3.06,37.38,-32.71,-3.93,3.89,5.90,-11.55,-4.30,5.80,6.29,-14.77,-1.44,2.79,18.50,-15.05,0.47,10.48,6.67,-17.18,-0.91,3.21,12.80,-13.12,-0.54,0.16,4.00,-14.55,-0.77,1.32,8.86,-10.84,0.05,0.86,8.45,-14.71,0.31,2.75,9.23,-17.03,0.20
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,150.42,,4.25,,,-6.54,-5.48,-8.17,-2.62,-0.56,7.05,4.51,44.09,4.02,-6.08,-2.38,-27.15,-2.03,0.10,-0.05,-3.70,-7.95,-8.04,-10.58,0.34,-3.40,-0.73,8.38,-2.37,-1.01,-2.26,-9.98,0.46,4.76,8.62,4.55,-7.72,-10.24,-12.50,-10.38,-7.66,-5.59,-7.52,-10.02,-12.84,-15.59,-14.19,-11.98,-9.78,-12.93,-13.30
EVPCurrent_sy,11.44,,0.34,,,-28.05,-23.53,-34.11,-25.47,-17.24,-2.26,6.66,-7.03,-25.01,6.62,-1.87,5.23,38.16,-2.36,-3.79,-2.43,-16.94,-9.31,-12.14,-27.26,-13.36,-2.24,-7.68,59.20,6.52,-2.33,22.31,-3.18,19.70,-5.01,5.00,1.29,20.91,-15.41,-3.64,-7.13,-8.52,4.04,-11.26,-6.40,0.49,5.22,-6.50,-10.60,-17.77,-7.91
EVPCurrent_qq,,,-3.50,6.78,0.03,-9.32,-2.40,3.73,6.08,-7.40,5.06,1.27,46.26,-33.15,-5.14,5.26,9.14,-10.10,-3.08,5.11,5.15,-14.06,-3.18,2.21,17.99,-17.26,-0.51,11.58,6.29,-16.11,-1.76,2.77,18.63,-12.52,1.85,-1.08,4.70,-14.91,-0.71,1.31,7.88,-13.00,-2.74,-1.43,4.50,-15.75,-1.13,1.11,7.11,-18.69,-1.55
EVPCurrent_sq,,,-7.12,7.50,-10.37,-19.60,-1.28,-7.37,1.37,-10.72,16.58,1.09,-11.64,-27.99,65.77,-6.96,-5.25,-5.45,17.15,-8.32,-3.91,-19.51,27.92,-11.19,-20.45,-4.13,44.32,-16.13,37.18,-35.86,32.33,5.04,8.59,-20.70,5.02,16.10,4.76,-5.34,-26.53,32.26,0.96,-6.76,-16.44,12.82,6.48,0.10,-12.50,0.25,1.81,-7.92,-2.01
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,24.25,,10.09,,,22.30,1.94,-11.96,-4.89,12.66,229.66,118.87,560.48,106.83,-44.00,-31.45,-82.33,-61.67,-50.43,-42.52,-27.99,-7.68,-2.73,2.00,44.05,22.58,28.50,27.37,-10.39,-10.20,-6.31,-14.78,3.52,8.06,6.53,11.84,-28.05,-17.96,-22.01,-18.83,33.05,5.68,-1.04,-9.49,-33.88,-31.03,-24.34,-29.14,-24.85,-29.55,-31.22
EVEBITCurrent_sy,-12.31,,6.60,,,-18.46,-31.71,-33.24,-33.38,0.35,-4.08,38.60,33.68,-44.98,-26.43,-1.86,-9.42,119.31,7.96,-17.11,-6.47,-28.18,16.85,3.63,-0.81,-3.47,-8.99,-20.16,-4.28,34.48,32.17,88.86,53.32,30.30,9.43,-32.96,-33.83,-17.96,-34.86,-4.52,15.42,-8.16,2.77,-7.46,-18.51,-8.07,-11.22,-22.06,-13.18,2.16,32.27
EVEBITCurrent_qq,,,4.29,27.28,-1.80,-6.18,-13.08,9.93,6.08,11.14,154.34,-27.02,220.13,-65.20,-31.14,-10.66,-17.47,-24.51,-10.93,3.59,3.39,-3.23,-6.15,8.62,46.02,-17.65,-1.62,7.66,2.74,-17.48,2.64,-2.07,24.80,-13.86,1.18,2.81,-19.72,-1.77,-3.81,7.01,31.59,-21.98,-9.92,-2.13,-3.87,-18.62,-1.19,-8.33,1.94,-23.71,-3.53
EVEBITCurrent_sq,,,55.67,-15.34,-1.09,-37.44,30.37,-17.24,-1.29,-5.78,24.62,19.58,-4.79,-61.22,66.64,59.53,-12.13,-6.11,-17.97,22.48,-0.85,-27.90,33.44,8.62,-5.09,-29.83,25.81,-4.71,13.78,-1.41,23.65,36.16,-7.63,-16.22,3.84,-16.58,-8.84,3.88,-17.55,22.28,10.19,-17.34,-7.74,10.11,-2.97,-6.75,-10.90,-3.33,8.08,9.73,15.37
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,41.66,,5.42,,,15.24,3.48,-2.58,1.99,16.61,129.93,75.34,238.21,56.53,-31.26,-22.97,-66.74,-46.55,-39.33,-32.92,-21.88,-7.08,-1.74,0.50,32.69,16.15,21.52,22.77,-7.53,-7.04,-5.12,-13.34,1.46,4.60,4.28,7.67,-24.99,-17.29,-21.68,-19.14,19.23,2.87,0.15,-6.46,-25.71,-25.00,-20.34,-24.22,-21.44,-26.27,-28.14
EVEBITDACurrent_sy,15.19,,2.44,,,-18.20,-12.84,-29.40,-40.41,-6.06,-3.56,46.13,71.66,26.37,-2.45,27.51,-9.51,-9.99,-15.46,-43.89,-21.05,-4.55,-11.91,30.16,-5.52,-18.00,27.73,-18.90,23.86,44.09,21.46,36.59,22.19,19.69,-3.67,-22.27,-35.52,-32.02,-17.59,-4.84,3.79,-3.19,-25.27,-21.56,1.26,-1.88,11.67,5.84,21.16,20.59,12.58
EVEBITDACurrent_qq,,,1.92,17.73,2.89,-6.66,-8.48,10.84,7.72,6.72,80.46,-15.47,107.77,-50.61,-20.76,-5.27,-10.30,-20.62,-10.05,4.74,4.46,-5.59,-4.88,7.13,37.92,-17.36,-0.48,8.24,3.87,-16.92,1.57,-1.13,21.62,-14.35,1.26,2.09,-15.27,-5.56,-4.12,5.40,24.93,-18.52,-6.66,-1.55,-0.78,-17.74,-0.86,-6.34,2.86,-22.79,-3.38
EVEBITDACurrent_sq,,,24.15,-10.75,5.40,-29.96,32.29,-27.71,-11.03,10.41,35.80,9.54,4.51,-18.72,4.83,43.19,-25.83,-19.14,-1.55,-4.96,4.35,-2.25,-9.14,40.43,-24.26,-15.16,41.53,-10.83,15.68,-1.31,19.31,0.27,3.49,-3.32,-3.98,-19.09,-14.15,1.92,16.41,-6.58,-6.36,-4.92,-10.14,-1.94,20.87,-7.87,2.26,-7.06,38.36,-8.30,-4.53
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,21.63,,-29.03,,,-8.96,-19.54,-14.66,-37.59,-66.73,-152.64,-128.59,-109.59,-48.85,154.63,269.55,541.18,212.36,176.12,127.67,202.00,54.68,20.43,-2.35,-21.08,-16.51,-19.15,-21.40,-2.80,7.80,0.13,18.47,15.40,4.13,48.33,29.07,50.75,39.08,-29.12,-34.15,-49.21,-37.02,-9.05,14.34,40.55,23.09,25.00,24.61,12.98,36.48,30.86
ROE_sy,9.68,,-19.91,,,47.35,-18.49,-14.79,-12.93,-30.42,34.22,29.89,-16.13,-31.20,-69.72,-68.71,-71.29,-31.40,125.65,169.63,180.83,54.68,35.79,-19.40,25.34,4.19,-39.77,-18.40,-36.93,-13.62,-17.89,-26.82,2.48,4.13,10.66,-3.11,-9.60,-22.95,17.85,46.98,10.05,14.01,1.80,16.88,25.55,11.58,0.12,8.73,14.72,39.11,17.28
