,2012/Q4,2013/Q4,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,3290,3290,3290,3290,3290,3290,3290,3290,3290,3290,3290,3290,3290,3290,3290,3290,3290
ShareAmountCurrent,67811097000,67811097000,67811097000,67811097000,78401981000,78401981000,78401981000,78401981000,78401981000,78401981000,78401981000,78401981000,78401981000,78401981000,78401981000,78401981000,78401981000
CWKCurrent,330,290,150,140,140,130,130,120,110,110,110,100,100,100,90,110,140
PCurrent,7730,11580,16430,17270,15840,16570,16500,17200,17690,18140,18590,19490,20920,20350,19550,18420,17660
CPCurrent,430,280,200,190,210,200,200,190,190,180,180,170,160,160,170,180,190
ZCurrent,350,1540,3560,3740,4320,3870,3760,3980,6000,5500,5620,5500,2560,3420,2940,2480,-3140
CZCurrent,9470,2140,920,880,760,850,870,830,550,600,590,600,1290,960,1120,1330,
ZOCurrent,-330,1090,3390,3060,2670,1700,1210,1350,4450,4800,5760,6170,3270,4620,4090,3500,-2670
CZOCurrent,,3010,970,1070,1230,1940,2710,2440,740,690,570,530,1000,710,800,940,
DTAR,870,900,900,900,880,880,890,890,880,880,890,890,890,880,890,900,920
CG,6690,8590,9200,9080,7470,7650,8240,7990,7260,7560,7760,7840,7830,7640,7760,8770,11940
NetDebt,3782219000000,5484071000000,11012623000000,11643109000000,11628793000000,12591281000000,13307564000000,13706792000000,14230259000000,14773642000000,15248615000000,15597700000000,16216519000000,16508643000000,16812035000000,17045877000000,17550515000000
NetDebtEBITDA,-1575920,50640,40820,46310,45220,68310,92340,88610,36170,35240,30860,29640,53600,40430,46460,54120,-103740
RN,150,160,110,110,120,120,110,110,110,110,100,100,110,100,90,90,80
CRN,2465000,2269000,3393000,3306000,3158000,3103000,3253000,3248000,3344000,3418000,3498000,3497000,3401000,3610000,3856000,4167000,4424000
CPZ,3152000,3079000,4451000,4315000,4098000,3996000,4240000,4250000,4330000,4426000,4461000,4433000,4303000,4560000,4874000,5275000,5620000
RM,100,110,70,80,80,80,80,80,70,70,70,70,80,70,70,60,60
