,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,38.12,-27.43,,,,34.02,-56.76,-15.01,,-38.90,-28.75,-14.14,,-21.48,11.64,-3.78,,12.58,81.79,78.79,,-100.00,-16.42,-17.58,,,-34.64,-51.78,,,-44.88,11.65,8.83,17.54,22.86,-21.39,-20.71,-18.46,-20.56,-5.38,-11.57,-9.98,-6.53,-26.14,-25.75,-27.18,-28.05,-24.00,-23.69,71.55,84.68
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,108.68,-49.88,-100.00,,-32.67,-1.50,-100.00,,-21.48,18.70,-100.00,,11.64,2.31,-100.00,,80.27,0.62,-100.00,,,-0.77,-100.00,,,-26.78,-1.40,-15.28,-9.88,48.31,-3.89,-8.50,-5.80,-5.10,-3.06,-5.91,-8.22,13.03,-9.40,-4.22,-4.70,-10.68,-8.93,-6.06,-5.84,-5.66,-8.55,111.16,1.37
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,-27.59,37.77,,,,-25.41,131.12,17.63,,63.72,40.39,16.46,,27.38,-10.42,3.96,,-11.18,-44.99,-44.07,,,19.62,21.28,,,53.05,107.40,,,81.39,-10.43,-8.10,-14.93,-18.60,27.21,26.11,22.66,25.87,5.67,13.06,11.08,6.99,35.39,34.71,37.32,38.99,31.58,31.02,-41.71,-45.86
CWKCurrent_sy,27.52,-42.84,,,,74.46,6.06,-3.83,,245.70,-38.79,49.53,,-57.99,74.98,-4.37,,22.96,19.09,21.03,,,198.69,133.55,,,-3.72,-3.12,,,-27.39,-46.52,-49.07,-34.08,-35.06,-19.50,-9.97,-8.46,-17.93,-10.47,-18.61,-18.71,-2.46,10.00,11.35,-5.13,3.30,-2.32,5.45,12.17,11.04
CWKCurrent_qq,,,-52.06,99.51,,,48.54,1.54,,,27.38,-15.77,,,-10.42,-2.24,,,-44.52,-0.62,,,,0.77,,,,36.55,1.42,18.05,10.95,-32.57,4.05,9.28,6.16,5.38,3.16,6.28,8.94,-11.53,10.38,4.42,4.92,11.96,9.82,6.45,6.20,5.99,9.35,-52.64,-1.36
CWKCurrent_sq,,,-36.21,2.20,,,-61.22,-7.33,,,-93.13,126.39,,,-71.40,23.72,,,-72.30,25.74,,,,-1.68,,,,-1.08,-3.87,-18.99,-5.74,-27.14,-8.45,4.85,-7.15,-9.68,2.38,6.61,-16.75,-1.47,-6.93,6.49,-0.11,11.11,-5.79,-9.27,8.77,5.06,1.71,-3.49,7.67
WKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_yy,-19.22,-0.70,,,,81.75,81.22,48.76,,16.90,-23.60,-4.51,,-12.57,25.00,15.45,,20.07,90.35,50.86,,100.00,-1120.63,-256.60,,,-234.79,-128.62,,,-2.45,10.17,7.38,9.64,11.53,2.44,4.08,11.11,8.62,59.27,57.35,58.72,58.07,0.11,4.12,-8.49,-7.86,-1.79,-4.92,35.71,24.65
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,26.36,60.80,100.00,,24.22,-6.94,100.00,,-12.73,9.58,100.00,,24.89,-1.93,100.00,,90.93,-419.21,100.00,,,-51.68,100.00,,,-3.58,2.77,-2.71,0.95,9.18,-0.25,-0.20,3.02,-0.14,1.44,7.14,0.30,55.37,-3.22,10.13,-1.28,-6.32,0.93,-1.70,-0.69,-0.33,-2.13,37.69,-18.01
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,22.68,53.19,,,,-39.39,-54.92,4.28,-0.99,0.48,40.46,33.08,35.93,32.61,20.26,35.57,34.13,28.86,35.10,16.71,-8.82,-11.27,-14.12,-12.78,3.96,1.86,4.47,1.64,5.80,17.10,9.43,3.65,-6.83,-22.62,-27.24,-25.14,-16.56,-8.48,0.07,2.87,-8.36,-9.36,-11.48,-8.66,-0.54,-46.41,-55.07,-39.80,-41.71,3.50,23.30
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,5.98,-53.02,12.08,8.61,-21.17,8.68,6.41,10.23,10.19,2.97,8.69,7.53,-0.08,16.07,7.54,3.31,4.76,0.27,-15.99,0.54,1.39,1.84,0.14,-1.49,3.98,-0.91,4.24,9.03,-2.82,-6.14,-6.30,-9.45,-8.63,-3.44,4.43,-0.67,-0.10,-0.73,-6.97,-1.76,-2.43,2.44,1.30,-47.07,-18.21,37.25,-1.92,-6.01,-2.56
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,-18.47,-34.72,,,,64.99,121.77,-4.09,1.02,-0.51,-28.80,-24.89,-26.45,-24.57,-16.85,-26.20,-25.44,-22.43,-25.98,-14.33,9.66,12.76,16.43,14.64,-3.78,-1.83,-4.28,-1.60,-5.45,-14.60,-8.56,-3.54,7.30,29.25,37.38,33.56,19.84,9.21,-0.06,-2.80,9.15,10.33,12.99,9.48,0.49,86.60,122.52,66.16,71.61,-3.37,-18.90
CPCurrent_sy,-5.50,-21.32,,,,43.07,90.80,77.59,25.10,51.71,-61.38,-36.72,-12.50,-22.25,21.37,12.25,3.22,-0.42,29.35,11.86,62.75,-16.27,100.04,73.31,31.75,-7.92,-3.45,-7.81,-5.62,-31.53,-16.21,-17.63,-20.36,17.35,11.40,11.18,16.66,0.27,-14.47,-21.00,-30.96,-25.31,-22.18,-9.01,-2.73,7.76,6.94,6.33,-1.41,-6.95,6.82
CPCurrent_qq,,,-5.63,112.82,-10.80,-7.90,26.85,-7.96,-6.05,-9.29,-9.23,-2.91,-8.00,-6.98,0.06,-13.82,-7.06,-3.22,-4.52,-0.25,18.97,-0.49,-1.41,-1.78,-0.15,1.53,-3.87,0.97,-4.06,-8.30,2.93,6.51,6.73,10.46,9.40,3.56,-4.24,0.66,0.12,0.71,7.54,1.75,2.53,-2.41,-1.29,88.94,22.27,-27.13,1.94,6.38,2.63
CPCurrent_sq,,,-43.49,-4.57,4.26,154.46,-24.64,-11.18,-26.55,208.58,-80.82,45.54,1.56,174.20,-70.05,34.60,-6.61,164.55,-61.10,16.40,35.87,36.10,-7.08,0.85,3.29,-4.88,-2.57,-3.70,5.75,-30.99,19.23,-5.33,2.25,1.68,13.19,-5.52,7.28,-12.61,-3.44,-12.73,-6.25,-5.45,0.61,2.04,0.22,4.73,-0.16,1.46,-7.08,-1.15,14.63
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,-29.66,-22.48,,,,-16.64,33.80,13.64,19.05,74.29,66.53,56.63,63.45,43.53,53.05,101.71,125.75,58.69,46.78,-2589.13,-366.65,63.44,45.01,42.04,-9.02,-1663.24,-1589.24,-1331.44,-388.59,-62.70,-16.92,113.71,111.80,122.56,128.07,-304.89,-355.29,-223.73,-210.48,99.96,76.95,82.28,99.87,-221633.33,-241.85,-453.48,-73025.00,25.77,24.47,327.36,356.32
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,-15.19,36.89,-5.98,-51.38,34.62,17.67,0.67,51.92,14.88,-6.67,16.29,25.71,29.23,103.88,1162.32,-219.17,8.82,-81.46,-35.23,83.66,-37.15,-91.26,-154.34,-164.28,-31.40,-62.07,13.19,12.00,5.58,119.01,-25.31,68.31,17.46,-238.75,6.93,18.42,-4.89,99.95,-57166.67,37.31,99.26,-83050.00,11.71,-1.50,1.86,15.59,10.17,405.52,10.64
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_qq,,,,,,,,,,,,,,,,,-92.08,,,,,,,,,,,,,,,,33.87,-40.59,-14.87,,,,,,,,,,,,,,,,-9.62
CZCurrent_sq,,,,,,,,,,,,,,,,,-63.76,,,,,,,,,,,,,,,,3.05,4.02,10.10,,,,,,,,,,,,,,,,-6.33
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,-82.31,4.57,,,,25.36,51.57,7.83,10.17,75.90,83.94,76.71,88.76,101.29,131.14,248.70,464.04,1881.16,33.03,-180.32,-185.34,-170.01,-239.35,102.31,51.36,-895.92,-892.96,-23055.29,-556.05,-6.28,45.52,86.07,68.72,267.18,348.80,797.20,555.59,-92.52,-99.86,-95.43,-107.45,-217.68,-6680.77,-307.04,-19.75,-16.23,34.48,92.69,94.34,-1.67,2.85
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,-6.05,54.54,-1.33,-52.79,31.18,13.49,1.24,59.01,54.14,-25.45,52.33,104.69,1010.14,499.09,16.69,-74.47,-25.46,-461.73,-23.98,79.06,-48.38,105.99,-2715.29,-328.74,-47.94,-38.38,25.26,30.54,24.17,64.62,-67.84,471.22,12.86,-0.85,9.68,-93.90,-97.95,3230.77,-278.87,3.74,-14.76,-4.79,-3.46,6.58,35.31,88.31,19.85,-1578.10,38.20
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,,,,,,,,,,,,,,,,,-94.93,-24.81,,,,,,,,,,,,,,,,,,,1236.80,72985.03,2087.55,,,,,,,,,,,
CZOCurrent_sy,,,,,,,,,,,,,,,,,,-34.82,16.72,,,,,,,,,,,,,,,,,,,-22.07,-33.54,-25.01,,,,,,,,,,,
CZOCurrent_qq,,,,,,,,,,,,,,,-90.95,-83.31,-14.30,291.90,34.16,,,,,,,,,,,,,,,,-11.40,0.86,-8.83,1540.92,4743.74,-96.98,,,,,,,,,,,
CZOCurrent_sq,,,,,,,,,,,,,,,-64.06,4.66,-10.57,93.77,-35.65,,,,,,,,,,,,,,,,-1.20,-19.05,-16.01,16.02,-15.75,-8.66,,,,,,,,,,,
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,270.17,42.52,,,,-77.24,-75.47,-38.77,,-8.30,12.50,1.71,,0.19,-11.23,-10.88,,-10.63,0.28,-34.51,,-78.68,-9.06,166.00,,,241.03,77.41,1339.48,1372.12,-3.82,-6.89,-6.91,-9.13,-6.13,-2.77,-5.15,-11.79,-11.69,-59.62,-54.50,-53.60,-52.24,10.67,1.50,8.14,6.57,-0.15,1.63,-1.35,-16.77
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,-24.24,-55.73,-88.12,471.13,-18.33,10.50,-80.60,423.74,0.19,-0.11,-80.92,424.76,-11.23,0.30,-78.60,369.00,-0.40,-34.50,-67.32,,324.78,91.61,-87.71,,1348.64,-0.32,-0.31,2.27,-5.35,-3.51,-0.33,-0.17,-2.22,-0.06,-2.77,-7.17,-2.11,-54.30,9.54,-5.32,0.76,5.89,0.47,0.87,-0.70,-0.78,2.26,-2.08,-16.22
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,201.73,-6.97,,,,-62.45,-45.58,-41.28,1.02,-8.74,-19.90,-23.58,-26.45,-24.44,-26.19,-34.26,-25.44,-30.64,-25.78,-43.89,9.66,-75.97,5.90,205.00,-3.78,-1.83,226.44,74.55,1260.54,1156.98,-12.10,-10.18,-0.09,17.44,29.02,29.89,13.69,-3.62,-11.75,-60.74,-50.36,-48.81,-46.04,21.16,2.06,101.78,137.19,65.86,74.35,-4.69,-32.49
EVPCurrent_sy,-16.39,-23.54,,,,37.23,11.28,-26.19,-11.20,60.20,-74.95,-3.06,29.75,-25.57,140.85,14.84,-1.94,-3.36,60.29,29.59,62.02,-11.95,1.55,23.74,32.35,5.28,9.66,-10.11,12.32,-2.64,-3.95,-3.12,6.47,-6.41,-6.74,-13.92,-19.48,-25.31,-33.03,-26.22,-30.59,-4.28,21.08,9.90,18.60,5.80,-3.00,1.82,-1.43,12.99,25.94
EVPCurrent_qq,,,-28.51,-5.78,-89.40,425.96,3.61,1.68,-81.77,375.15,-9.06,-2.99,-82.45,388.11,-11.16,-13.59,-80.10,354.06,-4.93,-34.68,-61.11,-0.49,318.90,88.14,-87.73,1.53,1292.91,0.60,-4.37,-6.20,-2.60,2.81,6.38,10.25,7.01,3.50,-6.89,-6.54,-2.02,-53.96,17.74,-3.62,3.27,3.38,-0.82,90.56,21.40,-27.71,4.26,4.17,-14.02
EVPCurrent_sq,,,29.70,-0.79,-57.26,149.54,5.18,-34.20,-48.59,350.20,-83.56,154.67,-31.18,158.24,-46.79,21.43,-41.23,154.49,-11.73,-1.83,-26.53,38.31,1.80,19.61,-21.41,10.03,6.03,-1.95,-1.80,-4.63,4.60,-1.09,7.91,-16.17,4.23,-8.70,0.94,-22.24,-6.55,0.59,-5.04,7.23,18.21,-8.70,2.47,-4.34,8.38,-4.16,-0.79,9.65,20.80
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,-103.05,-49.34,,,,69.51,49.35,33.56,-11.32,-280.48,-600.27,-336.59,-789.70,7851.46,385.15,159.94,127.46,-95.47,-24.60,-181.55,-217.19,-130.45,-165.21,11634.99,-105.59,89.96,65.65,-100.77,-119.40,-1284.94,-76.55,-568.37,-197.63,154.36,137.73,113.95,120.82,1079.28,64446.04,783.43,-710.28,-139.43,-100.73,-153.47,15.22,6.96,-62.65,-1269.18,-1702.25,3.00,14.27
EVEBITCurrent_sy,1163.38,-84.88,,,,56.69,220.95,139.57,3.27,94.40,-0.02,89.02,-41.25,-24.35,-42.29,-52.76,-45.22,-39.53,-36.74,-73.47,2.26,-27.84,36.52,236.95,16.53,6.00,67.66,-2.82,100.26,50.07,0.85,35.39,4.41,4.72,-1.28,-8.88,-18.85,-22.87,-37.22,-0.12,-8.21,-15.52,-12.29,-13.65,-19.16,-7.01,50.34,7.99,41.31,37.25,26.38
EVEBITCurrent_qq,,,28.56,2.63,88.28,-273.81,-18.69,-27.72,80.35,-1177.64,-118.44,20.37,59.97,11231.33,-91.96,-83.26,-81.66,1738.00,33.62,-118.10,73.64,-377.56,-186.19,3302.09,-100.47,76.68,-879.13,27.97,-33.37,-47.23,-24.82,-172.70,40.61,126.89,-13.37,0.81,-11.35,1423.19,4641.57,-98.62,-161.24,1.59,12.23,-1.07,2.89,-8.01,-53.43,-750.79,-27.82,94.19,-35.61
EVEBITCurrent_sq,,,-46.49,3.57,229.37,-14.17,9.61,-22.69,41.98,61.58,-43.63,46.16,-55.87,108.04,-57.00,19.65,-48.83,129.66,-55.01,-49.82,97.23,62.06,-14.89,23.86,-31.79,47.42,34.62,-28.21,40.56,10.47,-9.53,-3.62,8.40,10.80,-14.72,-11.03,-3.47,5.30,-30.58,41.53,-11.28,-3.09,-27.92,39.33,-16.93,11.47,16.53,0.09,8.70,8.27,7.30
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,-151.78,-97.11,,,,76.25,56.83,29.47,13.20,798.89,301.87,257.18,208.15,-77.54,-43.70,-67.39,-52.77,-19.77,-7.30,101.02,623.13,-67.76,43.67,44.79,-63.37,-341.73,-433.55,-229.37,-2256.56,1562.48,211.18,195.82,142.74,-92.64,-85.54,-69.97,-79.38,126.70,170.68,19.58,120.37,-5.53,0.21,208.83,82.01,56.08,30.64,-33.02,-30.24,3.29,-16.44
EVEBITDACurrent_sy,144.21,-28.01,,,,51.83,237.65,1010.05,101.71,92.58,5.22,71.57,-45.86,-27.96,-44.69,-57.48,101.63,-20.02,29.55,-38.76,-43.05,-32.29,47.56,50.18,0.73,23.94,-12.97,88.48,73.50,-4.60,29.78,-7.95,18.63,0.44,-24.73,-34.70,-42.31,-5.07,-8.05,5.97,7.92,-9.18,-8.04,24.07,-3.59,-1.83,8.24,-29.74,-3.39,19.18,13.38
EVEBITDACurrent_qq,,,33.59,9.46,83.89,-145.12,-20.72,-47.91,80.17,2073.72,-65.13,15.17,-86.36,309.85,-12.58,-33.30,-80.24,596.17,1.02,44.62,-28.90,-68.96,350.17,45.75,-82.01,-304.83,-521.17,43.47,-199.81,238.91,-52.78,-51.28,33.73,-76.07,-7.24,1.18,-8.17,163.03,10.76,-55.30,69.22,12.76,17.49,37.76,-0.27,-3.30,-1.66,-29.37,3.85,43.18,-20.44
EVEBITDACurrent_sq,,,-56.68,-67.94,451.50,98.22,-3.65,5.39,0.21,89.24,-47.36,71.85,-68.38,151.82,-59.58,32.12,49.95,-0.11,-34.53,-37.54,39.44,18.76,42.67,-36.43,-6.47,46.12,0.18,37.66,-13.90,-19.66,36.29,-2.36,10.96,-31.98,2.14,-15.30,-1.96,11.92,-1.06,-2.39,-0.16,-5.81,0.19,31.69,-22.41,-4.10,10.47,-14.52,6.68,18.31,5.09
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,6.11,-68.79,,,,12.97,-53.08,-1.62,,57.92,53.00,49.51,,28.09,57.96,101.76,,63.32,70.69,-1503.45,,,34.07,29.73,,,-2476.51,-2871.33,,,-112.11,112.29,110.84,119.20,122.85,-360.54,-421.95,-251.74,-239.01,99.96,73.92,80.30,99.85,-323200.00,-360.21,-659.42,-88150.00,2.32,1.02,232.54,238.78
ROE_sy,-80.35,98.89,,,,22.85,134.48,848.12,,16.55,112.34,0.07,,-29.64,19.06,44.27,,15.83,-15.15,-30.32,,,8.68,35.78,,,-47.91,-43.92,,,47.06,70.57,80.74,46.85,-15.03,-4.39,-4.58,0.51,44.08,-24.43,-33.01,-11.63,-23.76,13.13,4.82,-24.02,-13.51,-33.52,2.93,22.09,9.16
ROE_qq,,,44.80,-25.93,,,2.91,16.40,,,-8.46,10.20,,,36.60,103.76,,,49.33,-80.09,,,,-91.95,,,,-121.36,11.96,-3.88,-4.77,112.82,-22.32,83.97,24.73,-246.16,4.01,13.29,-14.27,99.96,-68000.00,34.51,99.10,-80725.00,3.06,-8.07,-4.22,10.54,1.77,244.71,9.13
ROE_sq,,,-225.00,105.97,,,-64.92,64.18,,,-36.09,-22.63,,,8.15,-6.25,,,-20.78,-23.01,,,,-3.81,,,,3.57,1.89,12.67,23.69,20.12,7.97,-8.46,-28.43,35.16,7.76,-3.57,2.59,-29.11,-4.47,27.19,-11.49,5.19,-11.48,-7.81,0.76,-19.14,37.05,9.35,-9.91
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,-7.22,-26.77,,,,-150.33,-102.48,-19.40,,58.89,62.53,52.89,,42.32,49.48,101.82,,55.48,61.47,-1923.08,,,44.27,51.05,,,-991.78,-1065.52,,,-26.35,114.79,112.83,125.07,131.78,-324.00,-374.68,-232.58,-222.19,100.00,63.36,69.14,99.74,,-310.97,-506.48,-64900.00,21.06,19.15,313.28,337.23
ROA_sy,-41.82,6.15,,,,71.03,157.51,512.50,,-11.92,13.23,1.53,,-35.47,37.23,-20.85,,31.79,14.64,2.86,,,-9.31,112.65,,,-40.83,-62.55,,,39.85,13.95,73.46,40.03,-16.09,13.10,7.10,-23.05,19.18,1.65,-16.58,-20.95,-20.84,,-36.39,-14.15,19.67,2.20,54.33,8.14,-24.23
ROA_qq,,,-17.80,-43.52,,,4.72,15.37,,,13.16,-6.39,,,23.94,103.82,,,34.17,-80.92,,,,-58.90,,,,-69.64,11.24,12.25,4.37,119.86,-23.00,71.43,21.21,-240.00,5.58,17.26,-11.71,100.00,,30.32,99.07,-69700.00,8.74,-2.83,0.76,15.23,6.53,371.26,10.38
ROA_sq,,,-205.79,112.98,,,-64.43,38.27,,,-54.27,23.99,,,-2.76,-28.49,,,-15.41,-35.84,,,,50.44,,,,-4.80,-18.22,71.09,4.99,-22.43,24.49,38.11,-37.09,4.56,17.89,-0.77,-2.57,-10.82,,-5.96,-2.44,-16.67,-16.80,26.92,35.98,-28.83,25.64,-11.06,-4.73
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,-48.57,37.70,,,,-23.15,-7.45,11.61,9.25,76.01,88.56,82.51,91.73,100.94,125.79,209.85,371.61,1480.00,-0.88,-168.70,-193.60,-179.11,-261.95,102.71,53.17,-876.80,-849.73,-22163.64,-519.22,9.17,50.23,86.57,66.44,315.96,441.97,1031.60,646.23,-91.82,-99.86,-95.55,-108.15,-229.59,-7575.00,-326.67,-20.00,-116.93,-45.82,87.91,90.38,1.63,21.33
OPM_sy,-79.36,130.62,,,,50.59,160.45,159.54,152.13,70.76,25.23,61.69,110.76,-31.76,39.37,58.23,-18.92,5.94,7.36,-43.74,-25.19,-2.71,41.15,66.32,38.12,15.24,-17.14,-43.22,-37.87,-18.06,-12.58,12.42,37.69,-18.11,17.32,42.78,60.20,21.88,30.04,29.17,-0.52,12.23,-31.49,-35.10,-19.46,-14.41,19.25,-7.46,-5.77,-21.15,-24.66
OPM_qq,,,-0.06,3.23,9.60,-40.69,12.70,20.39,7.18,62.80,58.38,-21.72,56.13,104.24,1040.00,418.42,8.46,-75.35,-28.48,-459.29,-47.78,79.17,-46.40,106.01,-2654.55,-334.52,-42.34,-39.64,28.31,36.26,22.00,62.31,-79.14,510.10,23.51,2.67,5.04,-93.86,-97.96,3275.00,-292.59,2.31,-17.72,-2.34,-1.96,-76.60,20.87,91.51,18.92,-1706.67,36.72
OPM_sq,,,-218.99,-9.60,124.23,376.60,-52.23,7.94,2.60,222.78,-64.97,39.37,33.73,4.50,-28.45,58.23,-31.47,36.54,-27.49,-17.08,-8.87,77.56,5.20,-2.30,-24.32,48.15,-24.35,-33.05,-17.20,95.38,-19.29,-13.90,1.42,16.20,15.62,4.78,13.79,-11.60,23.37,4.08,-12.37,-0.26,-24.69,-1.40,8.76,5.98,4.93,-23.48,10.74,-11.32,0.26
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
