,2006/Q4,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
WKCurrent_yy,,,,,,-13.36,-26.03,-34.03,,-35.43,-23.37,-19.26,,-10.17,-17.02,-7.69,,-18.75,-11.04,-5.84,,-11.20,-20.00,-22.23,-21.71,5.00,4.78,-12.27,-16.94,-39.39,-26.99,8.02,21.23,46.43,24.51,0.93,-6.12,7.51,13.24,7.54,29.98,17.52,13.95,26.93
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,5.46,-5.80,-100.00,,-9.96,-15.99,-100.00,,6.86,-11.49,-100.00,,-1.29,-1.54,-100.00,,8.07,4.22,3.67,-23.95,-2.64,1.31,4.37,1.99,-2.85,-15.17,-1.18,-25.58,17.04,25.50,10.90,-10.11,-0.48,1.73,3.16,2.94,4.82,-3.39,24.69,-6.93,1.63,7.62
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,,,,,15.31,35.01,51.58,,54.83,30.59,23.86,,11.36,20.45,8.32,,23.10,12.44,6.22,,12.59,25.02,28.55,27.70,-4.76,-4.56,14.02,20.43,65.00,36.94,-7.43,-17.52,-31.73,-19.67,-0.94,6.51,-6.93,-11.71,-7.01,-23.03,-14.96,-12.27,-21.23
CWKCurrent_sy,,,,,,30.66,-0.27,27.25,,15.75,48.21,-3.36,,-0.84,-22.96,24.96,,16.99,53.32,14.99,,15.59,-0.68,-2.10,54.98,2.17,10.06,9.13,10.88,21.16,7.60,15.79,15.21,-11.83,-3.39,-4.85,0.32,-3.26,14.67,7.77,0.89,-1.82,-5.09,-6.12
CWKCurrent_qq,,,-5.17,6.08,,,11.03,19.10,,,-6.35,12.96,,,1.30,1.58,,,-7.47,-4.04,-3.57,31.50,2.74,-1.33,-4.20,-1.93,2.95,17.88,1.19,34.36,-14.55,-20.31,-9.84,11.22,0.54,-1.74,-3.06,-2.81,-4.62,3.48,-19.77,7.39,-1.61,-7.08
CWKCurrent_sq,,,-3.51,0.84,,,-26.35,28.67,,,-5.70,-16.10,,,-26.74,36.10,,,-3.99,2.07,-37.90,89.93,-17.50,0.61,-1.70,25.21,-11.13,-0.24,-0.12,36.82,-21.08,7.35,-0.61,4.70,-13.52,5.73,4.79,0.97,2.51,-0.63,-1.91,-1.74,-0.91,-1.71
WKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_yy,,,,,,-32.37,-168.15,-144.00,,-4.85,15.67,0.06,,2.86,-9.60,5.10,,-11.88,-0.80,1.38,,12.41,6.46,-0.11,-1.98,-2.18,-2.39,2.24,-0.75,3.89,8.62,19.21,23.39,21.32,20.00,4.93,2.11,1.63,3.13,7.22,19.83,14.56,11.82,9.46
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,43.24,-5.27,100.00,,-14.98,4.21,100.00,,7.52,-13.52,100.00,,-4.34,1.70,100.00,,5.99,3.82,4.56,-1.51,-0.39,-2.93,2.77,-1.71,-0.59,1.72,-0.20,2.97,4.36,13.11,4.99,0.35,2.76,-3.26,2.17,-0.14,4.24,1.11,15.47,-6.72,1.16,-1.54
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,380.99,,,,112.51,58.30,55.25,76.14,-10.26,26.63,40.21,45.00,105.45,8.50,-15.44,-23.52,-40.19,-31.51,-23.06,-24.16,-26.07,-22.60,-33.30,-31.15,52.68,70.76,104.23,104.86,-41.58,-48.67,-52.79,-15.99,58.84,73.21,82.56,-38.30,-42.18,-45.83,-47.11,-1.47,2.26,35.74,57.19
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,40.72,5.65,-9.17,57.37,4.82,3.62,3.05,-19.82,47.91,14.72,6.57,13.61,-21.89,-10.59,-3.60,-11.15,-10.55,0.43,-4.98,-13.39,-6.35,-13.45,-1.91,92.05,4.74,3.51,-1.61,-45.23,-7.98,-4.79,75.07,3.56,0.35,0.35,-40.83,-2.96,-5.98,-2.03,10.24,0.71,24.80,13.46
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,-79.21,,,,-52.94,-36.82,-35.57,-43.23,11.40,-21.02,-28.70,-31.03,-51.30,-7.84,18.31,30.78,67.14,45.97,29.95,31.83,35.26,29.24,49.95,45.27,-34.52,-41.46,-51.04,-51.18,71.23,94.86,111.82,18.98,-37.04,-42.27,-45.23,62.08,72.95,84.62,89.09,1.50,-2.21,-26.32,-36.37
CPCurrent_sy,,-49.51,,,,50.76,0.27,85.65,-8.90,23.17,62.33,-17.93,0.06,-17.60,-34.80,-6.30,22.05,-12.30,0.49,-8.81,-14.52,35.76,-2.25,9.22,9.08,1.39,15.18,-4.18,48.20,10.16,63.26,38.50,15.89,16.47,-18.61,-19.19,-34.63,-33.09,-18.91,0.39,-0.90,-14.61,-17.05,-1.28
CPCurrent_qq,,,-28.94,-5.35,10.12,-36.45,-4.61,-3.48,-2.98,24.71,-32.37,-12.86,-6.16,-11.94,27.98,11.87,3.74,12.54,11.77,-0.41,5.24,15.46,6.80,15.55,1.95,-47.95,-4.52,-3.38,1.68,82.53,8.67,5.03,-42.89,-3.41,-0.36,-0.36,69.02,3.07,6.37,2.05,-9.28,-0.70,-19.85,-11.88
CPCurrent_sq,,,27.32,-10.05,23.59,6.52,-15.32,66.54,-39.36,44.02,11.61,-15.81,-26.06,18.60,-11.69,20.99,-3.68,-14.78,1.19,9.78,-9.71,35.35,-27.14,22.66,-9.82,25.80,-17.23,2.04,39.47,-6.49,22.67,-13.43,16.70,-6.01,-14.27,-14.06,-5.59,-3.81,3.90,6.40,-6.80,-17.12,0.93,26.62
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,171.69,,,,-643.10,-11153.24,-323.59,-265.09,-20.74,53.18,64.54,68.98,75.26,12.78,57.75,-51.01,-87.35,47.85,-94.74,96.25,42.01,-77.83,47.22,-845.41,128.76,116.80,33.17,-3.19,-1001.14,-797.99,127.61,191.57,169.66,163.64,-68.56,-141.33,-89.53,-60.38,554.62,559.85,375.68,60.85,277.61
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,-93.12,-3396.16,-8.63,-120.43,-40.05,-26.32,6.37,27.10,45.70,4.34,18.09,41.85,-91.45,53.67,-192.79,27.86,46.71,-73.01,94.36,-1015.03,-63.42,48.65,-1.05,133.92,-4.56,-304.30,-56.03,-196.20,26.07,108.08,417.41,125.32,-32.46,-96.01,-780.19,157.08,155.57,-34.03,377.82,-40.95,-13.58,54.87
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.79,,855.39,152.41,-84.71,,-78.98,-37.83,-73.52
CZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.73,,-14.59,-26.88,-21.44,,4.67,-17.28,-28.39
CZCurrent_qq,,,1351.58,,,,,,,,,,,,,,,,,,,,,,,,4.75,,,,,,-80.67,-55.62,48.07,2402.54,,,-60.88,51.57,-79.07,69.35,15.71,-35.43
CZCurrent_sq,,,164.55,,,,,,,,,,,,,,,,,,,,,,,,13.89,,,,,,-5.09,-13.20,10.31,-5.08,,,-5.56,1.97,-4.31,13.58,-25.36,-11.72
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,250.15,,,,-125.62,-119.80,-0.14,-34.01,-1089.43,-2317.91,-65.39,2.74,83.72,75.64,61.65,51.62,172.78,178.82,146.92,141.47,-331.09,-246.36,-185.53,-199.54,179.22,175.01,-22.71,-33.51,-339.93,-333.01,-187.63,-36.40,113.16,114.89,170.61,142.45,236.77,182.61,-66.97,-19.07,-171.53,-153.41,-16.61
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,-34.55,-272.31,5.56,75.94,49.43,-771.52,-26.38,-113.54,-2.80,40.39,25.68,64.26,-53.86,6.15,6.24,153.76,66.63,-44.13,-17.13,-399.57,-5.53,67.35,3.55,338.40,-0.07,-153.41,-4.94,-328.42,2.96,34.07,50.23,141.34,9.79,212.62,-70.08,227.94,-7.87,-63.47,-26.68,-389.86,31.21,157.04
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-70.31,-64.61,202.76,23.54,,,19.95
CZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.36,9.05,0.92,8.34,,,-35.48
CZOCurrent_qq,,,52.78,,,,,,,,,,,,,,,,-39.98,78.98,20.67,,,,,,0.07,,,,,,,,-8.94,-68.01,234.25,-69.51,8.54,173.68,36.39,,,
CZOCurrent_sq,,,-23.51,,,,,,,,,,,,,,,,4.74,39.61,25.56,,,,,,-11.27,,,,,,,,-17.95,-3.99,-12.72,2.76,26.65,-11.15,-6.31,,,
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,1635.71,,,,39.51,116.57,99.86,,-0.54,-18.39,-10.43,,-9.92,-4.97,-12.15,,0.90,-3.69,-1.07,1889.70,-9.83,-7.00,-5.96,-9.28,-10.67,-9.03,-12.42,-0.89,-6.42,-10.05,-21.51,-25.02,-21.11,-16.75,0.62,-2.59,-1.00,-8.65,-12.92,-30.09,-31.41,-26.09,-23.34
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,-26.42,4.53,-92.51,2321.57,14.22,-3.53,-96.25,2308.48,-6.28,5.87,-95.82,2069.48,-1.13,-2.13,-95.24,2088.95,-5.62,0.53,-4.19,-0.80,-2.66,1.66,-7.59,-2.32,-0.87,-2.14,4.59,-7.77,-4.72,-14.60,-0.09,-2.96,0.55,3.21,-3.28,-1.37,-7.22,-1.61,-22.35,-3.24,-0.02,2.05
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,260.86,,,,-34.35,36.81,28.73,-43.23,10.83,-35.55,-36.12,-31.03,-56.16,-12.41,3.90,30.78,68.69,40.61,28.58,2523.28,21.98,20.17,41.01,31.76,-41.49,-46.73,-57.12,-51.62,60.18,75.24,66.24,-10.75,-50.34,-51.94,-44.88,57.87,71.24,68.65,64.66,-29.05,-32.93,-45.55,-51.23
EVPCurrent_sy,,-21.08,,,,23.43,51.39,50.28,15.54,30.77,-0.97,15.05,10.04,1.46,-8.75,-0.99,-19.85,-21.30,-32.29,-38.76,50.82,8.99,17.52,41.20,93.05,-5.33,19.84,-15.82,-9.43,-2.05,3.32,-18.58,-3.26,-4.51,-2.93,12.71,-9.03,-14.58,-35.85,-13.38,-15.36,-22.29,34.03,19.84
EVPCurrent_qq,,,-47.71,-1.06,-91.75,1438.66,8.97,-6.90,-96.36,2904.18,-36.64,-7.72,-96.07,1809.76,26.58,9.46,-95.06,2363.34,5.51,0.10,0.83,14.54,3.94,17.46,-5.78,-49.14,-5.36,-5.46,6.30,68.40,3.54,-10.31,-42.93,-6.30,0.20,2.85,63.47,1.64,-1.31,0.42,-29.56,-3.92,-19.88,-10.05
EVPCurrent_sq,,,-2.62,-1.52,-49.67,155.73,19.44,-2.23,-61.31,189.44,-9.56,13.58,-62.99,166.87,-18.66,23.23,-70.04,162.04,-30.02,11.45,-26.21,89.36,-24.54,33.90,0.89,-7.14,-4.48,-5.95,8.56,0.43,0.76,-25.89,28.99,-0.87,2.43,-13.94,4.10,-6.91,-23.08,16.21,1.72,-14.53,32.65,3.91
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,1256.00,,,,-644.43,-1193.60,-99.57,25.38,91.64,96.62,45.84,-2.82,-453.41,-290.12,-129.06,-106.69,238.64,222.20,310.85,4897.91,-139.02,-163.54,-209.95,-191.13,212.77,221.29,28.61,25.77,-139.00,-138.60,72.72,45.02,699.47,659.05,242.50,329.44,-70.61,-67.68,163.64,-13.63,-195.88,-238.39,-8.04
EVEBITCurrent_sy,,4.06,,,,-26.03,59.95,151.33,-27.93,-89.77,-165.79,4.33,-8.52,1912.96,263.96,-6.87,59.12,-28.30,-18.51,23.03,69.35,29.51,-51.89,-24.96,18.44,9.85,204.12,-103.93,29.03,-7.58,40.76,4008.11,11.19,-21.51,-43.59,-20.86,4.43,45.80,52.02,11.71,-11.32,-23.39,-31.66,-17.79
EVEBITCurrent_qq,,,12.42,-160.67,92.07,-9963.81,-125.82,88.93,97.03,-1027.94,8.84,-77.60,94.37,-5970.84,35.74,-4.28,94.92,4172.01,-43.36,79.93,15.61,-133.12,7.77,-211.36,4.17,140.98,-0.80,-283.26,0.36,78.47,1.82,-29.53,-100.79,334.76,-8.44,-66.98,223.28,-69.93,0.70,169.29,5.91,-133.38,-45.34,278.94
EVEBITCurrent_sq,,,-31.04,-32.71,4.16,53.05,49.11,5.73,-70.13,-78.28,-1059.21,267.66,-73.81,377.94,-21.87,-4.77,-55.26,115.36,-11.21,43.78,-38.41,64.70,-67.01,124.26,-2.79,52.75,-8.68,-102.90,3288.75,9.42,39.09,-19.47,-9.28,-22.76,-0.05,12.98,19.71,7.84,4.22,-16.97,-4.97,-6.83,-7.03,-0.12
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,1256.00,,,,-644.43,-1193.60,-99.57,25.38,91.64,96.62,45.84,-2.82,-453.41,-290.12,-129.06,-106.69,238.64,222.20,310.85,4897.91,-139.02,-163.54,-209.95,-191.13,212.77,221.29,28.61,25.77,-139.00,-138.60,72.72,45.02,699.47,659.05,242.50,329.44,-76.51,-75.85,25.24,-56.99,-279.27,-452.99,5.35
EVEBITDACurrent_sy,,16.29,,,,-25.54,61.67,176.83,-12.35,-87.62,-165.48,-4.01,-19.98,1532.27,259.54,-5.17,65.58,-27.49,-20.86,11.11,114.60,31.25,13.64,-14.86,-5.84,7.29,25.00,-104.00,47.29,-24.44,51.12,2868.39,-14.90,-2.71,-42.73,7.35,19.51,41.67,33.92,11.14,-10.85,-20.42,-22.68,-17.36
EVEBITDACurrent_qq,,,12.42,-160.67,92.07,-9963.81,-125.82,88.93,97.03,-1027.94,8.84,-77.60,94.37,-5970.84,35.74,-4.28,94.92,4172.01,-43.36,79.93,15.61,-133.12,7.77,-211.36,4.17,140.98,-0.80,-283.26,0.36,78.47,1.82,-29.53,-100.79,334.76,-8.44,-66.98,223.28,-75.97,-5.86,71.23,11.01,-200.18,-85.37,151.11
EVEBITDACurrent_sq,,,-30.50,-34.40,-4.06,70.24,50.89,12.33,-69.63,-75.95,-898.12,264.66,-74.68,390.51,-21.99,-2.13,-55.78,114.80,-14.86,37.40,-14.60,31.38,-26.28,2.95,-5.55,49.68,-14.11,-103.29,3582.12,-23.22,71.80,-39.73,7.04,-12.23,1.12,12.98,19.17,4.05,-4.41,-6.24,-4.41,-7.12,-7.12,0.21
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,,,,,-726.70,-15008.33,-541.89,,-87.00,38.90,56.09,,72.45,-5.12,54.23,,-130.46,41.38,-106.85,,34.68,-122.27,32.16,-1104.10,127.35,116.03,23.80,-24.23,-1588.52,-1055.83,125.52,175.56,147.58,151.11,-68.81,-144.02,-90.28,-64.99,508.70,453.71,305.36,41.05,197.68
ROE_sy,,,,,,-82.44,-83.33,-89.60,,-211.33,-61.67,221.15,,230.27,689.66,24.75,,10.67,-35.37,-54.40,,-30.81,-61.37,-82.98,-44.64,-17.41,21.28,-123.71,-66.31,-22.44,-9.86,2756.52,590.43,170.10,190.13,191.33,89.83,-24.37,16.08,-34.21,34.01,5.32,16.71,57.56
ROE_qq,,,-93.46,-3591.67,,,-55.57,-50.34,,,49.17,-8.05,,,-93.92,52.96,,,50.68,-66.00,94.54,-1362.30,-67.83,49.33,3.16,133.22,-1.64,-340.83,-57.87,-298.03,36.84,106.43,367.46,150.62,-32.15,-96.08,-759.78,155.35,144.35,-31.79,283.39,-36.56,-14.98,43.96
ROE_sq,,,-33.94,10.21,,,-37.29,-31.28,,,121.59,475.86,,,30.86,-9.02,,,-23.58,-35.81,-11.58,59.52,-57.34,-71.72,187.63,137.99,-37.35,-105.53,508.70,447.87,-27.18,62.93,6.22,114.33,-21.78,63.60,-30.79,-14.61,20.06,-7.28,40.99,-32.89,33.03,25.17
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,,,,,-599.35,-10610.00,-326.59,,-36.67,41.86,57.72,,70.41,,51.93,,-108.36,43.04,-110.80,,37.65,-99.43,42.64,-908.82,131.44,117.44,25.65,-15.74,-1082.68,-858.68,129.46,205.29,179.49,175.16,-64.47,-145.45,-89.31,-60.87,559.26,549.47,377.36,65.19,276.97
ROA_sy,,,,,,-79.87,-82.91,-85.71,,-181.56,-54.50,139.53,,302.74,,66.50,,-34.80,-70.99,-69.39,,-40.93,-30.58,-90.95,-41.49,11.40,34.97,-231.58,-68.48,13.39,15.03,1528.00,415.38,83.33,133.78,128.01,132.84,-15.34,16.76,-27.64,39.58,11.41,32.67,34.13
ROA_qq,,,-93.51,-3410.00,,,-36.67,-34.35,,,41.86,2.29,,,-96.46,53.03,,,46.30,-73.85,94.38,-1088.24,-71.78,50.00,1.15,137.03,-4.72,-313.22,-53.88,-214.36,26.44,108.28,450.00,137.32,-30.44,-96.09,-803.70,155.79,154.72,-34.07,379.78,-40.75,-11.86,50.45
ROA_sq,,,-30.54,-2.51,,,-41.06,-18.48,,,132.88,329.17,,,19.93,-3.38,,,-46.63,1.94,34.29,-19.15,-37.28,-86.71,768.42,53.94,-24.02,-112.95,308.00,453.85,-22.92,60.81,-24.93,97.01,-1.70,56.84,-23.34,-28.37,35.57,-2.81,47.88,-42.82,61.45,-1.74
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,131.22,,,,-112.06,-112.51,35.50,23.92,-1225.66,-1808.82,-17.96,32.91,92.08,77.54,54.64,36.76,221.65,215.04,160.99,154.72,-412.59,-289.11,-228.21,-244.53,151.90,143.93,39.94,34.87,-510.58,-553.93,-509.39,-62.47,108.28,108.59,138.68,168.77,483.02,422.07,-37.56,-17.83,-169.94,-139.33,-46.94
OPM_sy,,72.18,,,,-62.01,-42.42,-57.39,-52.14,-59.96,-90.89,-37.17,-8.03,301.54,1020.05,180.31,27.72,-24.35,-18.38,-44.70,-57.60,-33.00,-13.94,-19.05,11.57,-18.00,-40.06,-68.90,7.85,45.02,53.44,388.15,9.20,-13.23,-2.98,-23.02,24.58,79.03,48.59,3.56,62.87,-31.84,23.21,18.28
OPM_qq,,,-53.49,-263.12,-3.97,84.72,51.73,-740.77,-22.64,-166.34,30.49,48.04,30.25,68.54,-96.96,-4.95,2.76,160.52,86.26,-44.36,-12.75,-445.68,-12.68,62.27,1.64,224.12,-4.62,-151.58,-6.65,-682.52,-5.45,30.76,71.57,139.88,9.43,211.72,-49.45,238.07,-2.01,-62.71,-33.48,-387.75,44.89,150.29
OPM_sq,,,-12.07,1.07,-1.61,-56.56,33.29,-25.21,10.51,-63.65,-69.67,415.74,61.76,58.69,-15.39,29.07,-26.30,-6.00,-8.72,-12.55,-43.49,48.54,17.25,-17.74,-22.12,9.16,-14.30,-57.32,170.11,46.78,-9.32,35.78,-39.58,16.63,1.39,7.74,-2.21,67.60,-15.85,-24.91,53.79,-29.86,52.12,-27.92
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,114.90,,,,-355.58,-7055.10,-172.83,-107.27,-34.55,63.03,74.71,78.61,87.96,19.60,50.03,-97.48,-213.15,23.86,-153.08,95.04,21.53,-129.73,20.87,-1270.89,118.84,109.84,67.28,49.62,-1641.99,-1459.66,158.53,208.98,143.86,136.73,-82.78,-166.98,-81.89,-26.84,1137.50,566.69,365.15,18.47,140.17
ROS_sy,,-15.60,,,,-63.66,-42.08,-72.37,-73.34,-142.30,-45.37,64.46,52.29,633.26,108.13,27.42,55.63,-42.06,-24.00,-15.82,-54.35,-37.59,-69.60,-95.64,-50.32,-9.55,33.57,236.21,40.31,-23.66,30.83,315.38,4.42,166.07,92.12,80.25,176.37,7.95,-13.09,-14.11,-0.38,-26.88,61.18,55.62
ROS_qq,,,-95.09,-3207.48,-19.59,-40.07,-33.61,-21.90,9.15,9.07,63.29,16.61,23.16,48.80,-145.08,48.17,-203.68,18.82,40.41,-72.26,94.05,-1185.65,-74.47,40.67,-3.01,117.67,-8.89,-297.32,-58.62,-440.68,19.66,108.49,195.36,117.60,-32.72,-96.02,-1249.04,158.83,171.83,-32.65,333.33,-41.37,-30.76,36.53
ROS_sq,,,-9.36,0.28,-1.03,-59.60,44.45,-52.16,-4.51,-164.10,286.57,44.02,-11.57,124.44,-27.18,-11.83,8.01,-16.44,-4.49,-2.35,-41.43,14.25,-53.48,-85.99,567.24,108.01,-31.30,-64.74,178.46,13.17,17.74,11.96,-30.00,188.36,-14.98,5.04,7.33,12.64,-31.56,3.81,24.48,-17.33,50.87,0.23
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,77.32,,,,103.77,112.06,124.26,127.08,382.46,107.47,54.65,35.70,-6.64,27.54,43.07,37.83,49.27,33.72,35.89,36.95,10.50,2.24,-23.37,-30.38,12.81,12.39,40.09,46.85,-5.91,11.24,1.39,24.96,-2.11,-13.12,-8.98,-64.91,14.43,4.42,9.82,90.57,-141.06,-106.16,-92.53
RS_sy,,0.20,,,,-27.61,-60.61,-56.53,-51.29,-22.17,91.49,274.63,80.58,18.18,-5.35,-40.35,-18.75,4.27,7.49,-1.81,-9.91,-18.90,-43.70,-17.22,-26.69,-21.68,-8.16,-30.01,32.26,54.72,93.75,73.67,12.87,4.75,9.73,-2.87,-11.85,10.81,18.43,20.14,51.33,-15.99,-8.37,-6.44
RS_qq,,,37.60,34.26,-11.33,108.25,99.56,32.31,24.25,47.06,-14.18,-1.38,9.02,1.18,17.23,10.63,5.03,9.58,5.02,12.42,5.86,-11.59,-2.83,-15.74,-3.82,43.25,-3.19,5.03,0.82,-8.22,14.46,-4.28,24.26,-28.10,1.59,0.28,-52.09,134.46,-7.30,5.46,-16.86,-150.52,86.09,227.83
RS_sq,,,-17.67,-17.16,31.77,-19.46,-55.20,-8.57,47.64,28.70,10.23,78.87,-28.84,-15.77,-11.72,12.73,-3.08,8.10,-8.99,2.98,-11.07,-2.70,-36.82,51.41,-21.25,3.96,-25.91,15.37,48.83,21.61,-7.21,3.41,-3.27,12.86,-2.80,-8.47,-12.21,41.86,3.89,-7.15,10.58,-21.25,13.32,-5.20
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
