,2006/Q4,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
WKCurrent_yy,,29.91,,,,2.89,-1.63,-2.86,,-2.65,-3.13,-13.19,,4.98,9.00,27.49,,17.94,15.51,7.19,,-7.97,-6.48,-4.62,-4.31,0.37,-1.65,1.17,-0.14,-4.02,-6.37,-8.00,-8.21,-32.80,-31.96,-50.13,-46.48,-64.93,-63.05,-81.25,-83.67,-183.74,-182.99,-509.74
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,2.98,0.99,-100.00,,-1.55,-0.27,-100.00,,-2.04,-10.63,-100.00,,1.71,4.53,-100.00,,-0.38,-3.00,-0.54,-4.25,1.23,-1.07,-0.21,0.43,-0.80,1.76,-1.50,-3.47,-3.23,-0.01,-1.73,-29.33,-2.01,-26.71,5.46,-53.69,3.23,-62.82,-8.15,-337.52,-2.32,-83.56
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,-23.08,,,,-3.33,,,,3.45,3.45,17.24,,-6.67,-6.67,-20.59,,-14.29,-14.29,-7.41,,8.33,8.33,4.00,4.00,,,,,3.85,7.69,7.69,7.69,48.15,46.43,100.00,89.29,185.00,170.73,432.14,513.21,,,
CWKCurrent_sy,,-9.68,,,,-17.80,,,,7.99,0.76,-0.35,,49.50,13.60,-1.63,,2.69,34.27,30.39,,4.58,-3.82,-6.48,16.97,,,,,-10.11,-11.02,-10.84,-8.49,-3.21,-2.11,-0.49,-1.64,-9.47,-16.12,-12.34,-5.16,,,
CWKCurrent_qq,,,-3.33,,,,,,,,,13.33,,,,-3.57,,,,4.17,,4.00,,,,,,,,3.85,3.70,,,42.86,2.50,36.59,-5.36,115.09,-2.63,168.47,9.06,,,
CWKCurrent_sq,,,-9.87,,,,,,,,,12.36,,,,-2.70,,,,-5.51,,46.05,,,,,,,,1.81,-2.84,,,7.69,-1.74,0.18,-7.21,-0.90,-8.95,4.69,0.39,,,
WKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_yy,,106.12,,,,-41.95,-42.71,-33.34,,-26.70,-40.12,-44.71,,-123.81,-150.84,-154.92,,-192.25,-3.99,-80.12,,-109.43,-247.07,-107.98,-69.41,-23.11,-24.53,-18.65,-17.89,-22.61,-23.12,-16.31,-14.00,-33.83,-27.24,-36.82,15.89,44.86,47.14,41.39,15.71,-69.85,-77.31,-27.78
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,2.63,-10.13,-100.00,,1.29,4.57,-100.00,,-17.25,-3.45,-100.00,,-76.66,-4.29,100.00,,37.14,-80.64,-28.02,-44.07,-4.17,-8.25,-4.27,-4.70,-5.37,-3.14,-3.60,-8.89,-5.80,2.56,-1.55,-27.83,-0.59,-4.78,37.57,16.20,3.57,-16.18,10.23,-68.88,-0.66,16.27
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,-51.02,,,,70.83,76.09,48.08,,36.59,66.67,81.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sy,,-49.03,,,,-16.38,5.38,39.73,,-5.99,-18.81,6.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_qq,,,-4.17,13.04,,,-1.22,-4.94,,,20.54,3.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sq,,,10.69,-6.89,,,39.49,23.45,,,20.46,61.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,86.99,,,,-3.16,-3.28,1.52,10.59,10.09,7.89,15.93,12.60,16.35,33.22,21.82,20.55,23.92,6.36,1.25,-8.09,-18.84,-16.08,-14.09,-6.10,-1.76,-8.30,-10.45,-18.12,-20.63,-18.58,-20.18,-16.13,-16.19,-19.81,-23.35,-47.65,-71.19,-83.98,-101.67,-96.59,-69.45,-73.15,409.70
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,0.41,-2.20,-1.80,0.41,0.29,2.66,6.98,-0.04,-1.71,10.30,3.90,3.29,12.54,0.86,2.83,6.17,-3.41,-3.99,-6.65,-6.25,-0.12,-1.71,2.03,-1.91,-6.77,-4.02,-6.72,-4.91,-4.37,-5.90,-1.98,-4.98,-8.50,-10.06,-33.05,-47.71,-49.12,-109.39,236.48,368.39,-55.28,8.34
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,-46.15,,,,4.76,4.76,,-9.09,-9.09,-9.09,-14.29,-15.00,-15.00,-25.00,-16.67,-17.65,-17.65,-6.67,,14.29,21.43,21.43,13.33,6.25,,5.88,11.76,17.65,29.41,27.78,26.32,20.00,18.18,21.74,29.17,95.83,242.31,525.00,,2806.38,228.09,272.57,
CPCurrent_sy,,-7.29,,,,6.28,-5.16,,43.11,45.41,37.71,-4.84,-26.31,-2.81,-31.60,-28.48,0.39,-7.08,8.85,,-26.46,-4.85,-18.19,6.91,53.69,,63.76,47.50,20.80,16.76,10.56,3.44,-20.25,-24.01,-23.40,-28.24,-7.91,-8.14,-14.36,,-18.17,-18.54,-7.77,
CPCurrent_qq,,,,,4.76,,,-4.55,-4.76,,,-10.00,-5.56,,-11.76,,-6.67,,,7.14,6.67,6.25,,,,,5.88,5.56,5.26,10.00,4.55,4.35,,8.33,7.69,10.71,51.61,89.36,96.63,,,-78.62,123.29,-7.67
CPCurrent_sq,,,,,0.02,,,32.52,11.33,,,-8.43,-13.78,,-41.55,,21.03,,,-15.34,-7.52,77.51,,,,,3.76,-0.35,8.88,3.72,-1.75,-6.76,,-1.17,-0.96,-12.66,7.71,-1.42,-7.67,,,-1.86,4.53,-6.32
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,6961.45,,,,-75.64,-114.66,-128.24,-83.26,-96.68,89.01,-331.66,-633.92,4598.46,4567.27,281.78,395.65,189.68,55.58,-40.68,-91.99,-133.94,-139.18,-145.32,-357.86,134.48,112.52,164.35,131.11,-258.18,-799.35,-310.12,-601.60,-1288.44,-641.22,-628.39,-325.95,157.97,164.97,146.38,93.07,-344.53,-330.91,-361.62
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,-3.57,-23.01,-17.79,-60.09,-158.06,-48.29,148.72,-92.09,-292.28,-5726.51,39.74,169.59,82.82,137.09,-1.99,-31.81,-1.81,-9.60,-86.77,-388.94,-13.34,-4.56,24.70,138.63,-58.84,437.40,-63.59,-296.42,-81.99,-61.46,13.09,-443.70,2.84,-58.66,49.18,174.00,8.88,13.26,-107.60,-2509.33,-2.82,-28.32
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,-98.58,,,,310.00,,,497.31,2915.51,,,,-97.87,,,,-65.45,-35.83,68.42,1146.45,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_sy,,0.75,,,,71.34,,,17.70,7.35,,,,108.18,,,,-59.58,-55.17,-62.15,-41.01,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_qq,,,3.60,29.73,21.73,150.61,,,,1165.21,,,,,-45.21,-57.78,1.97,46.45,1.76,10.82,654.69,,,,,,142.96,-81.38,174.69,,,,,,,,,,-7.89,-11.43,,,,
CZCurrent_sq,,,9.09,14.15,35.45,1.58,,,,-7.36,,,,,-31.88,23.05,-20.92,-39.03,-24.44,3.90,23.24,,,,,,-5.47,13.06,0.71,,,,,,,,,,-8.73,12.02,,,,
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,1250.37,,,,-74.41,-99.30,-105.21,-60.27,-14.89,2831.88,-1075.84,-159.46,149.02,251.31,396.11,1017.79,121.36,85.46,-6.96,-53.55,-78.41,-82.19,-82.90,-51.42,62.76,47.51,111.72,57.57,5.45,17.13,-70.59,-67.53,-295.27,-338.26,-1226.00,-1358.82,-195.53,-170.36,-82.48,-31.03,-3.91,-6.21,4.90
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,-3.89,-19.46,-19.59,-58.90,-97.38,-700.00,713.70,-11.94,-9.58,-340.63,68.96,468.78,27.56,102.82,-3.81,-11.05,6.87,1.76,-51.98,-58.66,-11.84,-2.28,36.42,38.48,-20.10,40.26,1.53,-7.33,-11.25,-64.78,12.08,-657.32,-8.29,-66.46,-25.30,-30.84,0.93,-12.35,10.03,-3.76,-1.26,-0.60
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,-92.61,,,,291.67,14177.66,,151.38,17.45,-96.59,,,-59.90,-71.51,,,-54.82,-45.98,6.98,114.93,364.00,459.57,485.51,105.56,-38.65,-32.19,-52.85,-36.49,-5.15,-14.58,240.42,207.71,,,,,,,,,,,
CZOCurrent_sy,,9.93,,,,29.81,31.25,,41.53,15.75,0.55,,,58.78,-10.71,,,-42.60,-17.25,-4.66,7.74,32.30,89.43,144.85,93.98,6.92,-12.56,-21.60,-13.78,0.59,11.29,-6.10,-19.16,,,,,,,,,,,
CZOCurrent_qq,,,4.44,23.94,24.46,143.10,3707.38,,,13.58,10.63,,,,-21.39,-50.57,3.88,11.94,-6.00,-2.13,108.70,141.67,13.36,2.41,-26.73,-27.87,25.29,-28.79,-1.31,7.71,12.84,183.81,-10.79,,,,,,,,,,,
CZOCurrent_sq,,,11.51,27.86,5.29,-13.53,12.75,,,-29.28,-2.05,,,,-44.92,-18.75,7.27,19.56,-20.59,-6.39,21.22,46.81,13.70,21.00,-3.96,-19.08,-7.02,8.49,5.61,-5.59,2.88,-8.46,-9.07,,,,,,,,,,,
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,-97.46,,,,473.48,361.02,1310.03,,-3.44,15.08,15.07,,7.40,0.27,48.88,,102.27,92.22,71.11,27028.37,36.50,20.50,12.98,1.57,-7.17,-10.54,-13.98,-11.55,-11.06,-9.64,-7.62,-13.83,-11.60,-11.01,-16.70,-53.29,-55.14,-57.98,-54.06,-22.13,-5.50,2.07,-46.72
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,-54.58,82.18,113.75,9760.75,8.04,-17.37,-98.86,9421.13,28.76,-17.38,-99.01,10126.00,20.21,22.68,-99.34,20583.88,14.24,9.20,5.13,4.08,0.84,2.39,-5.48,-4.88,-2.83,-1.54,-2.81,-4.35,-1.28,0.65,-9.34,-1.88,-0.61,-5.78,-49.16,-5.76,-6.92,3.02,-13.83,14.37,0.54,-46.22
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-5.74,,,,485.53,369.80,1292.26,-9.09,-12.29,6.66,-0.70,-15.00,-7.70,-24.74,22.18,-17.65,63.21,80.79,69.00,30385.71,68.19,43.58,31.51,8.15,-5.51,-2.47,-3.93,8.04,12.06,10.99,15.73,2.75,5.46,10.97,8.68,-10.77,55.74,162.31,,2183.18,209.32,280.15,
EVPCurrent_sy,,-15.99,,,,-7.37,-6.25,22.43,49.13,84.59,40.38,-7.49,-27.58,9.11,-18.33,6.01,-15.97,-11.93,-0.50,-18.61,4.18,-8.37,-8.91,6.15,39.25,-7.69,31.72,41.98,22.10,17.48,18.52,5.94,-12.26,-14.27,-11.33,-16.55,-7.27,-6.70,-14.39,,0.63,-6.90,-9.42,
EVPCurrent_qq,,,-53.89,81.79,114.19,9590.91,7.69,-19.51,-98.92,9250.00,30.96,-25.07,-99.07,10052.94,6.78,21.65,-99.38,20021.43,18.28,13.72,12.64,11.01,0.97,4.16,-7.37,-3.01,4.22,2.59,4.18,0.60,3.23,6.97,-7.51,3.26,8.62,4.77,-24.07,80.23,82.95,,,-75.58,124.84,-50.36
EVPCurrent_sq,,,7.29,-3.94,-5.02,-5.38,8.59,25.44,15.70,17.12,-17.42,-17.34,-9.43,76.47,-38.19,7.30,-28.21,84.95,-30.17,-12.23,-8.10,62.68,-30.58,2.28,20.55,7.84,-0.94,10.25,3.67,3.77,-0.07,-1.46,-14.14,1.39,3.36,-7.25,-4.59,2.01,-5.16,,,-5.62,-7.73,3.60
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,85.38,,,,1559.77,37451.16,-23147.70,151.38,13.44,-96.07,90.21,-268.18,-56.87,-71.46,150.28,110.93,-8.63,3.65,83.89,58126.12,532.36,576.63,560.66,109.07,-42.96,-39.35,-59.37,-43.87,-15.65,-22.85,214.07,165.41,-145.27,-137.35,-107.40,-103.71,84.82,84.46,74.82,40.57,9.05,3.88,43.98
EVEBITCurrent_sy,,-21.29,,,,44.95,-20.16,-23.59,40.45,12.31,33.75,-12.72,-56.76,37.55,-18.11,-19.75,37.47,-23.36,-21.91,10.92,23.29,51.04,213.02,194.99,96.52,-9.78,-37.19,-40.01,-20.70,-13.68,-25.29,-18.63,-5.41,-3.17,-14.85,-19.12,-38.38,-24.37,-7.05,-2.62,36.88,-1.20,-9.87,-10.67
EVEBITCurrent_qq,,,-60.84,77.87,117.12,23860.34,4015.43,-113.77,100.19,10713.03,42.40,-134.34,96.82,2873.08,-5.76,-39.51,-99.31,23082.84,6.90,7.32,118.94,151.78,14.38,4.78,-30.72,-31.31,21.61,-29.80,-4.28,3.22,11.24,185.77,-19.11,-117.61,8.22,43.40,59.42,27.98,6.05,8.29,4.24,-10.23,0.71,46.55
EVEBITCurrent_sq,,,93.01,21.72,-36.98,-2.10,6.31,16.49,15.85,-21.72,26.60,-23.99,-42.60,149.01,-24.62,-25.52,-1.67,38.82,-23.20,5.81,9.28,70.08,59.16,-0.29,-27.19,-21.92,10.80,-4.76,-3.75,-15.01,-4.11,3.74,11.88,-12.99,-15.67,-1.47,-14.76,6.79,3.63,3.23,19.81,-22.92,-5.46,2.31
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,48.81,,,,913.52,962.98,3505.40,25.60,-9.48,-27.73,-505.03,235.77,-32.99,-49.35,108.12,-89.00,15.14,22.85,77.68,46416.67,228.06,232.09,234.47,69.14,-13.66,-8.96,-25.76,-14.79,1.48,-5.69,82.67,64.08,-186.43,-169.98,-121.21,-109.15,87.67,86.80,76.90,42.84,10.18,4.86,44.14
EVEBITDACurrent_sy,,12.82,,,,66.80,56.65,22.04,32.61,-12.73,-17.73,-25.26,7.29,41.50,23.07,9.63,-15.18,-32.99,-40.07,-20.73,-9.10,18.57,103.75,78.93,51.67,2.19,-22.63,-21.28,-10.81,10.40,1.73,14.15,-5.00,-23.55,-26.82,-39.30,-21.55,-6.21,7.96,14.86,-1.74,-16.82,-17.98,-17.29
EVEBITDACurrent_qq,,,-59.08,79.02,115.97,15160.39,68.75,-17.21,-99.41,10897.31,34.73,-564.01,100.49,2094.85,1.84,-25.58,-99.34,22881.25,8.66,7.64,73.07,62.07,9.99,8.41,-12.48,-17.27,15.99,-11.60,0.46,-1.48,7.79,71.22,-9.76,-151.89,12.72,48.10,61.09,30.03,6.57,9.20,3.70,-9.94,1.04,46.69
EVEBITDACurrent_sq,,,14.27,34.04,-24.66,44.53,7.32,4.43,-18.13,-4.88,1.16,-5.13,17.53,25.45,-12.02,-15.49,-9.07,-0.89,-21.32,11.78,4.28,29.28,35.21,-1.83,-11.61,-12.89,2.36,-0.12,0.16,7.82,-5.68,12.07,-16.64,-13.23,-9.72,-7.05,7.73,3.75,3.92,-1.10,-7.84,-12.18,2.47,-0.28
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,5304.55,,,,-76.37,-114.91,-129.13,,-96.44,88.55,-396.76,,4190.00,4157.89,242.54,,145.69,34.76,-44.65,,-136.91,-141.87,-147.52,-368.99,134.19,112.64,163.70,131.12,-265.41,-852.73,-327.99,-647.22,-1966.36,-988.65,-1360.78,-695.60,265.29,275.84,347.38,57.53,192.01,178.22,-36.15
ROE_sy,,-1.95,,,,-27.22,-41.65,-52.56,,-17.83,38.49,14.45,,-6.65,-8.01,37.45,,79.79,49.78,48.14,,-19.85,-50.54,-59.35,-42.84,-22.02,14.66,24.68,0.88,-28.41,-11.84,13.13,19.14,27.46,6.39,1.28,1.92,11.24,23.75,13.98,6.53,0.57,3.44,2.32
ROE_qq,,,-6.39,-23.81,,,-159.07,-48.80,,,-290.00,-6357.89,,,79.72,126.85,,,-1.42,-6.83,-86.67,-401.55,-11.83,-5.75,24.57,138.33,-58.65,432.73,-63.14,-303.70,-88.18,-61.35,11.53,-669.20,0.86,-116.51,51.81,259.80,5.47,204.59,-108.27,1198.75,0.49,-30.10
ROE_sq,,,-9.54,3.80,,,-27.47,-15.62,,,22.25,-30.27,,,20.47,4.19,,,0.36,3.05,-10.07,-13.83,-38.07,-15.31,26.48,17.55,-8.93,-7.91,2.34,-16.59,12.16,18.16,7.78,-10.77,-6.38,12.48,8.46,-2.60,4.15,3.60,1.37,-8.05,7.11,2.48
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,6340.00,,,,-82.71,-110.43,-122.29,,-97.01,89.58,-310.27,,3660.00,3410.00,232.89,,151.06,40.79,-47.61,,-134.53,-139.27,-145.32,-368.52,135.58,113.11,169.31,133.10,-267.24,-837.50,-316.79,-618.75,-1528.87,-776.27,-867.61,-618.47,221.08,234.56,197.31,88.43,-416.99,-392.43,-636.46
ROA_sy,,25.86,,,,-54.40,-55.03,-57.58,,-33.71,-23.77,-19.59,,26.88,74.91,127.35,,106.75,64.87,43.89,,-19.06,-49.46,-60.55,-43.09,-36.45,4.30,7.12,10.26,-21.57,-19.17,6.49,-2.49,36.25,34.98,43.40,13.17,9.50,-11.01,0.30,11.28,-18.33,-9.88,-0.91
ROA_qq,,,-4.76,-28.80,,,-157.49,-52.08,,,-300.00,-5890.00,,,76.06,140.48,,,-1.27,-10.52,-87.05,-401.85,-12.27,-3.28,23.28,140.00,-58.62,445.83,-63.36,-302.08,-82.47,-60.45,12.32,-534.54,1.84,-77.18,34.90,206.93,9.10,28.13,-107.74,-2829.47,-0.64,-135.05
ROA_sq,,,-18.17,-13.22,,,-19.30,-18.14,,,-7.19,-13.65,,,27.94,12.24,,,2.02,-2.05,-20.57,1.97,-36.29,-23.54,14.57,13.87,4.57,-21.48,17.93,-19.00,7.77,3.45,7.98,13.17,6.77,9.90,-14.78,9.50,-13.23,23.88,-5.45,-19.64,-4.25,36.20
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,621.12,,,,-73.56,-99.28,-105.14,-64.09,-22.80,2625.00,-912.77,-152.79,114.35,163.76,343.07,861.97,78.54,74.43,-8.12,-49.45,-73.43,-78.76,-80.06,-48.26,65.98,60.56,135.85,92.58,32.75,44.15,-63.20,-61.28,-332.96,-396.96,-1572.28,-2502.84,-925.55,-1587.36,11006.16,-3741.74,-240.13,-295.55,-130.71
OPM_sy,,-4.42,,,,-24.31,-17.92,-30.35,-45.55,-8.58,-29.43,-11.21,21.78,-21.30,37.28,39.96,63.41,60.40,39.95,45.64,-23.32,-38.60,-43.47,-57.64,-41.77,-16.82,-8.63,9.95,37.60,15.04,-3.15,3.16,-4.35,27.22,43.95,26.53,28.04,-4.38,-5.69,-0.33,-5.37,-3.00,-6.28,-11.99
OPM_qq,,,-4.31,-17.64,-18.14,-59.01,-97.39,-687.50,672.34,-11.90,-8.02,-318.35,70.17,457.75,13.19,101.22,-6.48,-16.17,10.58,5.98,-48.54,-55.94,-11.62,-0.47,33.49,41.34,-14.50,46.20,9.00,-2.57,-7.16,-62.68,14.67,-686.26,-18.35,-85.04,-87.15,-150.22,-94.73,1296.00,-165.93,77.85,-126.45,7.15
OPM_sq,,,-11.88,-2.50,-4.99,-7.28,-4.43,-17.26,-25.74,55.69,-26.23,4.09,1.86,0.61,28.69,6.12,18.93,-1.24,12.28,10.43,-37.38,-20.92,3.38,-17.26,-13.91,12.95,13.56,-0.43,7.74,-5.57,-4.39,6.05,-0.11,25.61,8.17,-6.78,1.09,-6.20,6.70,-1.49,-4.02,-3.84,3.09,-7.49
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,3713.64,,,,-74.85,-115.14,-127.76,-84.93,-97.16,90.16,-273.30,-576.25,4183.33,3575.00,249.16,345.14,133.46,46.28,-41.43,-91.33,-141.83,-146.72,-152.79,-376.54,135.06,113.68,171.95,137.95,-300.00,-956.41,-362.84,-697.65,-1552.27,-824.25,-850.44,-713.78,301.20,505.64,-2672.11,-103.34,-900.43,-959.97,15.52
ROS_sy,,14.35,,,,-40.53,-45.52,-51.92,-69.35,-33.97,-40.53,-43.67,58.86,-4.47,75.95,145.99,119.72,102.34,50.84,53.26,4.81,-31.98,-39.75,-53.76,-44.64,-26.37,-11.35,-2.76,6.88,-11.22,-8.33,20.66,8.04,40.52,60.88,31.11,13.40,23.28,-1.01,-13.66,0.84,-26.82,-12.54,-0.81
ROS_qq,,,-3.93,-21.34,-16.25,-60.26,-157.82,-44.26,145.45,-92.50,-300.00,-5375.00,42.01,167.45,62.26,135.01,-4.69,-35.76,1.67,-5.90,-85.89,-409.88,-13.55,-6.32,26.07,139.29,-55.68,458.97,-61.01,-307.06,-89.77,-71.56,11.34,-472.44,-6.16,-76.42,24.09,241.53,114.01,-1305.63,94.43,-457.14,-129.93,-18.44
ROS_sq,,,-8.22,-5.60,-25.34,-8.05,-15.93,-16.69,-52.41,98.10,-24.28,-21.10,34.22,19.12,39.46,10.31,19.89,9.70,3.97,12.08,-18.01,-28.81,-7.90,-13.98,-1.84,-5.31,10.89,-5.65,7.89,-21.35,14.50,24.19,-3.40,2.30,31.08,1.21,-16.45,11.22,5.26,-11.72,-2.42,-19.29,25.81,0.12
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,266.77,,,,-98.86,-125.88,-134.24,-156.14,-1476.92,28.67,51.83,82.29,6.70,63.82,15.17,-162.75,164.07,180.56,43.09,-126.87,-600.00,-1134.48,-750.00,-19.41,58.13,83.00,95.46,128.93,226.34,340.20,1237.04,141.90,-238.52,-317.14,-329.32,-757.48,-372.19,-606.02,6707.53,-1343.05,-183.20,-207.03,-128.64
RS_sy,,1.34,,,,5.60,-20.60,-31.06,9.18,-36.34,-58.40,-45.14,-22.31,-10.04,131.37,134.78,101.95,59.16,42.66,18.87,-19.22,-41.30,-57.52,-56.86,-42.88,-23.24,11.32,24.17,6.27,16.11,-5.08,-8.72,1.84,16.99,21.42,20.22,12.79,3.58,18.56,5.91,18.61,2.96,-2.94,6.93
RS_qq,,,-5.19,-18.46,-41.64,-97.47,-2246.15,-7.89,4.32,37.85,-11.17,27.14,64.83,-227.45,56.89,-70.83,-8.94,179.85,-45.79,-220.69,-334.29,-75.99,-12.15,0.83,38.99,38.29,54.46,73.53,488.89,169.52,-13.43,25.31,-17.26,-254.33,-35.71,-32.33,-137.22,-10.84,-102.92,1338.47,-151.81,78.25,-119.99,-15.53
RS_sq,,,-1.14,-3.66,-38.71,80.91,-25.67,-16.35,-2.94,5.48,-51.43,10.33,37.46,22.14,24.90,11.96,18.23,-3.73,11.95,-6.71,-19.65,-30.05,-18.98,-5.26,6.39,-6.01,17.50,5.67,-8.95,2.70,-3.95,1.62,1.59,17.97,-0.31,0.62,-4.69,8.34,14.12,-10.12,6.74,-5.95,7.57,-0.98
