,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,2.06,2.18,3.26,3.81,3.84,4.65,6.66,7.32,2.47,9.34,-100.00,,4.39,3.36,-100.00,,5.39,0.44,5.96,5.55,5.22,-4.48,6.42,8.25,5.72,-5.26,7.35,6.79,5.00,-7.15,3.01,3.17,1.66,-2.89,2.16,0.84,-0.99,-2.89
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,-86.42,-90.55,-5.08,,,,-10.55,-12.09,-14.16,-16.89,-19.61,-18.53,-22.02,,-16.47,-18.01,-13.27,,-16.89,-17.67,-15.27,,-15.54,-15.41,-11.06,-11.42,-13.62,-14.03,-13.32,-14.09,-12.91,-12.32,-10.53,-6.74,-3.49,-0.30,-4.68,-3.90,-1.65,0.97,0.94
CWKCurrent_sy,,-10.54,-81.88,55.78,,,,-1.69,-9.42,-3.88,-24.49,1.29,-5.90,-23.58,,-34.00,-44.94,-29.38,,-13.18,37.60,46.43,,-14.75,-35.36,-35.30,-26.03,44.44,15.60,15.65,39.19,-5.63,9.38,12.26,-3.60,-1.29,20.55,13.89,10.69,23.32,-19.06,-4.80
CWKCurrent_qq,,,,,-2.02,-2.14,-3.16,-3.67,-3.70,-4.45,-6.24,-6.82,-2.41,-8.54,,,-4.21,-3.25,,,-5.11,-0.43,-5.65,-5.26,-4.97,4.69,-6.03,-7.61,-5.41,5.56,-6.87,-6.35,-4.77,7.71,-2.92,-3.08,-1.61,2.97,-2.13,-0.81,1.00,2.95
CWKCurrent_sq,,,,,12.04,-12.14,-43.77,77.60,3.24,-6.77,-55.82,138.22,-4.08,-24.29,,,-19.97,-2.90,,,26.83,3.33,-16.86,-21.75,-3.84,3.43,-4.96,52.80,-23.04,3.49,14.38,3.59,-10.80,6.21,-1.78,6.08,8.94,0.34,-4.54,18.18,-28.50,18.01
WKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_yy,,537.62,913.37,6.09,,,,24.24,27.31,-21.24,-219.25,-582.26,-546.13,-865.63,100.00,12.18,17.09,45.12,,-35.57,-80.61,-249.53,,-128.13,-79.37,-44.11,-44.35,-52.08,-58.53,-59.32,-46.70,-10.61,-31.54,12.63,29.58,32.18,44.67,27.53,32.57,30.44,38.41,52.08
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,,,3.13,0.92,4.46,14.29,5.67,-37.57,-258.15,-362.20,2.25,-7.15,100.00,,7.70,29.08,100.00,,-22.95,-37.26,-19.87,-12.77,3.33,-10.28,-20.07,-18.80,-0.78,-10.83,-10.56,10.42,-19.85,26.39,10.89,13.73,2.22,3.59,17.09,11.00,13.43,24.99
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,-84.33,-90.13,-5.74,,,,-19.52,-21.45,26.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sy,,-67.79,-82.94,75.92,,,,-18.94,-12.61,-26.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_qq,,,,,-3.03,-0.91,-4.26,-12.51,-5.37,60.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sq,,,,,3.94,-6.48,1.39,-17.75,12.06,-21.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,395.24,25.65,44.89,,,,29.74,31.49,48.67,56.82,99.63,145.75,166.54,156.56,96.04,47.61,20.13,4.40,6.43,12.86,28.24,37.99,37.39,32.39,15.70,12.28,14.59,16.89,20.25,19.71,9.62,3.34,-4.37,-16.61,-24.18,-31.84,-31.36,-29.23,-29.99,-25.30,-30.72
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,,6.93,0.48,13.03,6.83,8.37,13.61,19.22,36.00,33.41,23.22,14.76,3.92,0.45,0.28,-0.27,5.94,6.51,13.95,7.31,5.48,2.64,-0.42,4.14,7.65,4.70,2.45,3.68,-1.42,-1.30,-5.20,-9.59,-10.37,-11.26,-4.55,-6.78,-11.34,-5.32,-11.47
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,-79.81,-20.41,-30.99,,,,-22.92,-23.95,-32.73,-36.23,-49.91,-59.31,-62.48,-61.02,-48.99,-32.26,-16.77,-4.22,-6.04,-11.39,-22.02,-27.53,-27.22,-24.48,-13.57,-10.93,-12.72,-14.43,-16.84,-16.47,-8.79,-3.24,4.59,19.91,31.91,46.68,45.67,41.30,42.82,33.87,44.35
CPCurrent_sy,,-33.21,91.74,-63.05,,,,-12.98,-19.04,39.59,75.20,-24.21,-3.42,-41.29,-53.78,28.49,-48.33,-26.26,-25.16,-5.92,-9.75,75.47,81.79,56.37,51.14,-23.81,-28.18,-34.01,-16.64,8.78,27.19,27.81,14.56,-16.94,-21.22,-14.02,9.67,61.03,26.60,14.95,-11.02,31.06
CPCurrent_qq,,,,,-6.47,-0.49,-11.52,-6.39,-7.73,-11.98,-16.13,-26.47,-25.04,-18.84,-12.87,-3.78,-0.44,-0.28,0.27,-5.61,-6.11,-12.25,-6.82,-5.20,-2.57,0.42,-3.97,-7.10,-4.48,-2.41,-3.54,1.44,1.33,5.49,10.59,11.60,12.67,4.76,7.27,12.80,5.61,12.97
CPCurrent_sq,,,,,92.30,-33.88,-3.77,-28.88,78.92,13.99,20.78,-69.23,127.99,-30.71,-4.92,-14.46,-8.32,-1.11,-3.50,7.53,-12.04,92.25,-0.02,-7.51,-14.99,-3.08,-5.76,-15.02,7.40,26.47,10.19,-14.61,-3.73,-8.30,4.50,-6.79,22.79,34.64,-17.84,-15.37,-4.95,98.30
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,1190.58,36.43,-45.55,,,,90.77,105.63,170.56,96.41,143.52,137.26,105.43,130.19,28.65,5.15,-7.08,-26.19,-1.75,13.14,55.51,80.19,55.80,45.13,6.40,3.30,22.19,25.24,34.90,37.56,13.04,7.39,-1.90,-23.16,-34.70,-48.95,-43.51,-36.70,-38.67,-24.67,-51.00
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,11.63,-5.77,44.65,25.38,20.33,23.98,5.01,55.45,17.23,7.35,17.66,-13.12,-4.18,-5.14,-6.53,15.65,10.34,30.39,8.29,,2.78,-4.41,5.14,18.29,5.34,2.96,7.21,-2.79,0.08,-5.94,-16.02,-17.40,-21.76,4.08,-5.89,-19.97,-3.90,-32.30
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,-92.27,-26.69,83.72,,,,-47.59,-51.37,-63.04,-49.10,-58.94,-57.85,-51.32,-56.56,-22.26,-4.91,7.62,35.49,1.78,-11.61,-35.70,-44.50,-35.82,-31.10,-6.01,-3.19,-18.16,-20.16,-25.87,-27.30,-11.54,-6.88,1.93,30.13,53.16,95.88,77.04,57.98,63.04,32.74,104.08
CZCurrent_sy,,-77.03,-59.99,138.99,,,,-31.17,-37.67,-38.37,-74.27,-3.09,14.96,-37.78,106.86,0.58,-33.12,-45.57,1.68,-37.72,33.63,86.82,-49.07,11.30,-38.43,-5.75,124.19,31.87,-24.40,-4.05,-32.08,-9.53,52.56,31.82,39.71,104.80,101.73,29.86,42.16,-8.22,-17.93,-15.46
CZCurrent_qq,,,,,-10.45,6.15,-30.86,-20.25,-16.91,-19.33,-4.78,-35.67,-14.69,-6.85,-15.01,15.11,4.35,5.42,6.99,-13.53,-9.37,-23.31,-7.66,,-2.70,4.61,-4.89,-15.46,-5.07,-2.88,-6.72,2.87,-0.07,6.31,19.08,21.07,27.80,-3.92,6.26,24.94,4.06,47.72
CZCurrent_sq,,,,,13.18,9.72,-12.58,-36.60,2.49,8.49,-63.51,138.82,21.58,-41.28,21.32,16.12,-19.15,-52.21,126.63,-28.88,73.49,-33.19,-38.21,,-4.02,2.28,46.97,-8.60,-44.97,29.80,4.04,21.75,-7.21,12.15,10.27,78.47,-8.60,-27.80,20.71,15.22,-18.27,-25.63
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,1206.81,21.88,-20.97,,,,52.84,56.59,82.65,61.47,141.43,150.63,120.17,88.64,24.06,-2.12,-18.13,-26.68,-5.10,12.58,63.72,89.04,59.20,48.42,8.11,6.11,23.95,26.29,35.29,36.66,12.81,7.27,-2.01,-23.15,-34.70,-48.94,-43.49,-36.75,-38.46,-24.36,-51.14
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,11.29,5.77,37.97,-5.89,14.02,23.38,21.97,40.71,18.37,8.38,4.50,-7.46,-6.61,-9.35,-6.41,19.78,10.79,31.83,8.06,0.87,3.28,-3.97,6.06,17.82,5.24,2.87,7.14,-2.74,0.07,-6.03,-15.98,-17.35,-21.76,4.02,-5.97,-19.58,-3.84,-32.81
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,-92.35,-17.96,26.55,,,,-34.58,-36.13,-45.26,-38.07,-58.58,-60.10,-54.58,-46.99,-19.39,2.17,22.15,36.38,5.36,-11.18,-38.92,-47.10,-37.19,-32.62,-7.51,-5.76,-19.31,-20.82,-26.08,-26.83,-11.36,-6.78,2.05,30.13,53.13,95.85,76.94,58.11,62.47,32.20,104.67
CZOCurrent_sy,,-61.76,-11.15,-42.33,,,,-34.71,-26.21,-17.86,-12.35,11.75,28.99,-38.25,20.12,-26.34,-56.41,4.35,-29.05,-16.97,23.33,6.30,-34.63,-12.17,-31.65,-35.54,2.32,70.32,35.68,49.02,118.60,-11.05,43.87,31.73,-38.03,-2.75,-15.61,-28.99,-10.16,-14.78,-34.79,-8.50
CZOCurrent_qq,,,,,-10.16,-5.44,-27.53,6.27,-12.30,-18.95,-18.01,-28.93,-15.52,-7.74,-4.30,8.07,7.08,10.31,6.85,-16.51,-9.73,-24.15,-7.45,-0.87,-3.18,4.13,-5.71,-15.13,-4.98,-2.79,-6.66,2.82,-0.07,6.41,19.02,20.99,27.80,-3.86,6.35,24.34,3.99,48.84
CZOCurrent_sq,,,,,7.44,-4.72,-22.99,-17.17,21.42,6.07,-17.83,5.59,40.16,-49.22,59.83,-35.24,-17.05,21.55,8.68,-24.22,23.20,4.77,-33.17,1.82,-4.12,-1.20,6.08,69.50,-23.62,8.51,55.62,-31.03,23.54,-0.65,-26.79,8.22,7.20,-16.40,-7.37,2.66,-17.97,17.30
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,-0.49,-4.66,5.64,,,,122.71,158.54,21.98,139.26,418.75,358.66,1241.04,-57.13,5.59,0.70,-12.46,,26.50,43.02,67.59,1839.90,30.79,18.68,18.22,26.54,40.68,38.60,41.87,40.29,10.74,23.76,-11.20,-24.38,-31.74,-40.17,-26.93,-31.38,-21.91,-27.10,-42.01
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,0.37,-21.17,23.87,127.24,16.52,-62.81,142.96,392.67,3.02,8.75,-92.23,1113.50,-1.75,-5.46,-91.13,1435.12,11.08,10.78,2.70,3.50,0.80,10.35,9.92,15.07,-0.70,12.95,8.70,-9.17,10.98,-18.95,-7.43,-18.02,-2.72,-1.02,-13.07,-6.71,-9.19,-21.27
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-79.91,-24.11,-27.09,,,,71.67,96.61,-17.94,52.57,159.85,86.64,403.12,-83.29,-46.14,-31.78,-27.13,-4.22,18.86,26.72,30.68,1305.92,-4.80,-10.35,2.18,12.69,22.77,18.57,17.99,17.19,1.02,19.76,-7.14,-9.31,-9.97,-12.23,6.45,-3.05,11.53,-2.42,-16.30
EVPCurrent_sy,,-34.49,-32.28,31.99,,,,22.51,-8.35,69.89,75.20,-14.66,73.48,56.23,-53.91,33.05,-48.95,-28.11,78.90,52.65,53.03,39.73,79.28,11.35,7.74,-23.94,-41.10,-41.86,-36.71,-10.25,51.60,28.32,120.77,-12.13,-6.95,25.95,-7.31,62.35,6.90,18.93,-1.69,6.31
EVPCurrent_qq,,,,,-6.13,-21.55,9.60,112.70,7.51,-67.26,103.78,262.26,-22.78,-11.74,-93.23,1067.73,-2.18,-5.73,-91.10,1349.07,4.29,-2.78,-4.30,-1.88,-1.80,10.81,5.55,6.89,-5.15,10.26,4.84,-7.86,12.44,-14.50,2.39,-8.54,9.63,3.69,-6.75,5.22,-4.09,-11.06
EVPCurrent_sq,,,,,55.02,-43.17,12.82,23.26,15.96,5.35,16.34,-39.95,135.72,-5.12,-65.68,73.33,-9.56,33.62,-14.59,47.89,-9.33,22.01,9.59,-8.15,-12.27,-13.87,-15.14,-9.32,-4.50,22.14,43.33,-23.25,64.30,-51.39,51.78,3.89,20.92,-14.85,-0.06,15.58,-0.05,-7.92
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,-92.39,-21.78,33.69,,,,45.70,65.13,-33.22,48.18,114.86,82.99,509.08,-77.28,-14.89,2.88,6.93,36.38,33.29,27.03,2.36,926.26,-17.85,-20.04,9.35,19.24,13.50,9.74,4.87,2.66,-1.84,15.38,-9.38,-1.59,4.52,17.17,29.29,8.49,26.88,-3.63,18.68
EVEBITCurrent_sy,,-79.57,17.37,-101.94,,,,-1827.99,-1121.59,-82.50,-21.92,202.54,134.97,120.98,270.00,-71.94,38.67,344.97,1017.31,390.52,192.87,46.49,24.65,-24.86,-41.95,-13.23,88.69,285.86,86.53,27.46,8.98,-27.68,-22.69,28.80,-65.83,-11.98,-28.14,-92.93,36.41,-39.46,40.98,-225.98
EVEBITCurrent_qq,,,,,-9.83,-25.45,-10.23,141.48,2.19,-69.85,99.20,250.13,-12.97,0.34,-92.57,1211.41,5.20,4.28,-90.52,1181.68,0.27,-15.97,-4.96,2.60,-2.41,14.91,3.64,-2.34,-5.64,9.80,1.46,-6.61,10.91,-13.76,10.17,-0.81,24.33,-4.84,-7.55,16.00,-5.56,17.19
EVEBITCurrent_sq,,,,,-127.68,-532.93,92.86,-1774.02,-44.26,5.44,95.23,1676.25,-50.80,-43.29,-61.34,160.17,143.12,81.98,-2.94,14.22,45.16,-8.98,-17.41,-31.15,12.16,36.05,79.60,40.80,-45.78,-7.03,53.55,-6.56,-42.04,54.88,-59.26,140.69,-52.68,-84.75,685.52,6.82,10.19,-113.63
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-91.28,-21.80,20.65,,,,50.25,70.80,-29.38,54.28,128.33,93.69,531.90,-76.75,-14.44,2.51,6.06,34.86,33.03,27.40,3.56,940.97,-17.37,-19.78,8.98,18.97,13.93,10.40,5.79,3.64,-1.25,15.95,-9.03,-1.55,4.26,16.41,28.58,8.05,26.30,-3.66,17.77
EVEBITDACurrent_sy,,-58.93,-19.19,-94.57,,,,40.54,1971.49,438.55,3605.53,679.79,24.23,-88.78,-3.52,7.14,489.86,616.32,63.96,8.67,32.01,-37.16,28.94,-9.78,-41.31,45.16,80.60,77.45,53.94,49.25,12.04,-8.78,3.90,11.38,-65.76,-5.33,-37.29,-93.30,121.66,-41.71,37.71,-235.09
EVEBITDACurrent_qq,,,,,-9.18,-25.54,-7.46,140.11,3.24,-69.22,102.17,255.35,-12.42,0.43,-92.56,1207.96,4.93,3.90,-90.54,1190.23,0.49,-15.54,-4.94,2.42,-2.45,14.75,3.77,-1.92,-5.47,9.95,1.66,-6.55,11.00,-13.74,10.01,-1.03,23.94,-4.72,-7.56,15.70,-5.47,16.48
EVEBITDACurrent_sq,,,,,-107.66,3979.25,-104.98,1049.02,2.02,1016.32,-67.57,111.11,-83.75,0.86,178.78,134.45,-10.52,22.48,-36.19,55.39,8.69,-41.70,30.94,8.73,-29.29,44.19,62.91,6.83,-38.66,39.80,22.29,-13.02,-30.13,49.86,-62.41,140.53,-53.71,-83.99,1143.51,-36.74,9.34,-115.71
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,75.61,-87.11,-48.29,,,,70.66,80.79,132.19,63.14,95.73,93.24,60.19,,7.43,-13.77,-19.44,,-18.34,-6.90,31.82,,31.64,22.81,-5.36,-8.49,5.49,7.65,16.90,18.17,-1.54,-5.82,-12.21,-28.35,-36.96,-49.09,-46.16,-39.19,-39.73,-23.93,-50.50
ROE_sy,,13.19,-57.87,-42.69,,,,-64.50,191.65,-10.51,137.05,318.58,10.92,171.43,,-2.80,-36.70,44.21,,-1.44,-45.01,-58.23,,9.02,155.07,70.10,205.11,-23.71,-33.21,-37.33,-85.21,-51.03,-85.08,-85.61,58.62,7.63,127.38,259.49,116.15,63.00,249.21,-53.87
ROE_qq,,,,,9.38,-7.78,40.10,20.76,15.87,18.44,-1.56,44.88,14.40,-1.82,,,-8.18,-8.27,,,4.68,29.88,2.18,-5.25,-2.34,0.09,-1.20,9.23,-0.34,8.69,-0.12,-8.99,-4.68,1.32,-18.48,-19.92,-23.02,7.14,-7.92,-20.63,-2.85,-30.28
ROE_sq,,,,,-49.05,19.93,-227.27,145.65,318.58,-63.20,-47.30,415.66,10.92,-9.95,,,-27.76,105.16,,,-59.70,55.82,-56.31,297.33,-5.70,3.91,-21.63,-0.66,-17.45,-2.49,-81.51,229.06,-74.85,-5.95,103.80,123.29,-46.87,48.69,22.54,68.39,13.82,-80.36
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,-17.04,-77.05,-43.09,,,,32.75,32.80,39.86,-32.53,-46.92,-46.22,-35.99,,21.16,1.85,-4.15,,-22.60,-19.27,0.39,,18.14,22.97,-5.88,-17.92,-13.48,-9.16,-4.58,-1.75,3.03,2.82,8.73,-2.22,-7.98,-31.37,-26.10,-10.91,-23.74,-1.71,-23.91
ROA_sy,,52.59,-61.56,-59.84,,,,-8.75,134.53,975.00,123.36,170.96,60.43,368.57,,-40.95,7.46,-40.85,,3.77,-25.62,47.68,,22.11,34.21,-2.09,202.54,-11.62,16.58,,-48.83,-48.93,-85.63,-78.61,-12.13,-51.80,55.32,206.67,20.15,49.07,101.37,-140.76
ROA_qq,,,,,10.53,-21.69,26.69,21.07,10.57,-17.53,-38.89,-4.74,12.03,-1.85,,,-5.82,-7.64,,,-1.77,14.86,9.41,-4.30,2.25,-12.09,-4.58,0.87,7.36,-7.66,-1.75,5.78,7.14,-2.35,-11.65,-0.45,-20.09,5.14,6.52,-14.80,2.99,-18.60
ROA_sq,,,,,-65.25,-111.51,-4475.00,149.86,-10.68,-57.06,22.14,478.36,-47.12,25.43,,,-3.77,-30.96,,,-31.02,37.08,-65.62,275.63,-24.19,,6.24,9.73,,-14.22,-45.63,9.51,-71.86,27.66,123.33,-39.93,-9.32,152.05,-12.50,-25.47,22.50,-151.02
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,163.97,-2.98,-45.47,,,,17.84,19.05,22.88,2.96,20.93,1.99,-17.38,-26.47,-36.72,-33.68,-31.85,-29.75,-10.85,-0.28,27.67,36.97,15.90,12.14,-6.57,-5.50,8.15,8.02,12.52,14.17,2.91,3.81,2.45,-7.85,-13.87,-25.10,-17.66,-10.62,-12.08,1.27,-29.48
OPM_sy,,48.52,360.33,-48.35,,,,-104.73,-107.18,-101.43,-95.19,937.69,122.22,-272.73,14362.50,-105.88,8155.00,6704.88,-5.58,5571.88,203.45,15.47,-79.95,4.20,-48.82,-44.34,206.39,63.44,93.37,-39.50,-39.25,-44.18,-59.66,5.89,99.95,-47.61,-32.45,-62.06,-64.22,-13.65,-30.27,-95.86
OPM_qq,,,,,4.13,5.21,22.09,-11.90,5.20,8.59,2.30,3.48,-11.28,-12.03,-8.95,-10.95,-7.01,-9.61,-6.15,13.01,4.02,15.72,0.69,-4.37,0.64,-3.59,1.84,9.44,0.53,0.43,3.34,-1.36,1.41,-0.89,-7.06,-7.80,-11.82,8.96,0.89,-9.30,1.57,-24.12
OPM_sq,,,,,-54.42,22.57,-45.93,-115.64,30.77,75.56,281.82,2622.50,-98.16,-510.00,7154.88,-101.11,2679.69,228.04,0.85,-35.88,43.06,24.83,-82.49,233.24,-29.73,35.76,-3.62,77.76,-16.87,-57.52,-3.23,63.35,-39.92,11.50,82.74,-57.20,-22.53,-37.38,72.34,3.29,-37.45,-96.28
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,161.11,8.58,-62.44,,,,47.07,56.39,81.99,25.28,22.02,-3.49,-22.93,-10.28,-34.38,-28.76,-22.67,-29.32,-7.67,0.24,21.32,30.63,13.41,9.65,-8.06,-8.02,6.63,7.15,12.17,14.93,3.11,3.90,2.59,-7.86,-13.89,-25.09,-17.67,-10.57,-12.40,0.84,-29.28
ROS_sy,,31.48,169.62,-49.64,,,,-80.35,294.48,1018.23,1708.33,923.41,-2.25,18.96,26.24,4.62,-3.90,-23.84,-21.34,-22.87,-30.21,19.97,-3.91,12.40,-14.90,-55.58,-40.56,-60.90,-41.79,-44.43,-82.28,7.59,-96.48,-58.07,195.88,-19.68,1418.52,130.02,4.53,-10.26,57.20,-99.28
ROS_qq,,,,,4.46,-6.23,27.95,17.34,11.08,9.12,-11.92,14.29,-12.14,-12.86,2.55,-16.42,-4.61,-5.41,-6.28,9.18,3.56,14.48,0.92,-5.21,0.13,-4.01,0.95,9.89,0.61,0.49,3.44,-1.41,1.39,-0.78,-7.10,-7.86,-11.80,9.04,0.91,-9.73,1.53,-23.52
ROS_sq,,,,,-42.69,-67.89,-162.50,270.83,1050.73,-8.99,-10.11,8.70,9.91,10.75,-4.60,-9.91,0.96,-12.23,-1.47,-11.66,-8.65,50.89,-21.08,3.34,-30.85,-21.24,5.60,-32.02,2.96,-24.80,-66.32,312.63,-96.63,794.44,137.68,12.02,-36.24,35.49,8.01,-3.83,11.70,-99.38
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,20992.86,-6.72,-40.11,,,,8.51,11.29,13.08,-3.98,19.88,-0.29,-19.17,-27.34,-36.67,-32.92,-29.26,-27.13,-9.96,,25.73,34.28,15.06,11.06,-7.13,-5.89,7.10,8.17,11.91,13.80,3.78,4.07,2.98,-7.84,-14.55,-25.91,-19.18,-12.08,-13.74,-0.43,-28.20
RS_sy,,100.25,138.96,-27.81,,,,-44.67,-111.52,-108.46,-166.93,-2.84,-313.33,-561.36,-12.79,-173.67,-15.16,-125.95,119.59,187.73,,429.13,3040.79,461.32,-57.89,-49.58,-29.28,105.43,119.10,-18.33,9.12,11.46,-71.38,101.80,102.33,-36.82,108.74,-59.40,-70.03,-15.23,-23.31,-82.12
RS_qq,,,,,3.30,5.78,19.69,-17.03,5.95,7.48,1.63,3.58,-11.88,-12.87,-8.64,-9.73,-6.65,-8.12,-5.89,11.55,3.67,15.52,0.52,-4.42,0.07,-3.40,1.85,8.78,1.07,-0.07,3.58,-0.80,1.35,-1.11,-7.31,-8.02,-12.12,7.86,0.84,-9.76,1.44,-22.22
